Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
NaiveBayesGaussian - smoothing 1e-01 ;0.57;0.93;0.34;0.45;0.19;0.56;0.64;0.75;0.25;0.70;0.45;0.56;0.22;0.48
NaiveBayesGaussian - smoothing 1e-02 ;0.60;0.91;0.36;0.48;0.20;0.62;0.60;0.68;0.29;0.74;0.45;0.56;0.23;0.50
NaiveBayesGaussian - smoothing 1e-03 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.68;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-04 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-05 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-06 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-07 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-08 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-09 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-10 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-11 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-12 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-13 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-14 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-15 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-16 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-17 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-18 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-19 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-20 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-21 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-22 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-23 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-24 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-25 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-26 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-27 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-28 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-29 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
NaiveBayesGaussian - smoothing 1e-30 ;0.60;0.91;0.36;0.48;0.21;0.63;0.59;0.67;0.31;0.74;0.45;0.56;0.25;0.50
