Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
NaiveBayesGaussian - smoothing 1e-01 ;0.66;0.89;0.47;0.49;0.24;0.72;0.57;0.75;0.21;0.79;0.51;0.59;0.23;0.53
NaiveBayesGaussian - smoothing 1e-02 ;0.64;0.90;0.45;0.51;0.24;0.68;0.62;0.69;0.30;0.77;0.52;0.59;0.27;0.54
NaiveBayesGaussian - smoothing 1e-03 ;0.63;0.91;0.44;0.52;0.24;0.66;0.63;0.66;0.36;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-04 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-05 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-06 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-07 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-08 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-09 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-10 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-11 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-12 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-13 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-14 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-15 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-16 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-17 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-18 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-19 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-20 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-21 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-22 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-23 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-24 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-25 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-26 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-27 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-28 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-29 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
NaiveBayesGaussian - smoothing 1e-30 ;0.63;0.91;0.44;0.52;0.24;0.66;0.64;0.65;0.37;0.76;0.52;0.58;0.29;0.54
