Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
KNN com k=1;0.60;0.76;0.21;0.48;0.25;0.74;0.20;0.60;0.20;0.75;0.20;0.53;0.22;0.43
KNN com k=2;0.65;0.79;0.31;0.42;0.19;0.82;0.08;0.76;0.16;0.80;0.13;0.54;0.18;0.41
KNN com k=3;0.65;0.80;0.32;0.45;0.28;0.79;0.21;0.72;0.17;0.79;0.25;0.55;0.21;0.45
KNN com k=4;0.67;0.79;0.29;0.46;0.28;0.85;0.13;0.70;0.14;0.82;0.18;0.55;0.19;0.43
KNN com k=5;0.67;0.80;0.34;0.48;0.33;0.83;0.22;0.72;0.17;0.81;0.26;0.58;0.22;0.47
KNN com k=6;0.68;0.79;0.37;0.49;0.37;0.86;0.17;0.74;0.16;0.82;0.23;0.59;0.22;0.47
KNN com k=7;0.68;0.80;0.37;0.48;0.35;0.84;0.22;0.75;0.13;0.82;0.28;0.59;0.19;0.47
KNN com k=8;0.68;0.80;0.39;0.47;0.25;0.85;0.20;0.75;0.09;0.82;0.26;0.58;0.13;0.45
KNN com k=9;0.68;0.81;0.38;0.48;0.30;0.84;0.23;0.77;0.10;0.82;0.29;0.59;0.15;0.46
KNN com k=10;0.68;0.80;0.40;0.47;0.27;0.85;0.19;0.77;0.08;0.83;0.26;0.59;0.12;0.45
KNN com k=11;0.68;0.80;0.39;0.48;0.27;0.84;0.22;0.78;0.07;0.82;0.28;0.59;0.12;0.45
KNN com k=12;0.69;0.80;0.38;0.48;0.39;0.85;0.21;0.78;0.08;0.83;0.27;0.60;0.13;0.46
KNN com k=13;0.69;0.81;0.41;0.49;0.32;0.85;0.25;0.79;0.08;0.83;0.31;0.60;0.13;0.47
KNN com k=14;0.69;0.80;0.41;0.48;0.31;0.86;0.22;0.77;0.07;0.83;0.29;0.59;0.12;0.46
KNN com k=15;0.69;0.81;0.42;0.49;0.32;0.85;0.25;0.78;0.07;0.83;0.31;0.60;0.11;0.46
KNN com k=16;0.69;0.80;0.41;0.49;0.40;0.86;0.23;0.78;0.07;0.83;0.29;0.60;0.12;0.46
KNN com k=17;0.69;0.80;0.42;0.49;0.34;0.85;0.24;0.80;0.06;0.83;0.30;0.61;0.11;0.46
KNN com k=18;0.69;0.80;0.40;0.49;0.51;0.86;0.22;0.79;0.08;0.83;0.28;0.60;0.14;0.46
KNN com k=19;0.69;0.80;0.41;0.49;0.26;0.85;0.23;0.78;0.07;0.83;0.30;0.60;0.11;0.46
KNN com k=20;0.69;0.80;0.41;0.49;0.33;0.86;0.22;0.78;0.07;0.83;0.29;0.60;0.11;0.46
KNN com k=21;0.69;0.80;0.42;0.48;0.30;0.86;0.24;0.78;0.06;0.83;0.31;0.60;0.10;0.46
KNN com k=22;0.69;0.80;0.41;0.48;0.32;0.86;0.22;0.78;0.06;0.83;0.28;0.59;0.11;0.45
KNN com k=23;0.69;0.80;0.41;0.48;0.35;0.86;0.23;0.78;0.06;0.83;0.29;0.59;0.10;0.45
KNN com k=24;0.69;0.80;0.41;0.48;0.22;0.87;0.22;0.79;0.05;0.83;0.28;0.60;0.08;0.45
KNN com k=25;0.70;0.80;0.41;0.48;0.24;0.87;0.22;0.78;0.05;0.83;0.28;0.60;0.08;0.45
KNN com k=26;0.70;0.80;0.40;0.48;0.17;0.87;0.22;0.78;0.04;0.83;0.28;0.60;0.06;0.44
KNN com k=27;0.69;0.80;0.40;0.49;0.32;0.87;0.21;0.79;0.05;0.83;0.28;0.60;0.09;0.45
KNN com k=28;0.69;0.80;0.39;0.49;0.31;0.87;0.21;0.79;0.05;0.83;0.27;0.60;0.08;0.45
KNN com k=29;0.69;0.80;0.39;0.48;0.25;0.86;0.22;0.79;0.04;0.83;0.28;0.60;0.07;0.44
KNN com k=30;0.69;0.80;0.39;0.48;0.27;0.87;0.21;0.79;0.04;0.83;0.27;0.60;0.06;0.44
