Parametros,Acuracia,Precisao-R,Precisao-UE,Precisao-B,Precisao-F,Revocação-R,Revocação-UE,Revocação-B,Revocação-F,F1-R,F1-UE,F1-B,F1-F,Media-F1
MLP - Relu-camadas (1) e neurônios (50),0.62,0.75,0.25,0.53,0.34,0.77,0.22,0.52,0.28,0.76,0.23,0.53,0.31,0.46
MLP - Logistic-camadas (1) e neurônios(50),0.62,0.76,0.24,0.5,0.31,0.77,0.22,0.53,0.26,0.77,0.23,0.51,0.28,0.45
MLP - TanHip-camadas (1) e neurônios(50),0.62,0.76,0.21,0.54,0.3,0.77,0.22,0.52,0.26,0.76,0.22,0.53,0.28,0.45
MLP - Relu-camadas(3) e neurônios (50),0.61,0.75,0.23,0.52,0.34,0.76,0.22,0.51,0.29,0.75,0.22,0.51,0.31,0.45
MLP - Logistic-camadas (3) e neurônios(50),0.6,0.76,0.23,0.5,0.22,0.75,0.21,0.5,0.22,0.75,0.22,0.5,0.22,0.42
MLP - TanHip-camadas (3) e neurônios(50),0.61,0.75,0.22,0.51,0.33,0.77,0.21,0.5,0.22,0.76,0.21,0.5,0.27,0.44
MLP - Relu-camadas(6) e neurônios (50),0.61,0.75,0.25,0.5,0.31,0.76,0.22,0.45,0.26,0.75,0.24,0.48,0.28,0.44
MLP - Logistic-camadas (6) e neurônios(50),0.6,0.77,0.21,0.49,0.2,0.75,0.23,0.54,0.17,0.76,0.22,0.52,0.19,0.42
MLP - TanHip-camadas (6) e neurônios(50),0.6,0.76,0.22,0.5,0.3,0.75,0.22,0.5,0.3,0.75,0.22,0.5,0.3,0.44
MLP - Relu-camadas (1) e neurônios (100),0.62,0.74,0.22,0.52,0.3,0.78,0.17,0.47,0.25,0.76,0.19,0.49,0.27,0.43
MLP - Logistic-camadas (1) e neurônios(100),0.62,0.76,0.23,0.53,0.31,0.77,0.21,0.53,0.27,0.77,0.22,0.53,0.29,0.45
MLP - TanHip-camadas (1) e neurônios(100),0.63,0.76,0.22,0.54,0.32,0.78,0.21,0.52,0.29,0.77,0.21,0.53,0.3,0.45
MLP - Relu-camadas(3) e neurônios (100),0.62,0.76,0.22,0.5,0.31,0.77,0.21,0.55,0.22,0.76,0.22,0.52,0.26,0.44
MLP - Logistic-camadas (3) e neurônios(100),0.6,0.75,0.24,0.47,0.25,0.75,0.2,0.45,0.24,0.75,0.22,0.46,0.24,0.42
MLP - TanHip-camadas (3) e neurônios(100),0.61,0.76,0.22,0.49,0.31,0.77,0.19,0.53,0.23,0.76,0.2,0.51,0.27,0.44
MLP - Relu-camadas(6) e neurônios (100),0.62,0.76,0.23,0.51,0.31,0.77,0.19,0.47,0.34,0.76,0.21,0.49,0.32,0.45
MLP - Logistic-camadas (6) e neurônios(100),0.6,0.76,0.21,0.49,0.18,0.75,0.2,0.49,0.18,0.76,0.21,0.49,0.18,0.41
MLP - TanHip-camadas (6) e neurônios(100),0.61,0.75,0.18,0.51,0.31,0.77,0.18,0.49,0.33,0.76,0.18,0.5,0.32,0.44
MLP - Relu-camadas (1) e neurônios (150),0.62,0.76,0.21,0.53,0.35,0.77,0.2,0.52,0.32,0.76,0.2,0.53,0.33,0.46
MLP - Logistic-camadas (1) e neurônios(150);0.62;0.77;0.24;0.54;0.31;0.77;0.24;0.54;0.28;0.77;0.24;0.54;0.30;0.46
MLP - TanHip-camadas (1) e neurônios(150);0.62;0.75;0.20;0.52;0.32;0.78;0.18;0.54;0.26;0.77;0.19;0.53;0.28;0.44
MLP - Relu-camadas(3) e neurônios (150);0.61;0.76;0.24;0.50;0.31;0.76;0.23;0.51;0.26;0.76;0.23;0.50;0.28;0.44
MLP - Logistic-camadas (3) e neurônios(150);0.61;0.76;0.23;0.50;0.27;0.75;0.23;0.45;0.28;0.76;0.23;0.47;0.28;0.43
MLP - TanHip-camadas (3) e neurônios(150);0.62;0.77;0.22;0.52;0.32;0.76;0.23;0.51;0.32;0.76;0.23;0.51;0.32;0.45
MLP - Relu-camadas(6) e neurônios (150);0.63;0.77;0.23;0.50;0.35;0.78;0.22;0.48;0.34;0.78;0.22;0.49;0.35;0.46
MLP - Logistic-camadas (6) e neurônios(150);0.59;0.76;0.25;0.48;0.16;0.75;0.21;0.48;0.16;0.75;0.23;0.48;0.16;0.41
MLP - TanHip-camadas (6) e neurônios(150);0.61;0.75;0.20;0.50;0.31;0.76;0.19;0.48;0.27;0.76;0.20;0.49;0.29;0.43
