Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
Naive Bayes - alpha 1.0 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 1.0;0.51;0.85;0.28;0.28;0.14;0.57;0.46;0.35;0.29;0.68;0.35;0.31;0.19;0.38
Naive Bayes - alpha 0.9 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.9;0.51;0.85;0.28;0.27;0.14;0.57;0.45;0.35;0.29;0.68;0.35;0.31;0.19;0.38
Naive Bayes - alpha 0.8 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.8;0.51;0.85;0.28;0.27;0.14;0.57;0.45;0.35;0.29;0.68;0.35;0.30;0.19;0.38
Naive Bayes - alpha 0.7 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.7;0.51;0.85;0.29;0.27;0.14;0.58;0.46;0.35;0.29;0.69;0.35;0.30;0.19;0.38
Naive Bayes - alpha 0.6 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.6;0.52;0.85;0.29;0.27;0.15;0.58;0.45;0.34;0.29;0.69;0.35;0.30;0.20;0.38
Naive Bayes - alpha 0.5 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.5;0.52;0.85;0.29;0.26;0.15;0.58;0.45;0.34;0.29;0.69;0.35;0.30;0.20;0.38
Naive Bayes - alpha 0.4 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.4;0.52;0.85;0.29;0.27;0.15;0.59;0.45;0.34;0.29;0.69;0.35;0.30;0.20;0.39
Naive Bayes - alpha 0.3 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.3;0.52;0.85;0.29;0.27;0.15;0.59;0.45;0.34;0.29;0.70;0.35;0.30;0.20;0.39
Naive Bayes - alpha 0.2 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.2;0.53;0.85;0.29;0.27;0.16;0.59;0.45;0.35;0.29;0.70;0.35;0.30;0.21;0.39
Naive Bayes - alpha 0.1 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.1;0.53;0.85;0.29;0.27;0.16;0.60;0.45;0.35;0.29;0.70;0.35;0.30;0.21;0.39
Naive Bayes - alpha 0.0 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.20
Naive Bayes - alpha 0.0;0.53;0.85;0.29;0.27;0.17;0.60;0.45;0.35;0.31;0.70;0.35;0.31;0.21;0.39
