Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
Naive Bayes - alpha 1.0 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 1.0;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.9 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.9;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.8 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.8;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.7 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.7;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.6 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.6;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.5 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.5;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.4 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.4;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.3 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.3;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.2 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.2;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.1 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.1;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
Naive Bayes - alpha 0.0 e fit_prior;0.64;0.91;0.44;0.51;0.20;0.67;0.63;0.70;0.26;0.77;0.52;0.59;0.23;0.53
Naive Bayes - alpha 0.0;0.62;0.92;0.42;0.52;0.19;0.64;0.65;0.68;0.31;0.75;0.51;0.59;0.24;0.52
