Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
Naive Bayes - alpha 1.0 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 1.0;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.9 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.9;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.8 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.8;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.7 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.7;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.6 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.6;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.5 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.5;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.4 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.4;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.3 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.3;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.2 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.2;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.1 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.1;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
Naive Bayes - alpha 0.0 e fit_prior;0.66;0.89;0.43;0.46;0.24;0.72;0.57;0.72;0.17;0.79;0.49;0.56;0.20;0.51
Naive Bayes - alpha 0.0;0.59;0.92;0.37;0.47;0.19;0.61;0.60;0.65;0.33;0.73;0.46;0.55;0.24;0.49
