Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
SVM - kernel rbf scale e random 42;0.69;0.75;0.22;0.56;0.44;0.91;0.11;0.59;0.10;0.82;0.14;0.58;0.16;0.43
SVM - kernel rbf auto e random 42;0.70;0.74;0.18;0.57;0.41;0.95;0.04;0.62;0.04;0.83;0.07;0.59;0.08;0.39
SVM - kernel sigmoid auto e random 42;0.71;0.73;0.01;0.57;0.00;0.97;0.00;0.61;0.00;0.83;0.01;0.59;nan;nan
SVM - kernel sigmoid scale e random 42;0.70;0.78;0.40;0.55;0.41;0.88;0.24;0.64;0.10;0.83;0.30;0.59;0.16;0.47
SVM - kernel poly g2 auto e random 42;0.69;0.70;0.00;0.66;0.00;0.99;0.00;0.33;0.00;0.82;nan;0.44;nan;nan
SVM - kernel poly g2 scale e random 42;0.69;0.75;0.38;0.58;0.47;0.90;0.12;0.61;0.11;0.82;0.19;0.60;0.18;0.45
SVM - kernel poly g3 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g3 scale e random 42;0.68;0.74;0.35;0.60;0.39;0.89;0.12;0.58;0.07;0.81;0.18;0.59;0.13;0.43
SVM - kernel poly g4 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g4 scale e random 42;0.66;0.72;0.18;0.61;0.17;0.90;0.09;0.50;0.01;0.80;0.12;0.55;0.02;0.37
SVM - kernel poly g5 scale e random 42;0.65;0.70;0.15;0.62;0.00;0.90;0.07;0.38;0.00;0.79;0.10;0.47;nan;nan
SVM - kernel poly g5 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g6 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel linear e random 42;0.60;0.77;0.24;0.45;0.25;0.73;0.22;0.55;0.26;0.75;0.23;0.49;0.26;0.43
