Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
SVM - kernel rbf scale e random 42;0.69;0.76;0.26;0.54;0.44;0.90;0.10;0.64;0.11;0.82;0.15;0.58;0.17;0.43
SVM - kernel rbf auto e random 42;0.69;0.76;0.26;0.54;0.48;0.91;0.10;0.64;0.10;0.83;0.14;0.58;0.16;0.43
SVM - kernel sigmoid auto e random 42;0.70;0.76;0.32;0.54;0.44;0.91;0.09;0.67;0.11;0.83;0.14;0.60;0.18;0.44
SVM - kernel sigmoid scale e random 42;0.69;0.77;0.42;0.53;0.44;0.89;0.14;0.66;0.15;0.83;0.21;0.59;0.22;0.46
SVM - kernel poly g2 auto e random 42;0.70;0.75;0.26;0.56;0.52;0.92;0.10;0.64;0.07;0.83;0.14;0.60;0.13;0.42
SVM - kernel poly g2 scale e random 42;0.69;0.77;0.31;0.54;0.45;0.88;0.14;0.63;0.17;0.82;0.20;0.58;0.25;0.46
SVM - kernel poly g3 auto e random 42;0.70;0.74;0.26;0.58;0.02;0.94;0.06;0.58;0.00;0.83;0.10;0.58;0.01;0.38
SVM - kernel poly g3 scale e random 42;0.66;0.75;0.29;0.55;0.37;0.86;0.13;0.57;0.13;0.80;0.18;0.56;0.19;0.43
SVM - kernel poly g4 auto e random 42;0.69;0.71;0.25;0.62;0.00;0.96;0.04;0.45;0.00;0.82;0.07;0.52;nan;nan
SVM - kernel poly g4 scale e random 42;0.65;0.73;0.23;0.55;0.36;0.87;0.12;0.52;0.08;0.79;0.15;0.53;0.13;0.40
SVM - kernel poly g5 scale e random 42;0.65;0.71;0.24;0.57;0.15;0.88;0.10;0.44;0.03;0.79;0.15;0.49;0.05;0.37
SVM - kernel poly g5 auto e random 42;0.68;0.69;0.02;0.69;0.00;0.98;0.01;0.23;0.00;0.81;0.01;0.35;nan;nan
SVM - kernel poly g6 auto e random 42;0.67;0.67;0.03;0.78;0.00;1.00;0.00;0.09;0.00;0.80;0.00;0.16;nan;nan
SVM - kernel linear e random 42;0.58;0.75;0.19;0.44;0.30;0.72;0.19;0.51;0.30;0.73;0.19;0.47;0.30;0.42
