Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0270;0.8649;0.0524;0.6552;0.1845;0.8810;0.3051;0.3311;0.0150;0.8334;0.0294;0.6024;0.0268;0.8831;0.0520;0.3793;0.0633;0.8656;0.1098;0.4920
OCSVM_kernel-linear_scale_02;0.0517;0.7838;0.0970;0.8388;0.2100;0.7816;0.3309;0.4747;0.0181;0.7583;0.0354;0.7014;0.0326;0.7810;0.0626;0.5494;0.0781;0.7762;0.1315;0.6411
OCSVM_kernel-linear_scale_03;0.0772;0.6784;0.1386;0.9072;0.2288;0.6825;0.3424;0.5663;0.0188;0.6349;0.0365;0.7573;0.0367;0.6707;0.0696;0.6551;0.0904;0.6666;0.1468;0.7215
OCSVM_kernel-linear_scale_04;0.0891;0.5946;0.1549;0.9287;0.2638;0.5919;0.3643;0.6597;0.0198;0.5594;0.0383;0.7969;0.0409;0.5801;0.0763;0.7302;0.1034;0.5815;0.1585;0.7789
OCSVM_kernel-linear_scale_05;0.0986;0.4946;0.1643;0.9448;0.3032;0.4915;0.3739;0.7289;0.0222;0.4635;0.0424;0.8489;0.0430;0.4746;0.0789;0.7879;0.1168;0.4811;0.1649;0.8276
OCSVM_kernel-linear_scale_06;0.1193;0.3946;0.1832;0.9616;0.3435;0.3896;0.3637;0.7764;0.0230;0.3606;0.0433;0.8857;0.0446;0.3757;0.0797;0.8346;0.1326;0.3801;0.1675;0.8646
OCSVM_kernel-linear_scale_07;0.1660;0.2892;0.2107;0.9764;0.4236;0.2958;0.3458;0.8177;0.0204;0.2574;0.0378;0.9070;0.0518;0.2916;0.0878;0.8856;0.1654;0.2835;0.1706;0.8966
OCSVM_kernel-linear_scale_08;0.1988;0.1973;0.1972;0.9827;0.4879;0.1934;0.2720;0.8339;0.0201;0.1900;0.0364;0.9296;0.0559;0.1846;0.0857;0.9260;0.1907;0.1913;0.1478;0.9180
OCSVM_kernel-linear_scale_09;0.2626;0.0946;0.1385;0.9872;0.6086;0.1000;0.1694;0.8404;0.0172;0.0871;0.0287;0.9579;0.0584;0.0924;0.0713;0.9557;0.2367;0.0935;0.1020;0.9353
OCSVM_kernel-linear_auto_01;0.0270;0.8649;0.0524;0.6552;0.1845;0.8810;0.3051;0.3311;0.0150;0.8334;0.0294;0.6024;0.0268;0.8831;0.0520;0.3793;0.0633;0.8656;0.1098;0.4920
OCSVM_kernel-linear_auto_02;0.0517;0.7838;0.0970;0.8388;0.2100;0.7816;0.3309;0.4747;0.0181;0.7583;0.0354;0.7014;0.0326;0.7810;0.0626;0.5494;0.0781;0.7762;0.1315;0.6411
OCSVM_kernel-linear_auto_03;0.0772;0.6784;0.1386;0.9072;0.2288;0.6825;0.3424;0.5663;0.0188;0.6349;0.0365;0.7573;0.0367;0.6707;0.0696;0.6551;0.0904;0.6666;0.1468;0.7215
OCSVM_kernel-linear_auto_04;0.0891;0.5946;0.1549;0.9287;0.2638;0.5919;0.3643;0.6597;0.0198;0.5594;0.0383;0.7969;0.0409;0.5801;0.0763;0.7302;0.1034;0.5815;0.1585;0.7789
OCSVM_kernel-linear_auto_05;0.0986;0.4946;0.1643;0.9448;0.3032;0.4915;0.3739;0.7289;0.0222;0.4635;0.0424;0.8489;0.0430;0.4746;0.0789;0.7879;0.1168;0.4811;0.1649;0.8276
OCSVM_kernel-linear_auto_06;0.1193;0.3946;0.1832;0.9616;0.3435;0.3896;0.3637;0.7764;0.0230;0.3606;0.0433;0.8857;0.0446;0.3757;0.0797;0.8346;0.1326;0.3801;0.1675;0.8646
OCSVM_kernel-linear_auto_07;0.1660;0.2892;0.2107;0.9764;0.4236;0.2958;0.3458;0.8177;0.0204;0.2574;0.0378;0.9070;0.0518;0.2916;0.0878;0.8856;0.1654;0.2835;0.1706;0.8966
OCSVM_kernel-linear_auto_08;0.1988;0.1973;0.1972;0.9827;0.4879;0.1934;0.2720;0.8339;0.0201;0.1900;0.0364;0.9296;0.0559;0.1846;0.0857;0.9260;0.1907;0.1913;0.1478;0.9180
OCSVM_kernel-linear_auto_09;0.2626;0.0946;0.1385;0.9872;0.6086;0.1000;0.1694;0.8404;0.0172;0.0871;0.0287;0.9579;0.0584;0.0924;0.0713;0.9557;0.2367;0.0935;0.1020;0.9353
OCSVM_kernel-poly_2_scale_01;0.0318;0.7622;0.0610;0.7409;0.1708;0.8514;0.2845;0.2859;0.0182;0.6666;0.0354;0.7364;0.0265;0.7925;0.0513;0.4350;0.0618;0.7682;0.1081;0.549
6OCSVM_kernel-poly_2_scale_02;0.0428;0.7378;0.0809;0.8138;0.1814;0.7669;0.2934;0.3852;0.0181;0.6506;0.0352;0.7415;0.0291;0.7349;0.0560;0.5225;0.0679;0.7226;0.1164;0.6157
OCSVM_kernel-poly_2_scale_03;0.0730;0.6568;0.1314;0.9044;0.1964;0.6784;0.3044;0.4864;0.0186;0.5869;0.0361;0.7726;0.0325;0.6525;0.0620;0.6195;0.0801;0.6436;0.1335;0.6957
OCSVM_kernel-poly_2_scale_04;0.0859;0.5784;0.1495;0.9277;0.2182;0.5838;0.3173;0.5847;0.0201;0.5114;0.0388;0.8161;0.0362;0.5637;0.0680;0.7036;0.0901;0.5593;0.1434;0.7580
OCSVM_kernel-poly_2_scale_05;0.0996;0.4811;0.1649;0.9467;0.2607;0.4895;0.3395;0.6857;0.0215;0.4397;0.0409;0.8516;0.0405;0.4696;0.0746;0.7772;0.1056;0.4700;0.1550;0.8153
OCSVM_kernel-poly_2_scale_06;0.1195;0.3838;0.1822;0.9624;0.3284;0.3859;0.3532;0.7679;0.0226;0.3483;0.0425;0.8875;0.0423;0.3757;0.0760;0.8259;0.1282;0.3734;0.1635;0.8609
OCSVM_kernel-poly_2_scale_07;0.1754;0.2919;0.2188;0.9773;0.4175;0.2957;0.3437;0.8157;0.0201;0.2415;0.0371;0.9111;0.0469;0.2834;0.0804;0.8769;0.1650;0.2782;0.1700;0.8953
OCSVM_kernel-poly_2_scale_08;0.1935;0.1919;0.1920;0.9826;0.5384;0.1962;0.2842;0.8393;0.0202;0.1742;0.0361;0.9348;0.0519;0.1831;0.0807;0.9215;0.2010;0.1863;0.1483;0.9196
