Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0350;0.6811;0.0666;0.7894;0.1380;0.7243;0.2319;0.2002;0.0183;0.4732;0.0353;0.8127;0.0316;0.6954;0.0604;0.5830;0.0557;0.6435;0.0985;0.5963
OCSVM_kernel-linear_scale_02;0.0401;0.6189;0.0754;0.8329;0.1363;0.6905;0.2276;0.2188;0.0183;0.4612;0.0352;0.8168;0.0326;0.6493;0.0621;0.6233;0.0568;0.6050;0.1001;0.6230
OCSVM_kernel-linear_scale_03;0.0418;0.5405;0.0776;0.8586;0.1352;0.6361;0.2230;0.2617;0.0175;0.4094;0.0336;0.8291;0.0360;0.6014;0.0680;0.6832;0.0576;0.5469;0.1005;0.6582
OCSVM_kernel-linear_scale_04;0.0458;0.4919;0.0837;0.8821;0.1324;0.5634;0.2144;0.3126;0.0171;0.3577;0.0327;0.8463;0.0397;0.5272;0.0738;0.7463;0.0587;0.4851;0.1012;0.6968
OCSVM_kernel-linear_scale_05;0.0521;0.4162;0.0925;0.9110;0.1262;0.4700;0.1989;0.3707;0.0178;0.3143;0.0337;0.8697;0.0439;0.4331;0.0798;0.8089;0.0600;0.4084;0.1012;0.7401
OCSVM_kernel-linear_scale_06;0.0578;0.3297;0.0983;0.9339;0.1157;0.3705;0.1763;0.4254;0.0194;0.2783;0.0363;0.8937;0.0479;0.3426;0.0840;0.8591;0.0602;0.3303;0.0987;0.7780
OCSVM_kernel-linear_scale_07;0.0639;0.2676;0.1032;0.9493;0.1069;0.2828;0.1551;0.4898;0.0175;0.1954;0.0321;0.9162;0.0503;0.2455;0.0834;0.8994;0.0597;0.2478;0.0934;0.8137
OCSVM_kernel-linear_scale_08;0.0838;0.1757;0.1134;0.9701;0.0960;0.1861;0.1266;0.5759;0.0161;0.1318;0.0288;0.9372;0.0507;0.1632;0.0773;0.9271;0.0617;0.1642;0.0865;0.8526
OCSVM_kernel-linear_scale_09;0.1096;0.0919;0.0992;0.9822;0.0788;0.0939;0.0856;0.6703;0.0152;0.0680;0.0248;0.9634;0.0550;0.0758;0.0636;0.9585;0.0646;0.0824;0.0683;0.8936
OCSVM_kernel-linear_auto_01;0.0350;0.6811;0.0666;0.7894;0.1380;0.7243;0.2319;0.2002;0.0183;0.4732;0.0353;0.8127;0.0316;0.6954;0.0604;0.5830;0.0557;0.6435;0.0985;0.5963
