Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0290;0.7838;0.0560;0.7082;0.1367;0.7304;0.2302;0.1861;0.0186;0.6594;0.0362;0.7449;0.0301;0.7746;0.0580;0.5155;0.0536;0.7370;0.0951;0.5387
OCSVM_kernel-linear_scale_02;0.0346;0.7135;0.0660;0.7781;0.1356;0.6995;0.2272;0.2070;0.0181;0.6115;0.0352;0.7567;0.0318;0.7202;0.0609;0.5721;0.0550;0.6862;0.0973;0.5785
OCSVM_kernel-linear_scale_03;0.0378;0.6162;0.0713;0.8233;0.1352;0.6450;0.2236;0.2536;0.0175;0.5282;0.0339;0.7813;0.0341;0.6312;0.0648;0.6497;0.0562;0.6051;0.0984;0.6270
OCSVM_kernel-linear_scale_04;0.0397;0.5297;0.0739;0.8542;0.1336;0.5772;0.2169;0.3061;0.0180;0.4766;0.0348;0.8079;0.0386;0.5635;0.0723;0.7224;0.0575;0.5368;0.0995;0.6727
OCSVM_kernel-linear_scale_05;0.0466;0.4622;0.0846;0.8907;0.1283;0.4826;0.2027;0.3688;0.0173;0.3854;0.0332;0.8371;0.0429;0.4563;0.0784;0.7950;0.0588;0.4466;0.0997;0.7229
OCSVM_kernel-linear_scale_06;0.0515;0.3595;0.0901;0.9205;0.1169;0.3803;0.1787;0.4204;0.0174;0.3143;0.0330;0.8673;0.0465;0.3558;0.0823;0.8501;0.0581;0.3525;0.0960;0.7646
OCSVM_kernel-linear_scale_07;0.0619;0.2811;0.1014;0.9456;0.1073;0.2893;0.1565;0.4845;0.0174;0.2391;0.0324;0.8983;0.0515;0.2652;0.0862;0.8951;0.0595;0.2687;0.0941;0.8059
OCSVM_kernel-linear_scale_08;0.0759;0.1919;0.1086;0.9658;0.0974;0.1954;0.1299;0.5683;0.0179;0.1715;0.0324;0.9274;0.0511;0.1714;0.0786;0.9250;0.0606;0.1826;0.0874;0.8466
OCSVM_kernel-linear_scale_09;0.0856;0.0946;0.0895;0.9792;0.0778;0.0955;0.0856;0.6649;0.0162;0.0880;0.0274;0.9570;0.0548;0.0840;0.0661;0.9563;0.0586;0.0905;0.0672;0.8893
OCSVM_kernel-linear_auto_01;0.0290;0.7838;0.0560;0.7082;0.1367;0.7304;0.2302;0.1861;0.0186;0.6594;0.0362;0.7449;0.0301;0.7746;0.0580;0.5155;0.0536;0.7370;0.0951;0.5387
OCSVM_kernel-linear_auto_02;0.0346;0.7135;0.0660;0.7781;0.1356;0.6995;0.2272;0.2070;0.0181;0.6115;0.0352;0.7567;0.0318;0.7202;0.0609;0.5721;0.0550;0.6862;0.0973;0.5785
OCSVM_kernel-linear_auto_03;0.0378;0.6162;0.0713;0.8233;0.1352;0.6450;0.2236;0.2536;0.0175;0.5282;0.0339;0.7813;0.0341;0.6312;0.0648;0.6497;0.0562;0.6051;0.0984;0.6270
OCSVM_kernel-linear_auto_04;0.0397;0.5297;0.0739;0.8542;0.1336;0.5772;0.2169;0.3061;0.0180;0.4766;0.0348;0.8079;0.0386;0.5635;0.0723;0.7224;0.0575;0.5368;0.0995;0.6727
OCSVM_kernel-linear_auto_05;0.0466;0.4622;0.0846;0.8907;0.1283;0.4826;0.2027;0.3688;0.0173;0.3854;0.0332;0.8371;0.0429;0.4563;0.0784;0.7950;0.0588;0.4466;0.0997;0.7229
OCSVM_kernel-linear_auto_06;0.0515;0.3595;0.0901;0.9205;0.1169;0.3803;0.1787;0.4204;0.0174;0.3143;0.0330;0.8673;0.0465;0.3558;0.0823;0.8501;0.0581;0.3525;0.0960;0.7646
OCSVM_kernel-linear_auto_07;0.0619;0.2811;0.1014;0.9456;0.1073;0.2893;0.1565;0.4845;0.0174;0.2391;0.0324;0.8983;0.0515;0.2652;0.0862;0.8951;0.0595;0.2687;0.0941;0.8059
OCSVM_kernel-linear_auto_08;0.0759;0.1919;0.1086;0.9658;0.0974;0.1954;0.1299;0.5683;0.0179;0.1715;0.0324;0.9274;0.0511;0.1714;0.0786;0.9250;0.0606;0.1826;0.0874;0.8466
OCSVM_kernel-linear_auto_09;0.0856;0.0946;0.0895;0.9792;0.0778;0.0955;0.0856;0.6649;0.0162;0.0880;0.0274;0.9570;0.0548;0.0840;0.0661;0.9563;0.0586;0.0905;0.0672;0.8893
OCSVM_kernel-poly_2_scale_01;0.0504;0.4865;0.0913;0.8931;0.1385;0.7031;0.2314;0.2217;0.0187;0.2429;0.0348;0.9017;0.0366;0.5439;0.0686;0.7169;0.0611;0.4941;0.1065;0.6833
OCSVM_kernel-poly_2_scale_02;0.0576;0.4297;0.1016;0.9168;0.1372;0.6605;0.2272;0.2514;0.0195;0.2349;0.0360;0.9081;0.0401;0.5175;0.0744;0.7530;0.0636;0.4607;0.1098;0.7073
OCSVM_kernel-poly_2_scale_03;0.0621;0.3730;0.1065;0.9314;0.1370;0.6093;0.2237;0.2958;0.0200;0.2152;0.0367;0.9180;0.0408;0.4464;0.0747;0.7886;0.0650;0.4110;0.1104;0.7334
OCSVM_kernel-poly_2_scale_04;0.0648;0.3297;0.1083;0.9406;0.1302;0.5252;0.2086;0.3366;0.0196;0.1874;0.0354;0.9263;0.0436;0.3821;0.0783;0.8298;0.0645;0.3561;0.1077;0.7583
OCSVM_kernel-poly_2_scale_05;0.0651;0.2757;0.1053;0.9487;0.1205;0.4355;0.1887;0.3776;0.0181;0.1515;0.0323;0.9348;0.0487;0.3196;0.0844;0.8702;0.0631;0.2956;0.1027;0.7828
OCSVM_kernel-poly_2_scale_06;0.0665;0.2324;0.1034;0.9560;0.1093;0.3404;0.1654;0.4299;0.0161;0.1158;0.0283;0.9430;0.0496;0.2439;0.0823;0.8982;0.0604;0.2331;0.0948;0.8068
OCSVM_kernel-poly_2_scale_07;0.0762;0.1973;0.1099;0.9652;0.1001;0.2612;0.1446;0.4890;0.0163;0.0918;0.0277;0.9543;0.0483;0.1730;0.0754;0.9215;0.0602;0.1808;0.0894;0.8325
OCSVM_kernel-poly_2_scale_08;0.0802;0.1324;0.0997;0.9741;0.0858;0.1694;0.1139;0.5646;0.0147;0.0600;0.0236;0.9655;0.0494;0.1055;0.0671;0.9456;0.0575;0.1168;0.0761;0.8625
OCSVM_kernel-poly_2_scale_09;0.0952;0.0622;0.0749;0.9835;0.0679;0.0825;0.0744;0.6629;0.0123;0.0280;0.0171;0.9784;0.0576;0.0576;0.0575;0.9644;0.0583;0.0576;0.0560;0.8973
OCSVM_kernel-poly_2_auto_01;0.0146;0.9297;0.0285;0.2368;0.1101;0.4608;0.1777;0.3591;0.0000;0.0000;0.0000;0.9921;0.0282;0.7858;0.0544;0.4730;0.0382;0.5441;0.0652;0.5153
OCSVM_kernel-poly_2_auto_02;0.0289;0.6757;0.0514;0.6964;0.0832;0.2297;0.1198;0.5218;0.0137;0.0400;0.0204;0.9744;0.0273;0.8669;0.0526;0.3729;0.0383;0.4531;0.0610;0.6414
OCSVM_kernel-poly_2_auto_03;0.0683;0.0189;0.0296;0.9864;0.1134;0.4227;0.1780;0.3552;0.0139;0.2920;0.0258;0.8741;0.0303;0.7233;0.0581;0.5442;0.0565;0.3642;0.0729;0.6900
OCSVM_kernel-poly_2_auto_04;0.0338;0.6324;0.0631;0.7397;0.1001;0.4226;0.1574;0.3691;0.0167;0.1763;0.0288;0.9428;0.0404;0.1465;0.0628;0.9209;0.0477;0.3445;0.0780;0.7431
OCSVM_kernel-poly_2_auto_05;0.0459;0.4432;0.0819;0.8795;0.0197;0.0879;0.0322;0.7122;0.0158;0.1920;0.0286;0.9158;0.0000;0.0000;0.0000;0.9796;0.0203;0.1808;0.0357;0.8718
OCSVM_kernel-poly_2_auto_06;0.0273;0.7459;0.0519;0.6195;0.0633;0.1840;0.0922;0.5618;0.0169;0.4202;0.0320;0.8220;0.0378;0.3413;0.0595;0.8061;0.0363;0.4229;0.0589;0.7023
OCSVM_kernel-poly_2_auto_07;0.0385;0.5054;0.0711;0.8461;0.1160;0.4872;0.1833;0.3298;0.0158;0.3412;0.0287;0.8154;0.0309;0.6436;0.0568;0.5656;0.0503;0.4944;0.0850;0.6392
OCSVM_kernel-poly_2_auto_08;0.0518;0.3730;0.0886;0.9098;0.0921;0.2905;0.1384;0.4275;0.0174;0.3335;0.0279;0.8401;0.0471;0.2151;0.0723;0.8889;0.0521;0.3030;0.0818;0.7666
OCSVM_kernel-poly_2_auto_09;0.0695;0.0730;0.0237;0.9637;0.0610;0.1439;0.0782;0.6264;0.0142;0.1877;0.0263;0.9129;0.0496;0.2801;0.0842;0.8831;0.0486;0.1712;0.0531;0.8465
OCSVM_kernel-poly_3_scale_01;0.0807;0.2270;0.1191;0.9631;0.1410;0.6686;0.2329;0.2669;0.0095;0.0400;0.0153;0.9638;0.0446;0.2768;0.0767;0.8737;0.0689;0.3031;0.1110;0.7669
OCSVM_kernel-poly_3_scale_02;0.0820;0.1784;0.1122;0.9693;0.1403;0.6065;0.2279;0.3160;0.0096;0.0320;0.0147;0.9707;0.0463;0.2439;0.0778;0.8906;0.0696;0.2652;0.1082;0.7867
OCSVM_kernel-poly_3_scale_03;0.0890;0.1514;0.1120;0.9739;0.1327;0.5204;0.2115;0.3545;0.0121;0.0320;0.0175;0.9755;0.0444;0.1961;0.0723;0.9056;0.0695;0.2250;0.1033;0.8024
OCSVM_kernel-poly_3_scale_04;0.0923;0.1243;0.1056;0.9774;0.1199;0.4188;0.1864;0.3922;0.0112;0.0240;0.0153;0.9785;0.0405;0.1336;0.0620;0.9245;0.0660;0.1752;0.0923;0.8182
OCSVM_kernel-poly_3_scale_05;0.0977;0.1054;0.1010;0.9798;0.1099;0.3392;0.1660;0.4340;0.0118;0.0200;0.0148;0.9809;0.0456;0.1122;0.0647;0.9391;0.0663;0.1442;0.0866;0.8335
OCSVM_kernel-poly_3_scale_06;0.0937;0.0757;0.0836;0.9819;0.1010;0.2649;0.1462;0.4874;0.0073;0.0120;0.0091;0.9816;0.0382;0.0725;0.0499;0.9488;0.0601;0.1063;0.0722;0.8499
OCSVM_kernel-poly_3_scale_07;0.0866;0.0622;0.0722;0.9828;0.0871;0.1873;0.1188;0.5394;0.0061;0.0080;0.0069;0.9832;0.0370;0.0478;0.0417;0.9586;0.0542;0.0763;0.0599;0.8660
OCSVM_kernel-poly_3_scale_08;0.0755;0.0351;0.0478;0.9848;0.0700;0.1052;0.0841;0.6204;0.0099;0.0080;0.0088;0.9863;0.0268;0.0214;0.0238;0.9668;0.0456;0.0424;0.0411;0.8896
OCSVM_kernel-poly_3_scale_09;0.0532;0.0135;0.0213;0.9867;0.0383;0.0301;0.0336;0.7145;0.0000;0.0000;0.0000;0.9900;0.0118;0.0033;0.0051;0.9750;0.0258;0.0117;0.0150;0.9165
OCSVM_kernel-poly_3_auto_01;0.0170;0.8757;0.0331;0.4049;0.1015;0.4351;0.1646;0.3365;0.0000;0.0000;0.0000;0.9926;0.0366;0.5350;0.0686;0.7203;0.0388;0.4615;0.0666;0.6136
OCSVM_kernel-poly_3_auto_02;0.0394;0.4784;0.0675;0.8569;0.0765;0.2341;0.1153;0.5037;0.0000;0.0000;0.0000;0.9913;0.0291;0.8174;0.0560;0.4565;0.0363;0.3825;0.0597;0.7021
OCSVM_kernel-poly_3_auto_03;0.0000;0.0000;0.0000;0.9884;0.0656;0.1934;0.0899;0.5439;0.0169;0.1640;0.0299;0.9385;0.0399;0.5310;0.0740;0.7399;0.0306;0.2221;0.0484;0.8027
OCSVM_kernel-poly_3_auto_04;0.0531;0.4432;0.0852;0.8501;0.0922;0.3998;0.1459;0.3672;0.0124;0.1605;0.0230;0.9546;0.0194;0.0345;0.0238;0.9567;0.0443;0.2595;0.0694;0.7821
OCSVM_kernel-poly_3_auto_05;0.0617;0.2027;0.0945;0.9574;0.0192;0.0879;0.0315;0.7074;0.0160;0.0720;0.0237;0.9699;0.0000;0.0000;0.0000;0.9797;0.0242;0.0906;0.0374;0.9036
OCSVM_kernel-poly_3_auto_06;0.0350;0.6459;0.0652;0.7542;0.0574;0.1795;0.0863;0.5513;0.0135;0.2855;0.0223;0.8666;0.0257;0.3445;0.0452;0.7855;0.0329;0.3639;0.0547;0.7394
OCSVM_kernel-poly_3_auto_07;0.0404;0.4378;0.0739;0.8782;0.1039;0.4112;0.1652;0.3205;0.0112;0.2255;0.0184;0.8738;0.0273;0.5560;0.0497;0.6373;0.0457;0.4077;0.0768;0.6774
