Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0239;0.8757;0.0465;0.6036;0.1802;0.8843;0.2994;0.3105;0.0129;0.8057;0.0254;0.5506;0.0268;0.8749;0.0519;0.3838;0.0609;0.8601;0.1058;0.4621
OCSVM_kernel-linear_scale_02;0.0325;0.7811;0.0624;0.7415;0.1940;0.7840;0.3109;0.4230;0.0134;0.7340;0.0264;0.6076;0.0309;0.7729;0.0594;0.5281;0.0677;0.7680;0.1148;0.5751
OCSVM_kernel-linear_scale_03;0.0432;0.6919;0.0813;0.8280;0.2218;0.6902;0.3355;0.5476;0.0156;0.6674;0.0304;0.6915;0.0345;0.6772;0.0656;0.6285;0.0788;0.6817;0.1282;0.6739
OCSVM_kernel-linear_scale_04;0.0587;0.5892;0.1068;0.8917;0.2486;0.5878;0.3488;0.6385;0.0177;0.5680;0.0343;0.7687;0.0383;0.5768;0.0719;0.7143;0.0908;0.5805;0.1405;0.7533
OCSVM_kernel-linear_scale_05;0.0689;0.4730;0.1202;0.9241;0.2788;0.4887;0.3540;0.7075;0.0187;0.4566;0.0360;0.8236;0.0421;0.4814;0.0774;0.7806;0.1021;0.4749;0.1469;0.8089
OCSVM_kernel-linear_scale_06;0.0781;0.3946;0.1303;0.9423;0.3361;0.3912;0.3595;0.7729;0.0211;0.3651;0.0398;0.8731;0.0454;0.3858;0.0812;0.8336;0.1202;0.3842;0.1527;0.8555
OCSVM_kernel-linear_scale_07;0.1014;0.2973;0.1512;0.9635;0.4037;0.2945;0.3378;0.8124;0.0206;0.2697;0.0383;0.9023;0.0488;0.2853;0.0834;0.8805;0.1436;0.2867;0.1526;0.8897
OCSVM_kernel-linear_scale_08;0.1499;0.1919;0.1682;0.9792;0.4706;0.1954;0.2730;0.8311;0.0177;0.1623;0.0320;0.9303;0.0479;0.1831;0.0759;0.9159;0.1715;0.1832;0.1373;0.9141
OCSVM_kernel-linear_scale_09;0.3917;0.1027;0.1618;0.9884;0.5177;0.0995;0.1652;0.8362;0.0178;0.0874;0.0295;0.9588;0.0423;0.0891;0.0573;0.9443;0.2424;0.0947;0.1035;0.9319
OCSVM_kernel-linear_auto_01;0.0239;0.8757;0.0465;0.6036;0.1802;0.8843;0.2994;0.3105;0.0129;0.8057;0.0254;0.5506;0.0268;0.8749;0.0519;0.3838;0.0609;0.8601;0.1058;0.4621
OCSVM_kernel-linear_auto_02;0.0325;0.7811;0.0624;0.7415;0.1940;0.7840;0.3109;0.4230;0.0134;0.7340;0.0264;0.6076;0.0309;0.7729;0.0594;0.5281;0.0677;0.7680;0.1148;0.5751
OCSVM_kernel-linear_auto_03;0.0432;0.6919;0.0813;0.8280;0.2218;0.6902;0.3355;0.5476;0.0156;0.6674;0.0304;0.6915;0.0345;0.6772;0.0656;0.6285;0.0788;0.6817;0.1282;0.6739
OCSVM_kernel-linear_auto_04;0.0587;0.5892;0.1068;0.8917;0.2486;0.5878;0.3488;0.6385;0.0177;0.5680;0.0343;0.7687;0.0383;0.5768;0.0719;0.7143;0.0908;0.5805;0.1405;0.7533
OCSVM_kernel-linear_auto_05;0.0689;0.4730;0.1202;0.9241;0.2788;0.4887;0.3540;0.7075;0.0187;0.4566;0.0360;0.8236;0.0421;0.4814;0.0774;0.7806;0.1021;0.4749;0.1469;0.8089
OCSVM_kernel-linear_auto_06;0.0781;0.3946;0.1303;0.9423;0.3361;0.3912;0.3595;0.7729;0.0211;0.3651;0.0398;0.8731;0.0454;0.3858;0.0812;0.8336;0.1202;0.3842;0.1527;0.8555
