Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0257;0.8622;0.0499;0.6367;0.1813;0.8839;0.3009;0.3156;0.0200;0.8178;0.0391;0.7086;0.0269;0.8784;0.0521;0.3841;0.0635;0.8606;0.1105;0.5112
OCSVM_kernel-linear_scale_02;0.0450;0.7865;0.0851;0.8140;0.1953;0.7779;0.3121;0.4319;0.0217;0.7505;0.0421;0.7522;0.0318;0.7747;0.0610;0.5408;0.0734;0.7724;0.1251;0.6347
OCSVM_kernel-linear_scale_03;0.0590;0.6757;0.1084;0.8778;0.2139;0.6841;0.3257;0.5322;0.0232;0.6475;0.0447;0.7998;0.0352;0.6760;0.0670;0.6381;0.0828;0.6708;0.1365;0.7119
OCSVM_kernel-linear_scale_04;0.0719;0.5784;0.1279;0.9135;0.2337;0.5903;0.3343;0.6133;0.0234;0.5563;0.0448;0.8289;0.0383;0.5675;0.0718;0.7192;0.0918;0.5731;0.1447;0.7687
OCSVM_kernel-linear_scale_05;0.0874;0.4838;0.1479;0.9392;0.2656;0.4899;0.3436;0.6933;0.0249;0.4766;0.0473;0.8616;0.0421;0.4687;0.0772;0.7866;0.1050;0.4798;0.1540;0.8202
OCSVM_kernel-linear_scale_06;0.1134;0.3919;0.1755;0.9603;0.2954;0.3904;0.3349;0.7474;0.0249;0.3691;0.0466;0.8906;0.0450;0.3698;0.0802;0.8391;0.1197;0.3803;0.1593;0.8593
OCSVM_kernel-linear_scale_07;0.1330;0.2919;0.1824;0.9718;0.3348;0.2937;0.3100;0.7896;0.0218;0.2618;0.0402;0.9100;0.0461;0.2675;0.0786;0.8821;0.1339;0.2788;0.1528;0.8884
OCSVM_kernel-linear_scale_08;0.1605;0.2027;0.1783;0.9802;0.3592;0.1966;0.2513;0.8117;0.0210;0.1785;0.0376;0.9348;0.0496;0.1801;0.0777;0.9207;0.1476;0.1895;0.1362;0.9118
OCSVM_kernel-linear_scale_09;0.2048;0.0973;0.1314;0.9862;0.4257;0.1004;0.1592;0.8307;0.0175;0.0751;0.0284;0.9639;0.0476;0.0811;0.0599;0.9520;0.1739;0.0884;0.0947;0.9332
OCSVM_kernel-linear_auto_01;0.0257;0.8622;0.0499;0.6367;0.1813;0.8839;0.3009;0.3156;0.0200;0.8178;0.0391;0.7086;0.0269;0.8784;0.0521;0.3841;0.0635;0.8606;0.1105;0.5112
