Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0328;0.7243;0.0628;0.7615;0.1405;0.7425;0.2363;0.2000;0.0178;0.5163;0.0344;0.7898;0.0308;0.7202;0.0590;0.5579;0.0555;0.6758;0.0981;0.5773
OCSVM_kernel-linear_scale_02;0.0360;0.6541;0.0682;0.8033;0.1395;0.7080;0.2331;0.2233;0.0177;0.5042;0.0342;0.7930;0.0316;0.6658;0.0602;0.6011;0.0562;0.6330;0.0989;0.6052
OCSVM_kernel-linear_scale_03;0.0386;0.5757;0.0724;0.8380;0.1377;0.6487;0.2272;0.2649;0.0170;0.4606;0.0328;0.8024;0.0349;0.6213;0.0661;0.6628;0.0571;0.5766;0.0996;0.6420
OCSVM_kernel-linear_scale_04;0.0418;0.5054;0.0771;0.8673;0.1337;0.5703;0.2166;0.3130;0.0171;0.4208;0.0329;0.8206;0.0375;0.5289;0.0700;0.7304;0.0575;0.5063;0.0992;0.6828
OCSVM_kernel-linear_scale_05;0.0470;0.4162;0.0845;0.9011;0.1269;0.4741;0.2001;0.3695;0.0174;0.3615;0.0332;0.8472;0.0393;0.4465;0.0723;0.7808;0.0577;0.4246;0.0975;0.7246
OCSVM_kernel-linear_scale_06;0.0482;0.3351;0.0843;0.9203;0.1141;0.3709;0.1744;0.4167;0.0178;0.2946;0.0337;0.8782;0.0450;0.3692;0.0801;0.8392;0.0563;0.3424;0.0931;0.7636
OCSVM_kernel-linear_scale_07;0.0500;0.2622;0.0839;0.9374;0.1044;0.2844;0.1526;0.4759;0.0186;0.2231;0.0344;0.9111;0.0447;0.2521;0.0759;0.8838;0.0544;0.2554;0.0867;0.8021
OCSVM_kernel-linear_scale_08;0.0577;0.1757;0.0869;0.9598;0.0909;0.1889;0.1227;0.5531;0.0158;0.1358;0.0283;0.9340;0.0459;0.1745;0.0726;0.9154;0.0526;0.1687;0.0776;0.8406
OCSVM_kernel-linear_scale_09;0.0575;0.0946;0.0713;0.9735;0.0779;0.0959;0.0858;0.6648;0.0148;0.0800;0.0249;0.9572;0.0541;0.0939;0.0684;0.9529;0.0511;0.0911;0.0626;0.8871
OCSVM_kernel-linear_auto_01;0.0328;0.7243;0.0628;0.7615;0.1405;0.7425;0.2363;0.2000;0.0178;0.5163;0.0344;0.7898;0.0308;0.7202;0.0590;0.5579;0.0555;0.6758;0.0981;0.5773
OCSVM_kernel-linear_auto_02;0.0360;0.6541;0.0682;0.8033;0.1395;0.7080;0.2331;0.2233;0.0177;0.5042;0.0342;0.7930;0.0316;0.6658;0.0602;0.6011;0.0562;0.6330;0.0989;0.6052
OCSVM_kernel-linear_auto_03;0.0386;0.5757;0.0724;0.8380;0.1377;0.6487;0.2272;0.2649;0.0170;0.4606;0.0328;0.8024;0.0349;0.6213;0.0661;0.6628;0.0571;0.5766;0.0996;0.6420
OCSVM_kernel-linear_auto_04;0.0418;0.5054;0.0771;0.8673;0.1337;0.5703;0.2166;0.3130;0.0171;0.4208;0.0329;0.8206;0.0375;0.5289;0.0700;0.7304;0.0575;0.5063;0.0992;0.6828
OCSVM_kernel-linear_auto_05;0.0470;0.4162;0.0845;0.9011;0.1269;0.4741;0.2001;0.3695;0.0174;0.3615;0.0332;0.8472;0.0393;0.4465;0.0723;0.7808;0.0577;0.4246;0.0975;0.7246
OCSVM_kernel-linear_auto_06;0.0482;0.3351;0.0843;0.9203;0.1141;0.3709;0.1744;0.4167;0.0178;0.2946;0.0337;0.8782;0.0450;0.3692;0.0801;0.8392;0.0563;0.3424;0.0931;0.7636
