Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0427;0.5351;0.0791;0.8629;0.1557;0.7141;0.2556;0.3069;0.0158;0.2938;0.0301;0.8625;0.0255;0.5572;0.0487;0.5813;0.0599;0.5251;0.1034;0.6534
OCSVM_kernel-linear_scale_02;0.0428;0.5324;0.0792;0.8637;0.1563;0.6979;0.2554;0.3225;0.0159;0.2938;0.0301;0.8627;0.0257;0.5556;0.0491;0.5864;0.0602;0.5199;0.1034;0.6588
OCSVM_kernel-linear_scale_03;0.0458;0.5189;0.0842;0.8760;0.1641;0.6378;0.2609;0.3995;0.0157;0.2898;0.0298;0.8626;0.0263;0.5260;0.0502;0.6176;0.0630;0.4931;0.1063;0.6889
OCSVM_kernel-linear_scale_04;0.0489;0.4784;0.0887;0.8918;0.1771;0.5399;0.2666;0.5070;0.0155;0.2740;0.0293;0.8684;0.0259;0.4533;0.0489;0.6620;0.0668;0.4364;0.1084;0.7323
OCSVM_kernel-linear_scale_05;0.0525;0.4108;0.0930;0.9122;0.1934;0.4574;0.2715;0.5946;0.0159;0.2580;0.0300;0.8785;0.0255;0.3726;0.0478;0.7168;0.0718;0.3747;0.1106;0.7755
OCSVM_kernel-linear_scale_06;0.0616;0.3405;0.1043;0.9356;0.2210;0.3685;0.2754;0.6825;0.0153;0.2143;0.0285;0.8941;0.0250;0.2952;0.0461;0.7678;0.0807;0.3046;0.1136;0.8200
OCSVM_kernel-linear_scale_07;0.1060;0.2622;0.1499;0.9677;0.2890;0.2803;0.2819;0.7695;0.0148;0.1669;0.0271;0.9138;0.0247;0.2243;0.0445;0.8172;0.1086;0.2334;0.1258;0.8670
OCSVM_kernel-linear_scale_08;0.1613;0.1757;0.1676;0.9811;0.4382;0.1889;0.2590;0.8280;0.0155;0.1272;0.0275;0.9351;0.0223;0.1469;0.0386;0.8618;0.1593;0.1597;0.1232;0.9015
OCSVM_kernel-linear_scale_09;0.2472;0.0811;0.1212;0.9873;0.7026;0.1048;0.1783;0.8444;0.0202;0.0714;0.0314;0.9685;0.0167;0.0643;0.0265;0.9091;0.2467;0.0804;0.0893;0.9274
OCSVM_kernel-linear_auto_01;0.0427;0.5351;0.0791;0.8629;0.1557;0.7141;0.2556;0.3069;0.0158;0.2938;0.0301;0.8625;0.0255;0.5572;0.0487;0.5813;0.0599;0.5251;0.1034;0.6534
OCSVM_kernel-linear_auto_02;0.0428;0.5324;0.0792;0.8637;0.1563;0.6979;0.2554;0.3225;0.0159;0.2938;0.0301;0.8627;0.0257;0.5556;0.0491;0.5864;0.0602;0.5199;0.1034;0.6588
OCSVM_kernel-linear_auto_03;0.0458;0.5189;0.0842;0.8760;0.1641;0.6378;0.2609;0.3995;0.0157;0.2898;0.0298;0.8626;0.0263;0.5260;0.0502;0.6176;0.0630;0.4931;0.1063;0.6889
OCSVM_kernel-linear_auto_04;0.0489;0.4784;0.0887;0.8918;0.1771;0.5399;0.2666;0.5070;0.0155;0.2740;0.0293;0.8684;0.0259;0.4533;0.0489;0.6620;0.0668;0.4364;0.1084;0.7323
OCSVM_kernel-linear_auto_05;0.0525;0.4108;0.0930;0.9122;0.1934;0.4574;0.2715;0.5946;0.0159;0.2580;0.0300;0.8785;0.0255;0.3726;0.0478;0.7168;0.0718;0.3747;0.1106;0.7755
OCSVM_kernel-linear_auto_06;0.0616;0.3405;0.1043;0.9356;0.2210;0.3685;0.2754;0.6825;0.0153;0.2143;0.0285;0.8941;0.0250;0.2952;0.0461;0.7678;0.0807;0.3046;0.1136;0.8200
OCSVM_kernel-linear_auto_07;0.1060;0.2622;0.1499;0.9677;0.2890;0.2803;0.2819;0.7695;0.0148;0.1669;0.0271;0.9138;0.0247;0.2243;0.0445;0.8172;0.1086;0.2334;0.1258;0.8670
OCSVM_kernel-linear_auto_08;0.1613;0.1757;0.1676;0.9811;0.4382;0.1889;0.2590;0.8280;0.0155;0.1272;0.0275;0.9351;0.0223;0.1469;0.0386;0.8618;0.1593;0.1597;0.1232;0.9015
OCSVM_kernel-linear_auto_09;0.2472;0.0811;0.1212;0.9873;0.7026;0.1048;0.1783;0.8444;0.0202;0.0714;0.0314;0.9685;0.0167;0.0643;0.0265;0.9091;0.2467;0.0804;0.0893;0.9274
OCSVM_kernel-poly_2_scale_01;0.0708;0.0946;0.0801;0.9758;0.2860;0.3697;0.3212;0.7443;0.0071;0.0080;0.0074;0.9834;0.0055;0.0445;0.0097;0.8254;0.0923;0.1292;0.1046;0.8822
OCSVM_kernel-poly_2_scale_02;0.0755;0.0973;0.0836;0.9765;0.2825;0.3709;0.3188;0.7419;0.0072;0.0080;0.0076;0.9833;0.0058;0.0445;0.0103;0.8333;0.0928;0.1302;0.1051;0.8837
OCSVM_kernel-poly_2_scale_03;0.0803;0.0919;0.0839;0.9776;0.2774;0.3692;0.3149;0.7377;0.0087;0.0080;0.0082;0.9839;0.0057;0.0445;0.0101;0.8304;0.0930;0.1284;0.1043;0.8824
OCSVM_kernel-poly_2_scale_04;0.0783;0.0946;0.0849;0.9778;0.2804;0.3701;0.3177;0.7406;0.0069;0.0080;0.0074;0.9834;0.0060;0.0445;0.0106;0.8392;0.0929;0.1293;0.1052;0.8853
OCSVM_kernel-poly_2_scale_05;0.0721;0.0946;0.0807;0.9765;0.3226;0.3554;0.3358;0.7716;0.0065;0.0080;0.0071;0.9838;0.0055;0.0445;0.0098;0.8257;0.1017;0.1256;0.1084;0.8894
OCSVM_kernel-poly_2_scale_06;0.0755;0.0919;0.0818;0.9771;0.4201;0.3254;0.3628;0.8156;0.0082;0.0080;0.0081;0.9852;0.0058;0.0445;0.0103;0.8336;0.1274;0.1174;0.1157;0.9029
OCSVM_kernel-poly_2_scale_07;0.0863;0.0919;0.0878;0.9794;0.5929;0.2689;0.3635;0.8494;0.0090;0.0080;0.0084;0.9849;0.0060;0.0428;0.0105;0.8448;0.1736;0.1029;0.1176;0.9146
OCSVM_kernel-poly_2_scale_08;0.1519;0.0865;0.1090;0.9847;0.7276;0.1869;0.2927;0.8539;0.0086;0.0080;0.0083;0.9856;0.0062;0.0363;0.0106;0.8688;0.2236;0.0794;0.1051;0.9233
OCSVM_kernel-poly_2_scale_09;0.2018;0.0514;0.0810;0.9876;0.8435;0.0955;0.1690;0.8461;0.0200;0.0080;0.0114;0.9890;0.0059;0.0263;0.0096;0.8958;0.2678;0.0453;0.0678;0.9296
OCSVM_kernel-poly_2_auto_01;0.1377;0.1865;0.1564;0.9787;0.6754;0.1059;0.1616;0.8401;0.0000;0.0000;0.0000;0.9927;0.0012;0.0033;0.0018;0.9316;0.2036;0.0739;0.0799;0.9358
