Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0276;0.7892;0.0534;0.6916;0.1404;0.7563;0.2368;0.1870;0.0175;0.6395;0.0340;0.7365;0.0293;0.7862;0.0564;0.4934;0.0537;0.7428;0.0951;0.5271
OCSVM_kernel-linear_scale_02;0.0319;0.7351;0.0611;0.7517;0.1389;0.7190;0.2328;0.2103;0.0168;0.6000;0.0327;0.7427;0.0305;0.7251;0.0586;0.5517;0.0545;0.6948;0.0963;0.5641
OCSVM_kernel-linear_scale_03;0.0357;0.6216;0.0676;0.8115;0.1387;0.6658;0.2296;0.2556;0.0163;0.5438;0.0316;0.7578;0.0334;0.6493;0.0635;0.6321;0.0560;0.6201;0.0981;0.6142
OCSVM_kernel-linear_scale_04;0.0382;0.5486;0.0714;0.8433;0.1336;0.5772;0.2169;0.3061;0.0162;0.4765;0.0313;0.7858;0.0364;0.5520;0.0683;0.7109;0.0561;0.5386;0.0970;0.6615
OCSVM_kernel-linear_scale_05;0.0441;0.4568;0.0804;0.8854;0.1282;0.4830;0.2026;0.3674;0.0168;0.4049;0.0322;0.8233;0.0385;0.4645;0.0711;0.7674;0.0569;0.4523;0.0966;0.7109
OCSVM_kernel-linear_scale_06;0.0488;0.3649;0.0861;0.9151;0.1145;0.3745;0.1753;0.4143;0.0176;0.3417;0.0335;0.8576;0.0439;0.3757;0.0785;0.8325;0.0562;0.3642;0.0934;0.7549
OCSVM_kernel-linear_scale_07;0.0480;0.2838;0.0821;0.9303;0.1049;0.2876;0.1537;0.4739;0.0175;0.2431;0.0326;0.8971;0.0448;0.2636;0.0765;0.8793;0.0538;0.2695;0.0862;0.7952
OCSVM_kernel-linear_scale_08;0.0569;0.1919;0.0877;0.9565;0.0914;0.1918;0.1238;0.5506;0.0171;0.1637;0.0310;0.9271;0.0452;0.1811;0.0723;0.9123;0.0527;0.1821;0.0787;0.8366
OCSVM_kernel-linear_scale_09;0.0494;0.0946;0.0647;0.9706;0.0769;0.0955;0.0851;0.6622;0.0148;0.0880;0.0253;0.9536;0.0525;0.0955;0.0674;0.9517;0.0484;0.0934;0.0606;0.8845
OCSVM_kernel-linear_auto_01;0.0276;0.7892;0.0534;0.6916;0.1404;0.7563;0.2368;0.1870;0.0175;0.6395;0.0340;0.7365;0.0293;0.7862;0.0564;0.4934;0.0537;0.7428;0.0951;0.5271
OCSVM_kernel-linear_auto_02;0.0319;0.7351;0.0611;0.7517;0.1389;0.7190;0.2328;0.2103;0.0168;0.6000;0.0327;0.7427;0.0305;0.7251;0.0586;0.5517;0.0545;0.6948;0.0963;0.5641
OCSVM_kernel-linear_auto_03;0.0357;0.6216;0.0676;0.8115;0.1387;0.6658;0.2296;0.2556;0.0163;0.5438;0.0316;0.7578;0.0334;0.6493;0.0635;0.6321;0.0560;0.6201;0.0981;0.6142
OCSVM_kernel-linear_auto_04;0.0382;0.5486;0.0714;0.8433;0.1336;0.5772;0.2169;0.3061;0.0162;0.4765;0.0313;0.7858;0.0364;0.5520;0.0683;0.7109;0.0561;0.5386;0.0970;0.6615
OCSVM_kernel-linear_auto_05;0.0441;0.4568;0.0804;0.8854;0.1282;0.4830;0.2026;0.3674;0.0168;0.4049;0.0322;0.8233;0.0385;0.4645;0.0711;0.7674;0.0569;0.4523;0.0966;0.7109
OCSVM_kernel-linear_auto_06;0.0488;0.3649;0.0861;0.9151;0.1145;0.3745;0.1753;0.4143;0.0176;0.3417;0.0335;0.8576;0.0439;0.3757;0.0785;0.8325;0.0562;0.3642;0.0934;0.7549
