Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
KNN_k=1_;0.676958142197412;0.022516191189689977;0.777267871017871;0.030996902612529624;0.7235588368440286;0.025041928687490028;0.5805377400705606;0.02772334794714596;0.5709090909090909;0.040206080704538155;0.5752316613713306;0.030944478905084786;0.9090526847210008;0.008692321869581575;0.8630273871206512;0.011029760943110733;0.8854093624542054;0.008460995639664869;0.722182855662991;0.016654262780048754;0.7370681163492045;0.01767708028590516;0.7280666202231881;0.017046051755562678;0.7934903169014085;0.012699002674305375;500.03279089927673;20.615262902583826
KNN_k=2_;0.7590061598971234;0.02999140475301243;0.6380876068376068;0.035166650937309495;0.6931008237899804;0.03125068985601974;0.5247554413512111;0.024865667132891307;0.7472727272727273;0.03420888676768506;0.6162764011201111;0.025969442076727432;0.9082909616378034;0.00815393755395916;0.8518699952896842;0.016110524508113174;0.8790670485523252;0.008759595007892649;0.7306841876287126;0.01735688773778154;0.7457434431333396;0.020561374727924388;0.7294814244874723;0.01906327647073937;0.7858242859937402;0.014238141909496826;332.1942561864853;88.61736700869912
KNN_k=3_;0.7192004436528008;0.020813571343199562;0.8412975912975913;0.025076667491020787;0.7750249431824544;0.013040630836296594;0.6208492858598663;0.039520201453716985;0.65;0.03596370989973179;0.6345846187556548;0.03318301285446266;0.9369923646213932;0.004895165614599057;0.8640663481596123;0.014001148115189883;0.8989987596418801;0.008630147445671272;0.75901403137802;0.01641162664827882;0.7851213131524013;0.015326468741241304;0.7695361071933299;0.01588156132979447;0.8221200117370892;0.012400858743055349;260.19115681648253;5.47338472172429
KNN_k=4_;0.7273893583729958;0.025742902740043924;0.8190122377622379;0.029702789278948205;0.769800011396754;0.014903475265692528;0.6426148275833337;0.03639760519265541;0.7045454545454546;0.03988620176087327;0.6718953826106411;0.03572604524207193;0.9375078668759034;0.00612687963406368;0.8666603862458784;0.017070906245226235;0.9005788707489477;0.008886096959007304;0.7691706842774111;0.015008279425197762;0.796739359517857;0.01481227508038429;0.7807580882521143;0.014935913086228127;0.8280670481220659;0.011455351085985332;267.98193843364714;11.98141349900846
KNN_k=5_;0.7268150377279446;0.024602080125946668;0.852457264957265;0.023292420833705627;0.7843573499546129;0.019269751027316956;0.6546207556500189;0.03226582396755066;0.6599999999999999;0.042289830362229115;0.6567461077189696;0.03223351196386959;0.9329995057914932;0.00929560791724497;0.8700349909158198;0.013743027152186237;0.9003687573837009;0.010039750366887255;0.7714784330564857;0.013930599140764211;0.7941640852910282;0.014675274611278996;0.7804907383524278;0.014414834440377873;0.8299449823943663;0.011691966073578015;268.9325391292572;17.57266544098235
KNN_k=6_;0.7299976030633143;0.02167634470503469;0.8677447552447551;0.022863712029030054;0.7925756093432208;0.014880995635572799;0.6644919970957128;0.031117529005723392;0.6936363636363636;0.044359537813657625;0.6782195866763796;0.032952257328403255;0.9451121703542;0.007620892887320012;0.8661429244330797;0.011612334487563542;0.9038695011715046;0.008334751100476224;0.7798672568377423;0.01371730723239205;0.8091746811047329;0.014625027001825362;0.7915548990637018;0.014410987933545035;0.8368282961658842;0.011204842790437547;265.71640253067017;8.388541029099834
KNN_k=7_;0.7226660508930236;0.019011467876321554;0.8823426573426574;0.03201853563683178;0.7941301652233982;0.016704185081755998;0.6857214755797183;0.0346514009244313;0.6681818181818182;0.03731704682140687;0.6760568069300192;0.02763154782041048;0.9431262041231566;0.009972939457259265;0.8713316735078391;0.01205890101441153;0.9057373857068063;0.007909782506651286;0.7838379101986328;0.014047580897114852;0.8072853830107716;0.014745922339399883;0.7919747859534079;0.013877318701054606;0.8388615023474179;0.010537393467011425;261.7124268293381;7.445925821491745
KNN_k=8_;0.7243902250721532;0.017739888433606948;0.8858343045843047;0.02697151399915247;0.796583240445129;0.011495810746081248;0.6949549642026667;0.03605091425165551;0.6809090909090909;0.03845142905919381;0.6873871320129149;0.0328216332119975;0.9452521022582318;0.008936070203134567;0.8713330193122939;0.013519459424557151;0.9066979386637197;0.007545235575515436;0.7881990971776839;0.01459443158050776;0.8126921382685632;0.014316478853862263;0.7968894370405878;0.014482575524938557;0.8418341647104853;0.010841329054686395;283.32696375846865;31.78527373897874
KNN_k=9_;0.7209521082048143;0.01590416591605472;0.8949057886557888;0.026591438399327764;0.7982084088021724;0.012056995707032541;0.6970063886514402;0.036833501443273055;0.6727272727272727;0.04321768845092621;0.6843175295759921;0.037314794376632814;0.9468240223475808;0.011061930464434811;0.8705571630442096;0.013149913191628787;0.9070053792087827;0.008742831024863038;0.7882608397346117;0.015891252050674407;0.8127300748090903;0.01760476218890594;0.796510439195649;0.016391793005916925;0.8419904147104852;0.01182954607317489;275.2541393995285;10.704520037847992
KNN_k=10_;0.7204155300443308;0.019217451400965233;0.896299533799534;0.026885642669804918;0.7982905864666884;0.010746245246037667;0.6982393519241763;0.03867995226342805;0.6772727272727272;0.03819263915927274;0.6872487837543451;0.03523091406653769;0.9477564614883673;0.007930880442564106;0.8687423457371644;0.015307201342353298;0.9064277159551937;0.00829373433906884;0.7888037811522914;0.015601242704446688;0.8141048689364752;0.01470998928548775;0.7973223620587424;0.015134286130965135;0.8419921263693272;0.011361354027207239;265.5129200220108;9.904608511395207
