Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MNB_alpha 1.0_fit_prior_;0.6931164510847688;0.01334928683334656;0.8670503108003109;0.04007228407668203;0.7697649480535527;0.014987564562675987;0.6029980736849763;0.03652347048018845;0.7654545454545454;0.036770451665739445;0.6741985363028886;0.034010975735849866;0.9636150682905811;0.010107221033789355;0.7981797994751364;0.01820683140739677;0.8729304518129469;0.009111930648196447;0.7532431976867753;0.012036096216602735;0.810228218576664;0.01674038125450522;0.7722979787231293;0.013383453482608136;0.8080413732394366;0.010067215537901266;0.06259539127349853;0.011758555730770904
MNB_alpha 1.0_;0.6931530521113939;0.014989428482500166;0.8649718337218337;0.038638038812648844;0.7689297798411504;0.013593764259583974;0.5798202920223141;0.03031107688947271;0.7818181818181819;0.03015113445777637;0.6654394504866341;0.026842767181218863;0.9696103198027448;0.00888748932450162;0.782356503600027;0.01899207619462505;0.8658025664603368;0.011181505148681062;0.7475278879788176;0.009960039183916969;0.8097155063800141;0.013774156034872205;0.7667239322627071;0.01128805999430656;0.8008453149452268;0.009836453076143704;0.06696667671203613;0.01845632693630704
MNB_alpha 0.9_fit_prior_;0.6931164510847688;0.01334928683334656;0.8670503108003109;0.04007228407668203;0.7697649480535527;0.014987564562675987;0.6029980736849763;0.03652347048018845;0.7654545454545454;0.036770451665739445;0.6741985363028886;0.034010975735849866;0.9636150682905811;0.010107221033789355;0.7981797994751364;0.01820683140739677;0.8729304518129469;0.009111930648196447;0.7532431976867753;0.012036096216602735;0.810228218576664;0.01674038125450522;0.7722979787231293;0.013383453482608136;0.8080413732394366;0.010067215537901266;0.07920277118682861;0.03254847978106369
MNB_alpha 0.9_;0.6931530521113939;0.014989428482500166;0.8649718337218337;0.038638038812648844;0.7689297798411504;0.013593764259583974;0.5798202920223141;0.03031107688947271;0.7818181818181819;0.03015113445777637;0.6654394504866341;0.026842767181218863;0.9696103198027448;0.00888748932450162;0.782356503600027;0.01899207619462505;0.8658025664603368;0.011181505148681062;0.7475278879788176;0.009960039183916969;0.8097155063800141;0.013774156034872205;0.7667239322627071;0.01128805999430656;0.8008453149452268;0.009836453076143704;0.07195775508880616;0.026876805339777113
MNB_alpha 0.8_fit_prior_;0.6931164510847688;0.01334928683334656;0.8670503108003109;0.04007228407668203;0.7697649480535527;0.014987564562675987;0.6029980736849763;0.03652347048018845;0.7654545454545454;0.036770451665739445;0.6741985363028886;0.034010975735849866;0.9636150682905811;0.010107221033789355;0.7981797994751364;0.01820683140739677;0.8729304518129469;0.009111930648196447;0.7532431976867753;0.012036096216602735;0.810228218576664;0.01674038125450522;0.7722979787231293;0.013383453482608136;0.8080413732394366;0.010067215537901266;0.05056910514831543;0.01200732978362117
MNB_alpha 0.8_;0.6931530521113939;0.014989428482500166;0.8649718337218337;0.038638038812648844;0.7689297798411504;0.013593764259583974;0.5798202920223141;0.03031107688947271;0.7818181818181819;0.03015113445777637;0.6654394504866341;0.026842767181218863;0.9696103198027448;0.00888748932450162;0.782356503600027;0.01899207619462505;0.8658025664603368;0.011181505148681062;0.7475278879788176;0.009960039183916969;0.8097155063800141;0.013774156034872205;0.7667239322627071;0.01128805999430656;0.8008453149452268;0.009836453076143704;0.0568812370300293;0.016882955119419316
MNB_alpha 0.7_fit_prior_;0.6931164510847688;0.01334928683334656;0.8670503108003109;0.04007228407668203;0.7697649480535527;0.014987564562675987;0.6029980736849763;0.03652347048018845;0.7654545454545454;0.036770451665739445;0.6741985363028886;0.034010975735849866;0.9636150682905811;0.010107221033789355;0.7981797994751364;0.01820683140739677;0.8729304518129469;0.009111930648196447;0.7532431976867753;0.012036096216602735;0.810228218576664;0.01674038125450522;0.7722979787231293;0.013383453482608136;0.8080413732394366;0.010067215537901266;0.04480929374694824;0.0052456155660389
MNB_alpha 0.7_;0.6931530521113939;0.014989428482500166;0.8649718337218337;0.038638038812648844;0.7689297798411504;0.013593764259583974;0.5798202920223141;0.03031107688947271;0.7818181818181819;0.03015113445777637;0.6654394504866341;0.026842767181218863;0.9696103198027448;0.00888748932450162;0.782356503600027;0.01899207619462505;0.8658025664603368;0.011181505148681062;0.7475278879788176;0.009960039183916969;0.8097155063800141;0.013774156034872205;0.7667239322627071;0.01128805999430656;0.8008453149452268;0.009836453076143704;0.06381609439849853;0.015085287560407251
MNB_alpha 0.6_fit_prior_;0.6931164510847688;0.01334928683334656;0.8670503108003109;0.04007228407668203;0.7697649480535527;0.014987564562675987;0.6029980736849763;0.03652347048018845;0.7654545454545454;0.036770451665739445;0.6741985363028886;0.034010975735849866;0.9636150682905811;0.010107221033789355;0.7981797994751364;0.01820683140739677;0.8729304518129469;0.009111930648196447;0.7532431976867753;0.012036096216602735;0.810228218576664;0.01674038125450522;0.7722979787231293;0.013383453482608136;0.8080413732394366;0.010067215537901266;0.040724778175354005;0.0010578486489598636
MNB_alpha 0.6_;0.6931530521113939;0.014989428482500166;0.8649718337218337;0.038638038812648844;0.7689297798411504;0.013593764259583974;0.5798202920223141;0.03031107688947271;0.7818181818181819;0.03015113445777637;0.6654394504866341;0.026842767181218863;0.9696103198027448;0.00888748932450162;0.782356503600027;0.01899207619462505;0.8658025664603368;0.011181505148681062;0.7475278879788176;0.009960039183916969;0.8097155063800141;0.013774156034872205;0.7667239322627071;0.01128805999430656;0.8008453149452268;0.009836453076143704;0.06993334293365479;0.025934628547163417
