Parameters;precision-pbr-mean;precision-pbr-std;recall-pbr-mean;recall-pbr-std;f1-score-pbr-mean;f1-score-pbr-std;auc_roc-pbr-mean;auc_roc-pbr-std;accuracy-pbr-mean;accuracy-pbr-std;time-pbr-mean;time-pbr-std;precision-inq-mean;precision-inq-std;recall-inq-mean;recall-inq-std;f1-score-inq-mean;f1-score-inq-std;auc_roc-inq-mean;auc_roc-inq-std;accuracy-inq-mean;accuracy-inq-std;time-inq-mean;time-inq-std;precision-irr-mean;precision-irr-std;recall-irr-mean;recall-irr-std;f1-score-irr-mean;f1-score-irr-std;auc_roc-irr-mean;auc_roc-irr-std;accuracy-irr-mean;accuracy-irr-std;time-irr-mean;time-irr-std;precision;recall;f1-score;auc_roc;accuracy;time
OCSVM_kernel-linear_scale_01_;0.12383789729441026;0.0024096562161686763;0.8914529914529913;0.03311976350449321;0.21745270511820736;0.004546113485516119;0.9232255989609672;0.009694253743479708;0.8192284027722264;0.0032051663467456805;0.8094256401062012;0.012229846415733808;0.051070859033844715;0.0012130651557871357;0.8918181818181818;0.030815365921233275;0.09660751525731133;0.0023263372293053906;0.8579786813715385;0.017390158775463762;0.660422065901518;0.005818201045705502;0.6464831113815308;0.009249466849240722;0.13953477142796036;0.0018002319119241245;0.896242513962721;0.014598578136924143;0.2414739385367723;0.003209626408900189;0.6867301594698708;0.016301606035878984;0.2573139159485428;0.0027852959981782164;2.5739914655685423;0.08171664238549832;0.10481450925207177;0.8931712290779646;0.18517805297076365;0.822644813267459;0.5789881282074291;1.3433000723520916
OCSVM_kernel-linear_scale_02_;0.16681522117744654;0.003912461381742854;0.7933712121212121;0.03590620689611179;0.2756457404133402;0.007417325336576597;0.9224374655504828;0.00997952743897841;0.882558249754123;0.0012035875780342302;1.601833748817444;0.07259630934218929;0.06615888316870402;0.0024004101514220454;0.7918181818181818;0.032128358267404164;0.12211208157436867;0.004435771005261675;0.8627337146980004;0.017652955095667146;0.7681784524250277;0.0037874788780596887;1.210157608985901;0.03833094044176872;0.15817743788622607;0.0021612063694080204;0.7974086535226432;0.018836838101775635;0.2639824572444093;0.003947367571988651;0.6895980048409175;0.014931353509396022;0.41355001975177164;0.0050508339134643756;4.854135465621948;0.11043365592301069;0.1303838474107922;0.7941993491540122;0.22058009307737272;0.824923061696467;0.6880955739769741;2.5553756078084313
OCSVM_kernel-linear_scale_03_;0.20870730120705766;0.00778005757129906;0.6966491841491841;0.04479808744321872;0.3211307053968697;0.01382381783050618;0.918218173938406;0.010796023338603553;0.9170964375740871;0.0010104864416933489;2.3185325384140016;0.04853911410238785;0.08106027031989152;0.004661165358798389;0.6918181818181819;0.052294461884616936;0.14511080718360952;0.008600151595442133;0.8598468528825671;0.0184734273081003;0.8341910403554239;0.0021269086410540374;1.712616539001465;0.055105873953242276;0.19183503093905685;0.003343068722667681;0.6983157257250522;0.022788299639268636;0.30096869421908445;0.006074817042840585;0.6927573839746942;0.015485054013676176;0.5722495921440636;0.004032452964759129;7.7042664051055905;0.47622735912272535;0.160534200822002;0.6955943638974728;0.25573673559985455;0.8236074702652224;0.7745123566911915;3.9118051608403523
OCSVM_kernel-linear_scale_04_;0.2327289981883495;0.011186112768863433;0.5985188422688423;0.04383155693124542;0.3350911853781099;0.018451689906923602;0.9143242925647062;0.011541676879598273;0.9331594414892695;0.0007827308534387079;3.0332011222839355;0.10192141428913638;0.09646506614484976;0.006438560838617619;0.5909090909090909;0.04995866059648762;0.1658432500937345;0.011448591798805774;0.8593656806156806;0.018716154429394886;0.8791003332099223;0.0017956312476860327;2.3485366106033325;0.011624579188967414;0.2657963642960438;0.0048694733146531066;0.5992248166341432;0.022615208115192874;0.36816348474333804;0.007611483410934136;0.7052843297038432;0.014041496580730986;0.728793938325298;0.005487245345044613;11.214466333389282;1.060730766098588;0.19833014287641437;0.5962175832706922;0.2896993067383941;0.8263247676280767;0.8470179043414966;5.532068022092183
OCSVM_kernel-linear_scale_05_;0.26910481140745474;0.012776466425009458;0.49622668997668995;0.03863445459761384;0.34887900212799244;0.020211330303131485;0.9119436182440722;0.01155660117234925;0.947888689010553;0.0007436732928273456;3.8704087257385256;0.06485528916838224;0.10938065412345892;0.008038964059340766;0.49727272727272726;0.046185039257747404;0.17930397688551264;0.013792333845078207;0.8565239984882842;0.01918172759022311;0.9074416882636059;0.001056949457506106;2.674475574493408;0.03854491309036547;0.43581271491866874;0.006548355390516922;0.4996117354148441;0.02259388429440655;0.4653441258674068;0.011889856265777848;0.7311907874884321;0.012941413261392077;0.8486911729133547;0.00202975168977801;14.731352519989013;1.072640250040402;0.27143272681652747;0.4977037175547538;0.33117570162697063;0.8332194680735961;0.9013405167291713;7.092078940073648
OCSVM_kernel-linear_scale_06_;0.3057765651972734;0.015494888966506732;0.3973679098679098;0.030649349105421154;0.3455459530731183;0.02142169787860604;0.9094538560721711;0.01177890988491561;0.9576362714217689;0.0008080343105772113;4.554764819145203;0.4069081984837807;0.13680458673846851;0.012838833243024761;0.4;0.04895604370122276;0.20384343313564637;0.02058744551856178;0.8529309248952106;0.019080115517477476;0.9365420214735283;0.0006965896972316529;3.400777983665466;0.04061062662432622;0.6361336715973065;0.009835683514376059;0.398967767983312;0.026398771212663364;0.4899627460677472;0.0217875069710874;0.7556561804610784;0.012441667843401;0.890641582502108;0.002390969712008736;17.977080035209656;1.6259978247494884;0.35957160784434944;0.39877855928374056;0.34645071075883727;0.8393469871428202;0.928273291799135;8.644207612673442
OCSVM_kernel-linear_scale_07_;0.35252082849407285;0.02568076230586859;0.29855283605283606;0.03819506528672958;0.32299328051196713;0.03314760201242506;0.9077664167876074;0.011807257339432126;0.9648734115128536;0.0007910081790425389;7.09840829372406;0.5364323546596285;0.15466454323217582;0.013949045723682081;0.29454545454545455;0.037526849891909624;0.20274992644060127;0.020842646636906933;0.8501586442657871;0.01911120345102873;0.9529803776379119;0.0005300933381442535;3.8675522804260254;0.15038959104801974;0.8148954253762343;0.008215744014144098;0.2988257856133504;0.01744244172346735;0.4370900945383912;0.019860960952430957;0.7722136962153321;0.012362930752091631;0.8985798745487358;0.0022078974685168285;17.8157918214798;0.5433380115240962;0.44069359903416094;0.29730802540388035;0.32094443383031984;0.8433795857562423;0.9388112212331671;9.59391746520996
OCSVM_kernel-linear_scale_08_;0.4434024083395161;0.03842070128216482;0.19971348096348093;0.03163761335484101;0.2750548161136487;0.0376895472176791;0.9069524594701186;0.011813864133572318;0.9704630582031678;0.0008143387498776292;7.220491886138916;0.934638446375591;0.18893019434572572;0.0424561713025573;0.19727272727272724;0.05692535347073916;0.19279363331541716;0.04941476252638835;0.8489772727272726;0.019051646449517755;0.9667345427619398;0.0008802290579762039;4.60440080165863;0.34828999265004773;0.9505910051934319;0.0037239603528986492;0.20077451046362965;0.015218387314565091;0.33127824858319216;0.021107112204564023;0.7866891909436855;0.011905879152234337;0.8932078258696926;0.0019883966640670413;20.418760824203492;1.0264338412904974;0.5276412026262246;0.19925357289994594;0.266375566004086;0.8475396410470255;0.9434684756116001;10.747884504000346
OCSVM_kernel-linear_scale_09_;0.4248502973892295;0.059912199395473015;0.09882478632478633;0.027324148526351098;0.1598999307379966;0.04010819826720383;0.906677512139167;0.011852783695634224;0.9709533965805802;0.0006812768222009602;8.563683438301087;1.1928078083693097;0.21262569539675788;0.06032446843800972;0.09909090909090909;0.03866576421479407;0.134857669227048;0.04797742016601238;0.8463042843399986;0.01932358138158434;0.9744539059607554;0.0006195187164265496;5.552138423919677;0.4188277218182083;1.0;0.0;0.09883049592894153;0.011788893589809843;0.1796709474394973;0.01977275040824142;0.7976459128271476;0.011542615091418707;0.8811291550433286;0.001540586857149488;23.086021161079408;1.4120245014966952;0.5458253309286625;0.098915397114879;0.1581428491348473;0.8502092364354378;0.9421788191948881;12.400614341100058
OCSVM_kernel-linear_auto_01_;0.12383789729441026;0.0024096562161686763;0.8914529914529913;0.03311976350449321;0.21745270511820736;0.004546113485516119;0.9232255989609672;0.009694253743479708;0.8192284027722264;0.0032051663467456805;0.9130544900894165;0.027395242181312344;0.051070859033844715;0.0012130651557871357;0.8918181818181818;0.030815365921233275;0.09660751525731133;0.0023263372293053906;0.8579786813715385;0.017390158775463762;0.660422065901518;0.005818201045705502;0.6769978046417237;0.020123829594776675;0.13953477142796036;0.0018002319119241245;0.896242513962721;0.014598578136924143;0.2414739385367723;0.003209626408900189;0.6867301594698708;0.016301606035878984;0.2573139159485428;0.0027852959981782164;2.7056622982025145;0.1812045418879348;0.10481450925207177;0.8931712290779646;0.18517805297076365;0.822644813267459;0.5789881282074291;1.4319048643112182
