Parameters;precision-pbr-mean;precision-pbr-std;recall-pbr-mean;recall-pbr-std;f1-score-pbr-mean;f1-score-pbr-std;auc_roc-pbr-mean;auc_roc-pbr-std;accuracy-pbr-mean;accuracy-pbr-std;time-pbr-mean;time-pbr-std;precision-inq-mean;precision-inq-std;recall-inq-mean;recall-inq-std;f1-score-inq-mean;f1-score-inq-std;auc_roc-inq-mean;auc_roc-inq-std;accuracy-inq-mean;accuracy-inq-std;time-inq-mean;time-inq-std;precision-irr-mean;precision-irr-std;recall-irr-mean;recall-irr-std;f1-score-irr-mean;f1-score-irr-std;auc_roc-irr-mean;auc_roc-irr-std;accuracy-irr-mean;accuracy-irr-std;time-irr-mean;time-irr-std;precision;recall;f1-score;auc_roc;accuracy;time
OCSVM_kernel-linear_scale_01_;0.07537971551717332;0.001994425031203504;0.8545163170163171;0.02596762396370542;0.13853595958396792;0.0036652117884104023;0.8526320063359669;0.011840542649929281;0.7004921733667114;0.004117632270934621;3.6558661699295043;0.25418647638141256;0.06145230024541065;0.002174025997234925;0.850909090909091;0.027931439083158562;0.11462598694160978;0.004031404845775821;0.8526420669277812;0.013184510239996351;0.7323028507960014;0.0025293326373861955;2.6112406253814697;0.16912964857076832;0.10691366529767332;0.003206142294775693;0.7416358253145818;0.02527553734803728;0.1868854763938748;0.005698300161699848;0.29057037667432833;0.01148062645528971;0.14884507750023826;0.003454709801755795;14.601049733161926;1.015462382326573;0.0812485603534191;0.8156870777466633;0.14668247430648415;0.6652814833126922;0.5272133672209837;6.956052176157634
OCSVM_kernel-linear_scale_02_;0.08723177846534272;0.0032679425133044122;0.7738199300699301;0.0368655847350286;0.15678455051980483;0.005996142838525402;0.8511005640704177;0.011775511749662444;0.7654893177848318;0.0034053265573670867;5.681318211555481;0.33521534827964283;0.07496154251480003;0.0024271515084584687;0.77;0.024410402876541004;0.13661917656903957;0.004362326336945476;0.8575596955954099;0.013204455338359036;0.801795631247686;0.0035434726012798247;4.046703672409057;0.3023145330061622;0.10935313256243955;0.0032248254659547173;0.7146511001951417;0.024458016244843585;0.18968129879550535;0.005711019488684938;0.33222093183723234;0.009835266035302118;0.19469623367551786;0.0026168956139450534;24.701961636543274;0.7289899469209079;0.0905154845141941;0.7528236767550238;0.1610283419614499;0.6802937305010199;0.5873270609026785;11.476661173502604
OCSVM_kernel-linear_scale_03_;0.09470137988748409;0.004959569480259274;0.6756798756798756;0.04528040465023278;0.16611248847538335;0.008964954294538901;0.837221579785278;0.013387654612881874;0.808951347086033;0.002609603483825807;7.8747581243515015;0.5125150711475244;0.0912574001860577;0.00332938772425608;0.6799999999999999;0.027212053721992292;0.1609011842552578;0.005694219896101377;0.8612122929980073;0.014982886374080621;0.8555349870418365;0.00455567459528799;5.5690450191497805;0.36829879594153736;0.10985839440808368;0.0041325677933817745;0.6604353677410673;0.027970281724602666;0.1883803994728469;0.00721232705994921;0.36672039801119066;0.009604440644826734;0.24947814109953792;0.003808182200909104;35.530042839050296;1.1505763836971594;0.09860572482720849;0.6720384144736476;0.17179802406782932;0.6883847569314919;0.6379881584091358;16.324615327517193
OCSVM_kernel-linear_scale_04_;0.10504965546563134;0.005113461713950076;0.5859265734265733;0.033806874599154074;0.17814732433731517;0.008827421809635702;0.8265473101150447;0.014286782278686879;0.8476866709224057;0.002706185338201207;10.140752792358398;0.5992767910197505;0.10334062254839838;0.00427723251734773;0.5827272727272726;0.03212835826740419;0.1755394991322255;0.0075696662711836;0.8637558407201265;0.015936548663876397;0.8885968159940763;0.0016656381901817019;7.183092498779297;0.4545886239443599;0.10771313459228568;0.004015416149933491;0.5878029742278448;0.025109518276706315;0.18206283747697455;0.006939090367591798;0.3808947972403954;0.008888410944258362;0.3034730920455974;0.0030306094976251946;45.12244448661804;1.3240122148776265;0.10536780420210512;0.5854856067938969;0.17858322031550508;0.6903993160251889;0.6799188596540264;20.81542992591858
OCSVM_kernel-linear_scale_05_;0.12299843933609045;0.006367745754235177;0.48787393162393167;0.030227602608140617;0.19644733007358198;0.010436250716992826;0.8199918492344072;0.014885967118022904;0.8875595842568227;0.0021958453220972556;13.37230658531189;0.6703306728085776;0.1237723456374676;0.007992755198553761;0.48818181818181816;0.04127112531933151;0.19744887724395518;0.013438561826706228;0.8645578231292518;0.01673659646437668;0.9192891521658645;0.001524264261402341;8.78140413761139;0.5584806782086787;0.10427774396906435;0.0034382218086703013;0.4931269766502927;0.020677546005857344;0.1721493968647358;0.005938992357402631;0.38328112165507316;0.009179424084056897;0.37457670677201255;0.0025995120251659765;53.55036053657532;1.6681945629621724;0.11701617631420747;0.48972757548534745;0.18868186806075768;0.6892769313395775;0.7271418143982333;25.234690419832862
OCSVM_kernel-linear_scale_06_;0.13381199415760986;0.01060484585676382;0.3911276223776224;0.03936984381540933;0.1993778736100426;0.016863446862388606;0.8103334762277749;0.015105148500896224;0.9116245725763656;0.0011275784510375781;17.476944518089294;0.7576770179355092;0.1372045330795773;0.010263111784203494;0.39181818181818184;0.038665764214794056;0.20321076490205714;0.016413785754450717;0.860110372431801;0.017013223214555662;0.9375416512402813;0.0006886736481946821;10.539031291007996;0.839946859347743;0.10077010676760065;0.0035107189519343472;0.39610995222394185;0.01642401926112859;0.16066492428545084;0.0058044932405046995;0.38997962793148455;0.009159144921940083;0.4542002195057585;0.0024618539169554165;62.0992130279541;1.8731319584282353;0.12392887800159595;0.39301858547324864;0.18775118759918352;0.6868078255303535;0.7677888144408018;30.03839627901713
OCSVM_kernel-linear_scale_07_;0.1569669680885558;0.021264909788168977;0.29581876456876455;0.05279285669010208;0.20500463850014078;0.030864974852390887;0.7981925862286608;0.014879353330201656;0.9357091302681599;0.0006979830218143737;20.696170449256897;0.8146356967329195;0.14919176844673893;0.015734300545236442;0.29272727272727267;0.03937528695946857;0.19759409382187026;0.0227841251739883;0.8542859719645435;0.016677782331040537;0.9517400962606442;0.0006197952255750762;13.085846567153931;0.7953033097477733;0.0939093263319309;0.0048420946148222815;0.2938927393849674;0.01728521666873896;0.1423349226192382;0.007584719451605151;0.39756012548499287;0.009404965620177903;0.5329682592425294;0.002189613435183297;70.42411789894103;2.1204331789381525;0.13335602095574187;0.2941462588936682;0.18164455164708307;0.6833462278927325;0.8068058285904445;34.73537830511729
OCSVM_kernel-linear_scale_08_;0.1703924375514733;0.022736754857358446;0.19839257964257967;0.03818370422052275;0.18314209498778855;0.02948416628737368;0.7895036020572095;0.015422043035569127;0.9504579510086325;0.000385436616055252;23.565351247787476;0.9161937117630482;0.1530962693258089;0.017230187634964457;0.19454545454545458;0.027633971188310298;0.17129998775963748;0.021498040116587784;0.8474573971002541;0.016611089359467573;0.9617734172528694;0.0004553266892354235;16.249004554748534;0.8575801833245603;0.08438449360356563;0.007068813235859511;0.19765157122670074;0.018326056751826598;0.11827169968839409;0.010223018714607924;0.400253441979768;0.009756201611537188;0.6114968424094306;0.0020093136601227603;77.16481084823609;2.317874398259703;0.13595773349361592;0.19686320180491168;0.15757126081194003;0.6790714803790773;0.8412427368903108;38.99305555025737
OCSVM_kernel-linear_scale_09_;0.2026853910385745;0.029098207279663644;0.09602272727272727;0.019565284304849107;0.1301994649976413;0.02400067088090995;0.7829886891894964;0.015619983792757383;0.9639908201294249;0.00031876667235699924;26.300802683830263;0.9831286651684764;0.17141935392752108;0.02690546354437603;0.09727272727272729;0.017744746632675577;0.1240891265223063;0.021517343044137424;0.8402030509173366;0.01625258087346986;0.9721029248426507;0.0003517215845982921;18.782815384864808;0.7663811460256678;0.07447316918875771;0.01063082580084663;0.09882915012448693;0.01623956589389824;0.08492678236951309;0.012891801837547932;0.3993942655892839;0.010027340595805593;0.7196235080504569;0.001968780529143381;83.15882070064545;2.5859392369517935;0.14952597138495108;0.09737486822331383;0.11307179129648688;0.674195335232039;0.8852390843408443;42.74747958978018
OCSVM_kernel-linear_auto_01_;0.07537971551717332;0.001994425031203504;0.8545163170163171;0.02596762396370542;0.13853595958396792;0.0036652117884104023;0.8526320063359669;0.011840542649929281;0.7004921733667114;0.004117632270934621;3.6511963605880737;0.24120463312982085;0.06145230024541065;0.002174025997234925;0.850909090909091;0.027931439083158562;0.11462598694160978;0.004031404845775821;0.8526420669277812;0.013184510239996351;0.7323028507960014;0.0025293326373861955;2.603476619720459;0.16860026796551522;0.10691366529767332;0.003206142294775693;0.7416358253145818;0.02527553734803728;0.1868854763938748;0.005698300161699848;0.29057037667432833;0.01148062645528971;0.14884507750023826;0.003454709801755795;14.481359434127807;1.059715507637822;0.0812485603534191;0.8156870777466633;0.14668247430648415;0.6652814833126922;0.5272133672209837;6.9120108048121125
OCSVM_kernel-linear_auto_02_;0.08723177846534272;0.0032679425133044122;0.7738199300699301;0.0368655847350286;0.15678455051980483;0.005996142838525402;0.8511005640704177;0.011775511749662444;0.7654893177848318;0.0034053265573670867;5.6836113929748535;0.31938911633165035;0.07496154251480003;0.0024271515084584687;0.77;0.024410402876541004;0.13661917656903957;0.004362326336945476;0.8575596955954099;0.013204455338359036;0.801795631247686;0.0035434726012798247;4.03365273475647;0.3047991171909175;0.10935313256243955;0.0032248254659547173;0.7146511001951417;0.024458016244843585;0.18968129879550535;0.005711019488684938;0.33222093183723234;0.009835266035302118;0.19469623367551786;0.0026168956139450534;24.59380488395691;0.7785642573909688;0.0905154845141941;0.7528236767550238;0.1610283419614499;0.6802937305010199;0.5873270609026785;11.437023003896078
OCSVM_kernel-linear_auto_03_;0.09470137988748409;0.004959569480259274;0.6756798756798756;0.04528040465023278;0.16611248847538335;0.008964954294538901;0.837221579785278;0.013387654612881874;0.808951347086033;0.002609603483825807;7.873490023612976;0.4796519252754858;0.0912574001860577;0.00332938772425608;0.6799999999999999;0.027212053721992292;0.1609011842552578;0.005694219896101377;0.8612122929980073;0.014982886374080621;0.8555349870418365;0.00455567459528799;5.53781156539917;0.38299266448710473;0.10985839440808368;0.0041325677933817745;0.6604353677410673;0.027970281724602666;0.1883803994728469;0.00721232705994921;0.36672039801119066;0.009604440644826734;0.24947814109953792;0.003808182200909104;35.540437483787535;1.1137595104901228;0.09860572482720849;0.6720384144736476;0.17179802406782932;0.6883847569314919;0.6379881584091358;16.317246357599895
OCSVM_kernel-linear_auto_04_;0.10504965546563134;0.005113461713950076;0.5859265734265733;0.033806874599154074;0.17814732433731517;0.008827421809635702;0.8265473101150447;0.014286782278686879;0.8476866709224057;0.002706185338201207;10.269720911979675;0.6370071066376107;0.10334062254839838;0.00427723251734773;0.5827272727272726;0.03212835826740419;0.1755394991322255;0.0075696662711836;0.8637558407201265;0.015936548663876397;0.8885968159940763;0.0016656381901817019;7.114343380928039;0.48207928912207115;0.10771313459228568;0.004015416149933491;0.5878029742278448;0.025109518276706315;0.18206283747697455;0.006939090367591798;0.3808947972403954;0.008888410944258362;0.3034730920455974;0.0030306094976251946;45.12727944850921;1.374884611422572;0.10536780420210512;0.5854856067938969;0.17858322031550508;0.6903993160251889;0.6799188596540264;20.83711458047231
OCSVM_kernel-linear_auto_05_;0.12299843933609045;0.006367745754235177;0.48787393162393167;0.030227602608140617;0.19644733007358198;0.010436250716992826;0.8199918492344072;0.014885967118022904;0.8875595842568227;0.0021958453220972556;13.500218033790588;0.8965531216641495;0.1237723456374676;0.007992755198553761;0.48818181818181816;0.04127112531933151;0.19744887724395518;0.013438561826706228;0.8645578231292518;0.01673659646437668;0.9192891521658645;0.001524264261402341;8.727671694755553;0.5863105114521294;0.10427774396906435;0.0034382218086703013;0.4931269766502927;0.020677546005857344;0.1721493968647358;0.005938992357402631;0.38328112165507316;0.009179424084056897;0.37457670677201255;0.0025995120251659765;53.545514178276065;1.5340926487890851;0.11701617631420747;0.48972757548534745;0.18868186806075768;0.6892769313395775;0.7271418143982333;25.25780130227407
OCSVM_kernel-linear_auto_06_;0.13381199415760986;0.01060484585676382;0.3911276223776224;0.03936984381540933;0.1993778736100426;0.016863446862388606;0.8103334762277749;0.015105148500896224;0.9116245725763656;0.0011275784510375781;17.39225842952728;0.7282270741120839;0.1372045330795773;0.010263111784203494;0.39181818181818184;0.038665764214794056;0.20321076490205714;0.016413785754450717;0.860110372431801;0.017013223214555662;0.9375416512402813;0.0006886736481946821;10.768167424201966;0.9215182511302291;0.10077010676760065;0.0035107189519343472;0.39610995222394185;0.01642401926112859;0.16066492428545084;0.0058044932405046995;0.38997962793148455;0.009159144921940083;0.4542002195057585;0.0024618539169554165;62.02597665786743;1.8878393846846573;0.12392887800159595;0.39301858547324864;0.18775118759918352;0.6868078255303535;0.7677888144408018;30.06213417053223
OCSVM_kernel-linear_auto_07_;0.1569669680885558;0.021264909788168977;0.29581876456876455;0.05279285669010208;0.20500463850014078;0.030864974852390887;0.7981925862286608;0.014879353330201656;0.9357091302681599;0.0006979830218143737;20.68877899646759;0.857073823272584;0.14919176844673893;0.015734300545236442;0.29272727272727267;0.03937528695946857;0.19759409382187026;0.0227841251739883;0.8542859719645435;0.016677782331040537;0.9517400962606442;0.0006197952255750762;13.347319173812867;0.9185666972634314;0.0939093263319309;0.0048420946148222815;0.2938927393849674;0.01728521666873896;0.1423349226192382;0.007584719451605151;0.39756012548499287;0.009404965620177903;0.5329682592425294;0.002189613435183297;70.29407939910888;2.1418982864065548;0.13335602095574187;0.2941462588936682;0.18164455164708307;0.6833462278927325;0.8068058285904445;34.77672585646311
OCSVM_kernel-linear_auto_08_;0.1703924375514733;0.022736754857358446;0.19839257964257967;0.03818370422052275;0.18314209498778855;0.02948416628737368;0.7895036020572095;0.015422043035569127;0.9504579510086325;0.000385436616055252;23.585912775993346;0.9468143168526705;0.1530962693258089;0.017230187634964457;0.19454545454545458;0.027633971188310298;0.17129998775963748;0.021498040116587784;0.8474573971002541;0.016611089359467573;0.9617734172528694;0.0004553266892354235;16.226473903656007;0.8321308871248085;0.08438449360356563;0.007068813235859511;0.19765157122670074;0.018326056751826598;0.11827169968839409;0.010223018714607924;0.400253441979768;0.009756201611537188;0.6114968424094306;0.0020093136601227603;77.05790629386902;2.452132716929994;0.13595773349361592;0.19686320180491168;0.15757126081194003;0.6790714803790773;0.8412427368903108;38.956764324506125
