Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7615444439052345;0.022909288199894497;0.7341491841491842;0.033483510635691584;0.7471853581035871;0.023112883381997816;0.639580245650245;0.030338846576660614;0.6772727272727272;0.05210447229420763;0.6566621038509897;0.03132438059015082;0.8958899212293133;0.010365263750095463;0.8920799407846041;0.017531318679884562;0.8938825780677098;0.010922557681480139;0.7656715369282642;0.01679308642229249;0.7678339507355052;0.017064238674316935;0.7659100133407621;0.016471513165279932;0.8196148767605633;0.01366758757599968;49.71589267253876;1.3136995825265056
SVM_kernel rbf_scale_random 42_;0.729556125685215;0.01774095942706623;0.7849261849261849;0.03228119429662618;0.756039363111371;0.02232692555515356;0.6918384279928709;0.034084802992862595;0.6918181818181818;0.03713945130148271;0.6911439544663186;0.028584014000818843;0.9143058070980501;0.011549370149538132;0.8879321714554875;0.019156250572777537;0.9008341481387422;0.01319541486229783;0.7785667869253787;0.019422316074116194;0.7882255127332847;0.018650315051855826;0.782672488572144;0.01855246830738194;0.8310343309859155;0.016108920530528082;85.67756493091584;2.1461380311927845
SVM_kernel rbf_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;116.75203244686126;3.040122927114497
SVM_kernel sigmoid_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;111.30237331390381;3.0827734761004426
SVM_kernel sigmoid_scale_random 42_;0.8029304879995479;0.015518916176700703;0.7863393550893549;0.03262058880652834;0.7943751340924164;0.022728006996854917;0.7168375050419746;0.02916028430614771;0.7636363636363636;0.031753180357405424;0.7388000829872093;0.02049589554570054;0.9047861780821982;0.01272723590381922;0.8944155844155842;0.0173996739924462;0.8995111256076325;0.013391849510294783;0.808184723707907;0.016349177483496864;0.8147971010471011;0.015772139225740466;0.8108954475624195;0.01578872018851313;0.8476178599374021;0.014855420894093663;51.26841087341309;1.217350543977176
SVM_kernel poly_g2_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;97.501300239563;2.785121854209247
SVM_kernel poly_g2_scale_random 42_;0.795686120248835;0.023038236250578832;0.6241841491841491;0.03284678885108286;0.699034298907777;0.02365845703723607;0.6786924288255556;0.02935243889978893;0.7090909090909092;0.04435022151872897;0.6927024651533087;0.028503769369885648;0.8571946772207102;0.014110513271083975;0.9143933786420833;0.013700280424398786;0.8848002243248716;0.01149032115988498;0.7771910754317004;0.0168707115150223;0.7492228123057137;0.02056852835760745;0.7588456627953192;0.018688066935839333;0.8138262910798122;0.014704857075512324;90.56259760856628;2.3789740088584335
SVM_kernel poly_g3_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;97.53640456199646;2.777602468645155
SVM_kernel poly_g3_scale_random 42_;0.7447209771301004;0.04143205019850637;0.34024864024864027;0.03837566224391967;0.4656705351410812;0.03928644604333774;0.6579255985065362;0.02531380213394835;0.3718181818181819;0.024206412646716993;0.4747084652309451;0.022913927966671705;0.72485210130739;0.0074194142787548005;0.9610907745104637;0.0074215545870081326;0.8263808254358299;0.0050760592372487605;0.7091662256480088;0.018089415345934896;0.5577191988590953;0.01261767163899437;0.588919941935952;0.015470623188632647;0.720117126369327;0.007898101296418329;127.974240732193;7.263362114906647
SVM_kernel poly_g4_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;97.60768277645111;2.796090030194108
SVM_kernel poly_g4_scale_random 42_;0.6689897086168932;0.08636125065264563;0.13985042735042738;0.022804600516638397;0.2305113117924332;0.03406351180040502;0.5299856144802092;0.06464833495887445;0.11818181818181817;0.02151301739308951;0.19283032212607715;0.031778779828218265;0.6545518558984502;0.004887132192956422;0.9922199044478838;0.0038398760991068576;0.7887545749584891;0.0038819745390781886;0.6178423929985175;0.03832833633082364;0.4167507166600431;0.011930738213228856;0.4040320696256665;0.018449274236036817;0.6501868153364632;0.007742230376843679;152.52536442279816;6.181277458991895
SVM_kernel poly_g5_scale_random 42_;0.37026746129687305;0.1185536770740067;0.03550893550893551;0.014770821045763353;0.06445258133126491;0.026004829551396165;0.15464285714285714;0.09719485361458702;0.015454545454545453;0.010794856442761742;0.027950031029818422;0.019173760821909164;0.6254798141533298;0.004519233570250536;0.9984435771482403;0.0017196781003594118;0.7691204393293335;0.0031910378746471467;0.38346337753102006;0.05098266428136243;0.34980235270390714;0.005565585892200533;0.28717435056347224;0.01099554042742617;0.6127973395931142;0.0036354337816029954;156.04348261356353;8.302716274542911
SVM_kernel poly_g5_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;97.09842760562897;2.7760961924394945
SVM_kernel poly_g6_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;97.05217134952545;2.7754885780883436
