Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.6965906127908301;0.03656912811356475;0.6931138306138307;0.04562810124582126;0.6942707987912133;0.03637797572886905;0.5573368895864916;0.04442809935581107;0.5227272727272727;0.045681252823276786;0.5383986647170794;0.038195059418002233;0.8553705120927966;0.017791638346835673;0.8710712603458717;0.023885782124208662;0.8630542706548667;0.01887718326536784;0.7030993381567062;0.026698387312675924;0.6956374545623251;0.022034952346501605;0.6985745780543866;0.023762695214443335;0.7711201584507041;0.02187182245158226;264.681626868248;34.46984483116698
MLP_Logistic_layers (1)_neurons(50)_;0.7106538535328017;0.031079385934021965;0.6882527195027194;0.036708001301504055;0.6990221853108155;0.03145744990587814;0.5804001722963422;0.047822359695994;0.5472727272727272;0.03809513970864902;0.5622849766287085;0.03443000808145431;0.8551428120899207;0.013760724431131055;0.8780701164120852;0.02589741114391862;0.8663629193113052;0.01844910707697666;0.7153989459730214;0.02541152413285104;0.704531854395844;0.018350732947631076;0.7092233604169429;0.02098338042388287;0.7784709996087638;0.020933497101074946;281.02572469711305;27.069210577035474
MLP_TanHip_layers (1)_neurons(50)_;0.6779722933246174;0.041360464356552835;0.6458090520590521;0.0454284213096699;0.6612357858014891;0.041559571716102396;0.5058668700244107;0.04304431382996028;0.4927272727272728;0.04061510527943394;0.49837189320965936;0.03656736617597662;0.8370872984195303;0.011657874007498726;0.8573205033308661;0.020863791258516538;0.847019715839887;0.01504069000463595;0.6736421539228528;0.021458105244260565;0.6652856093723969;0.016954942209967374;0.6688757982836785;0.018786654618624953;0.747024647887324;0.017367738160766717;308.41271364688873;118.05728215415726
MLP_Relu_layers(3)_neurons (50)_;0.7103985410681606;0.029894315378888325;0.7077214452214452;0.04621928766392641;0.7082449541890599;0.0306730384234734;0.5712712060733608;0.04344069928859851;0.51;0.046077548718087974;0.5369813822276874;0.0313329385686295;0.8533848566312765;0.019168930249033753;0.8785949801493842;0.03201511769010673;0.8653881846016482;0.018221205254838963;0.711684867924266;0.022627885630372803;0.6987721417902765;0.018491397407919483;0.7035381736727985;0.018283395192225448;0.776749559859155;0.018467123793098013;123.79913930892944;24.030603649189977
MLP_Logistic_layers (3)_neurons(50)_;0.6344906845583902;0.04635255733131176;0.6916909479409479;0.04404162696556881;0.661166807817352;0.04072668132956124;0.46907212853683833;0.09445581764251736;0.3836363636363636;0.09907005618782021;0.42037985908361647;0.09475811013090829;0.8365866196120939;0.012519526919298066;0.8521371374739249;0.019106953572739054;0.8441941747786835;0.013314299450475825;0.6467164775691074;0.04569130397416473;0.6424881496837455;0.03940438078596801;0.6419136138932173;0.04287734497441471;0.7354477210485133;0.027381684733505645;398.93335340023043;39.58965663556189
MLP_TanHip_layers (3)_neurons(50)_;0.6750314680841037;0.04092806660476113;0.6632041569541569;0.044053202424203575;0.6683837873814238;0.036561197868384576;0.5129109660900579;0.03766936924739175;0.49090909090909085;0.05012381364396445;0.500672178543933;0.039214738348853154;0.836372614997232;0.019434663919897125;0.8510988493371914;0.018396729168650587;0.8435675341161613;0.01648104716221339;0.6747716830571313;0.0241551627246429;0.6684040324001463;0.022958923172797078;0.6708745000138394;0.023325247106357725;0.7468679088419404;0.020222357710806396;137.53322961330414;33.39233646050855
MLP_Relu_layers(6)_neurons (50)_;0.70690868005663;0.046143936116261906;0.6944347319347319;0.0830646538141015;0.6960492446995877;0.03560511251390485;0.5896044958481376;0.06385251852937496;0.5163636363636364;0.042794917439781165;0.5478510036500357;0.03521700140111417;0.8571050166835696;0.02581853814245771;0.8866415449835138;0.023922657638835942;0.871094637475925;0.012457640483842574;0.7178727308627793;0.025076277392339474;0.6991466377606275;0.02496709257886415;0.7049982952751828;0.022443993514022747;0.7797236893583726;0.017726169874496385;105.74390988349914;19.456038292120862
MLP_Logistic_layers (6)_neurons(50)_;0.05771812080536913;0.1731543624161074;0.060139860139860134;0.1804195804195804;0.0589041095890411;0.17671232876712328;0.02753623188405797;0.08260869565217392;0.034545454545454546;0.10363636363636364;0.030645161290322583;0.09193548387096774;0.628486182244985;0.07649177215328513;0.9782383419689118;0.06528497409326424;0.7589408567043455;0.01983452112448713;0.23791351164480407;0.1107510153531866;0.3576412188847422;0.07292365665422659;0.2828300425279031;0.0961590979608055;0.6093573943661972;0.019112369008011026;52.48921391963959;78.69211235139632
MLP_TanHip_layers (6)_neurons(50)_;0.6836268259716334;0.035378768777138886;0.7035450660450661;0.035379729413898296;0.6929666314206407;0.030698442001199002;0.5577998569865956;0.03697635543793959;0.5436363636363637;0.04737750625743777;0.5489332295741249;0.03005874641918058;0.8636813541550898;0.013146627946388345;0.8588870197160352;0.027443952806253682;0.8610578238520056;0.016612191688831778;0.701702679037773;0.021445927151138005;0.7020228164658217;0.016381634371081356;0.7009858949489238;0.01840559495647344;0.7697114632237871;0.019064235762965065;77.78185760974884;38.67493635470349
MLP_Relu_layers (1)_neurons (100)_;0.6975056921402603;0.02821286324988701;0.6903117715617715;0.03457450505260007;0.6935316167243333;0.027350519202767248;0.5534871560978938;0.04457762572907475;0.5272727272727272;0.039626354032187935;0.539118247019138;0.03550285204185566;0.8546971661852808;0.014558329858526706;0.8684738577484691;0.025441481318517388;0.8614236894087967;0.018249448057858452;0.7018966714744782;0.023001721356446004;0.6953527855276561;0.01635892822542415;0.6980245177174227;0.01904432856486066;0.7697112187010955;0.019196367388248342;228.10109837055205;21.186058684589174
MLP_Logistic_layers (1)_neurons(100)_;0.7025124504711476;0.032703477251523484;0.6778214840714841;0.039499596353186985;0.6895841751671514;0.03273257397101103;0.5604887840050006;0.03753818979786927;0.5290909090909091;0.05556620650885866;0.5430099756723983;0.04000330455453079;0.84868278541372;0.011858890630339328;0.8728867505551442;0.019161301110848884;0.8605478159189076;0.013804488762470767;0.7038946732966228;0.019081171518280267;0.693266381239179;0.015040019912176076;0.6977139889194859;0.016344066133890105;0.7698674687010955;0.015796339395937494;334.47347757816317;13.711115160431216
MLP_TanHip_layers (1)_neurons(100)_;0.6717585597455014;0.03605602499037622;0.6472222222222224;0.044376749164854214;0.6588320539880971;0.03703352894544056;0.4987133583259221;0.0416822119335454;0.48090909090909095;0.03713945130148272;0.4889375198738395;0.03406914128471939;0.8361752740291571;0.013905239612582117;0.8552459457640804;0.021263610607856573;0.8455230592849258;0.015882922042425706;0.6688823973668603;0.021439195297408925;0.6611257529651312;0.01650756143559381;0.6644308777156207;0.018350434422435283;0.7440514964788733;0.01779717676257764;293.0496382713318;38.2502932001696
MLP_Relu_layers(3)_neurons (100)_;0.7201961359851226;0.035318021191469054;0.7119609557109557;0.04272361824804007;0.7151635074147379;0.030284540789315684;0.5911544145217118;0.03591487207292381;0.5390909090909091;0.047071248967271336;0.5625769945448196;0.032348745689488645;0.8629137476879407;0.02589950834828719;0.8863824776260009;0.022283288281282107;0.8741931708879853;0.018381517661116;0.724754766064925;0.022175322393626372;0.7124781141426219;0.025370702905213174;0.7173112242825143;0.023022417121057563;0.7873892312206573;0.020492915640321338;138.03831169605255;23.743577689535595
MLP_Logistic_layers (3)_neurons(100)_;0.6701200882432018;0.03133825776117186;0.7049630924630924;0.04213555041369579;0.6867749769209172;0.0333280648716223;0.5501779230465621;0.03555822405132637;0.49272727272727257;0.03322848524090374;0.5185060823517564;0.021473147108666966;0.8452700781642234;0.010395652570514944;0.8529170311553731;0.021259314130737856;0.8489594670317006;0.013367548656348463;0.6885226964846625;0.020370240329896976;0.6835357987819128;0.013426327803947192;0.6847468421014582;0.015613458758339834;0.7576652973395931;0.016633821653580936;224.04373142719268;57.467628658358336
MLP_TanHip_layers (3)_neurons(100)_;0.662768583389518;0.03895840691559622;0.6673756798756798;0.0521929397046945;0.6636952048070126;0.03499071051293125;0.5101861701766961;0.04371234482525447;0.4945454545454545;0.06682900345268765;0.5004224541957762;0.05154762064144773;0.8419167864528614;0.01771136072925319;0.8459060628490681;0.019681504071818113;0.8438089196383178;0.016233382840547678;0.6716238466730252;0.025545624040228986;0.6692757324234008;0.02414866913028444;0.6693088595470356;0.02557664274582313;0.7453032081377152;0.02017565986787585;76.21737008094787;10.340035148716309
MLP_Relu_layers(6)_neurons (100)_;0.7224771061972299;0.040224678000103306;0.7126262626262626;0.04913846152347224;0.7157290813552695;0.028082691490559624;0.5546016839524052;0.05769192613903695;0.5790909090909091;0.04107038908391461;0.5636237681771378;0.030876950463044346;0.8795149502785643;0.02458605985433256;0.866675190094879;0.030175004210531237;0.8723360323887835;0.012107986459513784;0.7188645801427331;0.01759449742641945;0.7194641206040169;0.017235345993836665;0.7172296273070635;0.016429352928013657;0.7825386345852896;0.016061782270712085;82.5330420255661;17.916902048054045
MLP_Logistic_layers (6)_neurons(100)_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;27.56322491168976;6.406238224619245
