Parameters;precision-pbr-mean;precision-pbr-std;recall-pbr-mean;recall-pbr-std;f1-score-pbr-mean;f1-score-pbr-std;auc_roc-pbr-mean;auc_roc-pbr-std;accuracy-pbr-mean;accuracy-pbr-std;time-pbr-mean;time-pbr-std;precision-inq-mean;precision-inq-std;recall-inq-mean;recall-inq-std;f1-score-inq-mean;f1-score-inq-std;auc_roc-inq-mean;auc_roc-inq-std;accuracy-inq-mean;accuracy-inq-std;time-inq-mean;time-inq-std;precision-irr-mean;precision-irr-std;recall-irr-mean;recall-irr-std;f1-score-irr-mean;f1-score-irr-std;auc_roc-irr-mean;auc_roc-irr-std;accuracy-irr-mean;accuracy-irr-std;time-irr-mean;time-irr-std;precision;recall;f1-score;auc_roc;accuracy;time
OCSVM_kernel-linear_scale_01_;0.0665843375469094;0.0023558437439684258;0.8093142968142969;0.033126551575213374;0.12304145119161462;0.0043539972697817985;0.8270026332564173;0.015344772929760152;0.6748777808647315;0.006244144106335453;10.078628754615783;0.9219831207530576;0.03732986381164553;0.0008573343731381675;0.7781818181818181;0.0212034614358011;0.07124171436372148;0.0016413520282833874;0.7484395829038687;0.008806815628778742;0.586856719733432;0.0048313665546125175;9.51559579372406;0.4737458697135244;0.12557397946806984;0.0020748212622711992;0.8282666038624589;0.01395729480282394;0.21808383689671404;0.0036047754912898336;0.528564131812767;0.013388164990970366;0.2165610584982612;0.003971305491240943;29.753549933433533;2.941436028675941;0.07649606027554158;0.8052542396195247;0.13745566748401672;0.701335449324351;0.4927651863654749;16.449258160591125
OCSVM_kernel-linear_scale_02_;0.07071769884913667;0.002517070048506068;0.7787004662004662;0.03534253369082846;0.1296559980112211;0.004674879928378708;0.8215602563710535;0.015495552107497045;0.705434588171082;0.0050152954789382575;13.348351669311523;1.1782114205363825;0.03779533073729141;0.0007526717122056645;0.7581818181818182;0.018272501129310725;0.07200086511097863;0.0014367629319162218;0.7427213461142033;0.008037262754471334;0.6020362828582007;0.0048370375073888095;9.65157721042633;0.6542707487842718;0.12636308920335898;0.0019703771380974087;0.8057008276697397;0.014573784978055006;0.21846274345885805;0.0034701198694268567;0.5439022520528358;0.013872594241245643;0.23962355254170292;0.002950800009466006;31.935140800476074;3.7583945351575756;0.07829203959659568;0.7808610373506747;0.14003986886035258;0.7027279515126974;0.5156981411903285;18.311689893404644
OCSVM_kernel-linear_scale_03_;0.07566759038983217;0.0027775842847361696;0.7077602952602953;0.030114237418047956;0.1367120419195065;0.005012793219829436;0.8118626574681065;0.015296134019501983;0.7480926767308199;0.005368564672405796;13.48768515586853;0.41075384449454244;0.03912636268422627;0.0010399096615860146;0.709090909090909;0.02472994637951898;0.07415966013956637;0.001990612504992194;0.7355504878719165;0.00794390343396609;0.6395223991114402;0.00555599721656166;10.859124946594239;0.61971591885444;0.13436174385094118;0.0024901376921114765;0.7346208195949129;0.016549017339550547;0.22717221112685362;0.004327061051640768;0.5631838598313628;0.014676691749181242;0.3407357049040828;0.003697046136213319;42.918364596366885;6.280306323568406;0.08305189897499987;0.7171573413153723;0.14601463772864218;0.7035323350571284;0.5761169269154477;22.421724899609885
OCSVM_kernel-linear_scale_04_;0.0847283181021499;0.0034899865430398666;0.6228535353535355;0.03633606692572623;0.1491552887698419;0.0064030063886419296;0.8027947065547973;0.016404270950988398;0.7998704159024405;0.0034479951699111894;19.257705402374267;2.8047351044819426;0.039329919760175615;0.0015542565858692656;0.6381818181818182;0.03322848524090375;0.07409139997299419;0.0029652203613916117;0.7245574795574795;0.008607869060452892;0.6753239540910775;0.006867527344330865;13.66237540245056;1.7395294642697152;0.14397785636335453;0.004397853781699403;0.6467000874772896;0.024900160332208085;0.2355149000789527;0.007483271268714466;0.5696731843582087;0.013731498790128454;0.44633046739459026;0.005486265709210582;56.28645770549774;8.94581761573839;0.08934536474189335;0.635911813670881;0.15292052960726293;0.6990084568234951;0.6405082791293694;29.735512836774188
OCSVM_kernel-linear_scale_05_;0.09422112210819371;0.006472050211948011;0.542166860916861;0.04479364333490961;0.1605255993101295;0.011275443576684722;0.7926360829438528;0.016485534452973967;0.8403318029958566;0.0033972457548918076;19.809322452545167;1.2009530175223668;0.04070132501031923;0.00270946203826437;0.5599999999999999;0.04744723036618142;0.07588471402983962;0.005140083965516256;0.7129093657665085;0.008648124050604443;0.7226027397260275;0.004706660684887186;15.5690247297287;0.5161804821783175;0.16125788306358635;0.006145033920576656;0.562644505753314;0.03024764944874259;0.25065795495895693;0.010387922022795239;0.579229604398473;0.014144107730055063;0.5565442056825625;0.0033631062201515062;60.25027692317963;5.556066601458088;0.09872677672736642;0.5549371222233916;0.16235608943297533;0.6949250177029448;0.7064929161348156;31.876208035151166
OCSVM_kernel-linear_scale_06_;0.10667516405540153;0.010821128697512289;0.4516996891996892;0.05340703762493393;0.17255992671881099;0.017990521406495867;0.7885954476065475;0.016199461746228366;0.8781650006989885;0.0029463190190442295;23.40820655822754;1.195732205787233;0.043129346379885344;0.0027096580108171273;0.4627272727272727;0.030000000000000002;0.07890051079848141;0.004946072274929677;0.7019601628530199;0.009225876887052979;0.7799703813402443;0.005312685839807663;18.157263922691346;0.527891117768919;0.19792757478241832;0.006018682773683532;0.45058677074221115;0.024592137647120173;0.274989751257033;0.010119876291379604;0.5901511711853983;0.014297492724999942;0.686843481903654;0.003987083338323769;69.29255647659302;7.013342505804356;0.11591069507256839;0.45500457755639107;0.17548339625810846;0.6935689272149886;0.7816596213142956;36.95267565250397
OCSVM_kernel-linear_scale_07_;0.12034528503090702;0.014563416992319217;0.3577165889665889;0.05001019469039347;0.180050287123333;0.022562651908764695;0.7902405115346588;0.015302346047907752;0.9084276403707185;0.002389758433320091;26.432177901268005;1.0720128208249564;0.04330196666543966;0.0030421403958678346;0.3654545454545454;0.029541957835039854;0.07742693208339882;0.005514735350704376;0.6943157768157768;0.008896716895104595;0.8227693446871529;0.0026103413161158526;19.79618980884552;1.3235639399759072;0.2752380251026182;0.010126287234413181;0.3504548819056591;0.022525890563714398;0.30825585269914463;0.014902633036065538;0.5983216895431763;0.013827527253125737;0.792745936485702;0.0020009855330162364;83.28411753177643;5.689938213165483;0.14629509226632162;0.3578753387755978;0.18857769063529214;0.6942926592978705;0.8413143071811912;43.170828413963314
OCSVM_kernel-linear_scale_08_;0.12632754927756634;0.01910417263637986;0.23175019425019422;0.04490688808750583;0.16337136834295862;0.027002461909389076;0.7867611200885671;0.014272031168335418;0.9335124711181532;0.0019032954819431793;30.323234915733337;0.8151616645823738;0.041277972795224216;0.004101029691307398;0.2663636363636364;0.02728787458146115;0.0714781862438951;0.00712838377568058;0.6826388888888889;0.00795731922905767;0.8591262495372085;0.0013323253769304956;21.23979811668396;0.9911445710174178;0.4706709257590078;0.017192338215028385;0.229310275217011;0.0166232545940274;0.30819529763701303;0.01779094031869403;0.611757143989698;0.0141640566538807;0.8643624767386887;0.0020461097291471597;85.9748200416565;7.030815923356362;0.21275881594393278;0.24247470194361387;0.18101495074128893;0.6937190509890513;0.8856670657980169;45.84595102469126
OCSVM_kernel-linear_scale_09_;0.19734243048490285;0.04979214827521924;0.11485528360528359;0.033765323498377325;0.14505903432676132;0.04044485144261814;0.7837162453534804;0.014270848270689052;0.9621472637001187;0.0010210186735173834;33.34442684650421;1.172323211563179;0.03402966538068469;0.003952407578915273;0.13545454545454544;0.017930075384832742;0.05438268041042249;0.006451963626523886;0.6692212086854944;0.00819232312204347;0.9042206590151796;0.002554609403924474;24.88332016468048;0.9731078319806749;0.8989897460045322;0.025418879736161522;0.1309925307852769;0.01969769756452578;0.22808563364788342;0.030178157022904193;0.6319679244456786;0.014885117949678766;0.8834216601650906;0.0023742538306640126;99.25147604942322;8.953697517142395;0.37678728062337324;0.1271007866150353;0.14250911612835573;0.6949684594948845;0.9165965276267963;52.493074353535974
OCSVM_kernel-linear_auto_01_;0.0665843375469094;0.0023558437439684258;0.8093142968142969;0.033126551575213374;0.12304145119161462;0.0043539972697817985;0.8270026332564173;0.015344772929760152;0.6748777808647315;0.006244144106335453;8.239203619956971;0.7104367467861752;0.03732986381164553;0.0008573343731381675;0.7781818181818181;0.0212034614358011;0.07124171436372148;0.0016413520282833874;0.7484395829038687;0.008806815628778742;0.586856719733432;0.0048313665546125175;8.634534525871278;0.4813089286829137;0.12557397946806984;0.0020748212622711992;0.8282666038624589;0.01395729480282394;0.21808383689671404;0.0036047754912898336;0.528564131812767;0.013388164990970366;0.2165610584982612;0.003971305491240943;28.255406403541564;2.887429597558128;0.07649606027554158;0.8052542396195247;0.13745566748401672;0.701335449324351;0.4927651863654749;15.04304818312327
