Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7666974930988999;0.027688205384924648;0.7849504662004663;0.037882361726987494;0.7753085643203568;0.02786119769104433;0.7014387889364917;0.039414948904599595;0.6918181818181818;0.036465765672966506;0.6957372120442888;0.03024523527351372;0.8990222154207024;0.012091166736182598;0.8936397281475001;0.017841948387238384;0.8962646668050261;0.013484166697286004;0.7890528324853647;0.02125131002852044;0.790136125388716;0.018118984626219962;0.7891034810565573;0.019710997313437253;0.8344791666666665;0.017038421455921795;87.57158195972443;2.578924512341924
SVM_kernel rbf_scale_random 42_;0.7751266444178453;0.01692545146037459;0.7591734654234654;0.05072096989677271;0.7664536576044704;0.030790594551806473;0.7091786998322858;0.025815992838214574;0.6545454545454545;0.03149183286488866;0.6800256871393755;0.01934381674796531;0.8869715885892184;0.013650583717201776;0.9128383015947781;0.011686420067902853;0.8996685087999857;0.010821999183897976;0.7904256442797831;0.015731697259685654;0.775519073854566;0.017603002604145504;0.7820492845146105;0.016218847164400158;0.833849765258216;0.013854238506727626;133.54498414993287;12.515419008342825
SVM_kernel rbf_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;120.24390268325806;3.199275012266845
SVM_kernel sigmoid_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;132.08580718040466;5.957148161000545
SVM_kernel sigmoid_scale_random 42_;0.7668396498050749;0.03013836932600231;0.7960907148407148;0.03592411994288843;0.7807889207454346;0.027866144391545958;0.7123701094128323;0.039632803101843715;0.6845454545454545;0.03749380114054779;0.6972762327317084;0.03025767172030215;0.8953845314089215;0.014346282109938524;0.8915658434829419;0.018010464677722965;0.8933852734754506;0.013820101701381681;0.7915314302089429;0.02083021771941904;0.7907340042897038;0.018633331459547497;0.7904834756508645;0.01941690918628939;0.8344786776212831;0.01708615025001598;81.90395197868347;2.6635104036727295
SVM_kernel poly_g2_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;126.32382409572601;3.5920936416875784
SVM_kernel poly_g2_scale_random 42_;0.7819169255396983;0.015325851525648793;0.6450320512820513;0.04772644283808456;0.7058929178598816;0.028847846471352565;0.7014148991024889;0.04159938598263655;0.4663636363636363;0.029889604041406545;0.5591770261568538;0.024538224266094432;0.811371291829216;0.01881469136564383;0.9408518942197699;0.012122900526659257;0.8712255186331497;0.013619131031774027;0.7649010388238011;0.01872096432164942;0.6840825272884858;0.021743945778174036;0.7120984875499617;0.01980472825950814;0.7927031983568075;0.015821733184786944;189.07373089790343;5.37077687652861
SVM_kernel poly_g3_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;126.42979836463928;3.701994815569611
SVM_kernel poly_g3_scale_random 42_;0.7663831201148914;0.03077844784419625;0.3117472804972805;0.04744470156375651;0.4411460136020092;0.04839852467369606;0.37369889369889375;0.10487160593307046;0.05818181818181818;0.02446113463104311;0.09989850921388477;0.039501140427002555;0.6724901819852551;0.008946254971924618;0.9834008478568064;0.006677510797157435;0.7987272288657185;0.007398746317731191;0.6041907319330134;0.03574927809517313;0.45110998217863496;0.013918054501480776;0.4465905838938708;0.016292232894441587;0.673180751173709;0.01068326020356398;173.47068719863893;4.181283692476156
SVM_kernel poly_g4_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;106.59413912296296;3.189995989165704
SVM_kernel poly_g4_scale_random 42_;0.591176889472084;0.026122229831857493;0.10162198912198912;0.01636925594874715;0.1727244001502435;0.02318270144273782;0.09055555555555554;0.06284411441057454;0.008181818181818182;0.006363636363636363;0.0149003560889469;0.011357080722062233;0.6333553566696061;0.004589683112706925;0.993775654397416;0.00466770890522251;0.7736347618170745;0.0037746210340183083;0.4383626005657485;0.025261271167232504;0.36785982056707445;0.0046438393336309105;0.32041983935208834;0.007873669347131495;0.6235908157276995;0.0037607866700982004;230.96234982013704;9.678455220554351
SVM_kernel poly_g5_scale_random 42_;0.4359631087866382;0.07338072784830217;0.05148601398601399;0.01677066395346056;0.09162720535092668;0.028017228219842222;0.057808857808857805;0.0596250773488483;0.005454545454545454;0.006030226891555273;0.009946941889031363;0.010903018786905293;0.6263206239038202;0.0033955725146565074;0.996887827198708;0.002262361435172;0.769298253654781;0.0025380536897136523;0.3733641968331054;0.0325490787275099;0.3512761288797558;0.005138328624911301;0.29029080029824633;0.009622230705197745;0.6137353286384977;0.003069205695551506;236.00626091957093;6.348983466436889
SVM_kernel poly_g5_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;112.1013950586319;10.659120097719839
SVM_kernel poly_g6_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;106.44523334503174;3.489721890588597
