Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
KNN_k=1_;0.03833333333333333;0.0994568583189046;0.0013937451437451437;0.0027875114383458287;0.002589375208820581;0.005189651503853789;0.0;0.0;0.0;0.0;0.0;0.0;0.5968466993899048;0.005422663599464674;0.9706796312495793;0.019631108477970106;0.7391620630150593;0.009728259369125757;0.2117266775744127;0.03421631100166101;0.32402445879777486;0.006719278356321714;0.2472504794079599;0.003964104996852753;0.5857343016431925;0.012282233992483304;204.93214073181153;7.465388728400277
KNN_k=2_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5964369975736171;0.005079307068578724;0.9709393715093197;0.019379944905108783;0.738922290184076;0.009399826818179045;0.19881233252453906;0.0016931023561929108;0.32364645716977325;0.0064599816350362545;0.24630743006135866;0.003133275606059676;0.5855778071205009;0.012035171822239996;202.28739640712737;7.298329771382372
KNN_k=3_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5959592648668812;0.005140415474934794;0.9709393715093197;0.019379944905108783;0.7385578991455656;0.009522156880750721;0.19865308828896042;0.0017134718249782678;0.32364645716977325;0.0064599816350362545;0.24618596638185516;0.0031740522935835695;0.5855778071205009;0.012035171822239996;202.02980880737306;6.978181836941774
KNN_k=4_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;203.05508015155792;7.489288594973667
KNN_k=5_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;203.24810009002687;7.458212709191341
KNN_k=6_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6022107276995305;0.0024115797762055947;0.9963730569948186;0.010880829015544045;0.7506885427271998;0.004949564866998474;0.20073690923317686;0.0008038599254018629;0.33212435233160625;0.003626943005181349;0.2502295142423999;0.0016498549556661598;0.6009066901408451;0.006277328020342175;203.650647854805;7.40335626928808
KNN_k=7_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6022107276995305;0.0024115797762055947;0.9963730569948186;0.010880829015544045;0.7506885427271998;0.004949564866998474;0.20073690923317686;0.0008038599254018629;0.33212435233160625;0.003626943005181349;0.2502295142423999;0.0016498549556661598;0.6009066901408451;0.006277328020342175;202.85118815898895;7.1129891556786085
KNN_k=8_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6022107276995305;0.0024115797762055947;0.9963730569948186;0.010880829015544045;0.7506885427271998;0.004949564866998474;0.20073690923317686;0.0008038599254018629;0.33212435233160625;0.003626943005181349;0.2502295142423999;0.0016498549556661598;0.6009066901408451;0.006277328020342175;204.1997748374939;7.146811368707424
KNN_k=9_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6022107276995305;0.0024115797762055947;0.9963730569948186;0.010880829015544045;0.7506885427271998;0.004949564866998474;0.20073690923317686;0.0008038599254018629;0.33212435233160625;0.003626943005181349;0.2502295142423999;0.0016498549556661598;0.6009066901408451;0.006277328020342175;202.92368874549865;7.023396014483165
KNN_k=10_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.597870303749751;0.005433746889917063;0.9787315793015274;0.0215444694157563;0.7422686430751988;0.010366593203390635;0.19929010124991703;0.0018112489633056916;0.32624385976717585;0.0071814898052520925;0.24742288102506632;0.0034555310677968783;0.5902726428012521;0.013096832977220689;204.22571196556092;7.116409516316596
