Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.7184569861874011;0.0330594581776188;0.7049485236985237;0.036529961781117684;0.7110259944927726;0.028083290025486145;0.6062459237101284;0.03160711798016808;0.5890909090909091;0.047725108176024336;0.5961041149329234;0.029001152096131928;0.8723647992531447;0.007572643965295052;0.8843059013525334;0.01717076959465316;0.8782017971248358;0.009591698632494384;0.7323559030502247;0.017600091249672302;0.7261151113806554;0.014062454384580791;0.7284439688501771;0.015243224387338996;0.7931785504694836;0.012696363381742634;73.6439234495163;14.579238791869942
MLP_Logistic_layers (1)_neurons(50)_;0.7158193914422564;0.028313032202819992;0.7056721056721057;0.03939728930108573;0.7103250273373268;0.03006973400577445;0.6027524858152071;0.03648777669357149;0.5863636363636364;0.04070656941316022;0.5931401754522296;0.026925963825677024;0.8728867255299795;0.012966029961332096;0.8832629029002085;0.02060257048046004;0.8779535535946821;0.014603159648299448;0.7304862009291477;0.02043450136328055;0.7250995483119835;0.015698356002795292;0.7271395854614129;0.01711407263461277;0.7922417840375586;0.01698846180211174;111.54349498748779;1.70417773598571
MLP_TanHip_layers (1)_neurons(50)_;0.6999918532270523;0.0336711041834807;0.6917540792540792;0.041916063816264754;0.6956194347100565;0.035945197774016426;0.5708337216588149;0.04182850753236944;0.5545454545454546;0.04004130099190044;0.5613939042345364;0.03161805186084496;0.8609261115076272;0.011766002337125665;0.8708121929883588;0.023778026615080786;0.8657521846251337;0.0164448272600932;0.7105838954644981;0.022622790418533042;0.7057039089292976;0.016590260100136745;0.7075885078565756;0.018849386188596225;0.7761260269953051;0.019365682049987266;85.64270527362824;13.729006280835982
MLP_Relu_layers(3)_neurons (50)_;0.729300373877179;0.030615055981687036;0.71749222999223;0.03806396991932225;0.722811750676272;0.0286701364263146;0.6132489051319387;0.0362743445140233;0.5536363636363636;0.05052615720578275;0.5806838244641546;0.0360584702288026;0.8643352656036141;0.015754835576662348;0.8926021129129937;0.017852648810315036;0.8781230222166547;0.013402144116816766;0.7356281815375774;0.02015303358274706;0.7212435688471958;0.019443584648406786;0.7272061991190271;0.019141001735148745;0.794897789514867;0.016036813586164576;36.704147696495056;5.068817747570766
MLP_Logistic_layers (3)_neurons(50)_;0.6872956292076098;0.043143335514990694;0.6966200466200466;0.03925965225682348;0.6911475103852444;0.033658164750170694;0.5571408542827916;0.04460814458185674;0.5363636363636364;0.04065578140908709;0.5453147745999192;0.03338758557771608;0.8566414948615886;0.010709682894913468;0.8594098647466524;0.018809733453793994;0.8578897945441076;0.010857199407422663;0.70035932611733;0.022038137503018564;0.6974645159101117;0.018601309315358368;0.6981173598430903;0.019525752150325835;0.7672114632237872;0.016537268670139958;113.67401368618012;8.27423115585559
MLP_TanHip_layers (3)_neurons(50)_;0.6993235705704588;0.03521434577007547;0.709163752913753;0.04393180538589043;0.703510551867309;0.03281066895246687;0.5760875019201436;0.03292512138596585;0.5663636363636363;0.04636363636363639;0.5697829980562168;0.028818329542870617;0.869181441249404;0.01191093800471989;0.867443644438463;0.015964878344530076;0.868196459140471;0.009998641150100544;0.7148641712466687;0.01843675485345951;0.714323677905284;0.017463817994625593;0.7138300030213323;0.01745086893052679;0.7800366784037559;0.014693489515488866;33.51457314491272;8.607379264418064
MLP_Relu_layers(6)_neurons (50)_;0.7174871462331067;0.034505013727290555;0.7154186091686091;0.04973685778644777;0.7153765901642578;0.03351502248410696;0.6258815883035191;0.036466650033078654;0.5827272727272728;0.05165844598245593;0.6012170158033099;0.026529211380907938;0.8759509322355046;0.020104062795763565;0.891572572505215;0.023021980055337128;0.8832877274712632;0.010618797873815526;0.7397732222573767;0.017068084128249155;0.7299061514670322;0.01933916755135574;0.7332937778129438;0.016358766515343723;0.798808196400626;0.013595574736922938;26.71485126018524;3.2206996216330515
MLP_Logistic_layers (6)_neurons(50)_;0.6112145586999251;0.027916841837288143;0.7626748251748251;0.028250901065653426;0.6779736101858455;0.01967733212154441;0.3780308226655975;0.05322423582137509;0.26181818181818184;0.05405843180843093;0.30783385526763324;0.05176283329695572;0.8738162478818676;0.019733548737832788;0.8687450373460734;0.018748337759673557;0.8711223439212537;0.015640553851960688;0.6210205430824635;0.026419656965409394;0.6310793481130268;0.02362822904095025;0.6189766031249107;0.02565946946727415;0.7404516334115805;0.017532017344046417;76.44932317733765;27.286666041741555
MLP_TanHip_layers (6)_neurons(50)_;0.6817998228589316;0.020608080031511832;0.7035499222999224;0.040886564286226605;0.692031313952075;0.02611528496120001;0.5606261446134234;0.017717683511903948;0.5618181818181818;0.04468438446343457;0.559773155094674;0.019172095767938612;0.8704559046383062;0.011710730334082705;0.8588789448893074;0.014305234131943394;0.8645770626580311;0.011187999007017986;0.7042939573702204;0.012093787640851127;0.7080823496691371;0.012455013494043246;0.7054605105682601;0.011513976328497941;0.7728401310641628;0.012050497622678007;33.85587460994721;5.205027895598835
MLP_Relu_layers (1)_neurons (100)_;0.7264324175238606;0.02837886294944732;0.7140102952602952;0.03593578357289723;0.7195837793823925;0.025280540849121826;0.6041408743476478;0.034892382209080336;0.5781818181818182;0.043446556892176455;0.5893512201556829;0.02635629846032689;0.8720374710221682;0.01301105980191568;0.8868972478298902;0.017957207018592537;0.8793280403992391;0.013262649955451114;0.7342035876312256;0.018022884532906094;0.7263631204240013;0.013811661626215437;0.7294210133124381;0.015093844202749626;0.7949004792644757;0.015005189009308853;99.09441871643067;22.416933052865048
MLP_Logistic_layers (1)_neurons(100)_;0.7131982232974543;0.035425214744500146;0.6924630924630925;0.04073994254841796;0.7022935486838902;0.03444110672005997;0.5885242274788516;0.0449607629397582;0.5799999999999998;0.03831146819219178;0.5832930044363535;0.033472462248971706;0.8674994131435474;0.014636288952168978;0.879374200928605;0.02017074476410815;0.8733174952906537;0.01545054007223041;0.7230739546399512;0.02559741358044462;0.7172790977972326;0.02140775037993726;0.7196346828036324;0.022723533286259038;0.7858274647887324;0.020260838485093205;189.00304157733916;2.3383263711790914
MLP_TanHip_layers (1)_neurons(100)_;0.6860467598115292;0.025022598604089254;0.6778506216006216;0.0394896422850642;0.681506912541625;0.028564562533911993;0.5613650395121825;0.03148071050377788;0.5481818181818181;0.036826598364598354;0.5537134113492066;0.02497270941943894;0.8550459813563551;0.013634671775266225;0.8638133369221451;0.017963883875804464;0.8593156065271483;0.013160585129904267;0.7008192602266888;0.015156813181126643;0.6966152589015283;0.011432998631226444;0.6981786434726601;0.01214869472019366;0.7676785015649453;0.013679759509375186;145.61591291427612;30.307118241992136
MLP_Relu_layers(3)_neurons (100)_;0.7258489692401542;0.02630783479210507;0.724426961926962;0.03474865463882754;0.7247463222413639;0.025703186254771738;0.6387233680989841;0.03048224659846743;0.5900000000000001;0.03780113252053055;0.6122240484526628;0.021914859114853604;0.8755824598615058;0.016869507882276123;0.8941565170580713;0.02217973020783075;0.884575715330487;0.014388300729203711;0.746718265733548;0.017113518072163502;0.736194492995011;0.018670693429655404;0.7405153620081711;0.01635043357021308;0.8036575704225353;0.015083588032330635;52.79602842330932;5.017489099668226
MLP_Logistic_layers (3)_neurons(100)_;0.6871829431747569;0.03822167774352886;0.7042540792540792;0.04289308647669834;0.6951764741169308;0.03674414374254335;0.5763463736041489;0.0377079330017845;0.5481818181818181;0.05078719172168519;0.5608368443722875;0.037996652677564836;0.8591200107237247;0.013152654362777962;0.8622609514837494;0.020633615918471;0.8605095623800734;0.012197411935296608;0.7075497758342102;0.022892996169595732;0.7048989496398823;0.021801160652622886;0.7055076269564307;0.021902950940173912;0.7726848591549296;0.017729831554704676;149.7518052816391;27.457420790007486
