Parameters;precision-pbr-mean;precision-pbr-std;recall-pbr-mean;recall-pbr-std;f1-score-pbr-mean;f1-score-pbr-std;auc_roc-pbr-mean;auc_roc-pbr-std;accuracy-pbr-mean;accuracy-pbr-std;time-pbr-mean;time-pbr-std;precision-inq-mean;precision-inq-std;recall-inq-mean;recall-inq-std;f1-score-inq-mean;f1-score-inq-std;auc_roc-inq-mean;auc_roc-inq-std;accuracy-inq-mean;accuracy-inq-std;time-inq-mean;time-inq-std;precision-irr-mean;precision-irr-std;recall-irr-mean;recall-irr-std;f1-score-irr-mean;f1-score-irr-std;auc_roc-irr-mean;auc_roc-irr-std;accuracy-irr-mean;accuracy-irr-std;time-irr-mean;time-irr-std;precision;recall;f1-score;auc_roc;accuracy;time
OCSVM_kernel-linear_scale_01_;0.07267575531463696;0.001784883860408628;0.855201048951049;0.029761672289829053;0.1339628399655884;0.0033367137026137856;0.8455115116271777;0.01348712541418883;0.6884107192304031;0.005469092361553731;3.8854650497436523;0.19943181086974057;0.05916191173314765;0.0017449660161183312;0.8581818181818182;0.025777176143196037;0.110691910193031;0.0032526650326282925;0.8371949941592798;0.010973699481665069;0.719196593854128;0.003306754986691471;2.698021936416626;0.15293836690522947;0.109477675004827;0.0026649201103660534;0.7668010228113855;0.022319504323934557;0.1915994709702183;0.004773198239423539;0.2909606404713636;0.009067290719479492;0.14658669013931147;0.0028358122512283333;18.614324855804444;0.7252892591030878;0.08043844735087054;0.826727963314751;0.14541807370961254;0.6578890487526071;0.5180646677412809;8.399270613988241
OCSVM_kernel-linear_scale_02_;0.08008067208558593;0.003207806833079947;0.7821629759129759;0.03393310330843129;0.1452825048925404;0.005810670889125974;0.8405277661149256;0.015610926602617653;0.7406202656218179;0.004579763522763404;5.802527451515198;0.3041913144704134;0.06707959053260867;0.0019401585214115363;0.77;0.0222866375856932;0.12340649974186599;0.0035382871688796735;0.8427605132962277;0.011105172375192603;0.7772306553128472;0.0032033200142648215;4.1295328617095945;0.2610644056512753;0.11112481937875243;0.003013254039790344;0.7322892133772964;0.022763732216217573;0.19296649671552402;0.005331580131355674;0.3351140032173585;0.00853979992738018;0.19212993176681997;0.0027145672102445316;28.385728740692137;1.5424050323282066;0.08609502733231567;0.7614840630967574;0.15388516711664346;0.6728007608761706;0.5699936175671617;12.772596351305642
OCSVM_kernel-linear_scale_03_;0.0858339995302548;0.005058622589861181;0.6798853923853925;0.0494582833873807;0.15241944899129128;0.009198286191632127;0.8256544369410161;0.016420243944473;0.7870634600850589;0.0026963699009967352;7.876929688453674;0.48255573573344446;0.07453838354592462;0.0029356457308237142;0.6854545454545454;0.0312811827892459;0.13445093763689603;0.005323585807833667;0.8453755239469526;0.01253693600749284;0.8203072935949647;0.00324778134252649;5.55706684589386;0.3592495550708049;0.11119838321202531;0.0035716511203289837;0.6762579907139493;0.025738770390810888;0.19099073659158433;0.006293253626495448;0.363634439618722;0.008158616729018997;0.2444483120606636;0.0025351682004438937;35.783495092391966;1.7206704273353002;0.09052358876273492;0.6805326428512957;0.15928704107325722;0.6782214668355636;0.6172730219135624;16.405830542246502
OCSVM_kernel-linear_scale_04_;0.09421150702197065;0.005850343401004571;0.5887140637140637;0.04766371367586726;0.1624183224716393;0.010479916784870506;0.8153648551806978;0.016915707218565522;0.8290739743813951;0.0021889809662085364;10.171138858795166;0.5698729826492688;0.0790433184530149;0.005026779339791741;0.5845454545454545;0.04127112531933154;0.13924755807390804;0.008909287537244293;0.8434601113172542;0.013286346438284411;0.8528878193261754;0.0032095720689843;7.142156553268433;0.4624403729916773;0.10810658731053535;0.00419243083536832;0.5924776260009421;0.02767461908053025;0.18284779873524426;0.007311395439866826;0.3751810406707464;0.008705940494965056;0.30169388711353207;0.0026736897223591087;45.7494579076767;1.3189917174947037;0.09378713759517364;0.5885790480868202;0.16150455976026387;0.6780020023895661;0.661218560273701;21.020917773246765
OCSVM_kernel-linear_scale_05_;0.09767668730424535;0.008513793120918002;0.48775738150738157;0.05198571013313701;0.16274891787882928;0.014692651977993897;0.806069187567674;0.01755697931078768;0.8587875367834569;0.0014112912752708652;13.531860613822937;0.6584878230471594;0.08509119926728767;0.004906615331394909;0.4881818181818181;0.03727272727272726;0.1449096594343538;0.008705701160183018;0.837216810966811;0.013206960039603597;0.8828026656793779;0.0020454339827218906;8.74694275856018;0.5692681591114186;0.10607057268612388;0.004688218453290474;0.49494785007738373;0.026426068160591683;0.17469918176538976;0.008002845852308697;0.3774767865308792;0.00863309232022228;0.38340468324223165;0.0019664622608544214;53.718561720848086;1.5842218116637083;0.09627948641921898;0.49029568325552786;0.1607859196928576;0.6735875950217881;0.7083316285683555;25.332455031077064
OCSVM_kernel-linear_scale_06_;0.11204043257290275;0.011254095043974668;0.39316724941724945;0.04752170042496792;0.1743688170178764;0.018276076973498295;0.7982502428617464;0.01717948197029405;0.8952674779653178;0.0014316693578471753;17.47087788581848;0.6775763329822876;0.08763449884659334;0.009034266368052279;0.39;0.04498852011512225;0.14309769992101123;0.015036011572826828;0.8287771421699993;0.01386034803233502;0.9050166604961125;0.001846439726828555;10.655312824249268;0.6127078987435751;0.09875984702920279;0.0038460162990473223;0.39740327030482475;0.018384316286147288;0.15820218429502833;0.006385469227756738;0.3882243347544557;0.009033464526423363;0.44229254727136363;0.0020901019345320403;62.84580216407776;1.9501347864271001;0.09947825948289964;0.39352350657402474;0.15855623374463865;0.6717505732620671;0.7475255619109312;30.323997624715172
OCSVM_kernel-linear_scale_07_;0.12383272690421451;0.014656307446863227;0.293730574980575;0.04448470600877667;0.1741591920486533;0.02227404204659341;0.7892433739318199;0.0178904976416711;0.9217840081413511;0.0012035673388213414;20.81232097148895;0.7739468750588794;0.0870055170506887;0.012801504815829557;0.2927272727272727;0.049593387989039485;0.13412103846427553;0.020397508258419704;0.8180124372981517;0.013408145422861967;0.9232691595705294;0.001245244728533268;13.284507536888123;0.7619761342940969;0.09062449031784842;0.005151944030724568;0.2988217481999865;0.019264601869442396;0.13907047556385682;0.008150010419330946;0.398492164031018;0.00946629996705779;0.5121642111011279;0.0021041708441451442;70.8100263118744;2.083627584615403;0.1004875780909172;0.29509319863594474;0.14911690202559522;0.6685826584203299;0.7857391262710028;34.96895160675049
OCSVM_kernel-linear_scale_08_;0.13389599827902346;0.018767065598021;0.1997668997668998;0.037231890950365755;0.16023132165672488;0.02537635587831152;0.7788242859982265;0.01826935047919569;0.9412987731115363;0.0006317809067093503;23.690266418457032;0.809792845025129;0.08467689453927314;0.011377924845917145;0.19454545454545452;0.030748244591432293;0.11797572343142551;0.016693577535722107;0.805506253006253;0.013218904551193308;0.9409292854498335;0.0006329256200399197;16.055392718315126;0.8941319188869183;0.08480225914004867;0.008560998856402303;0.19817576206177243;0.022426218968635593;0.1187729983956122;0.012416756201783414;0.3965965932846055;0.010179805118650052;0.6124892313622071;0.002666472967045375;77.20592350959778;2.3366569613723147;0.10112505065278177;0.1974960387913756;0.1323266811612542;0.6603090440963616;0.8315724299745256;38.98386088212332
OCSVM_kernel-linear_scale_09_;0.13427152992408406;0.03276998623783544;0.09672202797202797;0.029197983855580516;0.11231424292592766;0.031230309946971107;0.7720128387421525;0.018756954149644758;0.9573224728638936;0.000392223018242301;26.484674286842345;0.8266564095241701;0.0824464900236361;0.01368095581382397;0.09909090909090909;0.01926329100037917;0.08998173632389392;0.016079421702637785;0.7900915618772761;0.013138824642266726;0.9593113661606812;0.0003683774295100561;18.85152976512909;0.7700635712737873;0.07456048074357896;0.006691453129963165;0.09961308121929884;0.010347553535465596;0.08528073084367196;0.008166596185206708;0.3977176117928118;0.010775786642509472;0.7183575798916427;0.0006515620971078858;83.18643674850463;2.567052398145736;0.09709283356376637;0.09847533942741198;0.09585890336449783;0.6532740041374135;0.8783304729720726;42.84088026682536
OCSVM_kernel-linear_auto_01_;0.07267575531463696;0.001784883860408628;0.855201048951049;0.029761672289829053;0.1339628399655884;0.0033367137026137856;0.8455115116271777;0.01348712541418883;0.6884107192304031;0.005469092361553731;3.64227352142334;0.20496592504867875;0.05916191173314765;0.0017449660161183312;0.8581818181818182;0.025777176143196037;0.110691910193031;0.0032526650326282925;0.8371949941592798;0.010973699481665069;0.719196593854128;0.003306754986691471;2.581579399108887;0.15828357624350128;0.109477675004827;0.0026649201103660534;0.7668010228113855;0.022319504323934557;0.1915994709702183;0.004773198239423539;0.2909606404713636;0.009067290719479492;0.14658669013931147;0.0028358122512283333;15.105503416061401;0.7352993770695955;0.08043844735087054;0.826727963314751;0.14541807370961254;0.6578890487526071;0.5180646677412809;7.109785445531209
OCSVM_kernel-linear_auto_02_;0.08008067208558593;0.003207806833079947;0.7821629759129759;0.03393310330843129;0.1452825048925404;0.005810670889125974;0.8405277661149256;0.015610926602617653;0.7406202656218179;0.004579763522763404;5.530041933059692;0.32149857908941204;0.06707959053260867;0.0019401585214115363;0.77;0.0222866375856932;0.12340649974186599;0.0035382871688796735;0.8427605132962277;0.011105172375192603;0.7772306553128472;0.0032033200142648215;4.023710083961487;0.2717886604184915;0.11112481937875243;0.003013254039790344;0.7322892133772964;0.022763732216217573;0.19296649671552402;0.005331580131355674;0.3351140032173585;0.00853979992738018;0.19212993176681997;0.0027145672102445316;25.3236243724823;0.8901646918236281;0.08609502733231567;0.7614840630967574;0.15388516711664346;0.6728007608761706;0.5699936175671617;11.625792129834494
OCSVM_kernel-linear_auto_03_;0.0858339995302548;0.005058622589861181;0.6798853923853925;0.0494582833873807;0.15241944899129128;0.009198286191632127;0.8256544369410161;0.016420243944473;0.7870634600850589;0.0026963699009967352;7.815066981315613;0.5064477638102539;0.07453838354592462;0.0029356457308237142;0.6854545454545454;0.0312811827892459;0.13445093763689603;0.005323585807833667;0.8453755239469526;0.01253693600749284;0.8203072935949647;0.00324778134252649;5.5250159978866575;0.3604380870576249;0.11119838321202531;0.0035716511203289837;0.6762579907139493;0.025738770390810888;0.19099073659158433;0.006293253626495448;0.363634439618722;0.008158616729018997;0.2444483120606636;0.0025351682004438937;35.40132911205292;0.9749039730989104;0.09052358876273492;0.6805326428512957;0.15928704107325722;0.6782214668355636;0.6172730219135624;16.24713736375173
OCSVM_kernel-linear_auto_04_;0.09421150702197065;0.005850343401004571;0.5887140637140637;0.04766371367586726;0.1624183224716393;0.010479916784870506;0.8153648551806978;0.016915707218565522;0.8290739743813951;0.0021889809662085364;10.26976556777954;0.5788436788716462;0.0790433184530149;0.005026779339791741;0.5845454545454545;0.04127112531933154;0.13924755807390804;0.008909287537244293;0.8434601113172542;0.013286346438284411;0.8528878193261754;0.0032095720689843;7.121722745895386;0.46603634167876995;0.10810658731053535;0.00419243083536832;0.5924776260009421;0.02767461908053025;0.18284779873524426;0.007311395439866826;0.3751810406707464;0.008705940494965056;0.30169388711353207;0.0026736897223591087;44.95363130569458;1.3957536383301088;0.09378713759517364;0.5885790480868202;0.16150455976026387;0.6780020023895661;0.661218560273701;20.781706539789834
OCSVM_kernel-linear_auto_05_;0.09767668730424535;0.008513793120918002;0.48775738150738157;0.05198571013313701;0.16274891787882928;0.014692651977993897;0.806069187567674;0.01755697931078768;0.8587875367834569;0.0014112912752708652;13.526475095748902;0.7548647746257666;0.08509119926728767;0.004906615331394909;0.4881818181818181;0.03727272727272726;0.1449096594343538;0.008705701160183018;0.837216810966811;0.013206960039603597;0.8828026656793779;0.0020454339827218906;8.735575437545776;0.5990230117001165;0.10607057268612388;0.004688218453290474;0.49494785007738373;0.026426068160591683;0.17469918176538976;0.008002845852308697;0.3774767865308792;0.00863309232022228;0.38340468324223165;0.0019664622608544214;53.68224041461944;1.6069503040330013;0.09627948641921898;0.49029568325552786;0.1607859196928576;0.6735875950217881;0.7083316285683555;25.314763649304705
OCSVM_kernel-linear_auto_06_;0.11204043257290275;0.011254095043974668;0.39316724941724945;0.04752170042496792;0.1743688170178764;0.018276076973498295;0.7982502428617464;0.01717948197029405;0.8952674779653178;0.0014316693578471753;17.33859214782715;0.781324853158356;0.08763449884659334;0.009034266368052279;0.39;0.04498852011512225;0.14309769992101123;0.015036011572826828;0.8287771421699993;0.01386034803233502;0.9050166604961125;0.001846439726828555;10.677554368972778;0.78437221938799;0.09875984702920279;0.0038460162990473223;0.39740327030482475;0.018384316286147288;0.15820218429502833;0.006385469227756738;0.3882243347544557;0.009033464526423363;0.44229254727136363;0.0020901019345320403;61.92416503429413;1.909329234615721;0.09947825948289964;0.39352350657402474;0.15855623374463865;0.6717505732620671;0.7475255619109312;29.980103850364685
