Parameters;precision-pbr-mean;precision-pbr-std;recall-pbr-mean;recall-pbr-std;f1-score-pbr-mean;f1-score-pbr-std;auc_roc-pbr-mean;auc_roc-pbr-std;accuracy-pbr-mean;accuracy-pbr-std;time-pbr-mean;time-pbr-std;precision-inq-mean;precision-inq-std;recall-inq-mean;recall-inq-std;f1-score-inq-mean;f1-score-inq-std;auc_roc-inq-mean;auc_roc-inq-std;accuracy-inq-mean;accuracy-inq-std;time-inq-mean;time-inq-std;precision-irr-mean;precision-irr-std;recall-irr-mean;recall-irr-std;f1-score-irr-mean;f1-score-irr-std;auc_roc-irr-mean;auc_roc-irr-std;accuracy-irr-mean;accuracy-irr-std;time-irr-mean;time-irr-std;precision;recall;f1-score;auc_roc;accuracy;time
OCSVM_kernel-linear_scale_01_;0.08956991543692024;0.00327358056189356;0.8859362859362859;0.04121441326588376;0.16267057769467905;0.00585269945329283;0.8960069157773498;0.01369963754052151;0.7429144754188758;0.0090890085400055;0.44628684520721434;0.00605363476691697;0.04190779160663243;0.0012787232460200147;0.8800000000000001;0.03916483496097823;0.08000471304314136;0.0024896998066885213;0.8025826290112004;0.013497254099746071;0.5880599777860052;0.005037111426102454;0.36819212436676024;0.013446383135615747;0.1399893246400773;0.0016192853326170299;0.8918282753515914;0.017550531662366697;0.2419905995805248;0.00303684840348831;0.6744933491823867;0.01082475329414197;0.2630967359114371;0.004268430415438644;1.3753110885620117;0.06669096283020835;0.09048901056120999;0.8859215204292926;0.16155529677278171;0.7910276313236456;0.5313570630387727;0.7299300193786621
OCSVM_kernel-linear_scale_02_;0.11097693614134865;0.005117123810166373;0.7808469308469308;0.05205844864776879;0.19431496526184028;0.009363600111047667;0.8881381138482551;0.01408223617477176;0.8176789024163462;0.0038027393153111846;0.7852503538131714;0.0066151983493504315;0.04624029468273825;0.0022097641334286613;0.7827272727272727;0.04461960433384737;0.08732101639775933;0.0042121112282769;0.7946509310795025;0.015275274272644458;0.6669566827101074;0.0038772543107991166;0.6115808963775635;0.004010995446734155;0.15597071554007427;0.0019456505984841023;0.7958502119642016;0.015212936603017055;0.2608222522553144;0.003498351850312389;0.6660446033917721;0.011938934953616094;0.4050298992882103;0.003035444879616224;2.575692963600159;0.11604404769428893;0.10439598212138705;0.7864748051794684;0.18081941130497134;0.7829445494398432;0.629888494804888;1.324174737930298
OCSVM_kernel-linear_scale_03_;0.1266377902950334;0.005204424301268659;0.6924679487179487;0.04192442843738592;0.21409393538108779;0.009293631469288995;0.8814717990272986;0.015105682972750643;0.8568262371309354;0.0029255275848986345;1.1194036960601808;0.022188549298405053;0.04876537755702166;0.0018272114020736747;0.6900000000000001;0.03160970663766129;0.09109217058953897;0.003459580680680562;0.7873952106094964;0.015314132511365132;0.7196964087375047;0.002171158372661342;0.8835699081420898;0.02476053112467338;0.17227020253400513;0.0024380033476138242;0.696503600026916;0.014420795929434939;0.27621740006197537;0.004207927614583542;0.6588550123006899;0.011227404974698738;0.5185632114062442;0.003105486798193813;3.6201295614242555;0.09128058207627014;0.11589112346202006;0.6929905162482882;0.19380116867753405;0.7759073406458282;0.6983619524248947;1.8743677218755088
OCSVM_kernel-linear_scale_04_;0.15808203419357128;0.006196315310572201;0.5908265345765347;0.02857543535601071;0.24940116219866781;0.009983370871848139;0.8748019392873075;0.01558014386953839;0.8997979588302263;0.002027201044348459;1.407577681541443;0.007629929567776579;0.05027557968694958;0.0021747902984106528;0.5963636363636364;0.027029215904215472;0.09273236885450019;0.0040142959846890735;0.7795818731533017;0.01588607545493223;0.7623843021103294;0.0028728286907910155;1.1150403261184691;0.004967124324303299;0.2001288971923302;0.004241996831692996;0.5976690666846107;0.022189474150075165;0.29983637473063474;0.007510353854881367;0.6574537877035115;0.01122534453698283;0.6319591626560149;0.002075890621930859;5.125516891479492;0.0559598824420247;0.13616217035761702;0.5949530792082606;0.21398996859460093;0.7706125333813736;0.7647138078655235;2.5493782997131347
OCSVM_kernel-linear_scale_05_;0.18695407546523138;0.009429108243409643;0.49547882672882676;0.03635436270465604;0.27141648965227466;0.01512155954354033;0.8680442445490376;0.015950408128718365;0.9251181836975858;0.0013936368148959207;1.7719452857971192;0.01377785960868437;0.05458278782206705;0.002140160958942475;0.4963636363636364;0.02412090756622109;0.09834851124598623;0.003935665868276486;0.7701764241049955;0.01585103499182841;0.8147352832284339;0.0021409599844207285;1.371930146217346;0.01335051797866934;0.2298252492095137;0.008132899545913983;0.49805598546531193;0.02991001070711261;0.31447591387058715;0.013559319243332323;0.6560961524235739;0.010862959631648957;0.7138752156361908;0.0012715034098389488;6.286606502532959;0.48842059517576775;0.15712070416560406;0.49663281618592503;0.22808030492294937;0.7647722736925356;0.8179095608540702;3.143493978182475
OCSVM_kernel-linear_scale_06_;0.20537741555157213;0.015210248714497263;0.399465811965812;0.04026349455365621;0.27122117360728126;0.02255522343080349;0.8627027836778088;0.01619734206152807;0.9396316603283239;0.0008036740983960828;2.1068702936172485;0.00984561354301853;0.0576041442772839;0.0034030046157604702;0.39454545454545453;0.026410616447879905;0.10052833112732829;0.00602629689373026;0.7632714904143476;0.01635547887221125;0.8562939651980749;0.0015643176185355734;1.7237243413925172;0.006086145627459818;0.29039831610237027;0.009884944156286903;0.39921741470964267;0.027718254682410366;0.3360954606469369;0.016166088970652363;0.6571251559948892;0.010274019207657152;0.7922668711390672;0.002151983492279023;8.89078493118286;0.7968057310863387;0.1844599586437421;0.3977428937403031;0.2359483217938488;0.7610331433623485;0.862730832221822;4.240459855397542
OCSVM_kernel-linear_scale_07_;0.24185804215108134;0.018424887834100484;0.2964597902097902;0.0313190417845129;0.2663090789999594;0.02385614937413601;0.8546931170354481;0.016340939038394047;0.9540667286741737;0.000683505607746453;2.458252739906311;0.05115112876905344;0.0613700250288754;0.004280210107145101;0.29727272727272724;0.022654428717049306;0.10173563511732497;0.0072030217993386955;0.751446780732495;0.01632144280994304;0.8931506849315067;0.0007578485557370631;1.9628067016601562;0.030532772617271494;0.4020322893888661;0.012091134588667788;0.3014204966018437;0.01904011363803676;0.3444057420720193;0.016450087774499866;0.6639794317103305;0.009640856952372597;0.8487937252356457;0.0018860884383804914;10.99485628604889;0.5686892757442996;0.23508678552294096;0.29838433802812037;0.23748348539643457;0.7567064431594246;0.8986703796137755;5.138638575871785
OCSVM_kernel-linear_scale_08_;0.29823217160145354;0.045669740691572154;0.20046134421134418;0.0404675446907449;0.23953227815481495;0.04410912276491282;0.8462327105566259;0.016809787496242738;0.9643831116048185;0.0009360057677644818;2.7518118143081667;0.021794993527249458;0.0710922626591359;0.011230793463405171;0.19545454545454546;0.03797563377128258;0.10422695082410996;0.017476375037831296;0.7419052772624202;0.016511057637835887;0.9319511292114031;0.0010895178800120035;2.1192140579223633;0.008449091422330574;0.5469484052062121;0.014650759024676817;0.20051948051948054;0.013649026365925932;0.2933321760594063;0.01652931925412879;0.6714030079074366;0.009551256423239075;0.8726775276823362;0.0015617647501992224;11.385532116889953;0.7963423335177227;0.3054242798222672;0.19881179006179006;0.21236380167944371;0.7531803319088275;0.9230039228328527;5.418852663040162
OCSVM_kernel-linear_scale_09_;0.32023757036288797;0.050767456224622455;0.10020396270396273;0.024277089771521706;0.15237216966218745;0.03411904067053888;0.8345172931676462;0.017444578509873417;0.9687959723485193;0.0004243696814846657;3.1244319677352905;0.08186144739366799;0.08783643271471644;0.018518019691206623;0.10181818181818181;0.028108408788618738;0.09420739422488003;0.022656237318098685;0.7284898302755445;0.016870926070921936;0.9604776008885597;0.0005809831479627926;2.3794336557388305;0.01206007697102339;0.9354051935887837;0.016169010409785578;0.09961308121929884;0.008878868903812403;0.17989559725032703;0.01429469209586038;0.6772024994352476;0.009183910473979859;0.880308010555197;0.0010060845566439917;13.828388285636901;1.2660649741742538;0.44782639888879605;0.10054507524714779;0.14215838704579817;0.7467365409594794;0.9365271945974253;6.4440846363703415
OCSVM_kernel-linear_auto_01_;0.08956991543692024;0.00327358056189356;0.8859362859362859;0.04121441326588376;0.16267057769467905;0.00585269945329283;0.8960069157773498;0.01369963754052151;0.7429144754188758;0.0090890085400055;0.453489875793457;0.004131346126625971;0.04190779160663243;0.0012787232460200147;0.8800000000000001;0.03916483496097823;0.08000471304314136;0.0024896998066885213;0.8025826290112004;0.013497254099746071;0.5880599777860052;0.005037111426102454;0.36618149280548096;0.011044270764965253;0.1399893246400773;0.0016192853326170299;0.8918282753515914;0.017550531662366697;0.2419905995805248;0.00303684840348831;0.6744933491823867;0.01082475329414197;0.2630967359114371;0.004268430415438644;1.4358110666275024;0.035186286657380786;0.09048901056120999;0.8859215204292926;0.16155529677278171;0.7910276313236456;0.5313570630387727;0.7518274784088135
