Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7857028268238995;0.011779856631864647;0.8462024087024087;0.02209242652150154;0.8146521330042222;0.012044694222347734;0.7405874850517289;0.019549264008348936;0.7;0.029034035313947822;0.7191023468497058;0.013739151352041604;0.9160988599780981;0.0075175307452646665;0.9037473925038692;0.01707614860629817;0.9098214916339575;0.011082174187712844;0.8141297239512422;0.0103617679664452;0.816649933735426;0.008343933836218967;0.8145253238292952;0.008309345963880593;0.8557548415492958;0.009418300882191104;4.914415740966797;0.6137660566967099
SVM_kernel rbf_scale_random 42_;0.7815863132951028;0.013507273801819826;0.8482857420357421;0.025825556476763732;0.8133581802785269;0.015018250658849788;0.7568540370928831;0.023114002614026522;0.7045454545454546;0.024813352843556687;0.7293431360259739;0.016455034629512838;0.9225745586051213;0.009466677884932747;0.9110133907543233;0.01524127349044196;0.9166830005489464;0.009761714309268385;0.8203383029977024;0.011385258244845051;0.8212815291118399;0.011580218793594697;0.8197947722844823;0.010345935979584693;0.8613883998435055;0.009432279253333066;7.98266441822052;0.11229465984350818
SVM_kernel rbf_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;14.067491269111633;0.31572309212753696
SVM_kernel sigmoid_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;14.239752817153931;0.16538700182316918
SVM_kernel sigmoid_scale_random 42_;0.7870079694897042;0.015657342058810194;0.8468822843822844;0.020297123695261245;0.8156534196161493;0.012681544421986091;0.7310847447465167;0.019786324668946587;0.7;0.02727272727272728;0.7148101537339027;0.017283702574818365;0.9168788905122671;0.007010569528101788;0.9016741807415383;0.017025577639654715;0.9091571907108396;0.011043504627512024;0.8116572015828293;0.011954543225009724;0.8161854883746076;0.009676558592604426;0.8132069213536305;0.010312861742848494;0.854660113458529;0.010440590123513834;6.741397452354431;0.19831030871046473
SVM_kernel poly_g2_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;12.206289219856263;0.24075100187041057
SVM_kernel poly_g2_scale_random 42_;0.7848729708249154;0.01639601569959591;0.8336635586635586;0.02349387440364374;0.808292993374868;0.014417662793670794;0.76670501441444;0.02600047179835083;0.7072727272727273;0.03372224907452986;0.7351260690035221;0.020756137797127334;0.9187882787446062;0.01062321057035503;0.9172397550635892;0.014531898724732605;0.9179279003020498;0.00926397249084255;0.8234554213279871;0.011818522341665303;0.8193920136666251;0.0118765961835794;0.8204489875601466;0.010594557160942921;0.8623254107981222;0.009371339429904878;7.810814285278321;0.03501986810167014
SVM_kernel poly_g3_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;12.19682755470276;0.041539659535590245
SVM_kernel poly_g3_scale_random 42_;0.7818510737652746;0.013914061736382254;0.8037296037296038;0.029359819644892156;0.7922425077536773;0.0144646731835177;0.7546461207803254;0.03506996665247788;0.6227272727272727;0.02966757976741949;0.6815055940157368;0.020525225860917134;0.8912313527103881;0.012708151192330406;0.9255447143530044;0.014530396104467177;0.9079875710974077;0.010864856996059418;0.8092428490853294;0.012498043234681223;0.7840005302699604;0.011928870688463834;0.7939118909556073;0.010622810661221104;0.846055604460094;0.00983178366772204;10.956392979621887;0.0761600924603549
SVM_kernel poly_g4_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;12.26315758228302;0.03105173309685856
