Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.7415382911660421;0.0259083584082884;0.7647193084693085;0.049893912285164634;0.7518795510322446;0.02734384292930022;0.6814860867331776;0.03582687701815519;0.6690909090909092;0.05636363636363636;0.6744780546053779;0.04184433966636872;0.9109830930398157;0.016028909733458576;0.9042695646322588;0.014018966735165107;0.9074652802552269;0.009483961702733967;0.7780024903130119;0.02126287669511302;0.7793599273974923;0.02514391818810516;0.7779409619642831;0.022769770148435564;0.8324420481220656;0.015733620079426157;32.529302668571475;9.04112874450213
MLP_Logistic_layers (1)_neurons(50)_;0.7518160062759216;0.02407693354121492;0.7695901320901322;0.04219082358205844;0.759980619754387;0.025488296686630427;0.6713768567419629;0.042475015853625925;0.6718181818181819;0.04443399785399975;0.6705075454399964;0.032935844597584196;0.9140494648667747;0.014143368310170847;0.904531323598681;0.01362415160883022;0.9091349298201938;0.008565075267272744;0.779080775961553;0.01911580365189889;0.7819798791689984;0.02095776753487469;0.7798743650048592;0.01887293820812513;0.8341627543035994;0.01333448820998251;60.95730202198028;14.802193580069625
MLP_TanHip_layers (1)_neurons(50)_;0.7400944366181011;0.03568024852379504;0.782847707847708;0.029028709318179618;0.7600363397907397;0.020116919554633173;0.6840979249867256;0.04190943310705446;0.6518181818181819;0.051111610170438526;0.6662529784381335;0.03600909795017588;0.9118503836244306;0.009753379572784913;0.9027144875849539;0.015333595434578753;0.9071499293380614;0.008161221360982298;0.7786809150764192;0.018536813459841022;0.7791267924169478;0.019058575237085013;0.7778130825223115;0.017913281325228198;0.832599765258216;0.012717602440553998;49.89824471473694;9.532931613570273
MLP_Relu_layers(3)_neurons (50)_;0.7456142432293067;0.023251322105679227;0.7800456487956489;0.05796242809236032;0.7611500739120873;0.03055450616440219;0.6777569341338607;0.04710208892165345;0.6363636363636364;0.049124567585841085;0.6545554349185804;0.03345740445316133;0.907216023872637;0.023753562237809493;0.9047836619339209;0.020685034267000156;0.9055459981729305;0.009475691011638422;0.7768624004119348;0.020212272293769755;0.7737309823644021;0.026148486339700176;0.7737505023345327;0.0209224578339191;0.8305672926447574;0.014022913529479335;34.76600964069367;9.08849848556037
MLP_Logistic_layers (3)_neurons(50)_;0.7446399260493536;0.03131896273177359;0.761907536907537;0.048504436870200986;0.7518463098861423;0.024570110005952776;0.6737371601364395;0.045601847340024315;0.6618181818181819;0.04279491743978116;0.6660553888392619;0.02802646179776201;0.9067660058487078;0.01548638195355248;0.9008942870600901;0.01769583622022112;0.9035770703882932;0.00747725258904087;0.7750476973448335;0.01793993481498279;0.7748733352619362;0.020569015405995247;0.7738262563712325;0.017491121675211576;0.828531396713615;0.012099452489355017;73.08980777263642;12.321639994513005
MLP_TanHip_layers (3)_neurons(50)_;0.7384773684563348;0.032813227428039056;0.7716880341880342;0.056652396449962686;0.7529727759281792;0.02715967664323745;0.6766529691991672;0.048265518549762944;0.6545454545454545;0.04283352359778088;0.663700790287025;0.030490886922065346;0.9078149179061785;0.019360772970143852;0.8980384900074018;0.027577916449523673;0.9025016171783544;0.01469063020061828;0.7743150851872269;0.0234358490075333;0.7747573262469636;0.021649632020282028;0.7730583944645196;0.020371550721531528;0.8277516138497651;0.017837726597126322;46.761381554603574;11.745307109068229
MLP_Relu_layers(6)_neurons (50)_;0.7349134579487794;0.02546981914767939;0.7542977855477855;0.054914920930121076;0.7427426319164039;0.020733345476568073;0.6526852025467376;0.05232773371515485;0.6372727272727273;0.09122218810851769;0.6385780915783931;0.04817567186038904;0.902795527052195;0.015739191353509027;0.8957021734741941;0.01893403961392357;0.89894682233178;0.006459823030380273;0.7634647291825706;0.014886543619385344;0.7624242287649021;0.023866381420600484;0.7600891819421924;0.01877887121744232;0.8194600938967136;0.010079377166222295;39.83690445423126;11.631442061034418
MLP_Logistic_layers (6)_neurons(50)_;0.7671721041360764;0.023594561931449227;0.7452360139860139;0.042601681935576056;0.7556086627942225;0.028931817147498647;0.5636973707869968;0.0417742227336245;0.630909090909091;0.05457574916292231;0.5942230264249806;0.039337573583740744;0.9109001340371219;0.01763428426028474;0.8881898930085457;0.01686173365391438;0.8991585254730599;0.008863389129984597;0.7472565363200651;0.019335510997490677;0.7547783326345503;0.02371487006575332;0.7496634048974211;0.020618738603678424;0.8117911287167449;0.014179079637268594;83.82590057849885;25.180095424735505
MLP_TanHip_layers (6)_neurons(50)_;0.7443971850675656;0.03343379478312829;0.7570755633255632;0.042219878940500874;0.7498546496854552;0.028609385229947375;0.6593842582235512;0.05164100452098316;0.6836363636363637;0.048070196605099216;0.6696620415318214;0.0378680597920435;0.9111582037855122;0.018389857717325094;0.8931162102146558;0.015324077637326003;0.9017989597073802;0.008050403035814842;0.7716465490255431;0.020296313827420975;0.7779427123921941;0.02507366649445302;0.7737718836415521;0.02179056398054289;0.8264979460093898;0.01525336644003586;63.008593034744266;23.103819230630624
MLP_Relu_layers (1)_neurons (100)_;0.759217865396107;0.018043205634955924;0.7535984848484849;0.04547333076524563;0.7556604462650374;0.025855458687635207;0.6648706233527747;0.04505501802993128;0.6681818181818182;0.041110614743981845;0.6653212058490835;0.03292903333022674;0.9070146407727717;0.01111394419147654;0.9068588924029338;0.01883476558710311;0.9068034285061728;0.010878187968025204;0.7770343765072177;0.019703777441165617;0.7762130651444122;0.019202198323111923;0.7759283602067645;0.018667553689357293;0.8313507433489828;0.01441772567168041;34.34816989898682;4.988972588834952
