Parameters;precision-pbr-mean;precision-pbr-std;recall-pbr-mean;recall-pbr-std;f1-score-pbr-mean;f1-score-pbr-std;auc_roc-pbr-mean;auc_roc-pbr-std;accuracy-pbr-mean;accuracy-pbr-std;time-pbr-mean;time-pbr-std;precision-inq-mean;precision-inq-std;recall-inq-mean;recall-inq-std;f1-score-inq-mean;f1-score-inq-std;auc_roc-inq-mean;auc_roc-inq-std;accuracy-inq-mean;accuracy-inq-std;time-inq-mean;time-inq-std;precision-irr-mean;precision-irr-std;recall-irr-mean;recall-irr-std;f1-score-irr-mean;f1-score-irr-std;auc_roc-irr-mean;auc_roc-irr-std;accuracy-irr-mean;accuracy-irr-std;time-irr-mean;time-irr-std;precision;recall;f1-score;auc_roc;accuracy;time
OCSVM_kernel-linear_scale_01_;0.07891128312494221;0.0018967404853359924;0.8921571484071483;0.029776732043293473;0.14499364392496875;0.003532400997266706;0.8928403220280112;0.015229711536189466;0.7034930194621966;0.004879625622710401;0.5910125017166138;0.014549582363302097;0.04845402830055938;0.0012595228616900562;0.8899999999999999;0.03531440836282735;0.09190312362871618;0.0024419678283457273;0.8434293616436473;0.018314366225385376;0.641965938541281;0.005397316349618293;0.4752942085266113;0.012566166904089406;0.1397778873036895;0.0017386173602197592;0.8946955117421439;0.01481261708823673;0.24178136466317285;0.003126735159964461;0.7031424850971518;0.016611878897978063;0.25984605326351484;0.0026319537854984556;1.8505032777786254;0.03124659452295291;0.08904773290973038;0.8922842200497639;0.15955937740561926;0.8131373895896035;0.5351016704223309;0.9722699960072836
OCSVM_kernel-linear_scale_02_;0.10836905585627336;0.003688818787410064;0.7940462315462316;0.03922414814142871;0.19070123508451295;0.006770198197793134;0.88324311186067;0.01650751769624265;0.8101476716293959;0.002846944553493634;1.0975525617599486;0.01743795838367798;0.05796245095985829;0.002434206657814749;0.7954545454545455;0.045135242135659684;0.10804893239065298;0.004633232968584774;0.8442601181886896;0.018336104678324035;0.732728619029989;0.004030954325942386;0.8431293487548828;0.007592784621597825;0.15953924404642425;0.003849192855857551;0.7974160554471437;0.02702187542316679;0.2658734289692332;0.006723382620519841;0.6966118241626112;0.01670469127104319;0.4192637846174092;0.006651223624635315;3.635290813446045;0.06516284944481524;0.10862358362085196;0.7956389441493069;0.18820786548146637;0.8080383514039903;0.6540466917589314;1.8586575746536254
OCSVM_kernel-linear_scale_03_;0.12937083550418574;0.006912929994033904;0.697295066045066;0.04362310269883202;0.21822877080280095;0.011780791922908597;0.8760881980168055;0.017624276368473028;0.8592385402225423;0.003234835329428583;1.7179844856262207;0.07273368574900262;0.06649942014288047;0.003853684975948314;0.6954545454545454;0.05146610856261149;0.12138821643691969;0.007202087602200067;0.8370088641517214;0.01939343445591338;0.7952054794520549;0.0020977070758237304;1.294780421257019;0.024561254800776776;0.19520347902426144;0.003973185710395937;0.6983217818450979;0.023915275775729935;0.30509931378976207;0.006940703121746347;0.6895198423536226;0.015409498899120596;0.5805301740801962;0.004341931199317085;5.476533150672912;0.1984839641849047;0.1303579115571092;0.6970237977815698;0.21490543367649426;0.8008723015073832;0.7449913979182646;2.8297660191853837
OCSVM_kernel-linear_scale_04_;0.1599384414291259;0.00825143141164016;0.593599456099456;0.03602737751516937;0.25197633772918226;0.013451291568150288;0.8708885035247296;0.018114104337895155;0.9007197928254765;0.001285308235322676;2.2257898569107057;0.09253386045066188;0.07519464064853182;0.003912697418327005;0.5963636363636363;0.04189715862473788;0.13354512354250045;0.007214111343351563;0.8304864976293548;0.01977679112685201;0.8425768233987412;0.0015820703901682075;1.7066420078277589;0.04533553646088881;0.259494543757986;0.0050911441373143445;0.5989792073211764;0.02639643220723542;0.3620334872028372;0.008955177411844253;0.6935696090565372;0.012170630459640095;0.7217105104480667;0.0043478956946360866;8.121659660339356;0.411286180903163;0.16487587527854788;0.5963140999280896;0.24918498282483995;0.7983148700702073;0.8216690422240949;4.018030508359273
OCSVM_kernel-linear_scale_05_;0.18639505456622596;0.012189764828682299;0.49691627816627815;0.04446343162440664;0.271035972730842;0.019263466274687863;0.8645759151712735;0.018362386604910155;0.9247847388287044;0.0015967955770447993;2.7957000494003297;0.10531980578459992;0.08210710240852744;0.007799831698988535;0.49727272727272726;0.05948122837438397;0.14093159702599314;0.013874283602552426;0.8250594379165808;0.020593365094848572;0.8768419104035543;0.0010039057284676773;2.2047130823135377;0.029085470199051014;0.37459735611327133;0.00725562271311541;0.4985774846914743;0.018522436859197456;0.42767569698050123;0.009899301318441156;0.7117035023831535;0.01231802680674838;0.8240547307893239;0.002951432420866724;11.566494393348695;0.3103419458037993;0.2143665043626749;0.49758883004349325;0.27988108891244545;0.8004462851570026;0.8752271266738609;5.522302508354187
OCSVM_kernel-linear_scale_06_;0.22253547217701602;0.01809039621733322;0.3974116161616162;0.04864979172851699;0.2851893532376023;0.027297287719569123;0.8618466901413419;0.018485315278687665;0.9440445787760906;0.0009190082971230525;3.909537935256958;0.13233849789564495;0.09436979799852671;0.00966479237072174;0.3972727272727273;0.05455302977700908;0.1524809305615386;0.01661581172216531;0.818579502508074;0.020548968398957184;0.9103850425768233;0.001083999701736938;2.5915591716766357;0.0877069321350618;0.556158873902598;0.008050013568068356;0.3971516048718121;0.015486813418770187;0.46323185852237636;0.011569229744068318;0.733319418332387;0.011549544067235917;0.8786656279131522;0.0015538891912616315;15.190876960754395;1.2105973753015506;0.2910213813593802;0.3972786494353852;0.30030071410717246;0.8045818703272675;0.9110317497553554;7.230658022562662
OCSVM_kernel-linear_scale_07_;0.24529082001006802;0.02708782781113942;0.29582847707847704;0.04749421246639657;0.2680118448178582;0.03552721508849342;0.8588247314407758;0.01849756889525365;0.9546747679584863;0.0011894303416487017;5.149725818634034;0.10628697589889549;0.11589041582245078;0.013793425982016985;0.29727272727272724;0.048964483670891755;0.166691272940572;0.021988882232361732;0.8127150759293617;0.020856625871368252;0.9398000740466493;0.0006866803773043614;3.027808141708374;0.0804354947777731;0.7493813966393993;0.011065567745370217;0.2993459390350582;0.015279793971617262;0.42758994252956956;0.01605655359182062;0.7493295706950099;0.011720493768410114;0.8943712251226612;0.001706043162630554;16.80890557765961;2.481336728851544;0.3701875441573061;0.29748238112875414;0.2874310200959999;0.8069564593550491;0.9296153557092657;8.328813179334006
OCSVM_kernel-linear_scale_08_;0.2864497948123581;0.04271969802263052;0.20044677544677544;0.04778621995755951;0.23536694966184815;0.04757273008217052;0.8566111750117805;0.01857481447116881;0.963657425270734;0.0009480830003889909;6.625852513313293;0.8891904225915753;0.13884851317996372;0.023738817980494716;0.19818181818181818;0.04142103909052552;0.1632182361278748;0.03045755676548436;0.8074823060537346;0.02112423262990811;0.9588485746019992;0.0005972701149537846;3.7396048307418823;0.09346674375666725;0.9398044345114773;0.011342575880172444;0.19869927999461678;0.01924972944717122;0.32761095328460493;0.02656689057736732;0.7622422867355482;0.011822563101060635;0.8926261262432084;0.002459240650689649;17.659981107711793;0.8819093069368789;0.45503424750126636;0.1991092912077368;0.24206537969144262;0.8087785892670212;0.9383773753719805;9.341812817255656
OCSVM_kernel-linear_scale_09_;0.3643349829064115;0.06831312787578415;0.1009129759129759;0.038729477366421385;0.15692072106655736;0.05394550693103833;0.8547913505935705;0.018509251289378807;0.9699923469020726;0.0006141405842343396;8.327333664894104;0.431898934353202;0.1564215852101126;0.02411754868247094;0.1009090909090909;0.020103040352269074;0.1226049704453986;0.02231585983307051;0.8027198859341717;0.02127813394898819;0.9707145501666048;0.00018137650816609608;4.933504605293274;0.5779083723601727;0.9733008816882526;0.0067516755694765045;0.10013727205437048;0.02241781969705657;0.18085855263170475;0.03730348084640531;0.7735523586761432;0.011879365823593615;0.8809582384089183;0.0029942576477961394;21.033436560630797;1.3876523412351047;0.4980191499349256;0.10065311295881245;0.15346141471455357;0.8103545317346285;0.9405550451591985;11.431424943606059
OCSVM_kernel-linear_auto_01_;0.07891128312494221;0.0018967404853359924;0.8921571484071483;0.029776732043293473;0.14499364392496875;0.003532400997266706;0.8928403220280112;0.015229711536189466;0.7034930194621966;0.004879625622710401;0.722765851020813;0.015921493730914994;0.04845402830055938;0.0012595228616900562;0.8899999999999999;0.03531440836282735;0.09190312362871618;0.0024419678283457273;0.8434293616436473;0.018314366225385376;0.641965938541281;0.005397316349618293;0.5348543882369995;0.008562733459566485;0.1397778873036895;0.0017386173602197592;0.8946955117421439;0.01481261708823673;0.24178136466317285;0.003126735159964461;0.7031424850971518;0.016611878897978063;0.25984605326351484;0.0026319537854984556;2.2106584787368773;0.05193452366768753;0.08904773290973038;0.8922842200497639;0.15955937740561926;0.8131373895896035;0.5351016704223309;1.15609290599823
