Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7512003909581629;0.020805307099785796;0.7355137917637918;0.045118554390547336;0.7427235880009334;0.028843692490689844;0.606194572990667;0.04689554615613395;0.6827272727272727;0.04330365586841656;0.6416553661480909;0.041374276370562534;0.9104193832101883;0.019203929579460953;0.8835307179866765;0.011658545317751196;0.896610205378774;0.010050148784700412;0.7559381157196727;0.02190479637187797;0.7672572608259136;0.027122183907812944;0.7603297198425996;0.02418734466234591;0.8157020246478872;0.017426505403468514;12.349887919425964;0.4542860730266443
SVM_kernel rbf_scale_random 42_;0.7826655412458463;0.01663923720631959;0.840588578088578;0.04330607683506569;0.8100117598382239;0.02224692076308919;0.7447410388150066;0.04698736319902968;0.7090909090909091;0.053782543482723766;0.7248759894057433;0.03610102303771618;0.9257263136002273;0.011900379442936662;0.9115315254693492;0.0153906691249283;0.9184194899686691;0.006887089069426446;0.8177109645536934;0.020281240851150715;0.8204036708829454;0.021461105408331967;0.8177690797375454;0.018980727617400217;0.860760465571205;0.013307919255728952;11.040933084487914;0.08949372278306017
SVM_kernel rbf_auto_random 42_;0.7673121683423296;0.01804634602349202;0.8454933954933956;0.03771076985323744;0.80407483152281;0.020743051621736713;0.7557686633089806;0.04551892083288831;0.7;0.0487869376909045;0.7254868264749714;0.034716425019439;0.9212307577212526;0.011568715784833188;0.9045319965009083;0.015865640783416853;0.912668438293401;0.00835241509333333;0.8147705297908544;0.02034760438466886;0.8166751306647679;0.02043805320848596;0.8140766987637275;0.018678909540587627;0.856067097026604;0.01372568388780483;10.768648886680603;0.07594937257652178
SVM_kernel sigmoid_auto_random 42_;0.7646606624786403;0.014958874146815656;0.8517531080031079;0.0397663291315107;0.8054175365936915;0.020934832651950595;0.7566686860321361;0.04489813549737141;0.6954545454545454;0.04693057999687383;0.7235418168537064;0.0347955632317986;0.9199815275988555;0.012473114783717296;0.9011600834398761;0.014049278778556119;0.9103584769414967;0.008515924148882525;0.8137702920365439;0.020076595600307386;0.8161225789658433;0.021122739805939206;0.8131059434629648;0.019132731650420846;0.8546581572769952;0.01405943562799529;11.046791601181031;0.09452214179019876
SVM_kernel sigmoid_scale_random 42_;0.7731266968124404;0.01789240859102201;0.8371454933954935;0.04467562456812787;0.8031420312720954;0.021505162399127038;0.71445106853072;0.04504239734971637;0.6609090909090909;0.06246321231382503;0.6846662218025832;0.04050253728172663;0.9060200080034306;0.015842341102515544;0.8959720072673439;0.012531049058155727;0.9007893892277892;0.006587510476245668;0.7978659244488636;0.01700215778203112;0.7980088638573095;0.02242513312708594;0.7961992141008226;0.01797934665391913;0.8423014475743349;0.011639620201976085;9.882063746452332;0.33573931406097046
SVM_kernel poly_g2_auto_random 42_;0.7605017757526618;0.01666482557843401;0.8190268065268065;0.03892256124383231;0.7882374202568174;0.021734020910362115;0.7764756339562704;0.037880810846121084;0.6036363636363636;0.044758304091240625;0.6783845463752255;0.0363725011735375;0.8872928459584697;0.01774745279639847;0.9175075701500571;0.012395779502594437;0.9020088158160693;0.010782248630787717;0.8080900852224673;0.01660837618945567;0.7800569134377424;0.02072229857142632;0.7895435941493707;0.017724976244573643;0.841362969483568;0.013202225765827778;14.074943113327027;0.12155049705712315
SVM_kernel poly_g2_scale_random 42_;0.784989547841104;0.01670792850732002;0.8385052447552447;0.04021589672118705;0.8102535880401565;0.01874105372608035;0.7450237386448244;0.04383879479395242;0.7027272727272728;0.04946824676513742;0.7220986880403018;0.036069551126047504;0.9226073539007296;0.01031950587565935;0.9130906399300182;0.013898522806714898;0.9177115007560926;0.00691067246649641;0.8175402134622193;0.01857791384599998;0.8181077191375119;0.019869505024675722;0.8166879256121835;0.017804474448310906;0.8601352210485134;0.011908005964049093;10.521653866767883;0.08425307266243957
SVM_kernel poly_g3_auto_random 42_;0.7757471100980969;0.03758585559947044;0.601942501942502;0.03831647738454824;0.6769984226114631;0.02930516045971777;0.8684415584415583;0.11857528494192725;0.050909090909090904;0.01233150906022776;0.09574213746434279;0.021771936366143805;0.7200592951516708;0.011137633146352978;0.9727663010564566;0.00837469998437347;0.8274941484008043;0.008234526529779476;0.7880826545637755;0.03788427320263511;0.5418726313026831;0.014234301462313281;0.5334115694922034;0.015235048956858904;0.7307526408450704;0.010999790447379695;19.296875095367433;0.4249556844810659
SVM_kernel poly_g3_scale_random 42_;0.7797921724054527;0.01717841738014978;0.8273698523698524;0.04141664463308959;0.8024093511774082;0.023275832263275027;0.7433452055359465;0.0398814906773993;0.6763636363636364;0.040492831729672885;0.7073806269888221;0.030688920709417783;0.9124394922884603;0.011275137348845487;0.9143893412287195;0.011768588722227545;0.9133251576672459;0.007195892338930109;0.8118589567432866;0.018878085152285784;0.8060409433207362;0.019445889016157906;0.8077050452778252;0.01785602220439595;0.8538764182316119;0.012924619503348401;12.514913058280944;0.1083669713049888
SVM_kernel poly_g4_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;20.66230387687683;0.04951621928999033
SVM_kernel poly_g4_scale_random 42_;0.7800692146240714;0.015167499980114163;0.8092851592851593;0.041888838338263894;0.7939214324052377;0.02300410650473005;0.7585552377448683;0.03476629605586452;0.6381818181818183;0.04449904818371061;0.6925172896274209;0.03517134529261064;0.8955221243971552;0.012441422479142124;0.9232124352331607;0.010978399817881275;0.9090815070440149;0.00831507781919944;0.8113821922553649;0.018207826668839397;0.7902264709000459;0.02059571450647926;0.7985067430255578;0.018645643763205266;0.8485578051643191;0.01326908237904986;15.49155342578888;0.22053884274128885
