Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.7539229390999954;0.0249224056831354;0.8002039627039628;0.04180489046798104;0.7756568058665698;0.024568376490194648;0.70403705100554;0.03345827067239398;0.6945454545454546;0.04567220613483807;0.6983374922854169;0.031136341078088162;0.9275582097881936;0.012914765192395341;0.9089361415786286;0.017521805227229965;0.9180717771613359;0.012799712631774925;0.7951727332979097;0.01794897689738672;0.8012285196093487;0.020630081941937245;0.7973553584377742;0.018975181867276522;0.8476215277777778;0.015227912002884474;32.642490243911745;5.595075477591958
MLP_Logistic_layers (1)_neurons(50)_;0.770939352388466;0.025706168442220876;0.8036907536907536;0.045488823085153784;0.7861073717873099;0.02542335299387795;0.7068397579935309;0.027891139147526927;0.7163636363636365;0.035860150769665484;0.7110270530925348;0.025429616335546558;0.9299184035421456;0.012677654601957584;0.9107590337124016;0.01321555286841702;0.920181421134427;0.010719323850173147;0.8025658379747143;0.014957532792998786;0.8102711412555973;0.01683470482181338;0.8057719486714239;0.01575618645084834;0.8532526408450705;0.012173108493962187;91.77242817878724;6.635562164355365
MLP_TanHip_layers (1)_neurons(50)_;0.7682251490050769;0.02483262894994756;0.7953914141414142;0.03890153595727529;0.7807640671896844;0.02066740969985709;0.6974494538387276;0.025598942250934634;0.7054545454545454;0.0580965283951653;0.7000447227183512;0.0312700212395943;0.9271518260977792;0.01717069852409169;0.910753650494583;0.015541918736259236;0.9187505215261602;0.01216585883660674;0.7976088096471946;0.014983376834377409;0.8038665366968475;0.02170039049921417;0.7998531038113985;0.017793006806297425;0.8494982394366197;0.013758414377205557;72.19088616371155;7.034824473299259
MLP_Relu_layers(3)_neurons (50)_;0.7593697954299121;0.024350957088995297;0.7745532245532247;0.06383861742996222;0.7651733970633753;0.03134650302922912;0.6810495682503996;0.04065978863987456;0.7027272727272728;0.04636363636363635;0.6900675684910933;0.027567636920534964;0.9229221178351399;0.020132810501140037;0.9055729762465512;0.014762165440669738;0.9140341303552655;0.013865675029083585;0.7877804938384839;0.018411039873035117;0.7942844911756829;0.02392970037584544;0.7897583653032447;0.020717783995265287;0.841205985915493;0.016989749562241897;52.62104804515839;13.824197149588587
MLP_Logistic_layers (3)_neurons(50)_;0.7646065560815222;0.024704498465954374;0.7772533022533021;0.04647526627832202;0.7700904834532174;0.028073517931542516;0.7095188669500325;0.038405802350842;0.7081818181818182;0.054157712758569024;0.7077061213689454;0.038302024218968715;0.9166075095166809;0.015300943871611886;0.9104925644303881;0.016525986361574138;0.9134475253272853;0.012929212655162763;0.7969109775160785;0.01852816367071472;0.7986425616218362;0.020336944288425116;0.7970813767164827;0.019132399500093315;0.8457406592331769;0.015229192688021776;108.83467650413513;19.635883014948675
MLP_TanHip_layers (3)_neurons(50)_;0.7579895140809778;0.027993605379096193;0.8071921134421134;0.038119522273456864;0.7812436776610694;0.02546786377376794;0.7049336289358233;0.03572172156385879;0.7118181818181819;0.03921755383658727;0.7075209840792445;0.02819485344101938;0.9301935730763237;0.01306926690188766;0.9040131888836551;0.015984834035785194;0.9168291735652625;0.011634850929492095;0.7977055720310416;0.019225236518209555;0.8076744947146501;0.01906349013016604;0.8018646117685254;0.01869974446069224;0.8491842723004697;0.015113986588728569;59.971393418312076;12.709713387051101
MLP_Relu_layers(6)_neurons (50)_;0.768753448418183;0.02311657425875595;0.7626991064491065;0.066365168253853;0.7640723218758272;0.03544547184457247;0.6789022235330305;0.04751959240508346;0.7009090909090909;0.06317364237487887;0.6877422828000744;0.041806426111919065;0.9152777627558557;0.020231295274805203;0.9076401318888365;0.016512823831652836;0.9113391946991305;0.015726905763591245;0.78764447823569;0.022124655230408644;0.7904161097490112;0.027349232531359954;0.7877179331250108;0.02462571939452031;0.8394818564162755;0.01970982164079831;67.00384590625762;12.47886196912712
MLP_Logistic_layers (6)_neurons(50)_;0.7705064573844399;0.02592957267471884;0.7543414918414919;0.05860375041229151;0.7608829845753664;0.030836692972957453;0.595448357685427;0.03940215782414836;0.6963636363636364;0.0302059049560657;0.6410416020776397;0.02793855514517793;0.9374037042069192;0.013626853865966843;0.8972727272727272;0.019914745776455876;0.9167022207547181;0.010826947234315631;0.7677861730922622;0.016919264801196092;0.7826592851592852;0.019266421676832585;0.7728756024692414;0.01842294868200783;0.8305670481220657;0.015438585557266078;81.17904467582703;22.986946598194006
MLP_TanHip_layers (6)_neurons(50)_;0.7750551308983826;0.016911240044124018;0.7612713675213676;0.03790219308825707;0.7673414986094446;0.01601916538640673;0.6806031893653632;0.035571592292671754;0.72;0.03372224907452983;0.6991626269079603;0.028524854413468703;0.91743878649444;0.01854739725491019;0.9071307449027655;0.015662829634898432;0.9121161943948142;0.012902071215266056;0.7910323689193953;0.013591021826441497;0.796134037474711;0.016610075233562668;0.7928734399707397;0.01431597825626424;0.842143485915493;0.011942718013901529;74.95277078151703;26.17055082328741
MLP_Relu_layers (1)_neurons (100)_;0.7709916836635775;0.01779759402998413;0.8009858197358197;0.03986145477831714;0.7850289113462614;0.019904305199709864;0.7084988400629308;0.0418538267497401;0.7290909090909091;0.04020608070453815;0.7169777994688606;0.020993212159150454;0.9354412067337954;0.012955094938703287;0.9125657761927192;0.02436054026209088;0.9237140767000606;0.01587375570285336;0.8049772434867679;0.018273778325595725;0.814214168339816;0.014441801138236482;0.8085735958383943;0.014600585639364786;0.8559145148669796;0.015025202206532156;40.094998359680176;8.419512162903878
MLP_Logistic_layers (1)_neurons(100)_;0.7682079481603477;0.02566170654009437;0.8141899766899767;0.037880866049819543;0.7900831367746626;0.0263871778196074;0.7198481110950488;0.027538151400330654;0.72;0.03916483496097819;0.7194098815762987;0.027935681969403218;0.9343364440152063;0.01759360738560894;0.9128288809635959;0.012846676793709657;0.9234049063975778;0.013633016076882245;0.8074641677568677;0.017978010391473856;0.8156729525511908;0.0218465364078094;0.8109659749161798;0.01975297333588205;0.8574753032081377;0.016232352582834862;95.23706164360047;11.614199703374565
MLP_TanHip_layers (1)_neurons(100)_;0.7685684503603991;0.023260246117434276;0.8072406759906761;0.04167908873364761;0.7868981433868745;0.02616058721218685;0.7197817780096518;0.035419861338730346;0.7200000000000001;0.03699452718068328;0.7190068671845442;0.026360258351163863;0.9309934747381614;0.014212971638080229;0.9125704865083103;0.01477990136557754;0.9216515074253546;0.013229823633107892;0.8064479010360708;0.01679574647547312;0.8132703874996622;0.017880882379039082;0.8091855059989242;0.017085822953242662;0.8557563086854459;0.014210697987160346;74.57286932468415;11.334184091207439
MLP_Relu_layers(3)_neurons (100)_;0.7621470149726577;0.01690775921902427;0.7849358974358974;0.06078643165338543;0.7717855717742685;0.026487552178955723;0.6973954954086578;0.030409064665081427;0.7109090909090909;0.03852658200075835;0.7030581300961395;0.021122778571099614;0.9216825913447932;0.011674258900928016;0.9050467667047977;0.020226706701543706;0.9131423976177564;0.01207237928741021;0.7937417005753696;0.011998210913234773;0.800297251683262;0.012542571609667968;0.7959953664960546;0.011227812647723474;0.8446483763693271;0.009891702786936324;57.854446983337404;18.74886154886148
MLP_Logistic_layers (3)_neurons(100)_;0.7672412911315406;0.029691363098899522;0.7968045843045843;0.050043280044194005;0.7808287553483364;0.03088643325202406;0.7087155405840553;0.030132830411307536;0.6972727272727273;0.03498523891798883;0.7016020058651338;0.012720815885479669;0.9231378977215682;0.01574077221892509;0.9125731781172195;0.012390936157025795;0.9177144985735076;0.010020430250988211;0.7996982431457214;0.014582901647211429;0.8022168298981771;0.016875875712667097;0.8000484199289926;0.014931049054524383;0.8494972613458529;0.012159755849282614;114.45354461669922;20.79918465287443
MLP_TanHip_layers (3)_neurons(100)_;0.7562199043767377;0.019262979221462553;0.8093045843045843;0.047799708776901206;0.7812698274897418;0.02861192821427295;0.7092209593077264;0.03447371671604678;0.7172727272727274;0.038451429059193805;0.7126627509932708;0.031044028078091906;0.9315555286260455;0.019498730384641064;0.9034896709508107;0.016557570416661324;0.9171957711456111;0.014977390020435065;0.7989987974368364;0.021017101997925107;0.8100223275093741;0.02361466131193362;0.8037094498762078;0.02190468745088519;0.8502797339593113;0.01857019973751825;97.27480032444001;25.061201569342327
MLP_Relu_layers(6)_neurons (100)_;0.7743020307284453;0.025222751756800634;0.7939733877233877;0.050742417676621195;0.7827849365924513;0.024943287918527332;0.7030974517606288;0.03612582439309958;0.6627272727272727;0.13584446624086113;0.6733095430255123;0.10005754543392;0.9135301553521721;0.03369463336581735;0.9175156449767847;0.019295616801169344;0.9149073882879591;0.015468435071447701;0.796976545947082;0.022004896688142032;0.7914054351424817;0.04270742525937478;0.7903339559686409;0.03938828660623687;0.8459013106416275;0.020959923305224983;78.32770578861236;17.452136868697437
