Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7523030778996608;0.018718976896846914;0.7160353535353534;0.04787813261089913;0.7329627784425643;0.028764367090210664;0.59185787917788;0.03167767236192424;0.6790909090909092;0.03522067386874639;0.632064574564619;0.029178499717654384;0.902756782916555;0.011545835130135549;0.8804084516519749;0.01418932262823455;0.8913693314880374;0.010157012912256787;0.7489725799980318;0.011439481258894728;0.7585115714260792;0.017098483276343262;0.7521322281650736;0.014472883582126676;0.808819933489828;0.010342505677735743;14.652119398117065;0.570084422107336
SVM_kernel rbf_scale_random 42_;0.7886633446886762;0.01892200309800632;0.8580371017871018;0.03387628189589425;0.8215357423016683;0.020552929075562415;0.7654778733109934;0.0313729660273877;0.7527272727272727;0.037877575738181214;0.7584174425944503;0.02710228548748079;0.9413189504738773;0.009232942087801208;0.9143913599354013;0.012896175680533264;0.9276041122854476;0.008710343052298473;0.8318200561578489;0.014901892732214811;0.8417185781499252;0.01525757008581852;0.8358524323938553;0.014403902953498448;0.8739060054773085;0.011426853803312853;14.030232405662536;0.11734784561054441
SVM_kernel rbf_auto_random 42_;0.7871316699242713;0.02104341563703109;0.8608051670551671;0.028098183585903255;0.8221315920289476;0.021017501122589825;0.7646413092885223;0.028842420429951682;0.7536363636363637;0.03460521147395323;0.7586763296797182;0.026323879413438715;0.9416900042515458;0.008602975295141762;0.9123154565641614;0.013098014388739965;0.9267139649343518;0.008520917854035314;0.8311543278214465;0.01505369701568135;0.8422523290852307;0.015932749574718557;0.8358406288810057;0.014869175696387404;0.8734370109546166;0.01159855713164069;13.44425687789917;0.10811615747617333
SVM_kernel sigmoid_auto_random 42_;0.7850150154078357;0.016342596936025185;0.8469017094017094;0.028005935443053177;0.814471615165506;0.01563645564569502;0.7510903268857795;0.04203239861687353;0.7572727272727273;0.027287874581461168;0.7535514186674168;0.028771389959485784;0.9340828968688198;0.010320686709081248;0.9034950541686293;0.01242722574052959;0.9184922198205697;0.00959833595674575;0.8233960797208116;0.01496313118397254;0.8358898302810219;0.013803365384971707;0.8288384178844975;0.013977397897254116;0.8656144855242566;0.011536665801556411;12.236811327934266;0.12650899878124783
SVM_kernel sigmoid_scale_random 42_;0.7862516381113279;0.021501998653361675;0.8364607614607615;0.02663166975254782;0.8102111414564195;0.01657676102616467;0.7426250364428626;0.043789494829233395;0.7499999999999999;0.03021958207017212;0.7456494914916024;0.031154618311927656;0.9269342814113803;0.007988199912112283;0.9011594105376488;0.013753940147508869;0.9138090675916255;0.008807063372152644;0.8186036519885237;0.015943996219737057;0.82920672399947;0.015263679735714396;0.8232232335132157;0.015168744388397186;0.860608372456964;0.011806880208750765;12.246024298667908;0.13156131980635685
SVM_kernel poly_g2_auto_random 42_;0.7946862694743428;0.019572414361842906;0.8538558663558664;0.029875987731602487;0.8228228209943387;0.017146277626224435;0.7707732664906739;0.034403383000434475;0.7527272727272728;0.0369945271806833;0.7609418106177518;0.02738765554003273;0.9359063799012819;0.009365989108966122;0.9154283022676803;0.012103569932932622;0.9254971103848968;0.008062239430517256;0.8337886386220996;0.01400034613629022;0.8406704804502733;0.015091702978205454;0.8364205806656624;0.013795348321064924;0.8735927719092332;0.010294776178389534;13.712058901786804;0.20907835414093975
SVM_kernel poly_g2_scale_random 42_;0.7960083918579182;0.020519685808140876;0.8510538073038074;0.037790266049574875;0.8221786976537985;0.023103538443490532;0.7621234959361355;0.03567649467271972;0.7545454545454546;0.03544288852657807;0.7576387346257353;0.02735455345220117;0.9389735479591099;0.011341445474461243;0.9167249848596997;0.012231708717870991;0.9276692326290688;0.009807750425177899;0.8323684785843879;0.01637567473490215;0.8407747489029871;0.017288943869019573;0.8358288883028674;0.01627183476264897;0.8740615219092331;0.01261909085923747;13.41693422794342;0.13675168720278616
SVM_kernel poly_g3_auto_random 42_;0.7981593161565662;0.01651380512132348;0.8197649572649572;0.03117798974745382;0.8083142022066289;0.014369858598396996;0.7655245065782005;0.023094500723274573;0.7227272727272727;0.02734837992089332;0.7432386573158013;0.021318687032575816;0.9152237969564355;0.012205132709178024;0.9200982437251867;0.011685315901627824;0.9176025765838973;0.009791976070694998;0.8263025398970674;0.009613006483178917;0.8208634912391389;0.01247469413253017;0.8230518120354425;0.010663362924913357;0.8635781005477308;0.009377303641790031;17.1964891910553;0.11149361771599825
SVM_kernel poly_g3_scale_random 42_;0.7922856375164977;0.022372667169437907;0.8211392773892774;0.0514544090847708;0.8053749341743975;0.025710686842203716;0.7591322923122191;0.03938499883892014;0.7372727272727273;0.03338975940401267;0.7472656243877169;0.027631550924785638;0.9277895558063796;0.01297852859013256;0.9216539936747189;0.012465676763765655;0.9246549054153409;0.010490175940193523;0.8264024952116988;0.01717162113684928;0.8266886661122411;0.017056614747206177;0.8257651546591518;0.016843898096053102;0.8673337245696402;0.013661185906356989;17.2778089761734;0.1315588585990747
SVM_kernel poly_g4_auto_random 42_;0.8066481658094243;0.014538578024585528;0.7439005439005438;0.03874144204350539;0.7733164951065172;0.020614790618882464;0.7796417835320689;0.029605040535726886;0.6754545454545455;0.027287874581461136;0.7234071341935258;0.02286786840433429;0.8761094463492262;0.013611902379014294;0.9343651167485364;0.012083312996434623;0.9042455987757064;0.010927925555898313;0.8207997985635732;0.011834939512296102;0.784573402034542;0.014122943885396153;0.8003230760252498;0.012774905665403317;0.8469945715962443;0.011171230758178984;20.810518527030943;0.8949492986499562
