Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.7566027101577724;0.013439031334806794;0.7863296425796426;0.060674085682328065;0.7701695088182774;0.034578422782190275;0.6870742677058692;0.021670552609087786;0.6790909090909091;0.04564505531139342;0.6822017909113585;0.027402553369222944;0.9170154251569411;0.018585005026556026;0.9060857277437588;0.01266317150351156;0.9113428433356386;0.00970695362600323;0.7868974676735275;0.014755862767243706;0.7905020931381035;0.023391839108159233;0.7879047143550915;0.01899354199874509;0.8401129694835682;0.014024565513555695;39.48452305793762;6.331264762862117
MLP_Logistic_layers (1)_neurons(50)_;0.7692972053918352;0.02136060037460377;0.8085567210567209;0.03803729809272764;0.787748682078689;0.019284836596116087;0.6961547668185468;0.03413608341928151;0.6818181818181818;0.04264014327112209;0.687831794272751;0.02785693022744437;0.9223095096081169;0.01334883210737015;0.9089455622098109;0.01211189997204688;0.915487034669326;0.008850978911359771;0.7959204939394997;0.01207987055990553;0.7997734883615714;0.017447068242718466;0.7970225036735885;0.014270595900660854;0.8473080496870111;0.009841753138515841;82.57488996982575;3.309875912157548
MLP_TanHip_layers (1)_neurons(50)_;0.7631992980085026;0.018444547706391128;0.8029623154623154;0.050060965053444165;0.7816697321672088;0.025670309415868266;0.6973717063177018;0.042058666808837436;0.6854545454545454;0.04130115160582016;0.6904716781967453;0.0333048817598585;0.9219167119731019;0.011671945448330789;0.9073864477491419;0.009278697612128708;0.9145221830403207;0.006784786728204408;0.7941625720997688;0.015476641877317216;0.7986011028886677;0.01921369462768446;0.7955545311347583;0.016837977107300294;0.8457413928012519;0.011287183934279238;65.67988233566284;6.058778018880918
MLP_Relu_layers(3)_neurons (50)_;0.7691172260192897;0.024553765336332047;0.7883352758352759;0.059464079057251436;0.7769015038014881;0.027661309490170087;0.679235026833011;0.032878910010582345;0.6590909090909092;0.057531881208351794;0.6676042317654973;0.03621161323751612;0.9093296649512388;0.02662596147379337;0.906088419352668;0.023320249096989862;0.9070956200689324;0.00918498521698795;0.7858939726011799;0.016115349341265454;0.7845048680929512;0.028882687249361202;0.7838671185453061;0.0208728820513288;0.8371378618935837;0.013312826646865505;41.15186188220978;12.806690319861533
MLP_Logistic_layers (3)_neurons(50)_;0.7750030996907403;0.014910878494245324;0.7848727661227661;0.046489850991416594;0.7789095295426169;0.019893591096783056;0.667702995195443;0.03479419541565447;0.6881818181818182;0.030164836405521925;0.676958082395396;0.02254160919527346;0.918001426754978;0.01135226339468387;0.9042736020456227;0.012620119890375987;0.9110012137103964;0.008162322506964553;0.7869025072137203;0.010981503176333295;0.7924427287834025;0.014708932063399283;0.7889562752161364;0.012527562080771876;0.8402677523474178;0.008776490152050809;86.73416883945465;11.010419098220233
MLP_TanHip_layers (3)_neurons(50)_;0.7615945981706862;0.03393520700269807;0.786300505050505;0.04451495622912801;0.7722182748890922;0.019672142978001822;0.674483195389994;0.03520784397152414;0.6954545454545455;0.04090909090909089;0.683858372293181;0.027698237074662374;0.9202368189769643;0.015804834444730093;0.8985660453536101;0.016479757041336304;0.9090528025590148;0.007887502197588919;0.7854382041792148;0.013473014777038465;0.7934403652862202;0.018676931472808377;0.788376483247096;0.015136857951044016;0.8383922633020344;0.011146128387989465;48.03814558982849;23.232702865917666
MLP_Relu_layers(6)_neurons (50)_;0.7546048194801931;0.018649610877904923;0.783498445998446;0.03760579033688232;0.7682358744749805;0.020879786481542945;0.6713182376575674;0.042892836612720114;0.6481818181818182;0.03279034326703898;0.6588884181047647;0.03159368697769922;0.9099045340228473;0.010501078041775528;0.9047930825651033;0.006752725260705059;0.907287553329636;0.005337023599541701;0.778609197053536;0.014383094940462618;0.7788244489151225;0.016353557038363557;0.7781372819697938;0.01481110111971027;0.8333839495305165;0.009077605292947764;45.5048510313034;10.46328786573571
MLP_Logistic_layers (6)_neurons(50)_;0.7837208125472268;0.02946977938336111;0.7577700077700078;0.03332731341090726;0.7700311313378109;0.024535270812312788;0.587454564611394;0.03157112548850913;0.6809090909090909;0.040543823856323186;0.6296222699446448;0.023430177353271915;0.929794539908689;0.013952070029259682;0.8972606150326357;0.021223663406493308;0.9129446468156306;0.007881944138159715;0.7669899723557699;0.017191128218685733;0.7786465712372449;0.016677906061396262;0.7708660160326953;0.015884207862018575;0.8286898474178404;0.013329071164374597;78.5102808713913;20.699679145812482
MLP_TanHip_layers (6)_neurons(50)_;0.7524812281786428;0.023126517278457447;0.787689393939394;0.03366057591383788;0.7691013097882821;0.01880726990225227;0.6789236220545806;0.02832497940195848;0.6636363636363637;0.04244588192701363;0.6705623007496235;0.03007065646733809;0.9138735836626491;0.018349779643412643;0.9027239082161362;0.013179558877713361;0.9080675458867162;0.0086614489087951;0.7817594779652909;0.012366283683658864;0.7846832219306312;0.01922233489811146;0.7825770521415407;0.014946652453402466;0.8357340571205008;0.01071840783558301;76.54203240871429;23.343575819263666
MLP_Relu_layers (1)_neurons (100)_;0.7677912597318088;0.01027456102477516;0.7883886946386947;0.03775453947635664;0.777447980418757;0.018864482827599487;0.6841132230418425;0.041784791452129995;0.6718181818181819;0.02130068093429085;0.6772014427286591;0.024521027616299425;0.9153107822496176;0.010676412543566086;0.9097220913801225;0.009461478537181238;0.9124517048460017;0.007148488376721156;0.7890717550077564;0.013172290892479373;0.7899763226123329;0.014134307951725626;0.7890337093311393;0.013088853634274998;0.8415179968701096;0.0095103872989769;47.07098617553711;12.06369473127343
