Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7532732905942042;0.02223931929094199;0.7250388500388502;0.037864041916868915;0.7383427085812221;0.02428222821760597;0.5953240767142474;0.030766922184736152;0.6636363636363637;0.02757409252382381;0.6273517848994767;0.02678325979128114;0.8995355693002125;0.011764345590741002;0.8819615099925979;0.013281756043529786;0.8906153178806975;0.010757500541342334;0.7493776455362212;0.014181872929639275;0.7568789078892706;0.01680175332852458;0.7521032704537989;0.015501120028785126;0.809132433489828;0.01164538531384895;13.726630902290344;0.5896587552285897
SVM_kernel rbf_scale_random 42_;0.7818310246999343;0.018985674688742696;0.8649524087024087;0.034975356018468524;0.8207873374117322;0.01745718516024707;0.7576314385840837;0.04343071345974625;0.7136363636363636;0.035963709899731806;0.7344544406117746;0.03433827888794091;0.9334474450523441;0.010389502439924793;0.9110201197765964;0.013904913252267708;0.9220010683367732;0.008025713063333915;0.8243033027787874;0.015511796247529814;0.8298696307051229;0.017765753181545822;0.8257476154534267;0.015432817737040787;0.8667077464788733;0.010889113806676832;13.807535457611085;0.17787392114435863
SVM_kernel rbf_auto_random 42_;0.7840447936723803;0.021644413684002592;0.8754030691530692;0.03297002980607911;0.8266819297191649;0.016965495872637053;0.7617853111807865;0.04080356398154286;0.7081818181818182;0.03314132024283308;0.7336383575101337;0.033099312636612074;0.9323035725166958;0.010338995440155044;0.9097261287934864;0.013534047954361757;0.9208121446308525;0.009395512522863202;0.8260445591232877;0.016154901739806198;0.8311036720427912;0.017863282725304557;0.8270441439533837;0.0163004567129413;0.86733372456964;0.012061163492973552;12.992604851722717;0.10551153630507601
SVM_kernel sigmoid_auto_random 42_;0.7766647376729272;0.018917219992790082;0.8740287490287489;0.037989001494373675;0.8220027309121463;0.02053519026346732;0.7618036089280229;0.04088962771242053;0.7063636363636363;0.034509550720186;0.73276554068054;0.035041412307648526;0.9316612050200666;0.013024697892252282;0.9068730233497073;0.012639465645414507;0.9190329083014508;0.010207284893533947;0.8233765172070056;0.0173078659772045;0.8290884695806975;0.020013528079974842;0.8246003932980457;0.017988382752164325;0.8649858176838812;0.01353277351427014;12.932207131385804;0.17247222571126372
SVM_kernel sigmoid_scale_random 42_;0.7779589622347404;0.02137090935776057;0.8601107226107226;0.03436940878059425;0.8164880296640422;0.019304741803371706;0.7496231594587514;0.04218607632356617;0.7109090909090909;0.04122103290456231;0.7294356431353081;0.03861769564501815;0.9280837145020573;0.01544219097555197;0.904544108741;0.014319308186219381;0.9160745506528027;0.011884194874611384;0.8185552787318497;0.020024154335119365;0.8251879740869377;0.02236768918051705;0.820666074484051;0.02055392433655294;0.8612328834115806;0.015943551727429433;12.257355856895447;0.14585590942811674
SVM_kernel poly_g2_auto_random 42_;0.7781212896573717;0.024646724635003107;0.8503399378399379;0.03846911518968347;0.8120264963676952;0.022827701662324538;0.7736824568077114;0.04521498080452413;0.6690909090909091;0.050811594954480434;0.7169017597155284;0.04329917788422988;0.9152497736941398;0.014993375652944294;0.9180223403539465;0.014905658945363647;0.9164863818224545;0.009552272076694254;0.8223511733864077;0.019554710172047463;0.8124843957615978;0.024578981213240748;0.815138212635226;0.02138306402159553;0.8599779929577464;0.014729556279262734;15.570312690734863;0.19052283653208815
SVM_kernel poly_g2_scale_random 42_;0.7824189488563211;0.019442753956731635;0.8531031468531468;0.03941881296293399;0.815648723772385;0.020462512042977228;0.7582334798929733;0.04049583297569316;0.7081818181818182;0.035547663265485724;0.7318525715728289;0.032856395592233995;0.9290955769895517;0.013036462298733608;0.9143927057398559;0.012197149634390855;0.9215758668579458;0.0077154928550105485;0.823249335246282;0.014239605577160976;0.8252258902582736;0.01881907731162657;0.8230257207343866;0.015624087444247248;0.8651440238654147;0.010767778554900223;13.378126859664917;0.11873093598036083
SVM_kernel poly_g3_auto_random 42_;0.781485571466;0.023803449974729517;0.7522144522144522;0.037303284299396715;0.7663354879053377;0.02868294577721097;0.8002703853056085;0.035806936113148065;0.5427272727272727;0.060171929975901504;0.6454972080050947;0.0521788423549275;0.8499280065486152;0.01543788161511312;0.9398129331808087;0.010194320037877137;0.8925328525784172;0.010665887086188637;0.8105613211067413;0.021422314845780048;0.7449182193741779;0.027029110131635135;0.7681218494962833;0.026333954246281335;0.8293124021909234;0.016500564742145014;21.317990851402282;0.1758905460865264
SVM_kernel poly_g3_scale_random 42_;0.7814412186582583;0.02193685970538729;0.8343142968142969;0.04266653007366774;0.8064661181228239;0.0253489831058744;0.759122865589209;0.03701860181805135;0.6927272727272727;0.04162008415367127;0.723740708654905;0.0331237884659622;0.9192585227353479;0.01307602435884305;0.9182827535159142;0.011476754554760814;0.9186574483157134;0.006995046514274544;0.8199408689942718;0.015259189435272942;0.815108107685828;0.021032624857513123;0.8162880916978141;0.0173895885785654;0.8606051936619717;0.011698562471952213;16.84917995929718;0.1336346801536787
SVM_kernel poly_g4_auto_random 42_;0.8237449994731755;0.030365525086432168;0.4933226495726496;0.03419600227713231;0.6164740500664763;0.031216070142625497;0.8800000000000001;0.10873004286866726;0.04;0.01233150906022776;0.07626003653494333;0.022762022947627778;0.6915436283834269;0.00697281665289978;0.9831411075970662;0.007173394779556646;0.8119312906463735;0.005840123258648835;0.7984295426188674;0.03896917472354596;0.505487919056572;0.012388887747015086;0.5015551257492643;0.01348736826052277;0.7107311228482003;0.008841302910762473;27.760057067871095;0.9879424270511074
