Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
KNN_k=1_;0.016437908496732025;0.025188447764945377;0.002088189588189588;0.003189786929027726;0.0037040800963565185;0.005658486512122684;0.0;0.0;0.0;0.0;0.0;0.0;0.5955863686549044;0.002743380677757773;0.9592692281811454;0.0051005438431891755;0.734892461427297;0.0033436637978405924;0.20400809238387882;0.008695483310139989;0.32045247258977827;0.0019172082442165024;0.24619884717455118;0.0022923013828858208;0.5790047926447575;0.003614677447423553;260.6060253143311;4.795700112791213
KNN_k=2_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5943737221383032;0.0018882068477494745;0.9597880357983986;0.005125254202160195;0.7341207018654619;0.002774686011697637;0.198124574046101;0.0006294022825831601;0.3199293452661328;0.0017084180673867285;0.24470690062182063;0.0009248953372325468;0.5788485426447574;0.0036155599238429374;259.9451898574829;4.386150019934204
KNN_k=3_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;260.56164786815646;4.2251159484340315
KNN_k=4_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;265.16537868976593;4.2074001796430585
KNN_k=5_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5960882454634204;0.005004677590999552;0.9714561604198909;0.0193225105311489;0.7388056837283579;0.009396078133617883;0.19869608182114012;0.0016682258636665198;0.3238187201399637;0.006440836843716294;0.24626856124278595;0.003132026044539296;0.585886883802817;0.011869321170546048;265.13475914001464;4.4163543143376724
KNN_k=6_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;265.1374599456787;4.115570929161616
KNN_k=7_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5996409136158347;0.00570360526688976;0.985974025974026;0.02145649499019573;0.7457156028132595;0.010560074145052487;0.19988030453861155;0.0019012017556299212;0.3286580086580087;0.007152164996731901;0.24857186760441988;0.003520024715017495;0.594646909233177;0.013327309740416994;265.5006608247757;4.75794972129122
KNN_k=8_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6021420940170941;0.0031322719475875144;0.996103896103896;0.011688311688311692;0.7505597394820762;0.0057423041231964515;0.20071403133903137;0.0010440906491958413;0.33203463203463207;0.0038961038961038974;0.25018657982735876;0.0019141013743988178;0.6007501956181533;0.0072691160942214604;265.6616935491562;4.564765431898411
KNN_k=9_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.601055689919051;0.004432542212345138;0.9916883116883117;0.016663911618021242;0.7484528083127614;0.008188708839382464;0.2003518966396837;0.0014775140707817156;0.3305627705627706;0.005554637206007073;0.24948426943758717;0.0027295696131274905;0.5980897887323945;0.010354164947678534;265.73402280807494;3.6717464499185946
KNN_k=10_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5984585412080717;0.004661467750637346;0.9810665500302805;0.01917027376214064;0.7433982611926765;0.009078384803050376;0.19948618040269053;0.001553822583545786;0.32702218334342686;0.006390091254046872;0.2477994203975588;0.003026128267683466;0.5916771811424101;0.011490350091043221;267.2553032159805;3.8650408509838647
