Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.7282943374791013;0.026816401257915536;0.7147241647241647;0.033565288336333286;0.7210844276746042;0.025688719048349018;0.6061133497705897;0.04023247053778203;0.5845454545454546;0.03984474000147478;0.5939626367561427;0.030526526210621175;0.8730863555895756;0.010964009127022967;0.8868891730031626;0.022221821762574312;0.8798274894908706;0.014418122838879012;0.735831347613089;0.02144365960761603;0.7287195974242605;0.016138883927252483;0.7316248513072058;0.017990065526363036;0.7961512128325509;0.01709772745916388;65.48874883651733;10.756289364315005
MLP_Logistic_layers (1)_neurons(50)_;0.7216677246534164;0.027910940377895696;0.703598484848485;0.03264021257264077;0.7121233402875564;0.025679286043807568;0.5998946993901291;0.03630659440033571;0.5945454545454545;0.036860245332206;0.5961189017790097;0.02638404752642437;0.8731901783106277;0.013274858271954152;0.8824816634143058;0.021080348475501796;0.8777415129711187;0.015657584442537495;0.7315842007847244;0.020693320363544175;0.7268752009360818;0.01728757477572925;0.7286612516792282;0.018627205903399766;0.7927112676056337;0.017435563462463576;111.73343188762665;1.9465501310983824
MLP_TanHip_layers (1)_neurons(50)_;0.7000205954612235;0.03249988757138318;0.6785499222999223;0.03383408939046272;0.6887671819120247;0.029242850666139502;0.5665346169561316;0.031077627215968257;0.5581818181818182;0.03382013679588778;0.5616466123282919;0.02567023930407815;0.8558189493329372;0.008929812805007797;0.8684832783796514;0.020074155676865164;0.8620154929657529;0.012648873055622765;0.7074580539167641;0.01870171293743666;0.701738339620464;0.013714367421761846;0.7041430957353565;0.015569764350903098;0.7723718701095461;0.015025937065061539;99.54729816913604;9.456439033026996
MLP_Relu_layers(3)_neurons (50)_;0.7396885882879258;0.027993462503074325;0.7265685703185704;0.03831326103348608;0.7321458166817763;0.02169312266338907;0.6204044730123643;0.034429374138946464;0.5700000000000001;0.05634163793580425;0.5924327751281052;0.03564555916843831;0.8712817608857663;0.016918032454373916;0.8957169773231948;0.020641403712038847;0.8830772853517217;0.011415453010070032;0.7437916073953522;0.01709676308517478;0.7307618492139217;0.01652926272161911;0.7358852923872011;0.01516779908400531;0.8016272985133022;0.012685390953297638;44.92797729969025;5.401592211244279
MLP_Logistic_layers (3)_neurons(50)_;0.691744083514094;0.03129918232046707;0.6827165889665889;0.03511894470473234;0.6868955992969935;0.029901949046036238;0.5873613948322025;0.048044668881748076;0.5454545454545454;0.04563600144731322;0.5645541833409217;0.039437530150680536;0.852350212858832;0.011962239056684138;0.8728860776529169;0.0193428624452766;0.8624208005458968;0.013739901700768197;0.7104852304017095;0.02256964810665313;0.7003524040246838;0.01784017373122291;0.7046235277279372;0.019364388900480888;0.7737800762910798;0.016967844244331533;107.52433812618256;11.990094122581143
MLP_TanHip_layers (3)_neurons(50)_;0.6886361019279406;0.034997186944769075;0.7042540792540793;0.03906747621227109;0.695697302893283;0.030545765209811383;0.591774004165477;0.028569735998952357;0.5727272727272728;0.04861724348043979;0.5807246265490338;0.028959516808869358;0.8731692184590522;0.01605088473690878;0.8726202812731308;0.020965079728093226;0.8727994887288449;0.01623498771914642;0.7178597748508232;0.020183885600638798;0.7165338777514945;0.016654510077800735;0.7164071393903872;0.01811947816238158;0.7831619229264475;0.017703634864233778;33.44068684577942;10.435994978024107
MLP_Relu_layers(6)_neurons (50)_;0.7282522468882375;0.02607092650453378;0.7181866744366744;0.050871829577702025;0.7222547321619057;0.032042362995756635;0.6357695164070118;0.045496153303744666;0.5781818181818182;0.05081159495448045;0.6032043525042577;0.03050415423448102;0.8696526619733543;0.01657147950974343;0.8946679227508241;0.024805086147210362;0.8817754356677737;0.01588038732846803;0.7445581417562012;0.022026464032534415;0.7303454717897723;0.01875595119029134;0.7357448401113124;0.01882919677560368;0.8005286580594679;0.018192263747626024;33.47548658847809;7.032482098350476
MLP_Logistic_layers (6)_neurons(50)_;0.6011978431677206;0.028986461560660585;0.7570949883449883;0.026271373338316004;0.669961401594363;0.025773688038541645;0.34172295084335946;0.040252075138206125;0.23090909090909087;0.03206398561554253;0.2748894429602406;0.03320355595231446;0.8663585381826602;0.015458872913634127;0.8617434896709508;0.02131846205745609;0.8639160718765334;0.01542367442188817;0.6030931107312468;0.021964724591246206;0.6165825229750099;0.018649007693540238;0.6029223054770457;0.01998824229099458;0.7296569346635368;0.01730043271284863;78.16890852451324;25.91381253704833
MLP_TanHip_layers (6)_neurons(50)_;0.6871615160021187;0.03175855857999188;0.7070270007770008;0.0408301966765696;0.6959314951561587;0.02455214070354237;0.5836297719154138;0.03372332476390885;0.57;0.042843169701629755;0.5751976540862455;0.024483443067276824;0.8728833604791466;0.016501253637762156;0.867175829351995;0.020657526951475266;0.8698374742176697;0.013705440915254023;0.7145582161322264;0.018070809075377572;0.7147342767096653;0.015185796440181056;0.7136555411533579;0.015808370938128518;0.7800352112676057;0.015662174725417047;35.087401270866394;7.222924680849244
MLP_Relu_layers (1)_neurons (100)_;0.7277477865718759;0.02417758693295403;0.7091491841491842;0.03946672555356974;0.7177714377470643;0.026197546059288063;0.607367514654183;0.03369692617692869;0.58;0.04102005153701268;0.59234025865654;0.028453812083116703;0.8698780981376842;0.015610255830210862;0.8884476145616041;0.02088926634534022;0.8789347598307689;0.014833122314600372;0.7349977997879144;0.01806331197907006;0.7258655995702628;0.013577096231943746;0.7296821520781245;0.014663220933366604;0.795054773082942;0.015221570798022926;101.96318433284759;23.94677863613998
MLP_Logistic_layers (1)_neurons(100)_;0.718736011285757;0.029168220272542535;0.7028846153846154;0.03216439360312101;0.7104403468381106;0.027395102112214825;0.5936663697900095;0.03405909949114534;0.59;0.04714142604532426;0.5908559527588229;0.033552276416894636;0.8710085822334934;0.011693927977241756;0.8791131148644101;0.021061773714271727;0.8749427226138163;0.014110751885133239;0.72780365443642;0.02075280327693163;0.7239992434163419;0.01788115152407517;0.7254130074035834;0.01869044310315783;0.7897383607198748;0.016767730803302235;185.87128775119783;9.850110445485598
MLP_TanHip_layers (1)_neurons(100)_;0.6945858093527245;0.035246837023368935;0.6743444055944056;0.0351274263706087;0.6840595318566743;0.03254528254692775;0.5740977764382476;0.0432826065434298;0.5572727272727274;0.0418675597806162;0.5649522235623112;0.03804397920010253;0.852710618198064;0.012705784254981535;0.8684852970863334;0.02406649622022443;0.8604405630845686;0.017036894789267065;0.7071314013296786;0.024420597948933837;0.7000341433178221;0.018296214882115795;0.7031507728345181;0.020775330876925638;0.7712786091549295;0.019878915248668725;145.67667543888092;35.275633846422856
MLP_Relu_layers(3)_neurons (100)_;0.7390859113242879;0.01785986897200534;0.7328185703185703;0.040308745429848;0.7351544922716657;0.02076692301463714;0.6387728933466638;0.04523966974469752;0.5709090909090909;0.05234974563231991;0.6005588281982195;0.03276444011678352;0.8731301559189888;0.016700898504521354;0.9003781710517462;0.022515143175329683;0.8863026608960418;0.013284006769395859;0.75032965352998;0.01871270708752675;0.7347019440931358;0.016980507294998955;0.7406719937886423;0.015771665781486335;0.8060079225352113;0.014590322490130283;54.39737873077392;9.735551896899072
MLP_Logistic_layers (3)_neurons(100)_;0.6935657369840438;0.031042021714012803;0.6896756021756023;0.030197392287588273;0.6913438289237075;0.02719088984637786;0.591276728958962;0.03628073951023993;0.5609090909090908;0.04689534682374157;0.574294261703459;0.03212410846980947;0.85953421972167;0.010118246394490283;0.8728800215328713;0.025138368740030698;0.8659930151899932;0.014890477924709567;0.7147922285548919;0.019156653752006446;0.7078215715391881;0.014944583729130205;0.7105437019390533;0.016121921920036406;0.7780034722222222;0.016242710121634963;151.71670598983764;20.489852412858028
MLP_TanHip_layers (3)_neurons(100)_;0.6911732845519583;0.024347170449706492;0.695959595959596;0.042748129441810466;0.6925668772044437;0.023582333465543184;0.5793595097407451;0.0339128590785501;0.5772727272727273;0.041709344534379876;0.5780485858800898;0.03600386627171973;0.8668847406767064;0.015885976229687983;0.8648469147432879;0.011307425261416608;0.8657804842406346;0.010878818999829724;0.7124725116564699;0.019701429948859928;0.7126930793252036;0.022022380861076562;0.7121319824417227;0.020798573103112436;0.7773757824726135;0.015361063062199363;63.16747200489044;19.081477643754543
MLP_Relu_layers(6)_neurons (100)_;0.7275246384832252;0.02648757432617121;0.7654865967365968;0.0665845721920616;0.7437998442226045;0.031800325131153905;0.6450026485659712;0.04356399233457859;0.5645454545454546;0.05953677938193795;0.59815367824645;0.020924423406044036;0.88046977776177;0.020089260694854328;0.890788641410403;0.025911611377992624;0.8852080793134263;0.014108624199048535;0.7509990216036554;0.01581190384823709;0.7402735642308181;0.017422692226457794;0.7423872005941603;0.014136475781856709;0.8064747163536776;0.014301631873150117;43.756169176101686;8.911137823045868
MLP_Logistic_layers (6)_neurons(100)_;0.6587730001502478;0.0402955290430056;0.7049242424242425;0.05402109252555796;0.6793125035957239;0.03176386314720163;0.4594228819040282;0.0818388872560948;0.35909090909090907;0.07619570279200095;0.40227818476722205;0.0783258996512352;0.8436021863250514;0.025466337047090202;0.8731444721082026;0.02044050851815415;0.8579818281847633;0.020373538737841944;0.6539326894597758;0.03578792837387059;0.645719874541118;0.025064719011630727;0.6465241721825697;0.030187581262465995;0.746869131455399;0.02119013283065506;182.1246011734009;50.78732351258959
MLP_TanHip_layers (6)_neurons(100)_;0.7020983265154364;0.03264360269859489;0.697999222999223;0.029317261647534367;0.6997599248196364;0.0276089726556833;0.5755316243100989;0.022845432071980802;0.5672727272727273;0.0562168175772375;0.5702711644849938;0.034306591512648664;0.8682436074009505;0.019248034373964534;0.8731451450104298;0.015142524849818376;0.8705886434397885;0.014642886669478588;0.7152911860754954;0.019717594594507837;0.71280569842746;0.02419134148037556;0.7135399109148062;0.021603735030870926;0.781129450312989;0.017044765196585692;56.07778782844544;20.61904081420111
MLP_Relu_layers (1)_neurons (150)_;0.7249410448702268;0.027320948221458866;0.7070609945609945;0.03082873440184292;0.7156830470267159;0.026430765933148873;0.6058030084441859;0.03268898694537528;0.5663636363636364;0.0381493368333769;0.584438025805591;0.02676284579334467;0.8676782379366786;0.01005442188692507;0.891038961038961;0.021601574974699157;0.8790826457421563;0.01298187907668957;0.7328074304170304;0.01897629441906731;0.7214878639878639;0.01318477134647155;0.726401239524821;0.014866864171372486;0.7938018388106416;0.014945060519079997;149.33125128746033;24.175201534139692
MLP_Logistic_layers (1)_neurons(150)_;0.7138122674873515;0.027084150421150654;0.6980137917637917;0.0339241937404208;0.705436660032972;0.02604506764619128;0.5979186811730081;0.03811685051591212;0.5836363636363636;0.04541816726107927;0.589469946956004;0.0327775805138198;0.8687786408804058;0.010708232331107756;0.8809265863670008;0.02131283730185433;0.8747069912779016;0.013681827456010804;0.7268365298469219;0.019857514651333435;0.7208589139223853;0.015168276443002468;0.7232045327556258;0.016836437413759536;0.7886433881064163;0.01574631163512444;265.8252209663391;15.28051143232016
MLP_TanHip_layers (1)_neurons(150)_;0.696032070290818;0.036851999975293356;0.6722610722610722;0.03586608254317153;0.6836519284390057;0.03348208568810634;0.5733432408298584;0.04141597327616153;0.5609090909090908;0.04206449200457921;0.5662089559984903;0.034979619148506884;0.853126098356175;0.011132131408426811;0.8684819325751969;0.021230237484733093;0.8606853841117852;0.01545646312748953;0.7075004698256172;0.02435188760998236;0.7005506985817866;0.019444170763256524;0.7035154228497602;0.0213795477384519;0.7714341255868545;0.01941214819390718;174.93362650871276;32.186995620004836
