Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MNB_alpha 1.0_fit_prior_;0.7286879109650419;0.0170317745504377;0.8434391996891997;0.02340266904058668;0.7816615968257439;0.01536222289619311;0.6960163544550758;0.03893039458469778;0.5372727272727273;0.0544620574572733;0.6041371258316967;0.030792789410663227;0.8827833291574481;0.014012766938168058;0.8871455487517663;0.021301438875183716;0.8847757725163238;0.012708912191292698;0.7691625315258551;0.01570968363191837;0.7559524919045644;0.014874193898828821;0.7568581650579215;0.012785189213399398;0.8171121870109547;0.012010738058729488;0.5539498567581177;0.074243736740423
MNB_alpha 1.0_;0.6837828112367753;0.021391336862458327;0.8698960761460762;0.02312451935131331;0.765558667463013;0.020079885233362536;0.543134651996734;0.027641980388090476;0.690909090909091;0.04045199174779451;0.6072440425709832;0.021696520237395645;0.9269847155727533;0.01493511473715455;0.7597718861449432;0.026782321366786665;0.8348415592337857;0.01858282640412992;0.7179673929354209;0.015163778668665683;0.7735256844000367;0.015435724885678816;0.7358814230892607;0.015100605558314635;0.7726821694053208;0.01630880788470764;0.5565365552902222;0.06826588752586628
MNB_alpha 0.9_fit_prior_;0.7289617942967157;0.018192791576853638;0.842739898989899;0.023205796123654202;0.7815344674096082;0.016408821070269818;0.694941877938225;0.03908167519973319;0.5490909090909091;0.050973984614095226;0.6113941015268467;0.02875972568373337;0.88477680280364;0.013580484207129175;0.8850696453805261;0.021955232086751722;0.8847538741102362;0.013511070558444409;0.7695601583461935;0.016401279013558732;0.7589668178204448;0.014168697022360016;0.7592274810155637;0.012889520392140369;0.817737676056338;0.012723397084920133;0.554133939743042;0.07033936560838214
MNB_alpha 0.9_;0.6838789887572964;0.021684580521789308;0.8671085858585859;0.021036926658251003;0.7645409331531117;0.019573475220604628;0.5408721747788644;0.026535657866876502;0.6981818181818182;0.040206080704538134;0.6087578178822515;0.0228982841793641;0.9285325620173716;0.014124577933745736;0.757695982773703;0.025349791803046886;0.8342466972140079;0.01792453533571185;0.7177612418511774;0.014520145576058808;0.7743287956047024;0.015159139157867835;0.7358484827497903;0.014797163716488511;0.7720559467918622;0.01573418416568814;0.5544709205627442;0.07063341045174583
MNB_alpha 0.8_fit_prior_;0.725354854562994;0.020871060034519922;0.8399572649572651;0.024779420026542685;0.7782239859568818;0.018381449249131643;0.6845863613556966;0.0436415660629285;0.5563636363636364;0.048412825293434006;0.612006420561463;0.031044641776557535;0.8872790778758454;0.013230750179174099;0.8811789247022407;0.023545391826015744;0.884050637805769;0.014811363177019319;0.7657400979315121;0.019299108518807912;0.7591666086743807;0.015555184189774853;0.7580936814413712;0.015541724012905418;0.8160169698748044;0.014852129472328052;0.5543626546859741;0.07071797230930824
MNB_alpha 0.8_;0.6818806299231681;0.01946761826420935;0.8622426184926184;0.02466992810018425;0.761334136294358;0.018193658900511868;0.5371516173730597;0.025220516115558034;0.7009090909090909;0.03909090909090909;0.6073163482953392;0.019460996467800192;0.9293259788091802;0.01420987660150811;0.7556214252069176;0.026555087420860657;0.8332435287179105;0.0177774762975935;0.7161194087018026;0.013187508102466345;0.7729243782028756;0.013274436280516486;0.7339646711025359;0.013308465527785612;0.7701782570422535;0.015094488964809064;0.5541660785675049;0.07056919698679862
MNB_alpha 0.7_fit_prior_;0.7210147484877278;0.019689532177220484;0.8350815850815853;0.025007260688049787;0.7736772519301531;0.018568672812177844;0.6766187457472179;0.04360385345161028;0.5645454545454547;0.045536290132247983;0.6138013853471609;0.02995427287248108;0.8883965699702008;0.013120322532707505;0.8767680506022474;0.023307479150993675;0.8823829984087206;0.01485451064235955;0.7620100214017154;0.01911400291925826;0.7587983634097624;0.01501181997622074;0.7566205452286782;0.015354501144002015;0.8136695520344288;0.014979646899526428;0.5540694952011108;0.07062558652002993
MNB_alpha 0.7_;0.6815842805215384;0.018466380212143974;0.862941919191919;0.02431979316550684;0.7614656857681477;0.018196745919114528;0.5355801560789549;0.02773098946412449;0.7045454545454546;0.03946962426562258;0.6076710102622582;0.02205264325665025;0.9308772468000708;0.013060849801272999;0.7535468676401319;0.026301436134095156;0.8326213718281748;0.017755797830312087;0.7160138944668548;0.01310271633808986;0.7736780804591685;0.013155321424173071;0.7339193559528603;0.013317586329122088;0.7697095070422535;0.015027295919471245;0.5542901277542114;0.07058850216579594
MNB_alpha 0.6_fit_prior_;0.7188236625983262;0.020106650099990124;0.8295163170163169;0.024652295519642223;0.7700211576952439;0.018635457659812896;0.6677624381511941;0.04437351957543441;0.5718181818181819;0.04589783840496124;0.6144595696424113;0.03199055169678376;0.8894640590763139;0.013554768147449842;0.8736531861920463;0.024688931678589873;0.8813032332291536;0.01554740416530693;0.7586833866086115;0.020580340411414468;0.7583292283421817;0.01592921365142976;0.7552613201889363;0.016766070660081712;0.8117916177621284;0.016174804889551718;0.5542312622070312;0.07051540254814166
MNB_alpha 0.6_;0.6797090910282261;0.01940048514884072;0.8552690365190365;0.021148307447572078;0.7573072678401419;0.017585857445556297;0.5273047082351815;0.025431612962339718;0.7054545454545454;0.03686024533220598;0.6027770058148777;0.021005615574971107;0.9299842941112905;0.013035430878752972;0.7496561469618465;0.027256599281844276;0.8298452255705472;0.017912169370465577;0.712332697791566;0.011777015586321389;0.7701265763118095;0.011819694152500235;0.7299764997418556;0.012029784429707107;0.7657971439749608;0.014177285319009754;0.554229474067688;0.07059464527712694
