Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.7865462390025904;0.019161829720308953;0.734833916083916;0.03279447313991378;0.7594260231903059;0.02150243169322571;0.6998630611145183;0.0419838219042919;0.5463636363636365;0.03845142905919383;0.6123456679055967;0.029944095899465686;0.8612018304292779;0.014963651333245538;0.9351463562344391;0.012068169099374144;0.8965704307438275;0.010832209837096148;0.7825370435154622;0.01778038422688895;0.738781302893997;0.01878477765369646;0.7561140406132434;0.017725061147342132;0.823212294600939;0.013476533506052931;305.0225859642029;67.98915639278977
MLP_Logistic_layers (1)_neurons(50)_;0.7783333153212919;0.021672424856566733;0.7584887334887336;0.029970756022725264;0.7679789615154842;0.02139432887569814;0.6784190465740431;0.04080900359191108;0.6245454545454546;0.033041421537065914;0.6494503690154061;0.027897720790216102;0.8888350323482956;0.013498589759692701;0.9164618800888229;0.01848074147096361;0.9023790363713553;0.014284855227046965;0.7818624647478769;0.020173857110981002;0.7664986893743371;0.017770948194436156;0.7732694556340818;0.01843359489335647;0.8307218309859155;0.016626311890580895;587.3576938629151;45.116245834084374
MLP_TanHip_layers (1)_neurons(50)_;0.7744734069894919;0.02125577115373428;0.7529526029526029;0.02591705280773799;0.7632322366143394;0.01780993206934538;0.6809042247907184;0.03676883973458185;0.5772727272727274;0.03358718763983849;0.623972323207181;0.026471695812935667;0.8754215077879802;0.014073192373011656;0.9216533207724916;0.01614417242352869;0.8978827911835857;0.013130039750647422;0.7769330465227302;0.01792711281823044;0.750626216999274;0.015082469173737352;0.7616957836683687;0.01570310670017142;0.8244662069640063;0.014378376487698907;386.88481986522675;46.36149764215699
MLP_Relu_layers(3)_neurons (50)_;0.787533692166227;0.020615901847650026;0.7452845765345766;0.04023251346652955;0.7651055844081842;0.02290193662774113;0.7014789366625213;0.04538597934604056;0.5245454545454544;0.050624202881184945;0.5976165744907829;0.02955617812982916;0.8585568870905131;0.013005029711560716;0.9359181750891595;0.014478888622118479;0.8954991886906262;0.011105449111954829;0.7825231719730871;0.018939240754955188;0.7352494020563969;0.01655901449268377;0.752740449196531;0.015866723293948854;0.8222762617370891;0.013448968488110086;206.34593482017516;27.312200605786355
MLP_Logistic_layers (3)_neurons(50)_;0.7842492395113851;0.02446164350435637;0.7612810800310801;0.033304959497811044;0.7721292115330389;0.022674166586741127;0.6435556529365789;0.03650388823888418;0.61;0.04194644361839756;0.6248178335902527;0.025171606207216885;0.8877163361540065;0.014940384833133208;0.9091999192517328;0.018207140919914915;0.898224318798591;0.013434974417475203;0.7718404095339901;0.01705670587566546;0.7601603330942709;0.018194821399186316;0.7650571213072942;0.01712485164723136;0.8244652288732393;0.015440203627220407;441.0057567834854;67.91011618132225
MLP_TanHip_layers (3)_neurons(50)_;0.7628657526679739;0.023351625862206512;0.7786907536907537;0.027512882917592695;0.7703357644429306;0.01893610805932211;0.6953672335723855;0.0394243983182558;0.6027272727272728;0.03814933683337687;0.6444633746793129;0.026521235820186156;0.8880967940331075;0.007388400758826991;0.9138631316869658;0.02159254940046776;0.9006744160176445;0.011815314223281961;0.7821099267578224;0.018553080907764946;0.7650937193683308;0.011766840139220417;0.7718245183799628;0.013448733737698141;0.8299418035993741;0.013117237457346378;157.19530189037323;29.503156769168537
MLP_Relu_layers(6)_neurons (50)_;0.7726188100098124;0.03726562417584283;0.7460275835275836;0.05954716575899842;0.7568746133952754;0.027458653203695598;0.6742324633988651;0.04531990062451652;0.5754545454545454;0.053790226154498244;0.6183034135429187;0.03394244610837295;0.8743358146196825;0.03101371789468843;0.9180250319628558;0.0181960533944196;0.8951244370687593;0.014252486011725142;0.7737290293427866;0.01826794434611948;0.7465023869816616;0.028084609545435114;0.7567674880023179;0.021397463298032774;0.8203990610328639;0.016676832037018672;153.90424726009368;32.823282145916984
MLP_Logistic_layers (6)_neurons(50)_;0.6053806730121976;0.08477563272602921;0.7920260295260295;0.0469639175101766;0.6803408374581729;0.04783557236048984;0.34118690147583475;0.06802339311501433;0.3481818181818182;0.1468709446424489;0.336419249214158;0.1159097637998149;0.9325686099802949;0.01980302357794387;0.8217804992934526;0.023282581555752312;0.8734737993234326;0.017657672957514456;0.6263787281561091;0.04620043269792951;0.6539961156671;0.039523653346574567;0.6300779619985877;0.0525290215282773;0.7335656298904538;0.02382759549135953;339.9587631702423;139.7559977252206
MLP_TanHip_layers (6)_neurons(50)_;0.750064459014568;0.03488786729870118;0.770333139083139;0.025888667310290478;0.7594386100135023;0.021536387266652992;0.6661021381706019;0.022541782507522368;0.6118181818181819;0.03814933683337689;0.6368901999901079;0.020681532000754607;0.8923278504892187;0.010851583573518711;0.9027111230738173;0.025068201613641792;0.8972216302634999;0.011411744429776027;0.7694981492247962;0.014942707334343221;0.7616208146583794;0.01261117771532905;0.7645168134223699;0.011687500945674523;0.822900528169014;0.011728646423870623;160.37973487377167;17.602127180099462
MLP_Relu_layers (1)_neurons (100)_;0.782611496067052;0.020714726585533496;0.7369415306915307;0.0258917953143003;0.7587563405638553;0.017435340612339575;0.6855623112850335;0.03941873199035714;0.5436363636363637;0.03468869823334348;0.6053688939336679;0.02758277820396353;0.8627090079800566;0.013105133058664372;0.9315120113047574;0.013108239708084191;0.8957364552259343;0.011091013444330144;0.7769609384440475;0.01661962962299121;0.7373633018775505;0.015254513768217418;0.7532872299078192;0.015013939592131587;0.8210238165101721;0.01251747070662747;498.23069047927856;84.8203367117067
