Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7772550035167537;0.021183030554633928;0.7327408702408703;0.03505670610412855;0.753982255165948;0.024604961711304437;0.6791868096131436;0.026802574807556958;0.6836363636363636;0.03143930266507377;0.6807715252632464;0.021325283797132777;0.8914151964544343;0.01450764225945723;0.9081616311149989;0.012626717033569877;0.8996611469845563;0.01185501931393258;0.7826190031947773;0.01570335527856548;0.7748462883307443;0.017394120297602508;0.7781383091379168;0.016528980818686055;0.8300958528951486;0.013889784682657813;384.547150850296;22.010466078971596
SVM_kernel rbf_scale_random 42_;0.7490352971600213;0.018898626511139438;0.739005439005439;0.03546881154464777;0.7436181917878418;0.023507852049318174;0.6929144998836547;0.03499330339739067;0.6781818181818182;0.04494257125203009;0.6847358651134342;0.033791546817047415;0.8897578557823715;0.017506912496573837;0.8990861987753179;0.01532426491205149;0.8943541457151257;0.015249796583400005;0.7772358842753492;0.020061056881967403;0.7720911519875251;0.02308845962398952;0.7742360675388006;0.021535107602140686;0.8250899843505477;0.01795740385749443;709.89257979393;13.216099756042835
SVM_kernel rbf_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;875.0132552862167;14.798841812842241
SVM_kernel sigmoid_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;674.0929977178573;12.365175772644704
SVM_kernel sigmoid_scale_random 42_;0.7948873900497986;0.027947785666257396;0.7689539627039628;0.033332245539965964;0.78132091515691;0.025542899986662086;0.7098426992260961;0.02513309557227473;0.7336363636363636;0.03614708245831099;0.7212942758105405;0.02769739477673402;0.895892616092825;0.017253620551114096;0.8977922077922077;0.018220182555288022;0.8967370639635469;0.014933843636624785;0.8002075684562401;0.020488810122320438;0.8001275113775114;0.021992887198225137;0.7997840849769992;0.02065356706402872;0.8405785406885758;0.017683239180447587;368.8635772943497;10.499535812712683
SVM_kernel poly_g2_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;592.202603983879;8.589865453138186
SVM_kernel poly_g2_scale_random 42_;0.7693566935058305;0.04383784064885043;0.4181623931623932;0.0445316970982038;0.5401959745530668;0.04115435349265621;0.645482066619317;0.022747903792314183;0.38;0.02840090791238783;0.47808808357861315;0.0279415944532867;0.7431959025647589;0.00990341734551925;0.9564215059551847;0.006220792246522833;0.8363799215170588;0.006216698698799868;0.7193448875633022;0.011885322522628559;0.5848612997058593;0.01487324415362329;0.6182213265495795;0.016055778271964;0.7362323943661971;0.008355112394603782;713.0647293806076;12.429426022642788
SVM_kernel poly_g3_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;595.3625018358231;8.04143916119572
SVM_kernel poly_g3_scale_random 42_;0.6821178576325635;0.06832219112831465;0.17049825174825176;0.04195484620705843;0.2702141938041448;0.05573319093414963;0.40957632222849616;0.05057756684003079;0.0809090909090909;0.012497933713515928;0.13503890288542758;0.019818445075019623;0.6544206456506034;0.009465650688947003;0.986771415113384;0.005612236496296987;0.7868970930240324;0.006967330366262133;0.5820382751705544;0.02715324384478382;0.4127262525902422;0.012435215494888236;0.3973833965712016;0.0184228061301422;0.6473728482003129;0.008638061587183532;967.5726905584336;25.88843510013274
SVM_kernel poly_g4_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;592.702827334404;9.29455974172052
SVM_kernel poly_g4_scale_random 42_;0.49049533556112496;0.10218696602600068;0.06193667443667443;0.024849159521637305;0.10895476559256485;0.041527532009377574;0.2357899045399045;0.09798713235099622;0.027272727272727275;0.01348399724926484;0.04877945629595978;0.023649180664204864;0.6297112602824056;0.0042827668226295005;0.9950723369894353;0.0031660776320608366;0.7712985758558936;0.0028439721122291996;0.451998833461145;0.035524571661158695;0.36142724623294564;0.005573795665186513;0.3096775992481394;0.01069076867782999;0.6187419307511737;0.003853530229929742;990.4102649927139;34.870499754163404
SVM_kernel poly_g5_scale_random 42_;0.24815295815295815;0.1001989238521205;0.02018259518259518;0.011434107489730722;0.03711788935563197;0.020461087161887458;0.1195726495726496;0.08946651366695031;0.011818181818181816;0.009999999999999998;0.021451950198413727;0.01795013955491872;0.6216807215483879;0.0031414818396233333;0.9974073077181884;0.0016384887359684084;0.7659420551560395;0.0022354728806453206;0.3298021097579985;0.04083264394490374;0.34313602823965517;0.00420216718477768;0.2748372982366951;0.008146155675662438;0.6081037265258216;0.002743950027526553;1014.3588056564331;38.34696058085063
SVM_kernel poly_g5_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;594.2395510911941;6.829042883633439
SVM_kernel poly_g6_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;585.1194331407547;10.029915330458728
