Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
KNN_k=1_;0.0058823529411764705;0.01764705882352941;0.0006993006993006993;0.002097902097902098;0.0012499999999999998;0.00375;0.0;0.0;0.0;0.0;0.0;0.0;0.5958414272194128;0.0025122311911735936;0.9595289684408856;0.004705834045202753;0.7351641741193419;0.0031845552589951707;0.20057459338686306;0.0063497288892712545;0.32007608971339535;0.0020012705048805587;0.2454713913731139;0.002013616690812055;0.5788485426447574;0.0036155599238429374;204.59866955280305;20.49647698994938
KNN_k=2_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5955803838909058;0.00401086894530352;0.9639331135186058;0.013062668259596765;0.7362453841656139;0.006775606637382475;0.19852679463030193;0.0013369563151011767;0.32131103783953524;0.004354222753198918;0.2454151280552046;0.0022585355457941624;0.5813485426447574;0.00810583495632079;206.2282832622528;19.98783905864332
KNN_k=3_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;208.86224687099457;20.569718767835415
KNN_k=4_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;206.2007743835449;19.853379252009457
KNN_k=5_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.594245840262987;0.0034974000344493925;0.9639331135186058;0.013062668259596765;0.735223743043848;0.006426442177327155;0.19808194675432897;0.0011658000114831322;0.32131103783953524;0.004354222753198918;0.24507458101461604;0.0021421473924423885;0.5813485426447574;0.00810583495632079;208.3460458278656;20.278642544372413
KNN_k=6_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5981272937952795;0.0053561362288269175;0.979758428100397;0.02069432759016885;0.742765338307892;0.010062480572885243;0.19937576459842649;0.001785378742942309;0.3265861427001323;0.006898109196722941;0.24758844610263067;0.0033541601909617496;0.5908947085289515;0.012717679593690695;211.38358597755433;21.546477984452114
KNN_k=7_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5981272937952795;0.0053561362288269175;0.979758428100397;0.02069432759016885;0.742765338307892;0.010062480572885243;0.19937576459842649;0.001785378742942309;0.3265861427001323;0.006898109196722941;0.24758844610263067;0.0033541601909617496;0.5908947085289515;0.012717679593690695;213.75962052345275;21.95816406445951
KNN_k=8_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.594245840262987;0.0034974000344493925;0.9639331135186058;0.013062668259596765;0.735223743043848;0.006426442177327155;0.19808194675432897;0.0011658000114831322;0.32131103783953524;0.004354222753198918;0.24507458101461604;0.0021421473924423885;0.5813485426447574;0.00810583495632079;217.02470638751984;23.08160390022456
KNN_k=9_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;220.24708077907562;24.954482220021816
KNN_k=10_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;230.46852259635926;27.811450932362973
