Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.7458388634528049;0.022126604146524436;0.7627136752136752;0.028465622897928918;0.7537167141813504;0.017285724530993644;0.6560463460003796;0.047716539738509894;0.5718181818181819;0.049031951127861094;0.6097952378216254;0.040015558350773035;0.8795492767314965;0.015408480096408524;0.9032339681044343;0.020821391314666333;0.8911618839152486;0.01631578196164986;0.7604781620615604;0.022854529265757418;0.745921941712097;0.019407367606113998;0.7515579453060749;0.020365175276040013;0.8146099863067292;0.018205480808098865;371.5675979375839;44.64114318837485
MLP_Logistic_layers (1)_neurons(50)_;0.7301641112114812;0.021495337642600757;0.7759372571872571;0.02014342025908026;0.7521768423615304;0.01749776444863981;0.6487450760462676;0.043425417021889276;0.6045454545454545;0.04090909090909091;0.6247200115558582;0.03289773514670042;0.8924273590833591;0.01411748273407977;0.8876690666846108;0.02252756991608378;0.8898910866022345;0.014772569443099777;0.7571121821137027;0.018423328060605242;0.7560505928057741;0.01463224250828304;0.7555959801732077;0.01556034067428622;0.8138289808294209;0.015019532454193008;790.0247305870056;23.598843177322617
MLP_TanHip_layers (1)_neurons(50)_;0.7434550593002718;0.021059157182506495;0.7536664724164723;0.03208536256712064;0.7480071673707342;0.018641228691974595;0.6517708645171674;0.04914320418803167;0.55;0.05065684260274558;0.5950837599051012;0.04071699426840365;0.8723597028741731;0.01330096793229006;0.9055709575398694;0.021167207063345714;0.888556051982561;0.014710748225689631;0.7558618755638709;0.023085895995635788;0.736412476652114;0.01834802057583523;0.7438823264194655;0.019705885892015187;0.8102278951486698;0.01736451748773787;345.27893521785734;25.80094724172112
MLP_Relu_layers(3)_neurons (50)_;0.7410830260625033;0.0194118987327071;0.7661907536907536;0.03495422273040791;0.7528359262664808;0.01852722935091982;0.6539618323873888;0.05305164067307241;0.5590909090909092;0.05;0.6009812582364732;0.03948614011726843;0.8775222554155964;0.017142554238286437;0.9009010160823632;0.021712514480123773;0.8888640642317626;0.014388909770026671;0.7575223712884962;0.021774802910556126;0.7420608929546753;0.02054201442139482;0.7475604162449055;0.019739263341682623;0.8117913732394365;0.01713271128233981;271.15737626552584;36.63841719184193
MLP_Logistic_layers (3)_neurons(50)_;0.7302520736450788;0.020296264372979118;0.7181575369075368;0.05508644078845693;0.7230129763541495;0.031684761256585287;0.4229966879429624;0.05694833312698799;0.5954545454545455;0.03550113489048481;0.4913243059207776;0.033453845317265564;0.9186920036238233;0.022973374560857854;0.8093513222528766;0.03129623423568861;0.8600144890599413;0.018448197043094992;0.6906469217372883;0.014280806947607175;0.7076544682049863;0.017353008918716408;0.6914505904449562;0.01979445311043008;0.7520344287949922;0.022539255531837006;559.7682089567185;126.98970320327054
MLP_TanHip_layers (3)_neurons(50)_;0.7086627353445563;0.02859175192280055;0.7947261072261071;0.02336522819004127;0.7488082992668635;0.019669206327029284;0.6252272216647918;0.04052404743113761;0.6081818181818182;0.0382358924451147;0.6154706373477932;0.029058658623122378;0.9019282390689007;0.013239516850863412;0.8663959356705471;0.025887707206578372;0.8835521730332483;0.014518029428658234;0.7452727320260829;0.019561138275161125;0.7564346203594907;0.014987444873696278;0.7492770365493017;0.01628676621992843;0.8058506944444443;0.01615324563730545;202.599169421196;25.064738450952607
MLP_Relu_layers(6)_neurons (50)_;0.7556329400396979;0.041965066074980135;0.7292006604506603;0.06692263156051201;0.7390192340329446;0.03270195128165331;0.5705231916356084;0.07539816159795308;0.6072727272727272;0.09848438228327885;0.5804762826770402;0.055829638711118595;0.887129999039838;0.03120790631157377;0.872385438395801;0.03964227205336088;0.8785606748708694;0.0177787540110597;0.7377620435717148;0.027501048845519047;0.736286275373063;0.02634743791375522;0.7326853971936181;0.02584956270684278;0.794587734741784;0.02258370647824081;230.51097600460054;50.35893183734554
MLP_Logistic_layers (6)_neurons(50)_;0.0625;0.1875;0.07986111111111112;0.23958333333333331;0.0701219512195122;0.21036585365853658;0.03515625;0.10546875;0.04090909090909091;0.12272727272727274;0.037815126050420166;0.1134453781512605;0.6351631622390168;0.09620816223874303;0.9784974093264249;0.06450777202072538;0.7620453963093758;0.02890284356678866;0.2442731374130056;0.12972503842850805;0.3664225371155423;0.0992676113466269;0.28999415785976945;0.1175698863764749;0.615128863458529;0.036109239299179634;127.04195084571839;175.57802144090874
MLP_TanHip_layers (6)_neurons(50)_;0.7210326531191199;0.03077208884328134;0.777326146076146;0.027185270009121302;0.7475699209200501;0.020976595942856;0.619308678558694;0.03701955702195034;0.5636363636363636;0.06863485850246136;0.5874153172702636;0.039965420417617074;0.8841287465107298;0.016038587151198606;0.8793688177107866;0.02330004431991483;0.881569976989284;0.01582090554286231;0.7414900260628479;0.022870720377146308;0.7401104424744321;0.021833310797345233;0.7388517383931992;0.02227451590960368;0.8020950704225353;0.018781568951053384;160.53907177448272;26.954777148114456
MLP_Relu_layers (1)_neurons (100)_;0.7469218356830117;0.02188120444778248;0.7633935508935508;0.02638113954906827;0.7546745822196529;0.0171492614036759;0.6503376530780123;0.04572064029604308;0.5763636363636364;0.049493300322968004;0.6101102076511269;0.04121422505150843;0.880882753589443;0.014251180804721526;0.9014178049929346;0.022642525442161908;0.8909358659097455;0.016349423482022313;0.7593807474501556;0.023889593458430714;0.7470583307500406;0.02076054669691227;0.7519068852601751;0.02165628803928671;0.8144515356025039;0.01889490980862488;526.2386466503143;88.39602182955551
MLP_Logistic_layers (1)_neurons(100)_;0.7270236660791604;0.02598682390404586;0.7821872571872571;0.026701054710425193;0.753164363634481;0.019561855781022857;0.6476985929798341;0.04152967970152615;0.6027272727272728;0.04946824676513742;0.6228236790088532;0.03427576569912112;0.8945671491532015;0.01298920675540849;0.8853361146625394;0.021597925249112818;0.8897528488821775;0.012803724302997511;0.7564298027373987;0.015999092146721648;0.7567502148590232;0.014163948334686349;0.7552469638418372;0.014258018364693622;0.8135167253521125;0.013368874562957473;1330.738256406784;24.567503346158563
MLP_TanHip_layers (1)_neurons(100)_;0.7425986652533865;0.020440170474434825;0.758537296037296;0.02988655237175882;0.7500482807181329;0.018222831154120944;0.648285462682167;0.05184441603278108;0.5609090909090909;0.05127304964437666;0.6002247722713331;0.043980656187237004;0.8742517682275837;0.012566942258175203;0.8998634008478567;0.02219590759251661;0.88677454521792;0.01515854558436835;0.7550452987210458;0.02362210751600491;0.7397699292647478;0.017776009646210365;0.7456825327357952;0.01974474888059805;0.8097601232394366;0.01753429026148011;509.75919342041016;76.76576997686045
MLP_Relu_layers(3)_neurons (100)_;0.7410747106326638;0.02657175432047919;0.7564491064491066;0.0406139879052703;0.7475902650261658;0.01851649566342978;0.6563004102197241;0.0544152924671202;0.5554545454545454;0.0490319511278611;0.60000342787181;0.041275761779450686;0.8737108219731933;0.017124585519247275;0.9032386784200256;0.02294607765067186;0.888087814405275;0.016612044001900805;0.7570286476085271;0.024590092746544435;0.7383807767745592;0.020410678686435837;0.7452271691010836;0.021141574347387625;0.8103848787167449;0.01912634686800601;342.6903583526611;43.260143677655066
MLP_Logistic_layers (3)_neurons(100)_;0.749243622768587;0.03261183934709126;0.7223630536130536;0.05645132334607687;0.7335395502592668;0.02613096833690156;0.4289947436807641;0.0866415853449245;0.610909090909091;0.03999999999999998;0.49994003553422184;0.06252517130532494;0.919474985945547;0.01783160429714239;0.8070062579907139;0.03683385755467286;0.8588905539602143;0.018613768146990613;0.6992377841316327;0.025058723258373588;0.7134261341709529;0.02963006526386468;0.6974567132512343;0.03144304045153985;0.754220461658842;0.03163994223745929;700.9545711755752;203.06038522000642
