Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MNB_alpha 1.0_fit_prior_;0.8444487274074468;0.0348002921858957;0.49195804195804194;0.0412664993338931;0.6209984067450053;0.03864986519380506;0.7083333333333333;0.2868652413009751;0.025454545454545452;0.012060453783110546;0.048830603906672695;0.022650147828840433;0.6912746411558379;0.007694933880525859;0.9888459726801695;0.004499603357020017;0.8136878609015099;0.006090738209189979;0.7480189006322061;0.08798909674745681;0.5020861866975856;0.012909820019503316;0.4945056238510627;0.012281539096850563;0.7113544111893584;0.009927072311622485;0.5539203882217407;0.15376809699325752
MNB_alpha 1.0_;0.7093141176927122;0.018075057881964094;0.7849358974358973;0.0402809417722949;0.7448871600745688;0.025336682940518995;0.5423045868717459;0.044323036042855736;0.3354545454545455;0.02520986295247646;0.4132867247050747;0.022589195528926465;0.8130259056296708;0.016214399492595375;0.8682154632931833;0.01793601246262396;0.8396750803102908;0.016017594499376314;0.6882148700647095;0.021152794231293487;0.6628686353945421;0.018652472134478678;0.6659496550299782;0.0173124104494327;0.7578164123630674;0.017593119818997856;0.4982099771499634;0.10109486382803365
MNB_alpha 0.9_fit_prior_;0.8367405624178363;0.033792183086041844;0.5149232711732712;0.04216572331976072;0.6368596784172867;0.0388246101472006;0.6816666666666666;0.26837473800639283;0.03636363636363636;0.015745916432444336;0.06852375640509381;0.02878840534714281;0.6984132255458355;0.00757797397827817;0.9872908956328645;0.006180928418689679;0.8180774067937678;0.0062238316526311635;0.7389401515434462;0.08575184664979332;0.5128592677232573;0.01353686015343161;0.5078202805387161;0.013517577652886022;0.7174562304381846;0.010441043485711602;0.5108830213546753;0.11687508973807915
MNB_alpha 0.9_;0.7105153497291274;0.01625878196607856;0.7925990675990676;0.03609609382781894;0.7490238752107838;0.02214269159958299;0.5484483727200288;0.04220629713659548;0.34909090909090906;0.030205904956065736;0.42507379442471216;0.02378380779799021;0.8183692995608933;0.015318801173450297;0.8669181077989366;0.017987653023191906;0.8418961401135178;0.01532215031110066;0.6924443406700165;0.020235567076215908;0.6695360281629712;0.017543540534874804;0.6719979365830044;0.01663665519379169;0.7611023082942097;0.016733714278421297;0.5054712533950806;0.10523594177832667
MNB_alpha 0.8_fit_prior_;0.8282814977031085;0.028692492292622676;0.5385926573426574;0.04258335799529164;0.6520845628277685;0.03724272710828225;0.7172841047841049;0.2116247895790236;0.04727272727272728;0.017627926754241196;0.08784118946233468;0.031511214680564975;0.7056376255218654;0.008771019062337947;0.9852129735549425;0.0055671501432088336;0.8222869257398269;0.007016501118757345;0.7504010760030262;0.0694095680054904;0.5236927860567757;0.014823227280628303;0.5207375593433099;0.015544832950623795;0.7234005770735524;0.011125501856445818;0.5212949037551879;0.11891147237138656
MNB_alpha 0.8_;0.7066055107513038;0.015176500123326282;0.7960761460761461;0.039109478769155645;0.7482999953733916;0.022316807475313987;0.5499715045692575;0.03643109470192996;0.3663636363636364;0.03228232891739037;0.4378955909693632;0.020180435067047017;0.8250800868849447;0.014632358860148275;0.8635441760312226;0.0176263616785995;0.8438236217009747;0.014713969497978508;0.6938857007351686;0.017772052903681872;0.6753279861570017;0.016039602944354057;0.6766730693479099;0.01474307540907346;0.7628227699530516;0.01573000046823797;0.5357690572738647;0.121355578464427
MNB_alpha 0.7_fit_prior_;0.8206207191740302;0.026833889631737263;0.5559780497280497;0.04255448902149917;0.6622979946348717;0.03654170329496054;0.6576270951270952;0.15530034703959655;0.05909090909090908;0.020829889522526547;0.10785874866523401;0.03638899598990495;0.7121673315516693;0.008879712531813095;0.9828773299239619;0.005941068360042356;0.8258791039938839;0.007090282582388471;0.7301383819509315;0.05392443939895521;0.532648762914307;0.01694213046956962;0.5320119490979967;0.019126612771163915;0.727936228482003;0.012113197511868101;0.5086404323577881;0.11144336383884382
MNB_alpha 0.7_;0.7040127599347507;0.016770605725376315;0.8009421134421133;0.03498972569907519;0.7490709821878582;0.021572531897134338;0.5536862151423338;0.03520433690191519;0.39;0.0364657656729665;0.4559455621316063;0.025033123148845947;0.8336701489619485;0.014883352284686792;0.8601722629701903;0.017861287045106783;0.8466428148540043;0.014403984483953811;0.6971230413463443;0.01759531170457472;0.6837047921374346;0.017433081446394248;0.6838864530578228;0.016135414402242018;0.7659526604068858;0.015559025717921554;0.48276073932647706;0.09375533063167098
MNB_alpha 0.6_fit_prior_;0.8119838420280651;0.026969304582481562;0.5803127428127428;0.04771187629152956;0.6762861942936691;0.04003474999336985;0.6217460317460317;0.15677253141477954;0.07545454545454547;0.02788702118214176;0.13334818144293775;0.046235934245758066;0.722417284460177;0.008711123057976344;0.9805430320974363;0.006274405546188726;0.8318912727480283;0.006920016199309786;0.7187157194114245;0.05671136168219346;0.5454367734549083;0.01785802089526265;0.5471752161615451;0.02037205857931391;0.7348190532081377;0.012847309354660552;0.48612442016601565;0.09637796600807771
MNB_alpha 0.6_;0.7020816576042519;0.016396955333181217;0.8065219502719503;0.03401590362870176;0.7504013121091466;0.020732529143459872;0.5581837330063136;0.036318557741768516;0.4136363636363637;0.03904860289984459;0.47326391133223045;0.024541792617525;0.8419434628234705;0.013591542496591707;0.8562808693896775;0.018916937448707923;0.8489658916723511;0.014038046132423059;0.7007362844780121;0.01765147837992242;0.6921463944326639;0.01593656304666426;0.6908770383712428;0.015202709945406737;0.7689255672926448;0.015263052426885847;0.4945500373840332;0.08478548795554275
