Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7447316874683738;0.0228399319172065;0.8246066433566434;0.028807220713814474;0.7823822760989906;0.021378756821778946;0.6794179094161799;0.029492832137813226;0.7345454545454546;0.03468869823334349;0.7050739650519515;0.021424605417030316;0.9313582672394081;0.013107389357524866;0.8715873763542156;0.02371438458937641;0.9003131031551966;0.015554688923190604;0.7851692880413206;0.01848964522524723;0.8102464914187711;0.017096146968465342;0.7959231147687128;0.017534715355174677;0.8374513399843506;0.017064800457480905;510.1511158943176;113.35104268143579
SVM_kernel rbf_scale_random 42_;0.7647072803108289;0.018975278156456058;0.7849504662004663;0.0353465774834092;0.7744355838632515;0.02404875475616369;0.7097365975686073;0.030547706713976976;0.6836363636363636;0.03322848524090376;0.6958907563459177;0.02573872104599992;0.90308058719666;0.014128657227441008;0.9032332952022071;0.016580901639680908;0.9030976852089603;0.01356553193162698;0.7925081550253653;0.01788653287557465;0.7906067083463456;0.017737225698081786;0.7911413418060431;0.017297884655336215;0.8388561228482002;0.015458855618085566;995.2519535064697;187.4261537586461
SVM_kernel rbf_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;692.6520145654679;120.85175069788666
SVM_kernel sigmoid_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;505.47815957069395;104.9387579855854
SVM_kernel sigmoid_scale_random 42_;0.7449296404061927;0.026847840148417308;0.830162198912199;0.027399591114303838;0.7849111615444611;0.021801110316602354;0.6907765488486592;0.02910191931626371;0.740909090909091;0.041311155518188244;0.7141001565347528;0.025074110970928026;0.9305937976379447;0.014417955078745597;0.870549088217482;0.024448633039834054;0.8993599483228675;0.015530375298467949;0.7887666622975987;0.01897290974243009;0.8138734593462573;0.019069401317445965;0.7994570888006939;0.018364660752481974;0.8391722906885759;0.017226409943587817;454.967241358757;97.98750458467367
SVM_kernel poly_g2_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;499.8185728788376;107.64224098437408
SVM_kernel poly_g2_scale_random 42_;0.7988492068372868;0.02260182245845464;0.53368783993784;0.04161010242817795;0.6390940937002324;0.0334261752518167;0.5824464724464724;0.0965593486131803;0.15;0.04170934453437987;0.23665975878439802;0.0585180924600734;0.7278543399942523;0.011208348608486594;0.9719850615705538;0.009331472722888558;0.8323355051373579;0.008697102773950768;0.7030500064260039;0.03166273312285422;0.5518909671694645;0.018729095110817825;0.5693631192073296;0.02261491670420899;0.7320031298904539;0.01245576227170653;826.6185062646866;179.50017675868162
SVM_kernel poly_g3_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;502.65032732486725;109.02270692893336
SVM_kernel poly_g3_scale_random 42_;0.4769133665611994;0.08750959128115533;0.05707070707070707;0.01453610688302478;0.10153685469331901;0.02452785692130794;0.05011655011655012;0.051090090677568;0.004545454545454545;0.004545454545454545;0.00832092562886876;0.008322367568235402;0.6272241612125065;0.003939004777294584;0.9976663750757014;0.0018156862332157691;0.770209645872187;0.002870164246741823;0.38475135929675197;0.03828409578883152;0.3530941788972877;0.004996662491396955;0.29335580873145833;0.00954330298892893;0.6152990512519564;0.003311719513740139;848.0187379360199;188.77431059517343
SVM_kernel poly_g4_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;500.02643487453463;107.0765874786578
SVM_kernel poly_g4_scale_random 42_;0.2823214285714286;0.09001686743551175;0.025048562548562553;0.01170902966989935;0.0457384076509574;0.02068833682538347;0.039646464646464645;0.049175038067519015;0.0036363636363636364;0.004453617714151233;0.0066535813620936775;0.008149728516048766;0.6226327829350236;0.0034258415293141947;0.998444922952695;0.0017188653534400485;0.7669687796344218;0.0023329440348029656;0.31486689205097224;0.03914124900204267;0.3423766163792071;0.004149951270919264;0.27312025621582425;0.008347237315159734;0.6084154929577466;0.0025184926085437247;845.046678185463;185.4022183232219
SVM_kernel poly_g5_scale_random 42_;0.18568078979843686;0.09817149933672731;0.013913170163170164;0.008212765491804856;0.025804809137564465;0.015057326452552857;0.039646464646464645;0.049175038067519015;0.0036363636363636364;0.004453617714151233;0.0066535813620936775;0.008149728516048766;0.6212046793925313;0.0033585348554438102;0.9992221250252339;0.0011882249212614617;0.7661155854283632;0.0026071204828875486;0.28217731127914425;0.04474282714647482;0.33892388627492254;0.0037640005722163164;0.2661913253093404;0.00730176958193424;0.6063820422535211;0.0025771355380155175;835.667781662941;186.92691915703276
SVM_kernel poly_g5_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;502.7000595331192;113.65820174016972
SVM_kernel poly_g6_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;503.162877035141;106.86027614918642
