Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
KNN_k=1_;0.016437908496732025;0.025188447764945377;0.002088189588189588;0.003189786929027726;0.0037040800963565185;0.005658486512122684;0.0;0.0;0.0;0.0;0.0;0.0;0.5955869129200474;0.003015641695628743;0.9592692281811454;0.0051005438431891755;0.7348928858301796;0.0035572922923449634;0.20400827380559314;0.008644107544775955;0.32045247258977827;0.0019172082442165024;0.24619898864217865;0.0022849744332462552;0.5790047926447575;0.003614677447423553;145.23684964179992;7.587990453234803
KNN_k=2_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5944699816717381;0.0021177510452050027;0.9597880357983986;0.005125254202160195;0.7341939064569267;0.002899402187493336;0.19815666055724607;0.0007059170150683364;0.3199293452661328;0.0017084180673867285;0.24473130215230893;0.0009664673958311104;0.5788485426447574;0.0036155599238429374;149.66136307716368;4.490921315852223
KNN_k=3_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;150.7791581630707;3.882199735187735
KNN_k=4_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;151.78863189220428;4.060002568465665
KNN_k=5_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.59559850780251;0.0037042244161602073;0.9693984254087882;0.015642207670148865;0.7378399825234909;0.0073211863834904975;0.19853283593416998;0.001234741472053408;0.323132808469596;0.005214069223382948;0.24594666084116365;0.0024403954611635077;0.5846388399843505;0.009258931358066356;152.62799980640412;3.653211121954295
KNN_k=6_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5984585412080717;0.004661467750637346;0.9810665500302805;0.01917027376214064;0.7433982611926765;0.009078384803050376;0.19948618040269053;0.001553822583545786;0.32702218334342686;0.006390091254046872;0.2477994203975588;0.003026128267683466;0.5916771811424101;0.011490350091043221;153.22796330451965;4.483232278817523
KNN_k=7_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5984585412080717;0.004661467750637346;0.9810665500302805;0.01917027376214064;0.7433982611926765;0.009078384803050376;0.19948618040269053;0.001553822583545786;0.32702218334342686;0.006390091254046872;0.2477994203975588;0.003026128267683466;0.5916771811424101;0.011490350091043221;154.4617399454117;4.136857398592645
KNN_k=8_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.59559850780251;0.0037042244161602073;0.9693984254087882;0.015642207670148865;0.7378399825234909;0.0073211863834904975;0.19853283593416998;0.001234741472053408;0.323132808469596;0.005214069223382948;0.24594666084116365;0.0024403954611635077;0.5846388399843505;0.009258931358066356;156.4165668964386;4.650751586839962
KNN_k=9_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;158.2174099445343;3.79750840807156
KNN_k=10_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;161.23367779254914;4.59020858514902
KNN_k=11_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;162.98812561035157;4.451602576387448
KNN_k=12_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;161.8021955013275;4.232251198382097
KNN_k=13_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;163.36748576164246;4.2691120192632015
KNN_k=14_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;164.44621028900147;6.995476018457229
KNN_k=15_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;166.43211624622344;8.201285959159176
KNN_k=16_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;170.46183154582977;10.58861944176741
KNN_k=17_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;177.3159994363785;11.741862460205011
KNN_k=18_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;183.2493296146393;10.798714501324353
KNN_k=19_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;189.90264694690705;5.639515582515055
KNN_k=20_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;192.11036195755005;4.9893414843594
KNN_k=21_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;192.91133494377135;3.9191383854701125
KNN_k=22_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;194.23398218154907;3.602144688644881
KNN_k=23_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;195.79866390228273;3.906037776427301
KNN_k=24_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;196.7244911670685;3.491223825248769
KNN_k=25_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;198.0810779094696;3.8160402375575435
KNN_k=26_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;199.30538890361785;3.8330888819277176
KNN_k=27_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;201.21440484523774;4.2698337988664825
KNN_k=28_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;202.3081043958664;3.7897059796483474
KNN_k=29_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5932282120578588;0.0018656218007335368;0.9597880357983986;0.005125254202160195;0.7332474050591724;0.0029009193386916204;0.19774273735261957;0.0006218739335778477;0.3199293452661328;0.0017084180673867285;0.24441580168639082;0.0009669731128972033;0.5788485426447574;0.0036155599238429374;204.18697023391724;4.13961856898613
