Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MNB_alpha 1.0_fit_prior_;0.7735316483312489;0.01567994393296016;0.6722125097125098;0.037376242400464124;0.7187784002139406;0.02402935332468851;0.7768812630960968;0.12402554248200726;0.11090909090909092;0.030369623797254663;0.19281497505701276;0.04824713719878786;0.7456057379051355;0.010921547071271876;0.964203620213983;0.007212188579740502;0.8408948764673949;0.008536436767787656;0.7653395497774939;0.043765197159096964;0.5824417402785278;0.016000087549295865;0.5841627505794496;0.019607718630527276;0.7517165492957747;0.011090640168861488;0.11863291263580322;0.023394520989733436
MNB_alpha 1.0_;0.6773401237161497;0.012586729107674525;0.8705759518259519;0.016720706066217554;0.7618810661405226;0.013951543192815623;0.5456004484243179;0.0367075073665205;0.5263636363636363;0.03780113252053052;0.5344948377748842;0.024589916837663116;0.8836737457345569;0.015384487165236346;0.7973864477491421;0.025691465234488096;0.8381161217808797;0.01765721427958759;0.7022047726250082;0.01691164845202714;0.7314420119795768;0.014738406652695624;0.7114973418987621;0.014429613838542169;0.767206572769953;0.015733553026156734;0.10750267505645753;0.013077955853968834
MNB_alpha 0.9_fit_prior_;0.7697714527283062;0.01698073346214832;0.6854312354312355;0.04318443956236322;0.7244032970106219;0.026451183918174893;0.7488873087696617;0.09472283905928326;0.12636363636363637;0.028298877120497053;0.21494007685195723;0.04288546586061992;0.7526572998929224;0.013162443950760373;0.9613478231612946;0.0065049799392870086;0.8442545186965823;0.010008150771702256;0.7571053537969634;0.033933594068892306;0.5910475649853888;0.017482075258048825;0.5945326308530539;0.019663893473517574;0.7556274452269169;0.012538249803536317;0.11057178974151612;0.007065436598465249
MNB_alpha 0.9_;0.6757778840966131;0.014652011695822862;0.8726641414141414;0.01546688506587718;0.761669302640505;0.014368969757247834;0.5444904622897406;0.03581429643296584;0.5445454545454546;0.04272727272727274;0.5433015574809171;0.028576961227275457;0.8890409831477628;0.015478974368796578;0.7914178049929346;0.02550341452259913;0.8372099778387337;0.018068038326583092;0.7031031098447056;0.017118464258188196;0.7362091336508435;0.01578799014083266;0.714060279320052;0.015544779500150112;0.7672073063380281;0.016232169218776103;0.11710050106048583;0.013003322216275178
MNB_alpha 0.8_fit_prior_;0.7636961186529605;0.01399757935640027;0.7014568764568765;0.041052580716071686;0.7306562157052541;0.024656723839724736;0.7592181609240433;0.09068966033248259;0.15181818181818182;0.029048264197582656;0.25198239849492315;0.0435441220228865;0.7619215175988396;0.015222967609277344;0.9584940448152883;0.007152942320373425;0.8489223006621289;0.011451590228983191;0.7616119323919478;0.034896772082799565;0.6039230343634487;0.021406088774619057;0.610520304954102;0.02390258256429712;0.7618847809076682;0.01498047100903697;0.11888000965118409;0.013084430029206387
MNB_alpha 0.8_;0.6752221008817444;0.015705595824819014;0.8747571872571873;0.017753633564178684;0.7621048316865529;0.015788784176696172;0.541948839933099;0.036399095084557166;0.5572727272727273;0.043227248828977244;0.5483398676069065;0.029750225884773995;0.8934348998168037;0.01687264418489766;0.7867478635354284;0.025346121865592274;0.8365282908358369;0.01874748800274139;0.7035352802105491;0.018627326568680193;0.7395925926884476;0.01795679929041154;0.715657663376432;0.01758490245506754;0.7670505672926448;0.017687765850122168;0.116937255859375;0.014039386334486963
MNB_alpha 0.7_fit_prior_;0.7575560038222273;0.016019290444879746;0.7153506216006216;0.038572100016043484;0.7353812263493803;0.02420386162999459;0.7498414122664497;0.0784327922574852;0.17636363636363633;0.025777176143196044;0.28473843903510576;0.036649660479893834;0.7711084415782524;0.015299952400525504;0.9548630643967432;0.008456258064231708;0.853146963374739;0.011632331298978156;0.7595019525556432;0.030641148884897808;0.6155257741203337;0.02083093657532466;0.6244222095864085;0.022139121461905574;0.7670471439749609;0.014862662688653846;0.11471331119537354;0.01377555012479286
MNB_alpha 0.7_;0.6730636555565774;0.014685104185678534;0.8733634421134422;0.018489185765941395;0.7601785840186399;0.014819475349450327;0.5324853955836455;0.037319426454491024;0.5736363636363636;0.0440604393311005;0.5512116077347098;0.031339931142089654;0.8984820613734872;0.01928171365547925;0.7779267882376691;0.025590024228530177;0.8337169950928972;0.020536882993710627;0.7013437041712367;0.01954111142360322;0.741642197995825;0.01939498520962439;0.715035728948749;0.018846708184334943;0.7642343994522692;0.019031247940522772;0.11384263038635253;0.014239104590201543
MNB_alpha 0.6_fit_prior_;0.749182797154573;0.012841978407541668;0.7362276612276613;0.03804411998598137;0.7422444187187133;0.023127021807248772;0.7451058212028328;0.06729791444195206;0.2;0.02538952735230716;0.3139919061379385;0.032092669375665475;0.7825422581934414;0.01381517192644369;0.9501944687436914;0.00834193675128644;0.8582038452428116;0.010272725911624208;0.758943625516949;0.025088212582876808;0.6288073766571176;0.017590892448297063;0.6381467233664877;0.017824572084279032;0.7729927132237872;0.01285650656205335;0.12346959114074707;0.01244025361309415
MNB_alpha 0.6_;0.668419335091612;0.016238306607404523;0.8692016317016318;0.024473840145051644;0.7555886126950415;0.017504112597076897;0.5271943230964824;0.03667850849641735;0.5936363636363637;0.03771357911398461;0.5573451738341804;0.02693474252212938;0.9046280335040059;0.018301083162537417;0.7693688177107866;0.025478420125888537;0.8313480624429405;0.019528959844925756;0.7000805638973667;0.018540755155049406;0.7440689376829273;0.018406738369210612;0.7147606163240541;0.017847779780713197;0.7615742370892018;0.018664163185689402;0.11223106384277344;0.01762263277980777
