Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MNB_alpha 1.0_fit_prior_;0.7108893422684854;0.010433245244243747;0.836470473970474;0.02345452652244773;0.7684355887939702;0.01320903866589065;0.6906537295801006;0.04251643042292758;0.55;0.05351295510095069;0.6104945998057285;0.036747998688562614;0.8887524726502516;0.014865025476273299;0.880920530246955;0.01946295641587225;0.8846597320839136;0.012613361970044985;0.7634318481662792;0.01679350149921101;0.7557970014058097;0.01572021694748739;0.7545299735612041;0.014297938814054598;0.8139857198748045;0.011911198243349524;0.5501458883285523;0.0720172048717264
MNB_alpha 1.0_;0.6798482909690862;0.01147081578417199;0.8580468142968142;0.018871002095731206;0.7585168126940782;0.011524405813911972;0.5351371936109788;0.03508695671008162;0.6763636363636364;0.039668044053220775;0.5966375414682943;0.028877515722394;0.9240082147126423;0.016581298122039723;0.7628874234573717;0.026609697504559344;0.8355433137038499;0.01980613712367229;0.7129978997642358;0.015968446338321774;0.765765958039274;0.01592327960650128;0.7302325559554073;0.015955461630513777;0.7693982296557121;0.01690627890310789;0.5521725416183472;0.06994169961533728
MNB_alpha 0.9_fit_prior_;0.7099693543595273;0.010972781120659884;0.8329885392385392;0.026328134981854708;0.7664223342234135;0.015443388815053707;0.6862060575777168;0.04344659122691927;0.5536363636363637;0.05213618530523517;0.6109277301299904;0.03518697014640802;0.8895918226395014;0.015399271807370853;0.8801413094677344;0.02022725533304013;0.8846803190484092;0.013465778397237891;0.7619224115255819;0.01766166512421792;0.7555887374475458;0.015482494614186828;0.7540101278006045;0.014418277208893545;0.8133590082159625;0.012883411527223703;0.5520904064178467;0.06975527720110883
MNB_alpha 0.9_;0.6816435757357698;0.009778268108780633;0.8580565268065268;0.0202945609648498;0.7596553626498207;0.011905861579992325;0.5315813277735859;0.03551612329386143;0.6799999999999999;0.03765875486765086;0.5958733502939813;0.02898827222616392;0.9252373756298381;0.016005555142516222;0.7610699145414171;0.026760037705194483;0.8349707228074811;0.020197922650416204;0.7128207597130645;0.016336802240084106;0.7663754804493147;0.016141467784332602;0.7301664785837609;0.016459218679157294;0.7689282570422535;0.017581069727925704;0.5522091865539551;0.0697380092857824
MNB_alpha 0.8_fit_prior_;0.7099320118782027;0.010425407500419311;0.8295114607614609;0.027081884342074054;0.7649217749994184;0.015588500220074273;0.6796013912548651;0.048244972467269276;0.5590909090909092;0.049668321380537235;0.6117034062419877;0.0358966221632899;0.8903118650746942;0.015520809503531845;0.8783251463562344;0.020119280904467816;0.8841245541948528;0.013712785045013371;0.7599484227359208;0.01955678470603807;0.7556425054028681;0.016130560353291218;0.7535832451454196;0.015608526951687057;0.8124202856025038;0.01386163645293773;0.5520556926727295;0.06977871100091425
MNB_alpha 0.8_;0.6822373265625211;0.010369590434307671;0.8573572261072261;0.020331174217310576;0.7597486613599033;0.012235043759424247;0.529883593658499;0.036099785688847884;0.6836363636363637;0.04041111049253248;0.5961760547324785;0.030612618620739957;0.926275578190026;0.015788461376819794;0.7597718861449432;0.026888866027657804;0.8346129541268441;0.020301989248151915;0.7127988328036821;0.016548368582533723;0.7669218252961777;0.01629805592855627;0.7301792234064086;0.0167580037523422;0.7686152679968701;0.017836781265714217;0.5522223234176635;0.06999166842599469
MNB_alpha 0.7_fit_prior_;0.7077658558983291;0.008327110444411479;0.8295163170163171;0.02723386857436294;0.7636769933118522;0.015155892486076189;0.6778435703502985;0.052322432811868304;0.5645454545454547;0.052136185305235165;0.6140050617365566;0.038025401229569704;0.8913983698357985;0.015792303828353223;0.8754706951080008;0.021122060506194456;0.8832010808440307;0.014370418236759797;0.7590025986948088;0.020375278990976457;0.7565108222232574;0.016206481123422913;0.7536277119641466;0.015897216957830543;0.811638057511737;0.014240313628828433;0.554155707359314;0.06916030208058936
MNB_alpha 0.7_;0.6812839207492386;0.009528402451780727;0.8524961149961149;0.023057835579059403;0.7572587208692615;0.013842683542102432;0.5259617751756942;0.03366235469117065;0.6872727272727274;0.04049283172967287;0.5952360415833191;0.030724137724051935;0.92675606491766;0.01634407372201165;0.7579590875445799;0.02541978615063124;0.833716925446239;0.019370105620920522;0.7113339202808643;0.015990093264699384;0.7659093099378073;0.016474384022519866;0.7287372292996065;0.01645438164182071;0.7670508118153364;0.017165236187841996;0.5516864061355591;0.06965479359871986
MNB_alpha 0.6_fit_prior_;0.707428680745472;0.009597325649765573;0.8246503496503497;0.028168687770359357;0.7613866682513276;0.015744151533503656;0.6655474152667427;0.050988535342129215;0.5727272727272728;0.05028842431250667;0.6139020085007314;0.03784941941388702;0.8931954058503525;0.01653822266613738;0.8723565036000268;0.02212168266492758;0.8824789735993435;0.01521117050051727;0.7553905006208558;0.020652183609094144;0.7565780419925499;0.016994669387047374;0.7525892167838008;0.016738231670966056;0.81007311228482;0.015111992067392992;0.551923418045044;0.069820400204729
MNB_alpha 0.6_;0.6793554114971246;0.011862966061590492;0.8434537684537684;0.02491608215634076;0.752478371405059;0.015895664830264986;0.5233011027512577;0.0341338120399027;0.6918181818181818;0.03887891778244199;0.595266338994647;0.03083014077200681;0.925430244513144;0.01579650459119234;0.7561442702375345;0.02470914702762137;0.8320836102993301;0.018609820329334063;0.7093622529205088;0.01593038217016912;0.7638054068364949;0.016734491738267056;0.7266094402330121;0.01648823630188355;0.7647043720657278;0.016942078886789943;0.551795220375061;0.06973076526822788
MNB_alpha 0.5_fit_prior_;0.7066071962665395;0.01247973423024904;0.8211781274281273;0.025465887919276058;0.7594622586925106;0.016029379141393543;0.6579276995231806;0.050534373808334435;0.5790909090909091;0.041669696859512155;0.6145555129299586;0.03331714815249432;0.8942277151932277;0.016473965229456343;0.869501379449566;0.023927116252358098;0.8815300232492168;0.016888034619526968;0.7529208703276493;0.021360478872511864;0.7565901386562008;0.01628750320481946;0.7518492649572287;0.016853857679910603;0.8086631944444445;0.016746884363961986;0.5520303964614868;0.0697255655289521
MNB_alpha 0.5_;0.6774025633527907;0.011956084134365297;0.838568376068376;0.02181200045894323;0.7493329760662764;0.014215825483565201;0.5186439543881861;0.03218162505911908;0.690909090909091;0.04024717022032483;0.5918513477585485;0.029478556265378875;0.9264538269357034;0.01298825291637788;0.7556234439135994;0.025893807699264502;0.8321898722187975;0.019095612711274454;0.7075001148922268;0.014721018078976099;0.7617003036303555;0.014693184782216682;0.7244580653478742;0.015236502283073907;0.7631404049295775;0.016659772271209884;0.5519914865493775;0.06980499529022875
MNB_alpha 0.4_fit_prior_;0.7034150010806959;0.012266483573783668;0.8135198135198134;0.028473601703125104;0.7542724244279586;0.01657560013215014;0.645640836485504;0.04862389932746205;0.5818181818181819;0.042054667295346834;0.610668353249792;0.03268158228150725;0.8946232945486996;0.017910669818352213;0.8663885337460465;0.024708338291399384;0.8801098909089674;0.017971111522246213;0.7478930440382999;0.021004461259394334;0.7539088430280141;0.016761942813212097;0.7483502228622394;0.01710965029921091;0.8055337930359938;0.017297273073282066;0.5522091388702393;0.06963692377979441
MNB_alpha 0.4_;0.6745518598213804;0.011422655513262223;0.8336926961926963;0.02346461943594399;0.7456429707064227;0.01491102051145787;0.5172606407847564;0.03145720846231452;0.6963636363636364;0.03686024533220598;0.5929098201019092;0.027237122493386376;0.9277247213494322;0.012932072701218681;0.7535475405423592;0.026603396830400885;0.8314329851124175;0.019705338845281497;0.7065124073185232;0.013997703640677478;0.7612012910328974;0.013720906738003488;0.7233285919735831;0.014538461619287272;0.761731954225352;0.016382127062118917;0.5520014286041259;0.06973628010844406
MNB_alpha 0.3_fit_prior_;0.7034741227565589;0.013872455631091067;0.8107420357420357;0.03024775399721312;0.7531373006562565;0.01909375188268425;0.6396828187441395;0.042377996961372975;0.59;0.04094947501656439;0.6127139177077815;0.030780006448521677;0.895791554208504;0.018697152935363122;0.8637951685620079;0.022986689376695478;0.8793593193556927;0.01779527377514786;0.7463161652364008;0.02010727453834352;0.7548457347680146;0.018296522715120986;0.7484035125732437;0.017702223377052958;0.8047513204225352;0.017466338349828164;0.5516232252120972;0.06963447515400352
MNB_alpha 0.3_;0.6734130249504336;0.011477254497824638;0.8309003496503496;0.025043706293706305;0.743815838951695;0.015537935807947762;0.5127076078400792;0.030963684412135394;0.7009090909090909;0.03531440836282733;0.5915597880034917;0.026678773084564532;0.9292107358780944;0.012959790017838828;0.7499158872215868;0.02661282830285648;0.8297988206275007;0.019593819860534357;0.7051104562228692;0.013200931070855704;0.7605751092603426;0.012226434010061644;0.7217248158608957;0.013837326810920637;0.75969752543036;0.016274620227941412;0.5516350746154786;0.06960762664295152
