Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
SVM_kernel linear_random 42_;0.7618017102881816;0.022922214129461507;0.7272047397047398;0.03216001164980951;0.7438271372465316;0.02435382541518787;0.6334266785931143;0.03021273834555513;0.6718181818181818;0.03909090909090908;0.6509500134132816;0.022040300488280706;0.8928665754570403;0.01279336477412563;0.8915604602651234;0.01739790440730059;0.8921048509884868;0.01168398288582763;0.762698321446112;0.016482938983216067;0.7635277939293483;0.016062743349723237;0.7622940005494334;0.01582664048497373;0.8167982198748043;0.014261104271659908;50.18250811100006;1.5251892940625107
SVM_kernel rbf_scale_random 42_;0.7102562532031892;0.01742752875531016;0.7814296814296815;0.029990767418674853;0.7439977479631931;0.02118219229956034;0.6925261535063327;0.03733754075159747;0.6781818181818181;0.04382534833888709;0.6845336048849295;0.033846311696168536;0.9130282248790513;0.012121620972992277;0.8837803647130071;0.015778366105393106;0.898078170829763;0.011050075324484062;0.7719368771961911;0.018885161737350494;0.7811306214415022;0.02008670311062689;0.7755365078926285;0.018775573990231303;0.8254029733959312;0.014541004770316647;83.15464189052582;2.059461668485285
SVM_kernel rbf_auto_random 42_;0.7833333333333333;0.31666666666666665;0.009741647241647241;0.004609463380634352;0.019206943681267186;0.009041623157037569;0.0;0.0;0.0;0.0;0.0;0.0;0.6045502845765384;0.001164230668679685;0.9997409326424871;0.000777202072538863;0.753470667750847;0.0009960939494427156;0.46262787263662386;0.10571854828967168;0.3364941932947115;0.0016090205299831792;0.25755920381070474;0.003248345756201316;0.6051315532081376;0.0013727915073681325;116.6983544588089;2.9934300000795466
SVM_kernel sigmoid_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;111.30117847919465;3.060758976619543
SVM_kernel sigmoid_scale_random 42_;0.7399458757935989;0.03031982163766188;0.7307206682206683;0.048466357725890016;0.7337752096323485;0.021111452172003407;0.6560790297612529;0.03564218719882837;0.6845454545454545;0.039006250823499886;0.6690231519616641;0.025688143316117084;0.8885846303407933;0.017088833449457178;0.8798862795235852;0.020220763534589913;0.884096214427467;0.015680401057286377;0.7615365119652149;0.019580547819321448;0.765050800763236;0.01991472365001805;0.7622981920071598;0.018664284273259033;0.8127335191705791;0.016994745650785167;44.62013425827026;1.323967739028586
SVM_kernel poly_g2_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;100.45139377117157;3.3431106805199224
SVM_kernel poly_g2_scale_random 42_;0.7803503468462529;0.02673242092953084;0.5323232323232323;0.0315789987342683;0.632327239048181;0.025457501438803806;0.6814863261905197;0.022186062317249414;0.6454545454545454;0.04283352359778089;0.6620776818111099;0.02517089635272197;0.8203848810817821;0.007586272494543125;0.929440145346881;0.010831353912189189;0.8714499081033003;0.005287278951358261;0.7607405180395183;0.010626571620061868;0.7024059743748862;0.014037232567046292;0.7219516096541969;0.011630602200527942;0.7913008607198748;0.007299540293899342;91.92034878730774;2.528030283410856
SVM_kernel poly_g3_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;97.40768899917603;2.862599890333585
SVM_kernel poly_g3_scale_random 42_;0.739180082949553;0.048755606245503846;0.3277049339549339;0.039283820826749444;0.4528896294894116;0.04182678431456826;0.5695261239247472;0.05092551194352575;0.2436363636363636;0.027812833710506097;0.34107928844306734;0.03565771201261207;0.7048398250934029;0.007404084818876371;0.9660157459121189;0.0069188317478283134;0.8149859125934145;0.005725012717597601;0.6711820106559009;0.023041032443849245;0.5124523478344721;0.010540305457229336;0.5363182768419644;0.013252341831175858;0.6982162069640062;0.007123074963933015;117.38012108802795;3.167310395779955
SVM_kernel poly_g4_auto_random 42_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;97.36921834945679;2.854227032491119
