Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
KNN_k=1_;0.6564708193071379;0.01663456889051277;0.7132915695415695;0.030961315147351058;0.683148877050335;0.014311470347738919;0.5332603002236551;0.041310671755909086;0.5;0.05253884827927231;0.5152365335360456;0.043074918922737425;0.8679872263880462;0.01835077596322054;0.854722427831236;0.012470448417528177;0.8612507000752968;0.014080912708334486;0.6859061153062797;0.02018307301692554;0.6893379991242685;0.022440869522505427;0.6865453702205592;0.021221676639070007;0.761891627543036;0.015457273641126453;250.59209542274476;4.0144801554346605
KNN_k=2_;0.7757090893994788;0.01737369199662431;0.5386072261072261;0.04927126118637034;0.6344492556428202;0.03714774449136794;0.48627512204995577;0.019833004851719457;0.7027272727272728;0.03228232891739035;0.5743277349861252;0.01845540615306207;0.8600610429280288;0.014983262363599946;0.8479833120247628;0.015549859888257378;0.8538449990736371;0.010979417239289425;0.7073484181258212;0.012785071652454514;0.6964392702864205;0.01857851026171193;0.6875406632341942;0.018646579522561723;0.7534375;0.014432233622037481;261.27738149166106;8.985485419909773
KNN_k=3_;0.7320687736462088;0.02121103294771604;0.7494949494949497;0.03882729399271992;0.7398990524687272;0.019230864887243328;0.5791417967721473;0.02196589940029546;0.62;0.039792852051344155;0.5981239825469107;0.022399094210937085;0.8948456832906315;0.017422279681446298;0.8679516856200793;0.020056533099718842;0.881061772480653;0.015502120626493943;0.7353520845696625;0.013703680241575056;0.745815545038343;0.016629415108361245;0.739694935832097;0.014465280625285275;0.7986563478090767;0.014265016471710714;256.2041997909546;4.759424008647911
KNN_k=4_;0.7396286270552608;0.02314510745061037;0.7348679098679098;0.023703918702021706;0.7369215249167944;0.017943462384415125;0.609139813316572;0.03503370204186373;0.6263636363636362;0.045717421675200556;0.6168006122488766;0.034125389093547245;0.8810252343107662;0.014821298655538225;0.8752123006527152;0.021118867411288607;0.8779960404494112;0.015290344403120952;0.743264558227533;0.018150624920425813;0.7454812822947539;0.017077318101389072;0.7439060592050274;0.017086683460242297;0.8008453149452268;0.015197497964642207;265.3785742521286;12.18725914752637
KNN_k=5_;0.7531322087670546;0.019889551294795887;0.7724407536907536;0.03204265331155186;0.7621813955142439;0.018523947050438142;0.6315791108102521;0.03764371092661712;0.6009090909090908;0.03412422614386084;0.6146265561230145;0.022876371051731743;0.880973098507068;0.014137560983398892;0.8832575196823902;0.019982022258705556;0.8819468919136074;0.012233144213816325;0.7552281393614582;0.0134165532370553;0.7522024547607449;0.011671101950972856;0.7529182811836219;0.011015385415039032;0.8097613458528953;0.011344505041846751;265.37694172859193;11.357156651014916
KNN_k=6_;0.7434916234806845;0.017345272921793928;0.7856546231546231;0.02926952909294008;0.7637205623290392;0.01880119542921906;0.6327221892134931;0.03688645877820402;0.6100000000000001;0.028005312364998848;0.6203613696009261;0.024169076701084494;0.8903010781140421;0.013400515674646023;0.8796204831437991;0.020624574059671583;0.8848330945943568;0.014793548678786848;0.75550496360274;0.015180835981498723;0.7584250354328075;0.013308078237221847;0.7563050088414407;0.013624599132146729;0.8121068075117371;0.013623341590698133;260.08860023021697;6.720610935115032
KNN_k=7_;0.740170928100796;0.02363785618133845;0.809319153069153;0.023577867509032686;0.7728305072552129;0.01652503461744507;0.6623284655622633;0.03735510276247827;0.5772727272727274;0.05427965541282977;0.6153174764885516;0.03718538711308039;0.8867193662408239;0.013501987743034948;0.8871468945562209;0.017331718253326512;0.8867742435665494;0.009968395271136053;0.7630729199679611;0.014782267636338928;0.7579129249660339;0.019062889887119412;0.7583074091034381;0.016528853056684542;0.8163343603286386;0.011393865281661092;262.54194846153257;9.954135417274182
KNN_k=8_;0.7480148163914743;0.022199059636415205;0.7926087801087801;0.03188294010161289;0.7692134127971666;0.01978484718633259;0.663734427800669;0.04127961838521465;0.6036363636363636;0.0463903666260839;0.6311728378296048;0.03594374002671701;0.8861947563669907;0.014944937778041869;0.8881892201063184;0.015839143006969758;0.8870365532662946;0.009980712418180436;0.7659813335197114;0.01829542446927336;0.7614781212838208;0.020599547968721488;0.7624742679643554;0.018693247984691692;0.817743544600939;0.013999117461813222;260.46239347457885;6.967337858486808
KNN_k=9_;0.7491414742684597;0.0114463033893223;0.8072115384615385;0.02571378875544681;0.7768116515146111;0.012305274657127423;0.6737180051622438;0.03427898485980297;0.5972727272727273;0.051273049644376636;0.6322115119872459;0.03748088318107572;0.8878023481996946;0.015189692267162798;0.8902617589664221;0.014700182322998837;0.8888876467510315;0.009719065181955274;0.7702206092101327;0.016444288682608117;0.764915341566896;0.020450511734489175;0.7659702700842961;0.017895907063342105;0.8211849569640062;0.012584470298039696;274.98206560611726;22.173298046258168
KNN_k=10_;0.7431387824797199;0.018039894195735602;0.8114121989121988;0.018835110764758484;0.7755627055006944;0.013322957356016218;0.6804004012408164;0.037167707320242736;0.5918181818181818;0.05307876573452728;0.6318427001054242;0.03907887596158558;0.8861046198887378;0.012970222355387629;0.8879301527488055;0.013919229414318465;0.8868894107270633;0.008269810350692483;0.769881267869758;0.016351272886643516;0.7637201778263953;0.0202228572243829;0.7647649387777272;0.018026776947282584;0.8197747946009392;0.011848678024609772;282.36644928455354;20.193711846607943
