Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MLP_Relu_layers (1)_neurons (50)_;0.7573404701750738;0.027358923485922063;0.7648115773115773;0.03986504314533273;0.7602989292186904;0.024381926560948963;0.6707891680836956;0.041972782075792296;0.6918181818181818;0.037801132520530516;0.679761871630611;0.026792063436255256;0.910988656541648;0.015603727902037854;0.8975324675324675;0.017358584503067792;0.904075087536285;0.012298459061101833;0.7797060982668056;0.019818783031272613;0.7847207422207422;0.0190095345093367;0.7813786294618621;0.019239846724861665;0.8322884878716745;0.016591620745121927;47.13314518928528;5.503791725590482
MLP_Logistic_layers (1)_neurons(50)_;0.7853804188235143;0.013655461271543472;0.8135149572649573;0.022444257151029736;0.7989711655632318;0.012529559908654272;0.718027438981109;0.03203445156244347;0.6990909090909091;0.021300680934290873;0.7076277048837893;0.01242073056199701;0.9107787732848139;0.012419363972901772;0.9045319965009083;0.014629011498112018;0.907572952079262;0.010951370679050469;0.8047288770298124;0.010987236737143566;0.8057126209522583;0.00922696261785515;0.8047239408420944;0.008887880496608238;0.848716011345853;0.009815840058204578;47.75227410793305;16.090770255989085
MLP_TanHip_layers (1)_neurons(50)_;0.7696701976933737;0.018495001218789612;0.7829059829059829;0.027238639549607;0.7760194571557155;0.019338810542151145;0.696304041806009;0.035643086470311926;0.6836363636363637;0.042987601518315946;0.6881003937429624;0.018745612402166933;0.9037059977883738;0.021923926428065496;0.9009063993001817;0.01512875081559123;0.9021414020285565;0.014505692363846683;0.7898934124292522;0.015234787589322634;0.7891495819475094;0.016345625865413417;0.7887537509757447;0.014592217107735358;0.8369847906885759;0.013928116323264655;65.24660964012146;12.342729930764474
MLP_Relu_layers(3)_neurons (50)_;0.7443260390837383;0.019753418190568632;0.7703817016317016;0.03943905691242222;0.7562986731509216;0.01867727672936867;0.6819283258774987;0.04698845773624116;0.6781818181818181;0.02702921590421545;0.6785011601141813;0.021638230749576336;0.9054016047828227;0.016840847220825916;0.892602785815221;0.020671226332321907;0.8987287502970478;0.012339367964253077;0.7772186565813533;0.016800376609522185;0.7803887685429136;0.01139700615878971;0.7778428611873835;0.013162949030042597;0.8282210974178404;0.013254907390318958;44.58855156898498;7.589159186880753
MLP_Logistic_layers (3)_neurons(50)_;0.7636169459114727;0.020304502073864753;0.8134663947163947;0.032901981054171296;0.7870375129460048;0.012583641544918707;0.69455776100395;0.03564673266193759;0.7118181818181819;0.03176619129028389;0.7020786053041078;0.02093108070572024;0.9189398964250373;0.012953275275235878;0.8884455958549223;0.02008943653822798;0.903256298074181;0.011426893693414982;0.79237153444682;0.01251588308255009;0.804576724129833;0.013188216489539599;0.7974574721080979;0.011589421421478766;0.8412064749608763;0.010428750375128004;98.52284898757935;0.4214765094710759
MLP_TanHip_layers (3)_neurons(50)_;0.7260382565462372;0.01796210926307043;0.7278991841491842;0.0400008533376044;0.7264614827674943;0.02408719766206274;0.6221983212837755;0.034353142311558935;0.6190909090909091;0.04986759327964536;0.6193900266546478;0.03252198581804155;0.8918244856948018;0.01443339145025894;0.8913061032232015;0.010313088856314172;0.8914476183774809;0.00716510884602506;0.7466870211749381;0.010480787250957921;0.7460987321544317;0.012380568420005605;0.7457663759332077;0.010456629792348562;0.8077249608763694;0.00824978293411791;118.27208745479584;10.688067188944265
MLP_Relu_layers(6)_neurons (50)_;0.7605480912008278;0.022601073096285215;0.7369318181818182;0.05402311221235218;0.7472765186875293;0.02913779363710871;0.6574932293192111;0.02773202792678959;0.6527272727272727;0.03468869823334346;0.654051664114808;0.01830564907819382;0.892854436649151;0.019660824909482164;0.9034997644842203;0.020827951979635148;0.8978903530888189;0.013307580572629644;0.7702985857230633;0.01580865800537166;0.7643862851311038;0.017311040426468322;0.7664061786303853;0.015342973713521904;0.8229012617370891;0.014737361087807491;74.61831645965576;20.11828050191046
MLP_Logistic_layers (6)_neurons(50)_;0.7512420289627592;0.01904788988194043;0.8336392773892773;0.03477048667956155;0.7895257302320413;0.011103320739762076;0.6777094472445812;0.038677244160941;0.7181818181818181;0.03681537587512108;0.6959236551404373;0.02046826107366796;0.9241418938741159;0.013531885139040337;0.8687369625193458;0.022474035425030653;0.8954642363566563;0.01598537877125867;0.7843644566938187;0.015224712913470162;0.8068526860301471;0.011845897229647467;0.7936378739097115;0.01320895954008073;0.8349545187793426;0.013991379193251906;173.8610429763794;14.30158984792169
MLP_TanHip_layers (6)_neurons(50)_;0.7325678408887024;0.023907463700018595;0.7543512043512044;0.031985944446388456;0.7428778557442665;0.02209085771698722;0.6506866988893688;0.03334988685908036;0.6381818181818182;0.04;0.6432335587292741;0.025230249621067555;0.8916499796099489;0.010334841644849763;0.8855884529977793;0.019556217447269125;0.8885091356555828;0.012654479574761348;0.7583015064626734;0.013290229392566084;0.7593738251769339;0.008701816682634946;0.758206850043041;0.010316004352300795;0.8135157472613457;0.011828087281214065;129.43424661159514;25.60623196349674
MLP_Relu_layers (1)_neurons (100)_;0.7485955499001482;0.021072303939439836;0.7731546231546231;0.0320931568181904;0.7602977318945475;0.021253004593708224;0.6777706334608464;0.02523200632812443;0.6754545454545454;0.025078389498424936;0.6760749834255714;0.016748585222157615;0.9100255365962304;0.013681939451877645;0.8990861987753179;0.01592474858058001;0.9044605332703657;0.012876733814059757;0.7787972399857417;0.01418187305863229;0.7825651224614955;0.013545629818535118;0.7802777495301614;0.01355165338456575;0.8322909330985915;0.013487162205336897;69.12481269836425;1.684009501590231
MLP_Logistic_layers (1)_neurons(100)_;0.7805485579072269;0.01881569284887101;0.800286519036519;0.03200452673014899;0.7896585577649393;0.013500046043755862;0.706826610421758;0.03154772880782245;0.6936363636363636;0.022286637585693183;0.6995338556567934;0.017612457811147918;0.9090370091432474;0.01737123714946207;0.9040118430792006;0.01885866826524628;0.9063441944293563;0.01314473728039875;0.7988040591574107;0.014274592081855506;0.7993115752506943;0.014340846146810303;0.7985122026170296;0.012950464871603415;0.8444935935054773;0.012845397547998119;74.35854659080505;2.612048853515138
MLP_TanHip_layers (1)_neurons(100)_;0.7634348376393978;0.026414367358125034;0.7703234265734266;0.022079722532150455;0.7666736457112047;0.02117271008172596;0.68483060865773;0.03981289371068439;0.6818181818181819;0.036815375875121056;0.6818718804883332;0.0216848410758458;0.9020207653702681;0.020235923254020485;0.8983116883116884;0.01870983544680848;0.8999560561768629;0.013960178375023523;0.7834287372224652;0.01848868935582454;0.7834844322344321;0.016396035871863817;0.7828338607921336;0.015987716232799543;0.8322887323943661;0.014594035506885069;69.2601503610611;8.230094617433434
MLP_Relu_layers(3)_neurons (100)_;0.749684839547207;0.02402325115099481;0.7682789432789433;0.032982746325233105;0.758334550149093;0.020850624229846508;0.6737887593475829;0.027292433994777373;0.6736363636363636;0.02829887712049704;0.6730041214510728;0.01753945581498396;0.905765717003496;0.01800842392130321;0.8962411681582665;0.016552661476188554;0.9008062369769311;0.012219724793076887;0.7764131052994286;0.015268462590121195;0.7793854916911912;0.016024870115923743;0.7773816361923656;0.014756269545122686;0.8291622652582159;0.013734507557148843;62.251687097549436;13.207973550420565
