Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MNB_alpha 1.0_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.0330388069152832;0.005342174136417874
MNB_alpha 1.0_;0.7358174067946607;0.02010084455957061;0.8482857420357421;0.018932848693694382;0.7878093315486134;0.014034613579816758;0.4713233658054123;0.015271177111609318;0.8400000000000001;0.023775812419312755;0.6037908819032161;0.018002322026442696;0.9708376979761422;0.005378860359513573;0.6983029405827332;0.01771327424321099;0.8121798245491846;0.01195032813300543;0.7259928235254051;0.009322013024788594;0.7955295608728251;0.009967617044247194;0.734593346000338;0.010130986066495257;0.756414563771518;0.010302661072146311;0.03575167655944824;0.012684066635210562
MNB_alpha 0.9_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.0493741512298584;0.013408049857531211
MNB_alpha 0.9_;0.7362664757979465;0.020260334149421876;0.8482857420357421;0.018932848693694382;0.7880678109333064;0.014207960752859556;0.4710974889463696;0.015605418988331149;0.8400000000000001;0.023775812419312755;0.6036038521045359;0.01827771577783936;0.9708376979761422;0.005378860359513573;0.6983029405827332;0.01771327424321099;0.8121798245491846;0.01195032813300543;0.7260672209068194;0.00929011535696451;0.7955295608728251;0.009967617044247194;0.7346171625290089;0.010116457251217188;0.756414563771518;0.010302661072146311;0.03970880508422851;0.014271183802523377
MNB_alpha 0.8_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.033894014358520505;0.009524757865931748
MNB_alpha 0.8_;0.7361194890267558;0.020013816565406385;0.8475864413364412;0.019126829989122587;0.7876687027950678;0.013727848525484742;0.4710974889463696;0.015605418988331149;0.8400000000000001;0.023775812419312755;0.6036038521045359;0.01827771577783936;0.9705048021403229;0.005792345966578966;0.6983029405827332;0.01771327424321099;0.8120575365807428;0.0118068538835781;0.7259072600378162;0.009132434075726347;0.7952964606397249;0.009916904928069159;0.7344433638267821;0.009956010468668652;0.7562580692488262;0.010130037132507033;0.03215405941009521;0.005296636125710704
MNB_alpha 0.7_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.03471615314483643;0.008605078229666429
MNB_alpha 0.7_;0.7361194890267558;0.020013816565406385;0.8475864413364412;0.019126829989122587;0.7876687027950678;0.013727848525484742;0.4710974889463696;0.015605418988331149;0.8400000000000001;0.023775812419312755;0.6036038521045359;0.01827771577783936;0.9705048021403229;0.005792345966578966;0.6983029405827332;0.01771327424321099;0.8120575365807428;0.0118068538835781;0.7259072600378162;0.009132434075726347;0.7952964606397249;0.009916904928069159;0.7344433638267821;0.009956010468668652;0.7562580692488262;0.010130037132507033;0.029250454902648926;0.0022699072424379064
MNB_alpha 0.6_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.042168283462524415;0.012397762263370795
MNB_alpha 0.6_;0.7361194890267558;0.020013816565406385;0.8475864413364412;0.019126829989122587;0.7876687027950678;0.013727848525484742;0.4710974889463696;0.015605418988331149;0.8400000000000001;0.023775812419312755;0.6036038521045359;0.01827771577783936;0.9705048021403229;0.005792345966578966;0.6983029405827332;0.01771327424321099;0.8120575365807428;0.0118068538835781;0.7259072600378162;0.009132434075726347;0.7952964606397249;0.009916904928069159;0.7344433638267821;0.009956010468668652;0.7562580692488262;0.010130037132507033;0.03930306434631348;0.005975723197161105
MNB_alpha 0.5_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.04188687801361084;0.010764468081393993
MNB_alpha 0.5_;0.7361194890267558;0.020013816565406385;0.8475864413364412;0.019126829989122587;0.7876687027950678;0.013727848525484742;0.4710974889463696;0.015605418988331149;0.8400000000000001;0.023775812419312755;0.6036038521045359;0.01827771577783936;0.9705048021403229;0.005792345966578966;0.6983029405827332;0.01771327424321099;0.8120575365807428;0.0118068538835781;0.7259072600378162;0.009132434075726347;0.7952964606397249;0.009916904928069159;0.7344433638267821;0.009956010468668652;0.7562580692488262;0.010130037132507033;0.03821260929107666;0.007827942807562428
MNB_alpha 0.4_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.03517472743988037;0.010262175300562204
MNB_alpha 0.4_;0.7361194890267558;0.020013816565406385;0.8475864413364412;0.019126829989122587;0.7876687027950678;0.013727848525484742;0.4710974889463696;0.015605418988331149;0.8400000000000001;0.023775812419312755;0.6036038521045359;0.01827771577783936;0.9705048021403229;0.005792345966578966;0.6983029405827332;0.01771327424321099;0.8120575365807428;0.0118068538835781;0.7259072600378162;0.009132434075726347;0.7952964606397249;0.009916904928069159;0.7344433638267821;0.009956010468668652;0.7562580692488262;0.010130037132507033;0.03603386878967285;0.011758577067804322
MNB_alpha 0.3_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.030090594291687013;0.0031243633893642273
MNB_alpha 0.3_;0.7361194890267558;0.020013816565406385;0.8475864413364412;0.019126829989122587;0.7876687027950678;0.013727848525484742;0.4710974889463696;0.015605418988331149;0.8400000000000001;0.023775812419312755;0.6036038521045359;0.01827771577783936;0.9705048021403229;0.005792345966578966;0.6983029405827332;0.01771327424321099;0.8120575365807428;0.0118068538835781;0.7259072600378162;0.009132434075726347;0.7952964606397249;0.009916904928069159;0.7344433638267821;0.009956010468668652;0.7562580692488262;0.010130037132507033;0.03012080192565918;0.0028073297763607204
MNB_alpha 0.2_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.029616284370422363;0.004203845687435303
MNB_alpha 0.2_;0.7365472050233342;0.019583718054354115;0.8475864413364412;0.019126829989122587;0.7879160438784218;0.013412065714015944;0.4710727392389963;0.015209685043679535;0.8400000000000001;0.023775812419312755;0.6035902130068951;0.018032250953596722;0.9705140248017197;0.0057988419923119434;0.6985620079402463;0.01767173826940189;0.8122371600570284;0.01180142683647508;0.7260446563546834;0.009057719015443222;0.7953828164255625;0.009855199238544773;0.7345811389807817;0.009881732438752781;0.756414563771518;0.01006214281557452;0.030698132514953614;0.004658233947401804
MNB_alpha 0.1_fit_prior_;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603097613458529;0.0006777794986371675;1.0;0.0;0.7524151114468929;0.0005273491153395636;0.2010325378195097;0.00022592649954571842;0.33333333333333337;5.551115123125783e-17;0.25080503714896435;0.0001757830384465053;0.603097613458529;0.0006777794986371675;0.030828261375427247;0.004978552933638983
