Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
KNN_k=1_;0.6347259223626605;0.018910362406281075;0.7348581973581974;0.02031150059148558;0.6808913794335332;0.015099707360383711;0.5198133181912674;0.01996967909260418;0.5227272727272727;0.03383235284714253;0.5207009613247485;0.021577888612293046;0.8962905078872104;0.012936044635173966;0.841491151335711;0.017428822390618416;0.867899631434244;0.011490477693760385;0.6836099161470461;0.010769518794796432;0.6996922071403937;0.01304214933776447;0.6898306573975085;0.01151513392650928;0.7626709213615024;0.010312518475147206;509.9453678607941;62.38165256470201
KNN_k=2_;0.7452970703404956;0.025235163711850476;0.5775883838383838;0.02871844802030423;0.6504821052928536;0.024687009065007783;0.46949191228190906;0.014452847283040943;0.729090909090909;0.04374985242005807;0.5708614204646397;0.02146783513946286;0.8919796164685355;0.009776299403602208;0.8259349976448422;0.016070152544847;0.8575816282136774;0.00984677785265289;0.70225619969698;0.010937810588231345;0.7108714301913783;0.013350043798809354;0.6929750513237235;0.010532490541738132;0.7534414123630673;0.008025363722369694;315.998824262619;108.95546982430028
KNN_k=3_;0.6898870656574727;0.02221472480452802;0.784241452991453;0.021652628896656163;0.7337851013210026;0.017321508593344703;0.5421250550243879;0.014105603158576513;0.6281818181818182;0.033636363636363666;0.5815779864818204;0.018579720615524063;0.9303409022961645;0.009917929078339716;0.840193795841464;0.015414456068691277;0.8828629024358948;0.009282318728592743;0.7207843409926752;0.00998051922889008;0.7508723556715785;0.01326379693141755;0.7327419967462394;0.010947507388588329;0.7911453442879499;0.008283057809971099;241.845533657074;2.697794632399103
KNN_k=4_;0.7094461871569635;0.02468286776656709;0.7716977466977466;0.03206169040577505;0.7389700751482402;0.02394363455183227;0.5697663252537783;0.03024286484707571;0.6809090909090909;0.048181818181818166;0.6199467875203384;0.034512330133181696;0.9267733159918267;0.012135124851415479;0.8443469483883993;0.014932242981292983;0.8835092979284219;0.008722170239554355;0.7353286094675229;0.01647410434563621;0.7656512619984123;0.021658477948042695;0.747475386865667;0.01813328427610896;0.7999043916275431;0.012216773335664186;244.9662232875824;2.7691276300862215
KNN_k=5_;0.7090816052868728;0.018231892284683738;0.8099893162393161;0.018468613038273084;0.7558973371125114;0.011087645834409667;0.5932486038296234;0.025974714886785225;0.6572727272727272;0.035220673868746374;0.6231371174711671;0.024861199215707157;0.9297873783370523;0.010107402653410931;0.8510901016082364;0.018017681418197144;0.8885943663331586;0.011794212926550512;0.7440391958178496;0.011648481149090163;0.7727840483734265;0.012423429789511423;0.7558762736389456;0.011614790005441406;0.8085093896713614;0.010500304861287571;246.0049840450287;2.293827125039589
KNN_k=6_;0.7095937983990547;0.02691779495258122;0.8259809634809635;0.02484227792230332;0.7629815834466611;0.0197024469320603;0.5967871965678884;0.028993041852564;0.6827272727272728;0.02829887712049704;0.6365554723050548;0.0250291652071797;0.9441904247724437;0.007320969240129412;0.846685956530516;0.016702063607351054;0.8926997053759902;0.010706072487985807;0.7501904732464623;0.015588993365726028;0.7851313975795842;0.015660944579082226;0.764078920375902;0.015729767785426226;0.8138297143974962;0.013093262830473776;246.73424899578094;2.366926989457457
KNN_k=7_;0.6924661230256546;0.01970848358587825;0.8510538073038074;0.022187754392966233;0.763244697571648;0.012392344290934035;0.6276194242081414;0.0319350479857397;0.6499999999999999;0.02514421215625333;0.6382869429461243;0.025121568422813857;0.9388795166662833;0.0086374971248034;0.8482423793822755;0.02133873228381974;0.8911197837865033;0.013301709804739341;0.7529883546333597;0.014543349265899775;0.783098728895361;0.012784211471162514;0.7642171414347586;0.0137145944558992;0.814768926056338;0.012842521651518227;246.9697692155838;2.462789023895442
KNN_k=8_;0.7139393090322279;0.021309795406463643;0.8454885392385393;0.027529389198632015;0.7738618211900166;0.018608493095317882;0.6243951947857341;0.029218158129888518;0.6772727272727272;0.02547077404749435;0.6496488259329296;0.0263885520560847;0.9385453111064457;0.009888863400601652;0.8508350716640871;0.01574757392723869;0.892456844387395;0.010648098340994571;0.7589599383081359;0.01576224380700743;0.7911987793917845;0.01612810543341972;0.7719891638367803;0.0158509465768764;0.8197708822378716;0.01321248072161394;248.01006691455842;3.2411618377356444
KNN_k=9_;0.6982023254436432;0.015477088922428812;0.8670600233100233;0.02937041297421649;0.7730828668083495;0.011592266917389064;0.6339590817235556;0.02713209187282482;0.6590909090909091;0.03731704682140691;0.6456543499025842;0.025649450262065436;0.944608961374187;0.007921045096304235;0.8479799475136263;0.015631421425558633;0.8935883971792865;0.00894635596252206;0.7589234561804619;0.01067771248863896;0.7913769599715196;0.01161419096732383;0.7707752046300734;0.01080687274134087;0.8197733274647888;0.008362524854865203;247.29741973876952;2.2969976680078403
KNN_k=10_;0.7023719991756796;0.01873753170465484;0.8677544677544677;0.025792563907103938;0.7759658139199992;0.013352451516594064;0.6538745857081472;0.04431589273783203;0.6809090909090909;0.0364657656729665;0.6666909760245587;0.037362352419548134;0.9455373764910708;0.010171851509434815;0.8503223201668796;0.01555547111004727;0.895331779364329;0.010987076609028572;0.7672613204582992;0.017322126129703044;0.7996619596101461;0.017190856052435984;0.7793295231029623;0.016957243437369096;0.8250912069640062;0.013271234402535687;247.56493151187897;2.6003473848027303
KNN_k=11_;0.7016643317675426;0.016630815629191276;0.8788801476301475;0.02622391516625542;0.7800502723358663;0.014190916546110417;0.6556149248271806;0.036589178796551845;0.6672727272727272;0.036860245332205964;0.6609515869130933;0.03237909491345866;0.9442131474425693;0.011439543480528567;0.8498014938429446;0.01470356561283784;0.8944324891958706;0.010141479889038497;0.7671641346790976;0.01649755813606131;0.7986514562486066;0.01749594662374163;0.7784781161482768;0.016292585540915647;0.8249364241001566;0.012561035281582315;245.62707965373994;3.1735228274538123
KNN_k=12_;0.7011262661936659;0.01478670420209659;0.8768065268065269;0.023382257445570626;0.7789371946711481;0.012014109421272677;0.6479912219217688;0.033980088106957435;0.6736363636363636;0.03531440836282731;0.660130096896245;0.030292756399146054;0.9458536821070359;0.009939872188854214;0.8461732050333086;0.011085548549850437;0.8931938006394496;0.008488699192591214;0.7649903900741568;0.014270095400624279;0.7988720318253997;0.015935130717290115;0.7774203640689474;0.01451699401113879;0.8233722124413145;0.010749791887278473;247.01204044818877;3.827011433291565
KNN_k=13_;0.6943953950884986;0.014757739885562594;0.8844599844599845;0.028596849969821765;0.77773427398601;0.015138454505473138;0.6660535353697336;0.04070044629711303;0.6600000000000001;0.033820136795887766;0.662562494741013;0.0330502712321834;0.9428285467767876;0.015014668914192113;0.8482457438934121;0.012714634148232805;0.8929561402484415;0.010809858400364336;0.7677591590783399;0.016839259037916447;0.797568576117799;0.018216586390292316;0.7777509696584882;0.01626895682081803;0.823996967918623;0.012389530691821292;245.44759833812714;1.3043578795652733
KNN_k=14_;0.6997381198488359;0.020141482203431323;0.8781954156954157;0.030257794456919368;0.7784838372801334;0.016946913434019474;0.6579219536579741;0.03478762865905212;0.6754545454545454;0.03450955072018601;0.6660894811759361;0.029605961815412744;0.9457697347871106;0.013273503504281758;0.847728954982841;0.01174176865484683;0.8939937157802268;0.009388200338767581;0.7678099360979735;0.01491861392505767;0.8004596387109342;0.017316202685241092;0.779522344745432;0.015208052774457645;0.8249371576682316;0.01163914070789864;246.49018347263336;2.0265520387652827
KNN_k=15_;0.694831972303415;0.01662697638148226;0.8844551282051281;0.031202856881659725;0.777958118562619;0.016876693092813835;0.6633607165485691;0.03627908802092942;0.67;0.027589074373624553;0.6662733294795303;0.027934954811794296;0.9479638355669001;0.013377576399001695;0.8479846578292174;0.014970698144619248;0.8950943514133641;0.011029871475200776;0.7687188414729614;0.016261400408441182;0.8008132620114484;0.01714137271744206;0.779775266485171;0.015593222404132736;0.8255602014866981;0.012927842165158066;248.67915897369386;4.4396497634909995
KNN_k=16_;0.696141674634403;0.01635718616843215;0.8844648407148407;0.02610818948152822;0.7787605743347247;0.012739259589303002;0.6694642056744575;0.03745918092563743;0.6754545454545455;0.027887021182141754;0.6720244733091447;0.028473661840933903;0.947433009577513;0.01189689560759957;0.8485027925442432;0.013106415021906829;0.8951593542455955;0.009323245945599776;0.7710129632954578;0.013741916111301503;0.802807392904543;0.014690827955467974;0.7819814672964883;0.01303041984186142;0.8268128912363067;0.010292568634732246;247.50489914417267;3.726194575054241
KNN_k=17_;0.6978350255904557;0.016139778819011436;0.8914287101787102;0.02437688102593716;0.7825184330276731;0.011333909458106571;0.6719711775723651;0.03279473956839163;0.6763636363636365;0.02577717614319602;0.6737679114783587;0.024671296874140245;0.9482325839742314;0.013054993906326461;0.8474658502119642;0.012500698464634702;0.8949324011422792;0.009239597266676527;0.7726795957123509;0.011961108560734878;0.8050860655847701;0.0135868353631758;0.7837395818827704;0.011569454283922333;0.8279083528951487;0.009311437148206963;257.3741688013077;21.682181476804356
KNN_k=18_;0.6918980333313571;0.016545010843388813;0.8921377233877233;0.025676323700931446;0.7790756502494154;0.013658113129734183;0.6768150250091696;0.03236631634517839;0.6718181818181819;0.022063020180930176;0.6738506866430477;0.02136480963808788;0.9484928297813239;0.012376338617675398;0.8472034183433147;0.015802239527078404;0.8948675255749483;0.010136140480222277;0.7724019627072836;0.013971869640916807;0.8037197745164066;0.01345282473933133;0.7825979541558038;0.012746578046385012;0.8271251467136149;0.011455156626181741;248.6389533519745;2.7047859794351305
KNN_k=19_;0.6899231579018026;0.0160820083066978;0.8900592463092462;0.0245998568900317;0.7770315360218588;0.012819930239043452;0.6738770375877055;0.03182973614869774;0.6709090909090909;0.027212053721992282;0.6719066322092155;0.02347885117805523;0.9498654798696915;0.011662612904830859;0.8474638315052822;0.015282789471078282;0.8956348835259911;0.009794639041439198;0.7712218917863999;0.012355298412543502;0.8028107229078731;0.013157879981717293;0.7815243505856885;0.0115130192261405;0.8266561521909234;0.010024418822900675;251.35460398197174;3.280806245834441
KNN_k=20_;0.6904086078765325;0.017724204537224772;0.8893502331002331;0.02685325612217173;0.7771003426952294;0.01632507047417219;0.6740489548086533;0.0361736172830336;0.6718181818181819;0.023862554088012158;0.6723956950080464;0.024086949031906293;0.9492983253377918;0.012548852215363317;0.8472034183433147;0.01575771610774764;0.8952370978559653;0.010678784448823675;0.7712519626743258;0.014058185502897714;0.8027906110872433;0.014370191281297365;0.7815777118530803;0.013121914619693262;0.8264996576682316;0.011216238119712127;252.1480416059494;4.352977747900855
KNN_k=21_;0.690222962846706;0.01642836655507184;0.8914481351981353;0.02220506854353224;0.7778029944384667;0.013177205063283997;0.6758283320119903;0.024500716048844094;0.6727272727272727;0.02439346884545223;0.6739485548582882;0.019639109014739323;0.949521196783557;0.012885132561041276;0.8469463696924835;0.015758704444580048;0.8952122847611447;0.011596025183834653;0.7718574972140846;0.011630413523732563;0.8037072592059639;0.01280032345199059;0.7823212780192998;0.011524344342996812;0.8269691412363068;0.010920856242856079;266.32488958835603;3.074983137457218
KNN_k=22_;0.6839398221323856;0.01732346203896315;0.8914384226884227;0.02434236923401091;0.7737893605253972;0.015142040626714003;0.6765116317194529;0.03727109825440799;0.6636363636363637;0.035675303400633775;0.6694325224824749;0.03101265068021156;0.9483308799475324;0.011200704875709185;0.845387928134042;0.015443831030870589;0.8938042352943485;0.01028511483131464;0.769594111266457;0.016423154996717627;0.8001542381529427;0.017555743584792144;0.7790087061007401;0.01641804721109134;0.8244644953051644;0.012888425102407014;306.60878882408144;67.96509249214793
KNN_k=23_;0.688382840167255;0.020412873736368707;0.8956293706293706;0.021689023684476352;0.7782166062986305;0.016523884814378127;0.6817251655614656;0.029063610362678002;0.6645454545454547;0.03531440836282733;0.6723168622505831;0.024795561907884896;0.9485067943843969;0.010757587381782313;0.8479806204158535;0.016789578389873775;0.8953022337867613;0.010079134991670522;0.7728716000377058;0.013510524489703964;0.8027184818635595;0.014961883751172668;0.7819452341119917;0.014029980774451343;0.8271241686228482;0.011762554597782053;267.23722610473635;1.7270813325728815
KNN_k=24_;0.6880201894165708;0.01887436736116038;0.8949349261849262;0.027116296100210678;0.7777474414029599;0.018315890958059224;0.6802246785513696;0.030362434726218423;0.6672727272727272;0.021589712885523464;0.6732463754700915;0.020128155323337504;0.9497893081685254;0.00927910264384863;0.8477242446672497;0.014518943654739637;0.8957828948820385;0.0097098178922294;0.7726780587121552;0.014176960283200257;0.8033106327083012;0.014056093036744526;0.7822589039183633;0.013623704898160956;0.8272821302816901;0.012050725959448451;272.8637701749802;17.86940273668253
KNN_k=25_;0.6891735655163391;0.01895553943547959;0.8963189588189587;0.022470610672973245;0.779011836618025;0.01628036397617907;0.6847852194274586;0.030594205445425855;0.6663636363636363;0.025078389498424954;0.6750318357669968;0.022243274025447016;0.9497122584864085;0.01165184474391301;0.8498001480384898;0.013959407809617148;0.8968856057725073;0.009272119789026171;0.7745570144767354;0.01295249702912039;0.8041609144070284;0.013603916023323956;0.7836430927191763;0.012663397149583555;0.8286903364632238;0.010761276134010242;267.8322418689728;1.7688270396247203
