Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
KNN_k=1_;0.6953151501511858;0.039970925402812454;0.7654380341880342;0.037437967296831375;0.7282050318825565;0.03471042659181777;0.612907460517692;0.03355101554962243;0.6236363636363638;0.044013521588764384;0.6177424653466539;0.035483520231711;0.9060252155845268;0.016491065276473888;0.8664080479106385;0.015405833209197516;0.885706091385949;0.013948125024315293;0.738082608751135;0.019874221055597337;0.7518274819116788;0.021806626527246197;0.7438845295383865;0.020996854806353958;0.8019412656494523;0.017733265889884952;549.1415109395981;24.63637227693145
KNN_k=2_;0.7860441324146203;0.03673235607111494;0.624198717948718;0.0523716376345247;0.6950664003436726;0.04350795362214588;0.5608900725790699;0.025580669400515593;0.7990909090909091;0.029999999999999995;0.658875552195165;0.02486230042820331;0.9034296225144072;0.01318145288271984;0.8627797591010026;0.01134128547975497;0.8825910743531213;0.01045617289398536;0.7501212758360326;0.02035422020785434;0.7620231287135432;0.022886212421392407;0.7455110089639863;0.022896630441550016;0.7981871087636934;0.01714825190044461;303.6876968860626;92.08743280340101
KNN_k=3_;0.7391535388809858;0.026234814569994724;0.8211441336441336;0.020265530306472577;0.7777379490044986;0.019454908628997708;0.6466243638902316;0.03921379507911274;0.7145454545454546;0.029931050242098793;0.6785095052973562;0.031434099308236575;0.9389014898809196;0.012573886639913065;0.8708155574994952;0.01739546603209339;0.9034581089857593;0.011343059259177645;0.7748931308840457;0.019129108174608788;0.8021683818963611;0.0176018793060674;0.7865685210958715;0.01817252698159088;0.8327606611893584;0.015310220734559751;263.79118528366087;2.7082534736585653
KNN_k=4_;0.7581057883899907;0.02227791347689276;0.8051282051282052;0.03397378976876426;0.7805122669973444;0.022212904127177798;0.6685863974461734;0.02920973751291374;0.7609090909090909;0.025078389498424954;0.711328916925568;0.0216702526966604;0.9392885038424019;0.01608171758121642;0.8796379786017091;0.015473458045259627;0.9083773831607143;0.012259657639209085;0.7886602298928553;0.015862908472302897;0.815225091546335;0.016875663340312822;0.8000728556945423;0.016012606097885674;0.8424603873239438;0.014055445730229531;265.2232541322708;3.552664401976357
KNN_k=5_;0.7596051560958201;0.02371392669100898;0.8294968919968921;0.02235442299967837;0.79261216811294;0.014739624312074488;0.6800062680384686;0.03702722500199889;0.7363636363636363;0.020730462274529796;0.7063144635740999;0.02055331666906131;0.9351607799475457;0.014641326247998323;0.8793775654397414;0.014168114849062581;0.906287096978595;0.009689206912826548;0.7915907346939448;0.01377439950604861;0.8150793646000899;0.011963382488516935;0.8017379095552115;0.012177114922780532;0.843554626369327;0.010838997955410429;265.2049597501755;3.8845499273472965
KNN_k=6_;0.7616947565271001;0.024355885007944774;0.8336684149184149;0.027106007263141316;0.7955038710058465;0.014806016407225361;0.6788593458045311;0.038451026141140286;0.7636363636363637;0.02727272727272729;0.7177911567621559;0.022722198493103272;0.9484855790291954;0.013720386077224917;0.8793748738308323;0.016263936989365187;0.912478512490653;0.009884426548765304;0.7963465604536089;0.012234355409574864;0.825559884128537;0.011784471917566331;0.8085911800862184;0.011369024654790668;0.8491852503912364;0.010519392218184924;266.0083956718445;6.704955597261093
KNN_k=7_;0.7643913089903058;0.019343055416140023;0.8482905982905983;0.028523369061084297;0.8037432025832256;0.015220562833804855;0.6941934111789093;0.03240315952677831;0.759090909090909;0.030219582070172137;0.7246397730786625;0.024282015871610347;0.9450436404936784;0.012914180035394823;0.8801527488055985;0.013339157354723088;0.9113476112918788;0.009165643977126285;0.8012094535542978;0.011262103021161662;0.829178085395702;0.012775871175749524;0.8132435289845891;0.01115878177169814;0.8521588908450705;0.009526048256205635;268.75530352592466;6.815878564102259
KNN_k=8_;0.7614963620563424;0.016453338911957095;0.8454982517482517;0.026777023338383058;0.8008289201196848;0.009512710156881012;0.7001913446458559;0.035472852815510166;0.7654545454545454;0.029260867162601976;0.7308265996570004;0.02643053836283867;0.9463295436980272;0.010619630152668556;0.8811903640401049;0.010895673944250672;0.9125488918765431;0.008416127550288977;0.8026724168000753;0.01104421626746519;0.8307143870809673;0.011777627404990875;0.8147348038844093;0.011032836771624142;0.853252885367762;0.009108453136307426;264.8960915565491;3.602429779358636
KNN_k=9_;0.7580648075020334;0.020904872241528094;0.8642968142968144;0.023949699953376785;0.8073054065848375;0.013344725375999032;0.7020405299478429;0.030820556320288798;0.759090909090909;0.03309140858763873;0.7289639683531297;0.025717120859154716;0.9512419693831863;0.008742431934178507;0.8785949801493842;0.010604405378394915;0.9134120690357811;0.0061902640898277884;0.8037824356110208;0.007566839797675768;0.8339942345123692;0.00869783968038706;0.8165604813245826;0.0073378575847152724;0.8548178305946792;0.005563255487954234;264.67763595581056;3.0627815599442587
KNN_k=10_;0.7543510431077481;0.019754050976892035;0.8608003108003107;0.026913995316019516;0.8037158971696806;0.015850176417215266;0.7036144787312815;0.03570412406866967;0.761818181818182;0.03117532399905863;0.731115514805902;0.02869275367123129;0.9517233257602562;0.01011338645814444;0.8783399502052351;0.00847417193823697;0.9135340022508254;0.007838741638999553;0.8032296158664286;0.0124545905960859;0.8336528142745759;0.014109208315832919;0.8161218047421361;0.012877003529171534;0.8543483470266041;0.009919934274975442;269.7551856279373;6.0921915431036835
