Parameters;precision-pbr-mean;precision-pbr-std;recall-pbr-mean;recall-pbr-std;f1-score-pbr-mean;f1-score-pbr-std;auc_roc-pbr-mean;auc_roc-pbr-std;accuracy-pbr-mean;accuracy-pbr-std;time-pbr-mean;time-pbr-std;precision-inq-mean;precision-inq-std;recall-inq-mean;recall-inq-std;f1-score-inq-mean;f1-score-inq-std;auc_roc-inq-mean;auc_roc-inq-std;accuracy-inq-mean;accuracy-inq-std;time-inq-mean;time-inq-std;precision-irr-mean;precision-irr-std;recall-irr-mean;recall-irr-std;f1-score-irr-mean;f1-score-irr-std;auc_roc-irr-mean;auc_roc-irr-std;accuracy-irr-mean;accuracy-irr-std;time-irr-mean;time-irr-std;precision;recall;f1-score;auc_roc;accuracy;time
OCSVM_kernel-linear_scale_01_;0.09371796338952738;0.0017407941866790604;0.8914578477078476;0.018898800085217132;0.1695982680466748;0.0029929795660900843;0.9041617413167614;0.010490683102459143;0.7539370253215443;0.0048561586862736735;0.8601545095443726;0.03698171791848227;0.06192994783183324;0.0018639934443586514;0.889090909090909;0.03699452718068328;0.11579004677673525;0.003522466496005564;0.8706259877688449;0.0159864237665658;0.7235468345057388;0.006165356320000091;0.659671401977539;0.013014197870168321;0.14775945611054336;0.0018069745317478467;0.8959794091918445;0.012732334479259302;0.253678542384504;0.00299191205134763;0.6898447997561533;0.011785502417683067;0.3045684314002355;0.008377101709440176;2.5375039100646974;0.08835967643545986;0.10113578911063466;0.8921760553302004;0.17968895240263802;0.8215441762805865;0.5940174304091729;1.3524432738622032
OCSVM_kernel-linear_scale_02_;0.12875811955075722;0.0024774312016811848;0.7961392773892775;0.026702588397788662;0.22165216186940656;0.004495050065232316;0.9014144241648026;0.01136862898667234;0.842449957687532;0.0026865657165948344;1.6964247941970825;0.07471307495250999;0.08463759492164677;0.0024772652636756804;0.7909090909090908;0.03302891295379082;0.1529078954117316;0.0046338735800626665;0.8780287569573284;0.015621571267092661;0.8216216216216216;0.0022124340863870677;1.2340938806533814;0.03984277810257174;0.16752893109256445;0.0024855805579266184;0.7974120180337797;0.016677941419172726;0.27688271081056903;0.004324171793077085;0.6847986558240908;0.009829230875225576;0.45064135302094394;0.0037615999519707032;4.932207083702087;0.1672513819113052;0.12697488185498948;0.7948201287773826;0.2171475893639024;0.8214139456487407;0.7049043107766991;2.6209085861841834
OCSVM_kernel-linear_scale_03_;0.15934106124757003;0.007644714077055244;0.6925067987567988;0.050677910291786914;0.25903749167874357;0.013567845368709506;0.8945998970336762;0.011801261198095873;0.8885010107059508;0.0014901705450040053;2.408255863189697;0.04851160944549165;0.10617265367640664;0.003919453547610944;0.6918181818181818;0.03736131379642638;0.18408023576924532;0.0071326223008969705;0.8796428571428571;0.01540818513258781;0.8751943724546463;0.0021297263262894874;1.7663159847259522;0.056400329321644974;0.1950162103537049;0.0027242860675256663;0.6972868582195008;0.013982442554792985;0.3047830397061329;0.004511767803191077;0.6897838879144877;0.0092029563795126;0.5804277154236865;0.00344746296409457;7.982211709022522;0.6066719774549864;0.1535099750925605;0.6938706129314939;0.2493002557180406;0.8213422140303402;0.7813743661947612;4.052261185646057
OCSVM_kernel-linear_scale_04_;0.18631600405882945;0.00938013724636565;0.5943570318570319;0.043419519119541616;0.2836619284507095;0.01572400249903961;0.8940902940959701;0.01191549686469809;0.9155078638716458;0.0010001711388437716;3.0923264503479;0.059965132550867294;0.12500645835874957;0.006578647487433685;0.5945454545454546;0.03945915348038312;0.20656978376435092;0.01134636523648271;0.8803174603174604;0.015655940591510185;0.9070714550166604;0.0008643182176918677;2.313596796989441;0.06354526202028948;0.23865860363929467;0.007157476372262916;0.5971435300450845;0.017691381797027502;0.34101712935006206;0.010108972256268476;0.7010665414101298;0.009636756803191353;0.6955688358022462;0.005185845245332228;12.337149858474731;0.51331062531226;0.1833270220189579;0.5953486721491903;0.2770829471883742;0.8251580986078535;0.8393827182301842;5.914357701937358
OCSVM_kernel-linear_scale_05_;0.22853477643706271;0.011360378057177444;0.49691627816627815;0.043767257889659295;0.31297280990879883;0.019172590363057615;0.8932931107041855;0.012262272814632215;0.9386510297367519;0.0006894443733519983;4.375289821624756;0.06396935920918267;0.13828922543417255;0.009740593880229074;0.4927272727272727;0.042794917439781165;0.2159493750070982;0.015953765899622916;0.8781479763622622;0.01573766760969922;0.9272306553128471;0.0009419144193416159;2.9834327936172484;0.052370211988255706;0.3189033285621255;0.009332170637342258;0.4996130812192988;0.02522847131416499;0.3892536175788246;0.014494632961466334;0.7098433157640516;0.00867479998511367;0.7933618241223575;0.0025912207164025384;15.849499130249024;0.7475412350433595;0.22857577681112026;0.4964188773709499;0.3060586008315739;0.8270948009434997;0.8864145030573187;7.736073915163677
OCSVM_kernel-linear_scale_06_;0.272357466391839;0.019857052350812168;0.396017871017871;0.04851158359098828;0.32255306186822924;0.029979409669775886;0.8925914245105717;0.012349705416777905;0.9533018497384582;0.000837274245319244;6.132172751426697;0.21188708793727865;0.15441934533351695;0.013400147256595949;0.39636363636363636;0.04567220613483807;0.2222126799174801;0.021018835466534193;0.8759807256235828;0.01581474823923752;0.943631988152536;0.0006531758150454349;3.6197278022766115;0.032735638506635314;0.4569852352634193;0.009667056410311544;0.3989657492766301;0.015186464711146113;0.4259357614160713;0.012168304449889264;0.7218215719245351;0.008013555714382531;0.8582036120803569;0.002168864111381164;21.699106574058533;2.1230772566174085;0.29458734899625844;0.3971157522193791;0.3235671677339269;0.8301312406862298;0.9183791499904504;10.48366904258728
OCSVM_kernel-linear_scale_07_;0.320399517286737;0.02751725800472311;0.29925213675213674;0.042264395303390746;0.30922583498133227;0.03531061790554918;0.8929722401575327;0.012464246623402838;0.9624806470179962;0.000995907355159002;8.59025604724884;0.6794208971663406;0.1710866122620034;0.022991324082982583;0.29545454545454547;0.05289159348286857;0.21658631553902943;0.03243675824961884;0.8755010994296709;0.015632230324703268;0.9566827101073677;0.0009218733504619341;5.692516255378723;0.6473862683390356;0.6182383928221005;0.01008234133642987;0.29986676535899337;0.01567744147155169;0.40370652041736943;0.016184718606315412;0.7355252329449854;0.007173873544873712;0.8832506147402309;0.0017180947515105535;21.659604597091676;0.8235238515153532;0.3699081741236136;0.29819114918855855;0.3098395569792437;0.834666190844063;0.9341379906218649;11.980792299906412
OCSVM_kernel-linear_scale_08_;0.3812081787542839;0.03114138817056003;0.19898504273504275;0.03340778104426746;0.2610464675919803;0.0360856211271913;0.8920977310754052;0.012591573414459437;0.9684233041025051;0.0006023153094666833;10.029112720489502;0.510878381541713;0.1986829065517801;0.03348966280558938;0.19636363636363635;0.04549089455707928;0.19733245047199574;0.03935428647809232;0.8743332989761561;0.015691246597183732;0.9676971492039987;0.0007553574884525438;7.233520746231079;0.693389188753225;0.8096341296860816;0.011347600139746514;0.19817912657290895;0.016480006177864673;0.318145582904454;0.022058169061854514;0.744027549922144;0.006751911429981065;0.8881094334789135;0.0020044828877531407;23.185376787185668;1.8146132770145396;0.4631750716640486;0.19784260189052935;0.25884150032281;0.8368195266579018;0.9414099622618058;13.482670084635416
OCSVM_kernel-linear_scale_09_;0.44896267858948613;0.07784537101088543;0.1002039627039627;0.02710090619514062;0.16354346470296446;0.04169075674193425;0.8927378383893266;0.012577622786246072;0.9713064146686505;0.0007647384553743068;10.359045004844665;0.6128986927005966;0.19750403160420693;0.047483507201649774;0.09909090909090909;0.03314132024283306;0.1317202669545306;0.0398455957259938;0.873858139215282;0.015682077411948735;0.9736764161421696;0.000451927271963478;7.553809690475464;0.3770545445949359;0.9740138584758625;0.0028267376575435983;0.09830765089832447;0.009955948661800025;0.17844480688603906;0.016587662675002047;0.7510538811936878;0.006487749214982455;0.8807184774252589;0.0012532033564499787;26.20883333683014;3.6698866873443503;0.5401601895565186;0.09920084089773208;0.15790284618117803;0.8392166195994321;0.941900436078693;14.70722934405009
OCSVM_kernel-linear_auto_01_;0.09371796338952738;0.0017407941866790604;0.8914578477078476;0.018898800085217132;0.1695982680466748;0.0029929795660900843;0.9041617413167614;0.010490683102459143;0.7539370253215443;0.0048561586862736735;0.9711441993713379;0.012551937190924548;0.06192994783183324;0.0018639934443586514;0.889090909090909;0.03699452718068328;0.11579004677673525;0.003522466496005564;0.8706259877688449;0.0159864237665658;0.7235468345057388;0.006165356320000091;0.7624623060226441;0.010018691045644772;0.14775945611054336;0.0018069745317478467;0.8959794091918445;0.012732334479259302;0.253678542384504;0.00299191205134763;0.6898447997561533;0.011785502417683067;0.3045684314002355;0.008377101709440176;2.740804171562195;0.12725516658014527;0.10113578911063466;0.8921760553302004;0.17968895240263802;0.8215441762805865;0.5940174304091729;1.4914702256520591
