Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
NaiveBayesGaussian - smoothing 1e-01 ;0.62;0.92;0.41;0.49;0.20;0.62;0.67;0.76;0.23;0.74;0.51;0.59;0.21;0.51
NaiveBayesGaussian - smoothing 1e-02 ;0.63;0.92;0.42;0.53;0.21;0.64;0.66;0.71;0.31;0.75;0.51;0.61;0.25;0.53
NaiveBayesGaussian - smoothing 1e-03 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-04 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-05 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-06 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-07 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-08 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-09 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-10 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-11 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-12 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-13 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-14 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-15 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-16 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-17 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-18 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-19 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-20 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-21 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-22 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-23 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-24 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-25 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-26 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-27 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-28 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-29 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
NaiveBayesGaussian - smoothing 1e-30 ;0.63;0.92;0.42;0.53;0.22;0.64;0.65;0.70;0.33;0.75;0.51;0.60;0.26;0.53
