Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
KNN com k=1;0.55;0.69;0.13;0.25;0.14;0.76;0.10;0.19;0.10;0.72;0.12;0.22;0.12;0.29
KNN com k=2;0.60;0.73;0.16;0.24;0.13;0.83;0.02;0.34;0.15;0.77;0.03;0.28;0.14;0.31
KNN com k=3;0.60;0.72;0.18;0.29;0.15;0.83;0.06;0.34;0.10;0.77;0.09;0.31;0.12;0.32
KNN com k=4;0.64;0.71;0.27;0.32;0.14;0.90;0.05;0.28;0.05;0.79;0.08;0.30;0.07;0.31
KNN com k=5;0.65;0.71;0.21;0.35;0.13;0.91;0.04;0.28;0.04;0.80;0.07;0.31;0.06;0.31
KNN com k=6;0.65;0.70;0.29;0.34;0.13;0.92;0.04;0.25;0.03;0.80;0.07;0.29;0.05;0.30
KNN com k=7;0.66;0.70;0.26;0.38;0.15;0.94;0.04;0.25;0.03;0.80;0.07;0.30;0.05;0.30
KNN com k=8;0.66;0.70;0.13;0.39;0.21;0.95;0.03;0.24;0.03;0.80;0.04;0.30;0.06;0.30
KNN com k=9;0.66;0.70;0.20;0.39;0.18;0.95;0.03;0.22;0.03;0.80;0.05;0.28;0.05;0.30
KNN com k=10;0.66;0.69;0.13;0.38;0.09;0.96;0.02;0.20;0.01;0.80;0.04;0.27;0.02;0.28
KNN com k=11;0.67;0.69;0.35;0.40;0.06;0.96;0.03;0.19;0.01;0.80;0.06;0.26;0.01;0.28
KNN com k=12;0.66;0.69;0.20;0.40;0.03;0.96;0.02;0.19;0.00;0.80;0.04;0.26;0.01;0.28
KNN com k=13;0.66;0.69;0.13;0.43;0.00;0.96;0.02;0.18;0.00;0.80;0.04;0.25;0.00;0.27
KNN com k=14;0.66;0.69;0.11;0.39;0.05;0.96;0.02;0.16;0.00;0.80;0.03;0.22;0.01;0.27
KNN com k=15;0.66;0.69;0.16;0.39;0.10;0.97;0.02;0.14;0.00;0.80;0.04;0.20;0.01;0.26
KNN com k=16;0.67;0.69;0.15;0.41;0.15;0.97;0.02;0.14;0.01;0.80;0.03;0.21;0.02;0.27
KNN com k=17;0.67;0.69;0.16;0.41;0.00;0.98;0.01;0.15;0.00;0.81;0.03;0.22;0.00;0.26
KNN com k=18;0.67;0.69;0.22;0.38;0.10;0.98;0.01;0.13;0.00;0.81;0.03;0.20;0.01;0.26
KNN com k=19;0.67;0.69;0.28;0.40;0.00;0.98;0.02;0.14;0.00;0.81;0.03;0.20;0.00;0.26
KNN com k=20;0.67;0.69;0.20;0.37;0.30;0.98;0.01;0.13;0.01;0.81;0.03;0.20;0.02;0.26
KNN com k=21;0.67;0.69;0.23;0.39;0.20;0.98;0.02;0.14;0.01;0.81;0.03;0.20;0.02;0.26
KNN com k=22;0.67;0.69;0.21;0.41;0.25;0.98;0.01;0.14;0.01;0.81;0.03;0.21;0.02;0.27
KNN com k=23;0.67;0.69;0.18;0.43;0.25;0.98;0.01;0.14;0.01;0.81;0.02;0.21;0.02;0.27
KNN com k=24;0.67;0.68;0.15;0.40;0.23;0.98;0.01;0.14;0.01;0.81;0.02;0.21;0.02;0.26
KNN com k=25;0.67;0.68;0.19;0.40;0.20;0.98;0.02;0.14;0.01;0.80;0.03;0.21;0.02;0.26
KNN com k=26;0.67;0.68;0.14;0.38;0.10;0.98;0.01;0.14;0.00;0.80;0.02;0.20;0.01;0.26
KNN com k=27;0.67;0.68;0.16;0.38;0.10;0.98;0.01;0.13;0.00;0.80;0.03;0.19;0.01;0.26
KNN com k=28;0.67;0.68;0.14;0.37;0.10;0.98;0.01;0.11;0.00;0.80;0.02;0.17;0.01;0.25
KNN com k=29;0.67;0.68;0.28;0.37;0.10;0.98;0.01;0.11;0.00;0.80;0.02;0.17;0.01;0.25
KNN com k=30;0.67;0.68;0.12;0.37;0.15;0.98;0.01;0.11;0.01;0.80;0.02;0.17;0.02;0.25
