Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
KNN com k=1;0.59;0.75;0.19;0.50;0.23;0.73;0.21;0.52;0.23;0.74;0.20;0.51;0.23;0.42
KNN com k=2;0.64;0.78;0.23;0.43;0.20;0.82;0.10;0.70;0.22;0.80;0.13;0.54;0.21;0.42
KNN com k=3;0.64;0.79;0.28;0.45;0.27;0.78;0.21;0.67;0.18;0.79;0.24;0.54;0.22;0.44
KNN com k=4;0.67;0.78;0.31;0.49;0.27;0.85;0.16;0.67;0.17;0.82;0.21;0.57;0.21;0.45
KNN com k=5;0.66;0.79;0.36;0.48;0.31;0.83;0.20;0.66;0.19;0.81;0.25;0.56;0.24;0.46
KNN com k=6;0.67;0.79;0.35;0.48;0.32;0.86;0.16;0.69;0.12;0.82;0.22;0.57;0.18;0.45
KNN com k=7;0.68;0.79;0.37;0.49;0.22;0.85;0.20;0.69;0.12;0.82;0.26;0.57;0.16;0.45
KNN com k=8;0.68;0.78;0.33;0.48;0.19;0.87;0.15;0.70;0.09;0.82;0.21;0.57;0.12;0.43
KNN com k=9;0.68;0.79;0.38;0.48;0.31;0.86;0.18;0.69;0.12;0.82;0.24;0.57;0.17;0.45
KNN com k=10;0.68;0.78;0.31;0.48;0.22;0.87;0.14;0.68;0.10;0.82;0.19;0.57;0.14;0.43
KNN com k=11;0.68;0.78;0.35;0.48;0.26;0.86;0.17;0.68;0.11;0.82;0.23;0.56;0.16;0.44
KNN com k=12;0.69;0.78;0.34;0.48;0.25;0.88;0.15;0.69;0.08;0.83;0.21;0.57;0.13;0.43
KNN com k=13;0.69;0.78;0.38;0.49;0.43;0.87;0.16;0.70;0.10;0.83;0.23;0.57;0.17;0.45
KNN com k=14;0.69;0.78;0.38;0.49;0.32;0.88;0.15;0.70;0.09;0.83;0.21;0.58;0.14;0.44
KNN com k=15;0.69;0.78;0.38;0.50;0.37;0.88;0.15;0.73;0.08;0.83;0.21;0.59;0.13;0.44
KNN com k=16;0.69;0.78;0.36;0.49;0.36;0.88;0.14;0.71;0.08;0.83;0.20;0.58;0.13;0.43
KNN com k=17;0.69;0.78;0.37;0.50;0.34;0.88;0.15;0.71;0.08;0.83;0.21;0.59;0.13;0.44
KNN com k=18;0.69;0.78;0.38;0.49;0.31;0.89;0.14;0.71;0.07;0.83;0.21;0.58;0.11;0.43
KNN com k=19;0.69;0.78;0.39;0.49;0.29;0.88;0.16;0.72;0.06;0.83;0.22;0.58;0.10;0.44
KNN com k=20;0.69;0.78;0.38;0.50;0.30;0.88;0.15;0.71;0.06;0.83;0.21;0.59;0.10;0.43
KNN com k=21;0.69;0.78;0.42;0.50;0.31;0.89;0.16;0.72;0.06;0.83;0.23;0.59;0.10;0.44
KNN com k=22;0.70;0.78;0.42;0.51;0.38;0.89;0.16;0.73;0.06;0.83;0.23;0.60;0.10;0.44
KNN com k=23;0.70;0.78;0.42;0.51;0.32;0.89;0.16;0.73;0.06;0.83;0.23;0.60;0.10;0.44
KNN com k=24;0.70;0.78;0.40;0.51;0.45;0.89;0.14;0.74;0.06;0.83;0.21;0.60;0.11;0.44
KNN com k=25;0.69;0.78;0.39;0.50;0.44;0.89;0.15;0.72;0.06;0.83;0.22;0.59;0.10;0.43
KNN com k=26;0.70;0.78;0.41;0.50;0.36;0.89;0.15;0.73;0.05;0.83;0.22;0.60;0.08;0.43
KNN com k=27;0.69;0.78;0.38;0.51;0.29;0.89;0.15;0.72;0.04;0.83;0.22;0.59;0.06;0.43
KNN com k=28;0.70;0.78;0.39;0.51;0.26;0.90;0.14;0.74;0.04;0.83;0.20;0.60;0.07;0.43
KNN com k=29;0.70;0.78;0.40;0.52;0.26;0.89;0.15;0.74;0.04;0.83;0.22;0.61;0.07;0.43
KNN com k=30;0.70;0.78;0.41;0.52;0.38;0.90;0.14;0.75;0.04;0.83;0.21;0.61;0.07;0.43
