Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
MLP - Relu-camadas (1) e neurônios (50);0.62;0.75;0.23;0.48;0.35;0.77;0.2;0.45;0.34;0.76;0.22;0.46;0.35;0.45
MLP - Logistic-camadas (1) e neurônios(50);0.67;0.79;0.36;0.54;0.36;0.83;0.24;0.56;0.32;0.81;0.29;0.55;0.34;0.5
MLP - TanHip-camadas (1) e neurônios(50);0.63;0.77;0.27;0.48;0.29;0.79;0.22;0.48;0.31;0.78;0.24;0.48;0.3;0.45
MLP - Relu-camadas(3) e neurônios (50);0.6;0.75;0.22;0.48;0.29;0.75;0.19;0.45;0.33;0.75;0.21;0.46;0.31;0.43
MLP - Logistic-camadas (3) e neurônios(50);0.65;0.79;0.35;0.44;0.1;0.8;0.28;0.66;0.02;0.79;0.31;0.53;0.03;0.41
MLP - TanHip-camadas (3) e neurônios(50);0.59;0.76;0.22;0.42;0.24;0.74;0.2;0.43;0.29;0.75;0.21;0.42;0.27;0.41
MLP - Relu-camadas(6) e neurônios (50);0.6;0.75;0.22;0.52;0.28;0.75;0.22;0.47;0.3;0.75;0.22;0.49;0.29;0.44
MLP - Logistic-camadas (6) e neurônios(50);0.65;0.78;0.34;0.38;0.11;0.82;0.23;0.64;0.01;0.8;0.27;0.48;0.01;0.39
MLP - TanHip-camadas (6) e neurônios(50);0.58;0.75;0.22;0.42;0.25;0.73;0.21;0.45;0.28;0.74;0.22;0.44;0.26;0.41
MLP - Relu-camadas (1) e neurônios (100);0.61;0.76;0.22;0.51;0.33;0.76;0.21;0.48;0.32;0.76;0.21;0.5;0.33;0.45
MLP - Logistic-camadas (1) e neurônios(100);0.66;0.78;0.33;0.55;0.34;0.82;0.24;0.54;0.32;0.8;0.28;0.54;0.33;0.49
MLP - TanHip-camadas (1) e neurônios(100);0.62;0.77;0.27;0.47;0.28;0.78;0.23;0.47;0.3;0.78;0.25;0.47;0.29;0.45
MLP - Relu-camadas(3) e neurônios (100);0.61;0.76;0.23;0.51;0.35;0.76;0.21;0.51;0.32;0.76;0.22;0.51;0.33;0.45
MLP - Logistic-camadas (3) e neurônios(100);0.65;0.78;0.34;0.47;0.31;0.8;0.26;0.62;0.11;0.79;0.29;0.54;0.17;0.45
MLP - TanHip-camadas (3) e neurônios(100);0.59;0.75;0.2;0.41;0.26;0.74;0.19;0.42;0.28;0.75;0.2;0.41;0.27;0.41
MLP - Relu-camadas(6) e neurônios (100);0.61;0.75;0.23;0.52;0.29;0.76;0.23;0.42;0.3;0.75;0.23;0.46;0.29;0.43
MLP - Logistic-camadas (6) e neurônios(100);0.67;0.69;0.01;0.14;0.03;0.97;0.01;0.2;0;0.81;0.01;0.16;0.01;0.25
MLP - TanHip-camadas (6) e neurônios(100);0.59;0.74;0.18;0.42;0.25;0.74;0.18;0.42;0.28;0.74;0.18;0.42;0.26;0.4
MLP - Relu-camadas (1) e neurônios (150);0.61;0.75;0.21;0.49;0.33;0.77;0.19;0.48;0.31;0.76;0.2;0.49;0.32;0.44
MLP - Logistic-camadas (1) e neurônios(150);0.66;0.78;0.32;0.54;0.34;0.82;0.24;0.54;0.31;0.8;0.27;0.54;0.33;0.49
MLP - TanHip-camadas (1) e neurônios(150);0.63;0.77;0.27;0.46;0.28;0.79;0.22;0.44;0.3;0.78;0.24;0.45;0.29;0.44
MLP - Relu-camadas(3) e neurônios (150);0.61;0.76;0.24;0.48;0.32;0.76;0.22;0.46;0.3;0.76;0.23;0.47;0.31;0.44
MLP - Logistic-camadas (3) e neurônios(150);0.65;0.79;0.33;0.48;0.31;0.79;0.28;0.55;0.25;0.79;0.3;0.51;0.28;0.47
MLP - TanHip-camadas (3) e neurônios(150);0.58;0.75;0.2;0.43;0.28;0.73;0.19;0.43;0.3;0.74;0.19;0.43;0.29;0.41
MLP - Relu-camadas(6) e neurônios (150);0.6;0.75;0.22;0.49;0.31;0.76;0.19;0.45;0.29;0.75;0.2;0.47;0.29;0.43
MLP - Logistic-camadas (6) e neurônios(150);0.65;0.68;0.02;0.08;0.01;0.94;0.03;0.14;0;0.79;0.02;0.1;0.01;0.23
MLP - TanHip-camadas (6) e neurônios(150);0.59;0.74;0.19;0.43;0.24;0.75;0.17;0.41;0.28;0.74;0.18;0.42;0.26;0.4
