Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0246;0.8486;0.0477;0.6263;0.1822;0.8749;0.3016;0.3247;0.0162;0.7183;0.0318;0.6830;0.0246;0.8518;0.0478;0.3452;0.0619;0.8234;0.1072;0.4948
OCSVM_kernel-linear_scale_02;0.0291;0.7486;0.0559;0.7211;0.1979;0.7750;0.3152;0.4403;0.0164;0.6825;0.0321;0.7011;0.0273;0.7382;0.0526;0.4877;0.0677;0.7361;0.1139;0.5876
OCSVM_kernel-linear_scale_03;0.0352;0.6595;0.0669;0.7978;0.2261;0.6743;0.3382;0.5637;0.0152;0.6074;0.0296;0.7116;0.0292;0.6542;0.0560;0.5760;0.0764;0.6488;0.1227;0.6623
OCSVM_kernel-linear_scale_04;0.0431;0.5784;0.0802;0.8540;0.2529;0.5817;0.3519;0.6471;0.0144;0.5200;0.0280;0.7392;0.0292;0.5488;0.0555;0.6412;0.0849;0.5572;0.1289;0.7204
OCSVM_kernel-linear_scale_05;0.0520;0.4811;0.0938;0.8984;0.2877;0.4854;0.3595;0.7174;0.0139;0.4366;0.0269;0.7732;0.0298;0.4648;0.0559;0.6993;0.0958;0.4670;0.1341;0.7721
OCSVM_kernel-linear_scale_06;0.0694;0.3811;0.1172;0.9370;0.3455;0.3863;0.3618;0.7796;0.0132;0.3332;0.0253;0.8147;0.0276;0.3543;0.0513;0.7489;0.1139;0.3637;0.1389;0.8200
OCSVM_kernel-linear_scale_07;0.0990;0.2946;0.1476;0.9633;0.4165;0.2917;0.3377;0.8171;0.0128;0.2700;0.0244;0.8461;0.0272;0.2652;0.0493;0.8040;0.1389;0.2804;0.1397;0.8576
OCSVM_kernel-linear_scale_08;0.1506;0.1973;0.1704;0.9792;0.5799;0.1946;0.2847;0.8439;0.0117;0.1629;0.0219;0.8958;0.0303;0.1812;0.0519;0.8743;0.1931;0.1840;0.1322;0.8983
OCSVM_kernel-linear_scale_09;0.1451;0.0919;0.1124;0.9842;0.8270;0.0983;0.1725;0.8463;0.0127;0.0832;0.0220;0.9504;0.0306;0.0825;0.0446;0.9331;0.2539;0.0890;0.0879;0.9285
OCSVM_kernel-linear_auto_01;0.0246;0.8486;0.0477;0.6263;0.1822;0.8749;0.3016;0.3247;0.0162;0.7183;0.0318;0.6830;0.0246;0.8518;0.0478;0.3452;0.0619;0.8234;0.1072;0.4948
OCSVM_kernel-linear_auto_02;0.0291;0.7486;0.0559;0.7211;0.1979;0.7750;0.3152;0.4403;0.0164;0.6825;0.0321;0.7011;0.0273;0.7382;0.0526;0.4877;0.0677;0.7361;0.1139;0.5876
OCSVM_kernel-linear_auto_03;0.0352;0.6595;0.0669;0.7978;0.2261;0.6743;0.3382;0.5637;0.0152;0.6074;0.0296;0.7116;0.0292;0.6542;0.0560;0.5760;0.0764;0.6488;0.1227;0.6623
OCSVM_kernel-linear_auto_04;0.0431;0.5784;0.0802;0.8540;0.2529;0.5817;0.3519;0.6471;0.0144;0.5200;0.0280;0.7392;0.0292;0.5488;0.0555;0.6412;0.0849;0.5572;0.1289;0.7204
OCSVM_kernel-linear_auto_05;0.0520;0.4811;0.0938;0.8984;0.2877;0.4854;0.3595;0.7174;0.0139;0.4366;0.0269;0.7732;0.0298;0.4648;0.0559;0.6993;0.0958;0.4670;0.1341;0.7721
OCSVM_kernel-linear_auto_06;0.0694;0.3811;0.1172;0.9370;0.3455;0.3863;0.3618;0.7796;0.0132;0.3332;0.0253;0.8147;0.0276;0.3543;0.0513;0.7489;0.1139;0.3637;0.1389;0.8200
OCSVM_kernel-linear_auto_07;0.0990;0.2946;0.1476;0.9633;0.4165;0.2917;0.3377;0.8171;0.0128;0.2700;0.0244;0.8461;0.0272;0.2652;0.0493;0.8040;0.1389;0.2804;0.1397;0.8576
