Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_scale_01;0.0651;0.2973;0.1067;0.9451;0.1647;0.5598;0.2544;0.4557;0.0120;0.0795;0.0209;0.9457;0.0229;0.2721;0.0423;0.7645;0.0662;0.3022;0.1061;0.7777
OCSVM_kernel-linear_scale_02;0.0647;0.2973;0.1062;0.9447;0.1657;0.5593;0.2556;0.4596;0.0125;0.0795;0.0216;0.9477;0.0227;0.2721;0.0418;0.7616;0.0664;0.3021;0.1063;0.7784
OCSVM_kernel-linear_scale_03;0.0642;0.2973;0.1055;0.9445;0.1721;0.5395;0.2608;0.4936;0.0126;0.0795;0.0217;0.9479;0.0229;0.2721;0.0422;0.7636;0.0679;0.2971;0.1075;0.7874
OCSVM_kernel-linear_scale_04;0.0645;0.2946;0.1057;0.9449;0.1872;0.4822;0.2694;0.5674;0.0127;0.0795;0.0219;0.9483;0.0233;0.2655;0.0427;0.7724;0.0719;0.2805;0.1099;0.8083
OCSVM_kernel-linear_scale_05;0.0662;0.2757;0.1066;0.9493;0.2038;0.4160;0.2731;0.6352;0.0123;0.0795;0.0213;0.9471;0.0222;0.2341;0.0406;0.7878;0.0761;0.2513;0.1104;0.8298
OCSVM_kernel-linear_scale_06;0.0765;0.2459;0.1166;0.9594;0.2356;0.3400;0.2770;0.7101;0.0123;0.0755;0.0212;0.9491;0.0226;0.1995;0.0406;0.8201;0.0868;0.2152;0.1139;0.8597
OCSVM_kernel-linear_scale_07;0.0809;0.1784;0.1106;0.9686;0.3189;0.2730;0.2915;0.7849;0.0116;0.0637;0.0197;0.9538;0.0197;0.1436;0.0347;0.8471;0.1078;0.1647;0.1141;0.8886
OCSVM_kernel-linear_scale_08;0.1355;0.1351;0.1316;0.9810;0.4906;0.1861;0.2646;0.8341;0.0131;0.0597;0.0215;0.9608;0.0181;0.1007;0.0306;0.8779;0.1643;0.1204;0.1121;0.9135
OCSVM_kernel-linear_scale_09;0.2001;0.0730;0.1057;0.9869;0.7237;0.0902;0.1586;0.8429;0.0114;0.0318;0.0168;0.9743;0.0127;0.0511;0.0203;0.9050;0.2370;0.0615;0.0754;0.9273
OCSVM_kernel-linear_auto_01;0.0651;0.2973;0.1067;0.9451;0.1647;0.5598;0.2544;0.4557;0.0120;0.0795;0.0209;0.9457;0.0229;0.2721;0.0423;0.7645;0.0662;0.3022;0.1061;0.7777
OCSVM_kernel-linear_auto_02;0.0647;0.2973;0.1062;0.9447;0.1657;0.5593;0.2556;0.4596;0.0125;0.0795;0.0216;0.9477;0.0227;0.2721;0.0418;0.7616;0.0664;0.3021;0.1063;0.7784
OCSVM_kernel-linear_auto_03;0.0642;0.2973;0.1055;0.9445;0.1721;0.5395;0.2608;0.4936;0.0126;0.0795;0.0217;0.9479;0.0229;0.2721;0.0422;0.7636;0.0679;0.2971;0.1075;0.7874
OCSVM_kernel-linear_auto_04;0.0645;0.2946;0.1057;0.9449;0.1872;0.4822;0.2694;0.5674;0.0127;0.0795;0.0219;0.9483;0.0233;0.2655;0.0427;0.7724;0.0719;0.2805;0.1099;0.8083
OCSVM_kernel-linear_auto_05;0.0662;0.2757;0.1066;0.9493;0.2038;0.4160;0.2731;0.6352;0.0123;0.0795;0.0213;0.9471;0.0222;0.2341;0.0406;0.7878;0.0761;0.2513;0.1104;0.8298
OCSVM_kernel-linear_auto_06;0.0765;0.2459;0.1166;0.9594;0.2356;0.3400;0.2770;0.7101;0.0123;0.0755;0.0212;0.9491;0.0226;0.1995;0.0406;0.8201;0.0868;0.2152;0.1139;0.8597
OCSVM_kernel-linear_auto_07;0.0809;0.1784;0.1106;0.9686;0.3189;0.2730;0.2915;0.7849;0.0116;0.0637;0.0197;0.9538;0.0197;0.1436;0.0347;0.8471;0.1078;0.1647;0.1141;0.8886
OCSVM_kernel-linear_auto_08;0.1355;0.1351;0.1316;0.9810;0.4906;0.1861;0.2646;0.8341;0.0131;0.0597;0.0215;0.9608;0.0181;0.1007;0.0306;0.8779;0.1643;0.1204;0.1121;0.9135
OCSVM_kernel-linear_auto_09;0.2001;0.0730;0.1057;0.9869;0.7237;0.0902;0.1586;0.8429;0.0114;0.0318;0.0168;0.9743;0.0127;0.0511;0.0203;0.9050;0.2370;0.0615;0.0754;0.9273
OCSVM_kernel-poly_2_scale_01;0.0067;0.0027;0.0038;0.9822;0.2321;0.1946;0.2093;0.7589;0.0000;0.0000;0.0000;0.9850;0.0016;0.0082;0.0027;0.8818;0.0601;0.0514;0.0540;0.9020
OCSVM_kernel-poly_2_scale_02;0.0130;0.0054;0.0076;0.9826;0.2318;0.1934;0.2102;0.7585;0.0000;0.0000;0.0000;0.9824;0.0023;0.0082;0.0035;0.8996;0.0618;0.0517;0.0553;0.9058
OCSVM_kernel-poly_2_scale_03;0.0077;0.0054;0.0064;0.9804;0.2146;0.1946;0.2031;0.7493;0.0000;0.0000;0.0000;0.9840;0.0020;0.0082;0.0032;0.8957;0.0561;0.0521;0.0532;0.9023
OCSVM_kernel-poly_2_scale_04;0.0077;0.0027;0.0040;0.9814;0.2650;0.1930;0.2223;0.7770;0.0000;0.0000;0.0000;0.9863;0.0020;0.0082;0.0032;0.8983;0.0687;0.0510;0.0574;0.9107
OCSVM_kernel-poly_2_scale_05;0.0080;0.0054;0.0064;0.9815;0.2392;0.1942;0.2137;0.7625;0.0000;0.0000;0.0000;0.9857;0.0021;0.0082;0.0033;0.9025;0.0623;0.0520;0.0559;0.9080
OCSVM_kernel-poly_2_scale_06;0.0038;0.0027;0.0032;0.9814;0.2201;0.1946;0.2055;0.7525;0.0000;0.0000;0.0000;0.9853;0.0018;0.0082;0.0030;0.8949;0.0564;0.0514;0.0529;0.9035
OCSVM_kernel-poly_2_scale_07;0.0115;0.0081;0.0095;0.9828;0.4226;0.1893;0.2573;0.8217;0.0000;0.0000;0.0000;0.9843;0.0021;0.0082;0.0033;0.8922;0.1091;0.0514;0.0675;0.9202
OCSVM_kernel-poly_2_scale_08;0.0053;0.0027;0.0036;0.9820;0.6852;0.1609;0.2579;0.8484;0.0000;0.0000;0.0000;0.9842;0.0022;0.0082;0.0034;0.9026;0.1731;0.0429;0.0662;0.9293
OCSVM_kernel-poly_2_scale_09;0.0077;0.0027;0.0040;0.9831;0.7685;0.0861;0.1528;0.8435;0.0000;0.0000;0.0000;0.9846;0.0022;0.0082;0.0034;0.9081;0.1946;0.0243;0.0400;0.9298
OCSVM_kernel-poly_2_auto_01;0.0750;0.0081;0.0146;0.9882;0.8223;0.0958;0.1636;0.8453;0.0000;0.0000;0.0000;0.9927;0.0000;0.0000;0.0000;0.9581;0.2243;0.0260;0.0446;0.9461
OCSVM_kernel-poly_2_auto_02;0.0286;0.0054;0.0091;0.9867;0.6356;0.2071;0.3041;0.8441;0.0000;0.0000;0.0000;0.9924;0.0041;0.0197;0.0067;0.8934;0.1670;0.0581;0.0800;0.9292
OCSVM_kernel-poly_2_auto_03;0.0000;0.0000;0.0000;0.9860;0.5026;0.2325;0.2619;0.8121;0.0218;0.0320;0.0249;0.9840;0.0041;0.0399;0.0073;0.8641;0.1321;0.0761;0.0735;0.9115
OCSVM_kernel-poly_2_auto_04;0.0385;0.0946;0.0531;0.9620;0.2808;0.3644;0.3128;0.7422;0.0000;0.0000;0.0000;0.9925;0.0028;0.0181;0.0048;0.8571;0.0805;0.1193;0.0927;0.8884
OCSVM_kernel-poly_2_auto_05;0.0111;0.0108;0.0110;0.9792;0.7044;0.1200;0.1431;0.8073;0.0000;0.0000;0.0000;0.9916;0.0020;0.0083;0.0029;0.9040;0.1794;0.0348;0.0392;0.9205
OCSVM_kernel-poly_2_auto_06;0.0165;0.0135;0.0148;0.9806;0.4544;0.3104;0.3013;0.7863;0.0147;0.0360;0.0209;0.9786;0.0032;0.0265;0.0056;0.8318;0.1222;0.0966;0.0856;0.8943
OCSVM_kernel-poly_2_auto_07;0.0307;0.2919;0.0526;0.8858;0.7653;0.1060;0.1831;0.8457;0.0029;0.0154;0.0048;0.9773;0.0067;0.0804;0.0123;0.7755;0.2014;0.1234;0.0632;0.8711
OCSVM_kernel-poly_2_auto_08;0.0299;0.0757;0.0425;0.9618;0.6617;0.1811;0.2806;0.8477;0.0000;0.0000;0.0000;0.9794;0.0025;0.0164;0.0044;0.8459;0.1735;0.0683;0.0819;0.9087
OCSVM_kernel-poly_2_auto_09;0.0231;0.0351;0.0277;0.9725;0.4411;0.3627;0.3902;0.8178;0.0023;0.0080;0.0036;0.9674;0.0040;0.0330;0.0072;0.8199;0.1177;0.1097;0.1072;0.8944
OCSVM_kernel-poly_3_scale_01;0.0030;0.0027;0.0029;0.9823;0.1647;0.1288;0.1427;0.7451;0.0000;0.0000;0.0000;0.9863;0.0000;0.0000;0.0000;0.9352;0.0419;0.0329;0.0364;0.9122
OCSVM_kernel-poly_3_scale_02;0.0050;0.0027;0.0035;0.9827;0.1484;0.1304;0.1385;0.7303;0.0000;0.0000;0.0000;0.9823;0.0000;0.0000;0.0000;0.9439;0.0384;0.0333;0.0355;0.9098
OCSVM_kernel-poly_3_scale_03;0.0028;0.0027;0.0027;0.9803;0.1545;0.1357;0.1438;0.7314;0.0000;0.0000;0.0000;0.9871;0.0000;0.0000;0.0000;0.9244;0.0393;0.0346;0.0366;0.9058
OCSVM_kernel-poly_3_scale_04;0.0084;0.0054;0.0066;0.9831;0.1602;0.1332;0.1441;0.7371;0.0000;0.0000;0.0000;0.9838;0.0000;0.0000;0.0000;0.9331;0.0421;0.0347;0.0377;0.9093
OCSVM_kernel-poly_3_scale_05;0.0030;0.0027;0.0029;0.9820;0.1793;0.1357;0.1525;0.7514;0.0000;0.0000;0.0000;0.9877;0.0000;0.0000;0.0000;0.9178;0.0456;0.0346;0.0388;0.9097
OCSVM_kernel-poly_3_scale_06;0.0056;0.0054;0.0055;0.9817;0.1606;0.1312;0.1434;0.7395;0.0000;0.0000;0.0000;0.9846;0.0000;0.0000;0.0000;0.9268;0.0415;0.0342;0.0372;0.9081
OCSVM_kernel-poly_3_scale_07;0.0066;0.0054;0.0059;0.9814;0.1441;0.1353;0.1385;0.7209;0.0000;0.0000;0.0000;0.9865;0.0000;0.0000;0.0000;0.9338;0.0377;0.0352;0.0361;0.9056
OCSVM_kernel-poly_3_scale_08;0.0024;0.0027;0.0025;0.9800;0.6255;0.1280;0.2105;0.8418;0.0000;0.0000;0.0000;0.9855;0.0000;0.0000;0.0000;0.9217;0.1570;0.0327;0.0533;0.9322
OCSVM_kernel-poly_3_scale_09;0.0045;0.0027;0.0034;0.9831;0.7356;0.0719;0.1291;0.8414;0.0000;0.0000;0.0000;0.9834;0.0000;0.0000;0.0000;0.9361;0.1850;0.0187;0.0331;0.9360
OCSVM_kernel-poly_3_auto_01;0.0500;0.0054;0.0098;0.9881;0.7814;0.0857;0.1533;0.8436;0.0000;0.0000;0.0000;0.9927;0.0000;0.0000;0.0000;0.9580;0.2078;0.0228;0.0408;0.9456
OCSVM_kernel-poly_3_auto_02;0.0143;0.0027;0.0045;0.9867;0.6576;0.1650;0.2585;0.8413;0.0000;0.0000;0.0000;0.9925;0.0006;0.0016;0.0009;0.9311;0.1681;0.0423;0.0660;0.9379
OCSVM_kernel-poly_3_auto_03;0.0059;0.0027;0.0037;0.9846;0.3817;0.1276;0.1678;0.8056;0.0000;0.0000;0.0000;0.9922;0.0007;0.0033;0.0011;0.9077;0.0971;0.0334;0.0432;0.9225
OCSVM_kernel-poly_3_auto_04;0.0103;0.0081;0.0091;0.9810;0.2414;0.2149;0.2215;0.7541;0.0000;0.0000;0.0000;0.9925;0.0008;0.0033;0.0013;0.8885;0.0631;0.0566;0.0580;0.9040
OCSVM_kernel-poly_3_auto_05;0.0042;0.0027;0.0033;0.9823;0.7147;0.0844;0.1135;0.8053;0.0000;0.0000;0.0000;0.9917;0.0003;0.0017;0.0005;0.8822;0.1798;0.0222;0.0293;0.9154
OCSVM_kernel-poly_3_auto_06;0.0068;0.0054;0.0060;0.9808;0.3349;0.2137;0.2271;0.7619;0.0000;0.0000;0.0000;0.9883;0.0005;0.0033;0.0008;0.8724;0.0855;0.0556;0.0585;0.9008
OCSVM_kernel-poly_3_auto_07;0.0105;0.0243;0.0144;0.9649;0.7638;0.1207;0.2044;0.8471;0.0000;0.0000;0.0000;0.9822;0.0022;0.0131;0.0037;0.8604;0.1941;0.0395;0.0556;0.9137
OCSVM_kernel-poly_3_auto_08;0.0057;0.0081;0.0067;0.9741;0.6542;0.1657;0.2595;0.8460;0.0000;0.0000;0.0000;0.9799;0.0003;0.0017;0.0005;0.8766;0.1651;0.0439;0.0667;0.9192
OCSVM_kernel-poly_3_auto_09;0.0039;0.0054;0.0045;0.9749;0.1836;0.3034;0.2278;0.6640;0.0000;0.0000;0.0000;0.9787;0.0013;0.0082;0.0023;0.8548;0.0472;0.0793;0.0587;0.8681
OCSVM_kernel-rbf_scale_01;0.0286;0.0622;0.0391;0.9661;0.2002;0.3461;0.2530;0.6638;0.0013;0.0040;0.0020;0.9705;0.0062;0.0428;0.0108;0.8473;0.0591;0.1138;0.0762;0.8619
OCSVM_kernel-rbf_scale_02;0.0246;0.0568;0.0342;0.9659;0.1997;0.3469;0.2528;0.6630;0.0015;0.0040;0.0022;0.9705;0.0063;0.0428;0.0109;0.8481;0.0580;0.1126;0.0750;0.8619
