Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
NaiveBayesGaussian - smoothing 1e-01 ;0.64;0.72;0.29;0.49;0.20;0.90;0.10;0.13;0.21;0.80;0.14;0.21;0.20;0.34
NaiveBayesGaussian - smoothing 1e-02 ;0.60;0.80;0.31;0.33;0.20;0.75;0.32;0.18;0.43;0.77;0.31;0.24;0.27;0.40
NaiveBayesGaussian - smoothing 1e-03 ;0.57;0.87;0.32;0.29;0.19;0.66;0.46;0.22;0.46;0.75;0.38;0.25;0.27;0.41
NaiveBayesGaussian - smoothing 1e-04 ;0.56;0.88;0.31;0.29;0.18;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-05 ;0.56;0.88;0.31;0.29;0.18;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-06 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-07 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-08 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-09 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-10 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-11 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-12 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-13 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-14 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-15 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-16 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-17 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-18 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-19 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-20 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-21 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-22 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-23 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-24 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-25 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-26 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-27 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-28 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-29 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
NaiveBayesGaussian - smoothing 1e-30 ;0.56;0.88;0.31;0.29;0.19;0.65;0.46;0.23;0.46;0.75;0.37;0.26;0.26;0.41
