Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
NaiveBayesGaussian - smoothing 1e-01 ;0.63;0.92;0.43;0.46;0.29;0.65;0.63;0.69;0.37;0.76;0.51;0.55;0.33;0.54
NaiveBayesGaussian - smoothing 1e-02 ;0.62;0.93;0.41;0.50;0.29;0.63;0.67;0.61;0.46;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-03 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.46;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-04 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-05 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-06 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-07 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-08 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-09 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-10 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-11 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-12 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-13 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-14 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-15 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-16 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-17 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-18 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-19 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-20 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-21 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-22 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-23 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-24 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-25 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-26 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-27 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-28 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-29 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
NaiveBayesGaussian - smoothing 1e-30 ;0.62;0.93;0.41;0.51;0.28;0.62;0.68;0.60;0.47;0.75;0.51;0.55;0.35;0.54
